"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","点10RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点14RH Monitor: Sum of RH","点15RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点19RH Monitor: Sum of RH","点1RH Monitor: Sum of RH","点20RH Monitor: Sum of RH","点21RH Monitor: Sum of RH","点2RH Monitor: Sum of RH","点3RH Monitor: Sum of RH","点4RH Monitor: Sum of RH","点5RH Monitor: Sum of RH","点6RH Monitor: Sum of RH","点7RH Monitor: Sum of RH","点8RH Monitor: Sum of RH","点9RH Monitor: Sum of RH"
30,49.9690826629987,50.4754245549691,50.475424554968,50.4754245549682,0,0,0,0,49.9690826629984,49.9690826629983,49.9690826629982,49.969082666521,50.0226872560013,50.1922818352633,49.9690826665147,49.9690826629964,49.9690826629956,49.9690826629962,50.1922761168418,49.9690826629969,49.9690826629976,49.9690826664523,49.9690826629989,49.9690826629988,49.9690826629986,49.9690826629985,49.9690826629985,49.9690826629989,49.9690826629985
60,49.6735336686309,40.3064598515225,40.3064385092481,40.3064396213144,0,3,2,2,48.256373728027,49.6921595144146,49.9495312647995,49.0420544624012,40.3403537518299,40.3108555406617,43.7041691883446,45.2956131785405,47.8514273021694,46.3228576011116,40.3024326515829,44.4954838793776,45.3667337912963,42.8966090531248,47.0197145445614,48.9368790886933,49.7284906160991,49.8964598431903,49.9688314677301,44.947431838663,44.3620337219921
90,45.6535164301538,40.3059880301441,40.3064845741044,40.3064697283455,0,3,2,2,47.6690083530032,47.7949946279474,43.8465457353743,41.4932235676528,43.9490235016817,40.3909553003485,41.5971734677505,41.859329776511,43.3086067533254,45.3883030155405,40.3164895773293,45.456107264145,47.3056602686974,40.5041033044933,40.8823289747813,42.0568458946416,44.3646217023192,45.9876668862165,49.5342623281198,45.3776308140771,44.1588103928648
120,42.2503429563176,40.3064296308663,40.306469753106,40.3065014233782,0,3,2,2,42.8977831383443,42.0458937344751,41.4374344971395,41.3454001461591,41.2036387753497,40.3103412074997,41.2493889463046,41.2818736217307,41.5722659546904,44.9952476597721,40.3160648042647,44.834066109003,46.226693184364,40.5797397029673,40.7854664518097,40.8590856794335,41.0471890416434,41.4447699554756,44.8826219088202,45.224955204131,43.3044924819458
150,42.0188420356308,40.3068314036601,40.3065071541876,40.3065376737799,0,3,2,2,41.8995447014304,41.9447011311017,42.0224865639774,41.8620308323209,40.5740014227023,40.3288723763214,41.0427825180113,41.2809191847319,41.5340812166904,43.3769620411691,40.3293411250613,42.9179021063219,43.1470237898261,40.9412976442346,41.0441398564312,41.0631704090262,41.0929330552563,41.105842279716,41.3063043228567,43.6857653316637,41.9247063891258
180,41.5742767733753,40.3064896228672,40.3065215049407,40.3064124378218,0,3,2,2,41.4772364889569,41.5660015725899,41.5474132955517,41.0863221183515,40.5997232654835,40.3152561931759,40.975902182911,41.4736141426011,41.8775738891072,42.1494761032043,40.3197648314046,41.6704227768134,41.8915219408086,40.6893311539073,40.9935650213034,41.0277956957006,41.0384131449029,41.0593156703184,41.07441749805,41.6348372064357,41.4331467812993
210,41.2454974893645,40.3066805501535,40.3065252882636,40.3063850539371,0,3,2,2,41.1268713935325,41.0053973307362,40.6906466972138,40.4841951420345,40.5181852075922,40.3114755063652,40.6549815030669,40.8209969839178,41.511968968359,41.6718474537477,40.3161073056111,41.2915148707018,42.1562666538768,40.4899513171701,40.6344784465869,40.8168762151641,40.8568113787957,40.8839134705263,40.8984962080101,40.83057943429,41.1805973303808
240,41.1608640741046,40.3067486654405,40.3065585920682,40.3064748293204,0,3,2,2,40.5782839345275,40.5211449861107,40.4438239791213,40.4174717723196,40.3831070468752,40.312077552927,40.4723988856847,40.5736681293883,41.088507577288,41.2738954266083,40.3131581646834,40.9974651661336,41.4923686751031,40.4488000090736,40.4964733383796,40.5223731849707,40.5508292342957,40.6068435429641,40.6337672700816,40.8193727973838,40.6421648617342
270,40.9417100064573,40.3066222825326,40.3064996823525,40.3064321899489,0,3,2,2,40.507787608649,40.4751653545712,40.4157818657136,40.3933087667368,40.358335378827,40.3117298160821,40.4136221732848,40.44349529221,40.7421401251424,40.9112457710507,40.3116834815849,40.8735181650165,40.9524954859672,40.3937687634086,40.4292611585832,40.4550392472173,40.5112042501027,40.5326141705379,40.5414865098924,40.5500961826621,40.5225608563374
300,40.742189622671,40.3064862223277,40.3064175026825,40.3063656088462,0,1,0,2,40.5576533558693,40.5247706957791,40.4653152118809,40.451078359927,40.3522183759519,40.5160352393819,40.6918784857139,40.6734423607161,40.8196892901835,40.795575219683,40.3097557305373,40.8568160428175,40.6460051203316,40.4367140743676,40.4851518298128,40.5831207107422,40.6420735480287,40.6139749798587,40.5995821896569,40.5787898333935,40.5832036648778
330,40.6420456231428,40.30650203368,40.3064426778404,40.3063618685235,0,1,0,2,40.5775217247552,40.5322679137687,40.463859152636,40.4107811089557,40.3546620525029,40.5176258677361,40.6909938512,40.6464541995013,40.7540532851903,40.7057937282083,40.3081698789218,40.8068446605006,40.8792270023913,40.3744357172473,40.5043310319459,40.6018444656643,40.5708825685091,40.5549927559781,40.5785287695572,40.564230864457,40.6003239249748
360,40.5481061746767,40.3063297288016,40.3063912602479,40.3063396506588,0,1,0,2,40.5381599083683,40.4991175583153,40.414737245599,40.3680120070076,40.3696116426062,40.4864203565057,40.5933682308006,40.5856536132319,40.6878503438337,40.6639875499494,40.3080003384524,40.7022388614134,40.7770667283075,40.3343264990743,40.4365412768234,40.4913254856615,40.4793417791302,40.5205649871252,40.5576340957083,40.4828230571037,40.5515559799167
390,40.478692634398,40.3064824444306,40.3064488474115,40.3064578988424,0,1,0,2,40.4865596667976,40.4392370176998,40.365899926339,40.3604395874005,40.3568739584019,40.4588670175123,40.5259051124147,40.5258688043905,40.5961042403507,40.6267218080729,40.3076270981583,40.634508685956,40.6085651625769,40.333867085547,40.3574356384465,40.4607826344682,40.4457509565096,40.468476688129,40.519044389619,40.4391857820531,40.5017225626835
420,40.4537293656015,40.3064461780854,40.3064292318275,40.3064844188289,0,1,0,2,40.4078186449453,40.3671583747096,40.3592382053274,40.3598342225793,40.3516916554479,40.4187732267033,40.4904606040062,40.4877089818983,40.5467549451449,40.5936993725636,40.307532541385,40.5589371486236,40.4886182818893,40.3284486113564,40.3445601020532,40.3613079088531,40.4132260782239,40.4347963615793,40.4839573851746,40.4019066515703,40.4556614241409
450,40.4331582517149,40.3064221263698,40.30643010892,40.3064632833858,0,1,0,2,40.3555049794771,40.3550267370286,40.3629964021193,40.3480358677129,40.3320037014749,40.3905846074411,40.4580042936652,40.4575017804193,40.5083490479117,40.5666718902865,40.3074580123498,40.4839508804053,40.4185427496497,40.3235536241931,40.3331558736636,40.3414033339223,40.3639040260815,40.3840240441849,40.4531180801501,40.3822231803895,40.3652535308884
480,40.4149074186964,40.3064206919695,40.3064321353186,40.3064464178475,0,1,0,2,40.361577641491,40.3682185658077,40.3638467692813,40.3393164697694,40.3224802397116,40.3691322008397,40.4125096100628,40.435379170791,40.4827166234231,40.5433393195433,40.3074865794379,40.4416592629259,40.3892366472507,40.3275840188316,40.3305662718,40.3376634482485,40.3483181917601,40.3627533003858,40.3913398870563,40.3843927864106,40.3562412755666
510,40.3954398268563,40.3064306783233,40.3064368014485,40.3064498019653,0,1,0,2,40.3740232927791,40.3634885514164,40.3481809474201,40.3346629276679,40.3180703217154,40.3341563430749,40.3991200969794,40.4273521631696,40.4719233798202,40.4685346747994,40.307503766699,40.4288952377331,40.3790754165248,40.3357273868456,40.3416939671682,40.3435287665473,40.3500678722615,40.3592488510265,40.3773880838972,40.3624261796884,40.3766498744392
540,40.3703853983582,40.3064360071144,40.3064387303005,40.3064444997864,0,1,0,2,40.3477082768538,40.3380467752872,40.3343726096669,40.3289049930299,40.3145993407278,40.316379698077,40.3748546679955,40.4040551504697,40.4367109757953,40.4143055421676,40.307259519131,40.4092800860714,40.3679707296506,40.3349264779257,40.3488868577053,40.3538368700048,40.3558872222713,40.3589860291939,40.3618781547572,40.3285809778636,40.362631771397
570,40.3540992064237,40.3064679505342,40.3064443270598,40.3064610766364,0,1,0,2,40.3236039227046,40.3220742051353,40.3208847946416,40.32002429294,40.3115107472874,40.3330167336191,40.3517728470782,40.360139665968,40.3942451987346,40.3907897599955,40.3071625220899,40.3855284356048,40.3583558234025,40.3212624093745,40.3335064249408,40.342419649369,40.3454134920278,40.3447438910989,40.3474014139779,40.3322958381121,40.327151183229
600,40.3439193820691,40.3064554424194,40.3064307241489,40.3064352612233,0,1,0,2,40.3191949409664,40.3188511526399,40.3182252774178,40.3174062238921,40.3084105376057,40.3324620645603,40.3427791554229,40.3448462236091,40.367168146581,40.3755619469197,40.3071540460144,40.3666374292185,40.345613770414,40.3120085209273,40.3174182937023,40.3252506825532,40.3332127956636,40.3352491249279,40.3370076633905,40.3316099968457,40.3195279576512
630,40.3360620413551,40.3064365745134,40.3064326645988,40.3064388511593,0,1,0,2,40.3171704818411,40.3163284882953,40.3160425093041,40.3154919167922,40.3066496042712,40.3238994675626,40.3413321540922,40.3398514783887,40.3470298107144,40.3658423661889,40.3071281340312,40.3548249464426,40.336907776862,40.3122478429053,40.3156688134395,40.3196342349667,40.326004769094,40.3305690282996,40.3306768956553,40.3201815268472,40.318911750315
