,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,-1,-0.5517460317460317,-0.755904761904762,-0.6196825396825398,-1,-1,-0.8985873015873018,-1,-0.6250952380952381,-0.8526984126984126,-0.5390476190476191,-0.47433333333333344,-0.3804126984126984,-0.8703650793650796,-1,-1,-1,-1,-1,-1
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,-1,-0.6315555555555555,-0.4021746031746032,-0.6876666666666669,-0.8359523809523811,-0.8732698412698411,-1,-1,-1,-1,-1,-0.8698095238095238,-1,-1,-1,-0.7575555555555554,-0.5501269841269841,-1,-0.7314444444444446,-0.9363015873015872
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2,-1,-1,-1,-1,-0.6465555555555557,-0.947777777777778,-0.9204444444444446,-1,-1,-1,-1,-0.8026507936507937,-0.6280952380952382,-0.5878412698412697,-0.40398412698412706,-0.6559841269841268,-1,-0.6457301587301588,-0.567793650793651,-0.892888888888889
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
3,-1,-0.6323492063492062,-0.5806507936507936,-0.43873015873015864,-0.347015873015873,-1,-0.8411904761904763,-0.5381587301587302,-0.9024761904761903,-1,-1,-1,-1,-0.7738095238095237,-0.5393809523809524,-1,-1,-1,-1,-1
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
4,-0.7190158730158729,-0.84715873015873,-1,-1,-0.5826031746031746,-0.806904761904762,-0.5197301587301586,-1,-0.734047619047619,-1,-1,-0.8351904761904761,-1,-1,-1,-1,-0.6627460317460317,-0.5604761904761905,-0.442952380952381,-0.7155873015873015
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
5,-1,-1,-1,-0.4853174603174603,-0.3928412698412699,-0.6641587301587303,-0.7438730158730158,-1,-0.6396984126984128,-1,-0.8094761904761906,-1,-1,-1,-0.6602698412698413,-1,-0.5762698412698414,-0.47426984126984123,-0.7760158730158732,-0.791079365079365
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
6,-1,-0.7362222222222223,-0.9584920634920635,-0.5376984126984128,-0.4236984126984127,-1,-1,-1,-1,-0.6550634920634919,-0.9384126984126984,-1,-1,-1,-0.778920634920635,-0.9657777777777781,-1,-1,-1,-0.7953015873015872
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
7,-1,-0.7481904761904763,-1,-1,-0.9106507936507937,-0.5723174603174603,-1,-0.7027301587301586,-1,-1,-0.7164126984126984,-1,-0.8197619047619048,-1,-1,-1,-0.9153333333333332,-1,-1,-0.8874126984126985
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
8,-1,-0.6494603174603175,-0.8775555555555554,-1,-1,-0.695873015873016,-0.5458412698412698,-1,-1,-1,-0.7356984126984127,-1,-1,-0.5102063492063491,-0.40049206349206345,-1,-1,-1,-0.6786349206349207,-0.6123333333333332
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
9,-0.7091269841269842,-0.4964920634920636,-0.42066666666666663,-1,-1,-1,-1,-0.586063492063492,-0.4039841269841269,-0.8613650793650794,-0.8385873015873014,-1,-0.752047619047619,-1,-1,-0.742984126984127,-0.857904761904762,-0.9572380952380953,-1,-1
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
10,-1,-0.574031746031746,-0.9102222222222224,-0.9208412698412699,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.6731587301587302,-0.8793015873015873,-0.5540158730158731
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
12,-0.7190158730158729,-0.4977777777777778,-0.6128253968253968,-0.451952380952381,-0.7001587301587301,-1,-0.47941269841269846,-0.34474603174603174,-0.7964920634920636,-0.8103968253968253,-0.8338412698412698,-0.9447460317460317,-1,-1,-1,-1,-0.9127301587301587,-0.6581587301587302,-0.8964126984126984,-0.881936507936508
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
13,-1,-1,-0.7970476190476189,-0.7186825396825397,-0.5921587301587301,-0.9220317460317462,-1,-1,-0.7185555555555555,-0.47034920634920646,-1,-1,-1,-1,-0.8076666666666666,-1,-0.8347619047619047,-0.632015873015873,-0.5656190476190476,-0.494936507936508
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
14,-1,-1,-0.6756666666666666,-0.8963492063492062,-0.9285238095238094,-0.9418412698412699,-1,-1,-0.8737619047619046,-1,-0.8039365079365078,-1,-1,-1,-0.8505555555555558,-0.9294761904761906,-1,-1,-1,-0.9208730158730158
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
15,-0.7203015873015872,-0.8878095238095238,-1,-0.8381587301587303,-0.6924444444444444,-1,-0.6448730158730159,-0.4094603174603174,-0.7322698412698415,-0.3735238095238094,-1,-0.4591428571428571,-1,-1,-1,-1,-1,-1,-1,-1
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
16,-1,-0.731904761904762,-0.9212698412698413,-0.976492063492064,-0.5132063492063491,-0.841952380952381,-0.8377301587301588,-0.6260476190476191,-0.4751904761904761,-0.6826825396825394,-1,-0.9303015873015872,-0.9319841269841268,-1,-0.8914285714285715,-1,-1,-0.6027777777777776,-1,-0.8209841269841268
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
17,-1,-1,-1,-0.6679523809523809,-0.4528412698412698,-0.8677936507936509,-0.6723650793650794,-0.7743333333333333,-1,-0.8524285714285714,-1,-0.6987777777777779,-0.4519206349206349,-0.5172857142857142,-0.733126984126984,-1,-1,-1,-1,-1
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
18,-1,-0.7326666666666666,-0.5338095238095238,-0.41987301587301573,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.8093809523809523,-1,-1,-0.6421746031746032
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
19,-1,-1,-0.652984126984127,-0.8505238095238093,-1,-1,-1,-1,-0.5874126984126983,-1,-0.701873015873016,-0.46738095238095223,-0.3983809523809524,-1,-1,-0.7348412698412697,-1,-1,-0.7845238095238094,-0.5973015873015874
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20,-0.7426190476190475,-0.8523333333333335,-1,-0.749873015873016,-1,-1,-0.7189841269841271,-0.9140158730158732,-0.9329047619047618,-0.505095238095238,-0.33666666666666667,-0.2641746031746032,-0.2313333333333334,-0.575873015873016,-0.36415873015873024,-0.30979365079365073,-0.27026984126984127,-0.2094126984126985,-0.8068095238095238,-1
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
21,-0.8176825396825396,-1,-0.5504285714285714,-0.34952380952380957,-0.67015873015873,-1,-0.6705238095238095,-0.8498253968253968,-0.81,-0.6006031746031746,-0.6697619047619048,-0.8055555555555556,-1,-0.8750476190476191,-1,-1,-1,-1,-1,-1
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
22,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.7858095238095237,-0.8939682539682539,-1,-1,-1,-1,-1,-1,-1,-0.6246349206349207,-0.4390952380952381
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
23,-1,-0.6491587301587303,-0.5776190476190476,-0.8333174603174603,-0.46266666666666667,-0.7888095238095238,-1,-0.760952380952381,-0.5840476190476191,-1,-1,-0.7644761904761903,-1,-1,-1,-1,-1,-1,-0.8346666666666667,-0.8468253968253966
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
24,-1,-1,-1,-1,-1,-1,-1,-0.7704761904761904,-0.734015873015873,-0.9135873015873018,-0.6165238095238095,-0.45376190476190476,-1,-0.8882698412698413,-0.5081904761904763,-0.4288730158730159,-1,-1,-0.7507301587301587,-1
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
25,-1,-0.9269047619047621,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.7596349206349207,-1,-1,-1,-1,-0.8017301587301587
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
26,-1,-0.7220476190476189,-1,-1,-1,-1,-1,-1,-1,-1,-0.6297777777777778,-0.4832063492063492,-1,-1,-1,-1,-1,-1,-0.9276666666666666,-1
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
27,-1,-0.6796190476190476,-0.9344920634920637,-0.9726349206349205,-0.5154126984126985,-0.4305238095238094,-0.6941587301587304,-0.33999999999999997,-0.3072222222222222,-0.48722222222222233,-1,-0.433,-0.32469841269841276,-0.3282539682539683,-0.6825555555555557,-1,-1,-1,-0.863904761904762,-0.6238412698412698
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
28,-0.7601904761904764,-1,-1,-1,-1,-1,-0.8244444444444443,-1,-1,-0.911904761904762,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
29,-0.7413333333333334,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.803047619047619,-1,-0.7992222222222221
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
30,-1,-1,-1,-1,-0.6919523809523809,-0.555793650793651,-0.7679047619047619,-0.9074603174603175,-1,-0.767873015873016,-1,-0.7095873015873015,-1,-0.8235873015873016,-0.5175873015873016,-0.4022380952380953,-0.8054920634920635,-0.44773015873015887,-0.7686666666666666,-0.5519047619047619
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
31,-0.7185873015873014,-1,-1,-1,-1,-1,-1,-1,-0.7888095238095238,-0.8077619047619048,-1,-0.7683333333333332,-0.5822063492063494,-1,-1,-0.8802222222222222,-1,-0.7034603174603173,-1,-0.6375238095238095
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
32,-0.625,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
33,-0.8005079365079365,-1,-1,-1,-1,-0.865984126984127,-0.7644761904761906,-0.7014444444444445,-1,-0.6718730158730158,-0.7259999999999999,-0.8822380952380953,-0.872936507936508,-0.8588571428571428,-1,-1,-1,-1,-1,-1
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
34,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.8878412698412697,-1,-1,-1,-1,-1,-0.7797777777777779,-1,-1,-1,-1
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
35,-0.7091269841269842,-1,-1,-0.9397301587301587,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.8325873015873012,-1,-1,-0.8218730158730158
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
36,-1,-0.6825873015873014,-0.922095238095238,-1,-1,-1,-0.736031746031746,-0.5244126984126983,-0.7237936507936509,-1,-1,-1,-0.8471904761904764,-1,-1,-1,-1,-1,-1,-1
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
37,-0.6237460317460319,-0.8350952380952382,-0.8805873015873016,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.8856666666666668,-1,-1,-1,-1,-1,-1,-1
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
38,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
39,-1,-1,-1,-1,-1,-1,-1,-0.9110158730158728,-1,-1,-1,-1,-1,-0.7107777777777777,-0.4857777777777777,-1,-1,-1,-1,-1
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
40,-1,-0.700126984126984,-0.6209047619047618,-0.8128412698412697,-0.7957936507936509,-1,-1,-1,-1,-0.7202063492063491,-1,-1,-0.5586666666666666,-0.7418253968253968,-0.8639682539682542,-0.580126984126984,-1,-1,-0.8261587301587301,-1
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
41,-1,-1,-1,-1,-1,-1,-1,-0.9115079365079366,-0.755047619047619,-1,-0.7065238095238096,-1,-0.7318095238095237,-0.833111111111111,-0.5543809523809522,-0.43269841269841275,-0.8613333333333332,-0.58015873015873,-1,-0.6127301587301588
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
42,-1,-1,-1,-1,-1,-1,-1,-0.9166190476190478,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.9143809523809526,-1,-1
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
43,-0.7576507936507937,-0.8998730158730158,-0.5162380952380953,-0.8608095238095237,-0.9332380952380953,-1,-1,-1,-0.7275555555555555,-0.8699047619047618,-0.5796666666666668,-1,-1,-1,-1,-1,-1,-1,-1,-1
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
44,-0.7176984126984128,-0.5801904761904761,-0.7790476190476189,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
45,-1,-0.8313968253968254,-0.7568253968253968,-0.6414444444444443,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
46,-1,-1,-1,-0.8205873015873018,-1,-1,-1,-1,-1,-1,-0.871920634920635,-1,-0.830904761904762,-1,-0.6786349206349207,-0.8805873015873016,-0.926015873015873,-1,-0.6396031746031747,-0.47641269841269845
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
47,-1,-1,-1,-0.7720952380952381,-1,-1,-0.7215238095238096,-0.8831587301587303,-0.9200158730158732,-1,-0.6559206349206348,-0.7529682539682541,-0.5728095238095239,-0.4420952380952381,-0.32846031746031745,-0.27495238095238095,-0.2162380952380952,-1,-1,-1
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
48,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.9636349206349206,-1,-0.7203015873015872,-1,-1,-1,-1,-1,-1
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
