,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,-0.6550952380952381,-0.45280952380952366,-0.3143809523809523,-0.235095238095238,-0.1965238095238095,-0.1699523809523809,-0.14680952380952378,-0.12838095238095232,-0.1193809523809523,-0.11080952380952375,-0.10480952380952369,-0.10180952380952366,-0.09752380952380932,-0.09538095238095214,-0.09409523809523783,-0.0936666666666664,-0.0936666666666664,-0.0936666666666664,-0.0936666666666664,-0.0936666666666664
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,-0.6550952380952381,-0.45280952380952366,-0.3143809523809523,-0.235095238095238,-0.1965238095238095,-0.1699523809523809,-0.14680952380952378,-0.12838095238095232,-0.1193809523809523,-0.11080952380952375,-0.10480952380952369,-0.10180952380952366,-0.09752380952380932,-0.09538095238095214,-0.09409523809523783,-0.0936666666666664,-0.0936666666666664,-0.0936666666666664,-0.0936666666666664,-0.0936666666666664
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2,-0.6550952380952381,-0.45280952380952366,-0.3143809523809523,-0.235095238095238,-0.1965238095238095,-0.1699523809523809,-0.14680952380952378,-0.12838095238095232,-0.1193809523809523,-0.11080952380952375,-0.10480952380952369,-0.10180952380952366,-0.09752380952380932,-0.09538095238095214,-0.09409523809523783,-0.0936666666666664,-0.0936666666666664,-0.0936666666666664,-0.0936666666666664,-0.0936666666666664
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
3,-0.6550952380952381,-0.45280952380952366,-0.3143809523809523,-0.235095238095238,-0.1965238095238095,-0.1699523809523809,-0.14680952380952378,-0.12838095238095232,-0.1193809523809523,-0.11080952380952375,-0.10480952380952369,-0.10180952380952366,-0.09752380952380932,-0.09538095238095214,-0.09409523809523783,-0.0936666666666664,-0.0936666666666664,-0.0936666666666664,-0.0936666666666664,-0.0936666666666664
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
4,-0.6550952380952381,-0.45280952380952366,-0.3143809523809523,-0.235095238095238,-0.1965238095238095,-0.1699523809523809,-0.14680952380952378,-0.12838095238095232,-0.1193809523809523,-0.11080952380952375,-0.10480952380952369,-0.10180952380952366,-0.09752380952380932,-0.4053015873015873,-0.5445873015873015,-0.2500952380952381,-0.17852380952380947,-0.1433809523809524,-0.13180952380952382,-0.11938095238095237
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
