,0
0,24.21464
1,31.272556
2,29.137253
3,6.854064
4,6.8776646
5,7.28506
6,10.1040325
7,5.562926
8,7.3361115
9,2.3367841
10,1.68225
11,2.7589278
12,3.1651316
13,11.997805
14,4.3446894
15,1.6277472
16,2.2587767
17,2.841374
18,3.9235091
19,2.9148839
20,4.954362
21,1.5538962
22,1.3813744
23,4.626497
24,1.6862631
25,6.861717
26,6.7345953
27,1.4600435
28,2.5665932
29,4.9948997
30,2.198937
31,4.4995127
32,3.1071143
33,3.4534914
34,6.1426315
35,3.4343286
36,3.3219476
37,2.1570654
38,3.7623315
39,1.2792251
40,2.226736
41,1.6608711
42,1.5553681
43,7.6262655
44,1.8247609
45,1.8568074
46,1.9474267
47,2.10296
48,4.463105
49,1.008316
50,2.6748667
51,1.3245906
52,2.2842865
53,1.4278195
54,2.002638
55,2.2435431
56,1.1946778
57,1.7526277
58,8.60915
59,0.52348423
60,9.011141
61,4.2717714
62,2.7041202
63,1.3448056
64,0.82773614
65,0.7275497
66,19.32504
67,6.296592
68,2.1053996
69,2.3727822
70,6.861747
71,1.0651281
72,2.8526404
73,2.311989
74,2.556627
75,1.8513608
76,4.3755217
77,3.1107206
78,2.7777405
79,1.4982493
80,1.3395494
81,1.2502966
82,1.1767474
83,1.3116539
84,0.46939325
85,1.2512031
86,1.1465615
87,1.7330694
88,1.063461
89,0.9371696
90,3.6004057
91,2.1843138
92,1.0974364
93,4.276944
94,3.1612523
95,2.6476994
96,2.3667831
97,0.71974725
98,1.340163
99,1.9292258
100,3.639164
101,0.72017676
102,1.2530261
103,1.2721915
104,3.9199796
105,0.620199
106,2.6101303
107,0.48765898
108,2.0638676
109,0.589824
110,1.4120963
111,2.4613557
112,0.54061496
113,1.0798261
114,0.59606993
115,0.37795866
116,0.52413094
117,0.4567609
118,0.32953575
119,0.50407153
120,1.0206515
121,0.6908413
122,0.3992823
123,0.9003073
124,1.9046626
125,5.072194
126,3.9456832
127,0.608216
128,2.158711
129,0.9748787
130,0.668586
131,1.025418
132,1.1244415
133,1.3708932
134,2.3149452
135,0.8604492
136,2.7077186
137,1.4892623
138,3.5738938
139,4.3445888
140,1.6548411
141,1.418407
142,1.369507
143,1.719531
144,1.6705859
145,0.4324196
146,0.93728334
147,1.050111
148,1.1178415
149,2.979328
150,1.398166
151,1.447118
152,1.3201513
153,0.82458067
