"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","点10RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点14RH Monitor: Sum of RH","点15RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点19RH Monitor: Sum of RH","点1RH Monitor: Sum of RH","点20RH Monitor: Sum of RH","点21RH Monitor: Sum of RH","点2RH Monitor: Sum of RH","点3RH Monitor: Sum of RH","点4RH Monitor: Sum of RH","点5RH Monitor: Sum of RH","点6RH Monitor: Sum of RH","点7RH Monitor: Sum of RH","点8RH Monitor: Sum of RH","点9RH Monitor: Sum of RH"
30,49.9690826629987,50.4754245549691,50.475424554968,50.4754245549682,0,0,0,0,49.9690826629984,49.9690826629983,49.9690826629982,49.969082666521,50.0226872560013,50.1922818352633,49.9690826665147,49.9690826629964,49.9690826629956,49.9690826629962,50.1922761168418,49.9690826629969,49.9690826629976,49.9690826664523,49.9690826629989,49.9690826629988,49.9690826629986,49.9690826629985,49.9690826629985,49.9690826629989,49.9690826629985
60,49.4040030055298,40.3064494523322,40.3064388591972,40.3064175940073,0,3,3,1,47.2287977872609,48.9090394831425,49.6848898293523,49.8936444922814,40.3792893504181,40.3024050164368,42.5677312930453,44.1069609381921,47.0252827767828,48.48922798553,40.3024349709292,46.9884279576189,46.0015995492524,42.6833761510118,46.2624424465184,48.2470606313558,49.3734823150295,49.71915957072,49.9666804644188,45.320457926311,44.2612606048756
90,49.4340853534391,40.3065545354167,40.3064441725169,40.3071203922944,0,0,2,3,47.0324982277929,46.3438414960375,43.8486492115483,41.0020808644293,41.7632667821493,40.3220279971843,41.1086340619427,42.0003361228081,43.0971490271851,46.8847491014611,43.2532014526494,46.5747228586658,47.5601458029102,46.206568709522,48.0405953749391,48.3232592104571,47.6339881688155,46.4250765072268,48.9556078440799,44.1435770189038,46.3205385700498
120,46.0918451110543,40.3068740359421,40.3065128986007,40.3060895856125,0,3,2,2,43.3923483865255,42.4529266106996,41.6504127060153,41.5162494366482,42.02309439121,40.3246677500069,41.4370441343872,41.38766376617,41.775170813907,45.9400413912976,40.2953903013542,46.0555189681116,45.0724182431954,41.349605726966,42.6812612601558,44.3646823592535,45.9846590598534,46.2304830161085,48.3697796121329,41.7486715531609,44.4324900363132
150,42.3334144346832,40.3065493506059,40.3064903759147,40.3066911962382,0,1,1,3,41.7764042358818,41.7322602256365,41.7308644477779,41.6220352399567,41.0317877027738,40.3140635302564,41.8646670074843,41.8420443537852,42.5402318496614,45.4693291170349,40.3040045417738,45.6488554808886,44.5005659731388,41.6070436637511,42.3412019519343,42.3792091592788,42.6280731967539,42.8080941985345,45.6052282172267,42.0621600022145,41.9305898829676
180,41.2236446915671,40.3063003232851,40.3064562668901,40.3064166915744,0,2,3,0,42.6336839587314,42.7860209902023,42.9509467433204,42.9325438720696,43.16864602579,40.3184557076432,40.7048161503634,40.7512916560417,40.9920118488497,42.9176291994522,40.3256761682601,44.8434153126779,44.3011730482626,40.4381464497351,40.553108824462,40.7803908869463,41.6313516712241,41.7620182865259,43.3378061218618,42.6228073633064,42.5771224089283
210,40.9836072288523,40.3066764166411,40.3063802291782,40.3068386649358,0,2,1,3,41.9128760905517,41.8460621620074,41.9324186353366,41.6230471393491,40.304292465732,40.3361011194113,41.6803897889608,42.0164700252489,42.2478588151603,42.5115406867593,40.3126883115952,42.5588712767774,42.8710806461079,40.5626913601436,40.5647585633977,40.5774017260409,40.771445551848,40.9116434520708,41.1114459926376,42.2759927850955,42.0397854766782
240,41.2115285880684,40.3064612505562,40.3064384310273,40.3052927896829,0,2,1,3,41.3937548137886,41.632851595372,41.7945211870189,41.1365914118317,40.5239524933349,40.3051230602331,41.0009234371796,41.2787190617852,41.745378377446,42.1473557145279,40.3158172510799,41.7158646397104,42.1236093097688,40.5538924672693,40.6584945128646,40.6799902874468,40.6810579934329,40.7038689371098,40.7839896727377,41.1232262040768,41.2999960233485
270,41.1710140402032,40.3064770999481,40.3064336635347,40.3065494984548,0,1,0,1,41.5793957113801,41.5847653153791,41.6050707141467,40.620539922504,40.4919866414798,40.7572960782378,41.5630591711239,41.5263654111188,41.4678473459526,41.5070680754009,40.3173042036653,41.2358429038927,41.2041579391765,40.7159505140926,40.8148007397245,40.8710435521992,40.917204749078,40.9369496912819,40.903322673063,41.370792002843,41.5695122322449
300,41.1859538301791,40.3064332168307,40.3064408488349,40.3065531181464,0,1,1,3,40.9814065847447,40.8460859247275,40.5309931037212,40.4501065553164,40.3272286812778,40.3077627474095,40.8923886342024,41.0547434724764,41.3494031399223,41.1107276679942,40.3097959394337,41.0423549139366,41.0864388463461,40.4662918934679,40.5322440728673,40.6009026913485,40.7318776648008,40.8327879289483,40.8635865567794,41.1828167858376,41.0768712065224
330,41.0710970398509,40.3065043056928,40.3064446222116,40.3059303118826,0,1,0,1,40.7264068378417,40.6775791167764,40.6609463352911,40.6803836343638,40.5425489496903,40.4903370149966,40.9083328782096,41.0085518068152,41.0435716151265,41.0503010381103,40.3110770376817,40.9999302867115,41.0218148584104,40.4186851427221,40.4515014166225,40.4810394431401,40.5410878021074,40.6530281199922,40.7024331320548,40.8482699828568,40.7982561281914
360,40.9601320010651,40.3064633413302,40.3064444405657,40.3065889211805,0,1,0,1,40.7365326425761,40.7358834956869,40.7432492665868,40.4163032752001,40.484607519413,40.729575727056,40.8083529038013,41.0054992088715,40.9794111409884,40.8945947214893,40.3090547387768,40.7403203929307,40.958446002056,40.4769120620293,40.5267594445876,40.5284548760049,40.5362923236119,40.596257209277,40.6255115701794,40.7711830415969,40.7596790729215
