,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
3,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
4,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
6,-1,-0.7734126984126986,-1,-1,-1,-0.7022698412698412,-0.4914126984126985,-0.37484126984126986,-0.29084126984126984,-0.22869841269841268,-0.2021269841269841,-0.1742698412698412,-0.1464126984126984,-0.13055555555555554,-0.11812698412698405,-0.09290476190476187,-0.08776190476190474,-0.08476190476190479,-0.10269841269841273,-0.07576190476190472
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
7,-0.7053333333333333,-0.5544761904761905,-0.460984126984127,-0.3350476190476189,-0.3003333333333333,-0.2686190476190476,-0.21719047619047624,-0.16661904761904758,-0.1443333333333333,-0.13661904761904758,-0.1451269841269841,-0.12076190476190476,-0.11133333333333334,-0.10276190476190475,-0.0976190476190476,-0.7983015873015872,-1,-1,-1,-1
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
8,-1,-1,-1,-0.6281269841269843,-0.5154126984126985,-0.40612698412698406,-1,-0.5244126984126984,-0.36412698412698413,-0.2976984126984127,-0.256984126984127,-0.20684126984126983,-0.18069841269841266,-0.15969841269841267,-0.1446984126984127,-0.12884126984126984,-0.11598412698412694,-0.10655555555555561,-0.08219047619047624,-0.09926984126984126
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
9,-0.6859841269841269,-0.5046984126984128,-0.36969841269841275,-0.3041269841269841,-0.2509841269841269,-0.205984126984127,-0.16447619047619047,-1,-0.8634126984126985,-0.8874126984126985,-0.9135555555555556,-0.9199841269841272,-1,-1,-1,-1,-1,-1,-1,-1
