"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","点10RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点14RH Monitor: Sum of RH","点15RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点19RH Monitor: Sum of RH","点1RH Monitor: Sum of RH","点20RH Monitor: Sum of RH","点21RH Monitor: Sum of RH","点2RH Monitor: Sum of RH","点3RH Monitor: Sum of RH","点4RH Monitor: Sum of RH","点5RH Monitor: Sum of RH","点6RH Monitor: Sum of RH","点7RH Monitor: Sum of RH","点8RH Monitor: Sum of RH","点9RH Monitor: Sum of RH"
30,49.9690826629987,50.4754245549691,50.475424554968,50.4754245549682,0,0,0,0,49.9690826629984,49.9690826629983,49.9690826629982,49.969082666521,50.0226872560013,50.1922818352633,49.9690826665147,49.9690826629964,49.9690826629956,49.9690826629962,50.1922761168418,49.9690826629969,49.9690826629976,49.9690826664523,49.9690826629989,49.9690826629988,49.9690826629986,49.9690826629985,49.9690826629985,49.9690826629989,49.9690826629985
60,49.7294825157585,40.3064525514338,40.3064389238205,40.3064407196202,0,3,3,3,48.4259384022267,49.7752454569606,49.9609549496364,47.6469521288854,40.3233341039465,40.3023677529637,42.7824993642444,44.274338647197,47.4025164620813,45.0246069556207,40.3024226874918,43.3656848022039,44.6105583322675,42.9527175210618,47.2253406161711,49.0990042194391,49.7927167411105,49.9218375900536,49.9689570936665,44.8990958355348,44.3685223054105
90,45.7598056428299,40.3063836297727,40.3063890861735,40.3063514548874,0,3,3,3,47.1277561468536,45.6564686023756,42.4961271303649,41.0695808182806,40.4932903127898,40.3349009915904,41.0017093996178,41.4707816253052,42.3432405232021,44.7274498241103,40.3196077260474,44.760620192404,46.018876039233,40.5220107226663,40.9045221794208,42.1429224816681,44.5806503670294,46.1972663997474,49.5411051295085,44.7122688102577,43.8176360100242
120,42.0425410651824,40.3064429695315,40.3064943435031,40.3064793971615,0,3,1,2,42.607799647015,41.9967156476457,41.5654665331803,41.5298576575745,41.6868456961491,40.3114677196474,42.176161930347,42.0032606536061,42.0282437732869,44.288266590908,40.3151356256434,44.2676122582335,45.4012933923707,40.561428126423,40.7624927570163,40.8634151853194,41.0684373575787,41.4263075392277,45.2158307704813,44.6368274966705,43.25033673254
150,41.8291785957123,40.3066463153458,40.3064538791867,40.306769548823,0,2,1,3,41.6299281720126,41.6287069253055,41.6393689702767,41.5354877595285,40.7555584364603,40.3078230098485,41.535223317454,41.8202041777698,42.2128176062807,43.449678359402,40.3166560045258,43.1637976739846,43.3811986951737,40.9871719395453,41.0891134873664,41.1624839475014,41.2552384137537,41.258836312085,41.5269287450108,43.175639163649,41.7015023557818
180,41.3807785038131,40.3065676741598,40.306429929341,40.3062467231291,0,2,1,3,41.1829549009088,41.207336416062,41.2119046787091,40.9439852616471,40.8399245760495,40.3040874663652,41.1797865148541,41.7648990540541,42.4288060784556,42.6859590850375,40.3208666653167,42.0216622076341,42.3484179920375,40.6502538927177,40.7711422140318,40.8363652962099,40.9679149209673,41.0810005280213,41.0984126158484,41.186432277236,41.2094563957949
210,41.1747692647841,40.3063772843351,40.3065036700743,40.306471752018,0,1,2,3,40.9103194326193,40.91444734086,40.7484958147918,40.5608614180075,40.5734174621209,40.310701991878,40.7663591520196,40.8359885162626,41.9582738283514,42.3737300183203,40.310784026332,41.8012810636253,42.3991116869958,40.5580419097976,40.6746829762031,40.8820126927899,41.1278545729588,41.1560957655684,41.001804222105,40.7346691289774,40.9931209122147
240,41.0404348382473,40.3065229045151,40.3065065874773,40.3067357272821,0,1,2,3,40.6348604423624,40.5480419087559,40.4747292672628,40.4674499727523,40.4843268879028,40.3099746681956,40.6624251835391,40.6927327862307,40.9929311736855,41.5002908937979,40.3076748588917,41.6817429929611,42.2414172759498,40.5108130599761,40.6289920011283,40.727180726856,40.8484097526987,40.8933937806905,40.8867592911138,40.7250683135945,40.7226205287912
270,40.9357507833357,40.3065403035604,40.3064213516473,40.3065967035111,0,2,0,2,40.5220840005845,40.5004749831063,40.4677028529787,40.4625084932701,40.4368111651498,40.7300143759105,40.9423532557236,41.0494682521435,41.1166293950442,41.3694271531061,40.3125184885687,41.4473003501693,41.6402628725141,40.4448705712851,40.5204671452567,40.5724616934023,40.6604555225411,40.7387616446987,40.8538704755691,40.654135126815,40.5813430545415
300,40.7561045188518,40.3063792234079,40.3064416879919,40.3065222925568,0,2,0,2,40.5741203167677,40.5795324790424,40.565405372579,40.5110259691722,40.3401269459134,40.543806359528,40.8859221584069,41.0179672693905,40.9878652261979,41.1557526984888,40.3072830088216,40.9509463153544,41.1363936998918,40.3862522586505,40.4457665375576,40.4755314760415,40.4991905880251,40.5430783680826,40.5573626982351,40.5811017953059,40.5796682496025
330,40.6915837290726,40.3065724165539,40.3064516634297,40.3064168809333,0,2,0,2,40.5289293582658,40.4966079164175,40.481075690435,40.4335307128956,40.3349311631505,40.4346125775284,40.8360072636144,40.8971823803833,40.8456024264005,40.8083139983913,40.3114642600326,40.7477067312568,40.9557635880871,40.3941614436317,40.4132772095122,40.4660637995005,40.5383575256724,40.5798333704955,40.4841080791796,40.4534842382482,40.5376529787194
360,40.5865722791627,40.3065424629838,40.3064195883568,40.3063896780817,0,2,0,2,40.4202028336533,40.418383572218,40.4032470042075,40.3815301539306,40.3341187506427,40.4610148069028,40.7316684322425,40.7731318263875,40.7071243071294,40.657706584015,40.3089271620634,40.6433998487857,40.7339969762097,40.3789201525749,40.4131513151382,40.4199233665651,40.4507905541907,40.4759476230779,40.4286432223237,40.4104722464519,40.4533246931968
