"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","点10RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点14RH Monitor: Sum of RH","点15RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点19RH Monitor: Sum of RH","点1RH Monitor: Sum of RH","点20RH Monitor: Sum of RH","点21RH Monitor: Sum of RH","点2RH Monitor: Sum of RH","点3RH Monitor: Sum of RH","点4RH Monitor: Sum of RH","点5RH Monitor: Sum of RH","点6RH Monitor: Sum of RH","点7RH Monitor: Sum of RH","点8RH Monitor: Sum of RH","点9RH Monitor: Sum of RH"
30,49.9690826629987,50.4754245549691,50.475424554968,50.4754245549682,0,0,0,0,49.9690826629984,49.9690826629983,49.9690826629982,49.969082666521,50.0226872560013,50.1922818352633,49.9690826665147,49.9690826629964,49.9690826629956,49.9690826629962,50.1922761168418,49.9690826629969,49.9690826629976,49.9690826664523,49.9690826629989,49.9690826629988,49.9690826629986,49.9690826629985,49.9690826629985,49.9690826629989,49.9690826629985
60,49.9900687832705,50.4754708022338,50.4754247595916,50.4754244994089,0,3,0,0,50.0719101644465,49.9926266779572,49.9720280229724,49.96997584874,49.9826691969997,50.1812731649114,50.1388072056901,50.0883115759114,50.0227646376297,49.9693039426674,50.4630484537438,49.969487278058,49.9892155418052,50.3357513595665,50.1383925383229,50.0377480688353,49.9888052643257,49.9761853549788,49.9691305830768,50.2215255194052,50.2550578462296
90,49.9983837044852,40.3056540490836,40.3064501994547,40.3064017005309,0,0,2,0,50.0646489712947,50.0059559646819,49.9786800081211,49.9712099396308,49.7696248208554,40.3120107095958,42.528156321393,44.5909402238969,47.8197479278026,49.9694131231721,48.0660728410986,49.9697712120222,49.9834616974799,50.2447761014094,50.1236664723521,50.0340067553982,49.985505283575,49.9747419505035,49.9696340594112,45.1834489126049,49.8512621533306
120,49.9941665682778,50.4768546696149,50.4758479837307,50.4765106445365,0,1,3,2,50.0406474718706,50.0765779914381,50.1557184620334,50.3180627887294,50.4555901808837,50.4616917181652,49.8327169524305,49.447880857464,49.0871813057752,49.4242487170346,50.4381235606743,49.817955966608,49.9684540224506,50.2900716290614,50.090958383519,50.0459059711993,50.0873285874573,50.1512304352011,50.091564244898,49.6518661073966,50.0545782592554
150,47.5878230151831,40.307167926562,40.306403332746,40.3063375920554,0,3,2,1,48.8928719364146,48.2352279760494,46.5040001247393,44.5961433251117,45.3240165419076,40.3753191252521,42.2661048586953,43.1601974014728,44.5877827861829,46.0623162611496,40.3245975648276,47.2687567079174,49.9191133007811,41.2247063558796,42.8102203894955,44.7359378437367,47.7447122043565,48.7880425616725,49.6578285927634,44.7336461440406,49.4043534897132
180,48.2272937641808,60.7191937773378,60.7212924107496,60.7209612357732,0,2,2,1,50.0826329952611,50.4580801738092,51.9418855535108,54.8283463746452,58.1948925529462,60.6391884603325,56.6149904080034,55.5408765204075,53.4160484430597,51.6725496256879,60.5526915427429,48.9087189131494,49.5285917890364,57.4074609824193,56.4824646364471,55.3464329807842,53.7132791889044,52.4485721117462,49.218927444205,47.2813158934905,49.9626693673793
210,49.2281229241676,50.4754501300482,50.4754671938072,50.4752572652148,0,2,3,0,51.4052042426409,51.6614228204608,51.8983071820232,51.8422493903024,51.1478302821141,50.5208069673466,50.5825408700446,50.7005191916244,50.719155779134,50.7479203334559,50.4855076452273,50.5875385384382,50.4839130623276,50.9049588383149,51.4177857836172,51.8318972307253,51.8927673150071,51.4411240718201,49.4819663647227,48.3699444529884,51.0695529305562
240,51.8789060072324,60.7217532708387,60.7210163189987,60.7214090273993,0,3,0,1,52.8936527197269,53.1238389253091,53.254843914599,53.0133575292079,60.6712076850494,51.9552252197907,51.0825262392493,51.2659849867988,52.9466285650554,53.6170508061971,60.6260438160575,54.8660673215821,51.3781894374873,58.7277233841599,58.4932729601426,58.2485864096208,57.8427817583058,57.381866004977,56.1828783207974,50.6183213436644,52.6334877484024
270,52.5904241331623,50.4751075083699,50.4754560235162,50.4752560030008,0,0,0,3,52.0851629260529,51.7845399242951,51.3526237406082,50.9920588945028,50.6701712009188,50.832728588917,51.7522554067377,52.3828536521571,53.3276807356169,53.1761079370218,52.199069998847,53.4122900665956,52.1129684151929,53.0346906990994,53.679458020755,54.0837087411804,54.5895766958732,54.632456027924,55.2246177993037,51.2586727737198,52.3143231279193
300,51.6324698083195,50.4750836536888,50.4755084537428,50.4740326209652,0,3,3,1,51.7744173914624,51.7308711049328,51.9938134853096,52.1048352217663,51.7934689870006,50.5101309006209,51.0167451747069,51.0915447712117,52.6643471669,52.6303084928957,50.4601259789597,52.6419768959757,52.9032637220227,51.0039688817553,51.2311478275713,51.652545407567,52.102848601712,52.3466002748971,53.0337861695125,50.905505927192,51.8543394342889
330,48.9790555650714,40.3062970465775,40.3062621305099,40.3069131896139,0,1,0,1,51.1676442904804,50.8763519173608,50.8286956010816,48.4216708182193,40.3766575999042,50.1092995308717,51.2615958306552,51.3840395398009,51.6093725716469,50.5774122081733,40.4021975607091,49.5445417113314,48.7899695570396,47.4208054789341,48.1875611457825,48.8730788258733,49.2915745986175,49.6975636471654,50.3365678560692,51.505189541076,51.5333221686719
360,48.6669175108954,50.4751262573582,50.4754462725539,50.4749819578597,0,1,0,1,50.2899003070001,50.3140701660287,49.9784184902439,49.7762685929788,50.4526100951942,50.9849162437463,51.3548786918888,51.3123247481999,51.1075074520764,49.7710269133253,50.4455645384811,49.4615065812997,50.1358458213401,49.0375027029443,49.5899064742855,49.8478340244925,49.7181640975326,49.1870465897997,49.4384315052908,51.2854942437167,50.5639242961042
390,49.6583633040825,60.7200844466762,60.7209383376566,60.7200881972478,0,0,3,2,56.2688848782762,57.0794642980408,57.9624711907608,58.6827812861653,58.6184886409192,60.7785422945448,57.955759386463,56.9386829394387,54.6540179595249,50.2465584290736,52.1212074117288,50.3709799547332,50.3442487759705,51.6243238862861,51.5074073503581,51.2180645341276,50.7737942046377,50.2279925569267,49.6652751886208,52.9980289160195,55.3941107859112
420,50.7391631179834,50.4769565465596,50.4757716093084,50.4768905188729,0,0,3,3,51.422720292243,51.2384161067645,50.9543372973257,50.7430035740917,50.3233265170029,50.4732947701417,51.7246329012412,52.1400621502695,52.4669493841527,52.3016338048571,51.284787262008,52.0526528078632,50.6967569594643,51.909687840315,51.6244224761243,51.4055378314497,51.156234525391,50.8945015946336,50.4228459451334,51.7926980344319,51.5855335922317
450,51.4802925248795,60.7212962933884,60.7208559877094,60.7209107246427,0,1,0,0,51.5768384358974,51.5898375108282,51.2087881909975,50.9391271420014,50.9736122093243,53.1078572394292,52.0895304947876,52.0689539700834,52.0134669123708,51.7727342492437,60.6853034681138,51.5880678580466,51.037721242733,55.8555966243938,52.5991847869628,51.520945921031,51.0026004953827,50.4750195768684,50.7323017121059,51.5707711397834,51.7118439403678
480,51.620838279197,50.4753964404637,50.4755250948522,50.4757343662314,0,0,0,3,51.6470313927372,51.507547789071,51.2084512705021,50.7138895621317,50.4738858443397,50.8873157984009,52.4264377081869,52.4088180681527,52.331723729864,51.136245564158,55.1405677123187,50.9047330360483,50.5531798990688,53.1006531496409,51.6998483687727,51.1880084344967,50.6600956219003,50.4427785937222,50.6973889722096,51.8498836005519,51.7695391720091
510,50.8822881014974,40.3065879266915,40.3066100805163,40.3059089057789,0,3,1,0,51.2061510186515,51.3935208817783,51.4886183658149,51.0329803557642,50.1839603129182,40.2895233798232,48.4182349456515,49.3913774907711,50.0821722882851,51.486640520904,40.2851232639818,50.9654987326441,50.3675582892252,44.0099749790524,47.8948454477503,49.5168144547644,50.5749920803893,50.5611525434716,50.6663437187864,45.1358888654094,50.1568475978525
540,49.953896645117,50.474513567212,50.4752992533588,50.4756094149268,0,3,0,0,51.1660946078089,51.0833707080896,50.64561368244,50.0182041363036,50.3851991927411,47.9108709830517,48.4004040475016,48.3418984379144,49.9098610970775,51.1740106597107,50.4665502757999,50.7869972231777,50.4283650689144,49.8797038698963,49.7006631045177,49.4865522917262,49.3866372570824,49.8381696670035,50.2793792226147,48.123698739722,50.8672787181095
570,55.3231250621858,60.7214171851362,60.7212325372059,60.7209044571473,0,3,2,0,51.1012494825434,51.1530994556598,51.3458755565571,51.8633100596985,52.8858609104281,60.6985778802503,55.5570730374367,51.8102813601072,51.2098369611495,51.7465036023969,60.6278273141841,52.8405372697731,52.1050171131208,59.1284981693112,58.4694069374892,57.9568743399771,57.1758643706162,56.4741496326022,53.6526347981623,49.8967441224593,51.1456875412959
600,47.5992252609023,40.3073624437151,40.3065687881976,40.307283059289,0,3,2,2,50.1808103893625,50.1736579092543,50.0887200280691,49.9532290489949,40.3317646628102,40.3985902903704,42.5398588629113,46.4249084338818,49.8169284501403,49.6320272816792,40.3828485518676,47.6730062306316,44.0064101248534,42.7789681223434,44.1150112641822,45.0438252284197,45.5524804583422,46.0607660375694,46.8542330409759,48.9042974401898,50.2648669285872
630,53.5141014736898,60.7212462085919,60.7212382558598,60.7206727519181,0,2,2,3,52.2496449649538,53.7077627027224,56.3176034275114,57.4120423293028,59.4868960384177,60.5933860280318,57.2692264816933,56.4393866360869,51.5795750389729,52.1190694378551,60.6053020823884,52.2072487220383,50.8944586191446,57.144378865537,55.9303642875176,55.0200666093703,54.1650859645194,53.5101533090398,52.676093298201,49.6268716573546,51.140683224644
