,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.9495555555555556,-1,-1,-0.743904761904762,-0.851968253968254,-0.6234126984126984,-0.8193333333333334,-0.8531904761904762,-0.879,-0.6431587301587303,-0.50515873015873
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,-0.7601904761904764,-0.8775238095238095,-0.5492063492063493,-0.4331587301587303,-0.5973650793650793,-0.7211269841269842,-0.48709523809523814,-0.45085714285714285,-0.3696666666666666,-0.6093015873015872,-0.35815873015873023,-0.2531587301587302,-0.7120952380952382,-0.7635555555555558,-0.5935714285714285,-0.449015873015873,-0.7872222222222223,-0.5085873015873016,-0.6402222222222225,-0.7768412698412699
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2,-1,-1,-0.9131904761904763,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.9134603174603175,-0.6280952380952382,-1,-1,-0.6324444444444444,-0.9204126984126981
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
3,-1,-1,-1,-1,-1,-1,-0.731904761904762,-0.9246984126984128,-1,-1,-1,-1,-0.7575873015873016,-1,-1,-1,-1,-0.6503809523809525,-1,-1
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
4,-1,-1,-0.7686984126984127,-0.6174126984126986,-0.4498730158730158,-0.3513015873015872,-1,-0.9131904761904763,-0.8840476190476189,-1,-1,-1,-1,-0.5244444444444444,-0.3431587301587302,-1,-1,-1,-0.7219206349206349,-0.580952380952381
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
5,-1,-1,-1,-0.6636984126984128,-0.8694761904761907,-1,-1,-1,-1,-0.7514603174603174,-0.6479365079365078,-0.9126666666666667,-0.4853492063492064,-0.3975873015873015,-0.7639206349206349,-1,-1,-1,-0.8861904761904764,-1
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
6,-1,-1,-0.64184126984127,-0.8536190476190477,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.8055873015873015,-0.5698412698412697,-0.7443333333333335,-1,-0.7434444444444445,-0.5557301587301586,-1
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
7,-1,-0.7481904761904763,-1,-1,-1,-1,-1,-1,-0.805984126984127,-1,-0.6700952380952381,-1,-0.74084126984127,-1,-0.5110952380952382,-0.8830634920634921,-1,-1,-1,-1
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
8,-0.7855079365079367,-0.8775873015873017,-0.514984126984127,-0.6295396825396824,-1,-0.8964761904761904,-0.49392063492063487,-1,-1,-1,-1,-1,-0.8728095238095239,-0.5183492063492063,-1,-1,-1,-1,-1,-1
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
9,-0.8176825396825396,-1,-1,-1,-1,-0.9183015873015873,-1,-1,-0.7476666666666668,-0.5673015873015872,-0.7645396825396824,-0.9233809523809523,-0.5544444444444445,-0.4477301587301587,-0.4345079365079366,-1,-0.5758095238095238,-1,-1,-1
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
10,-0.7091269841269842,-0.8938412698412698,-0.5650952380952381,-1,-0.595095238095238,-0.9241428571428573,-0.5995079365079364,-1,-1,-0.8737619047619046,-0.8545396825396828,-1,-1,-0.6374603174603175,-1,-1,-1,-1,-1,-0.6753015873015873
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
11,-1,-1,-1,-0.6084444444444446,-1,-1,-1,-1,-1,-1,-1,-0.9268730158730158,-1,-1,-1,-1,-0.7751269841269842,-0.5063174603174603,-1,-1
