"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","点10RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点14RH Monitor: Sum of RH","点15RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点19RH Monitor: Sum of RH","点1RH Monitor: Sum of RH","点20RH Monitor: Sum of RH","点21RH Monitor: Sum of RH","点2RH Monitor: Sum of RH","点3RH Monitor: Sum of RH","点4RH Monitor: Sum of RH","点5RH Monitor: Sum of RH","点6RH Monitor: Sum of RH","点7RH Monitor: Sum of RH","点8RH Monitor: Sum of RH","点9RH Monitor: Sum of RH"
30,49.9690826629987,50.4754245549691,50.475424554968,50.4754245549682,0,0,0,0,49.9690826629984,49.9690826629983,49.9690826629982,49.969082666521,50.0226872560013,50.1922818352633,49.9690826665147,49.9690826629964,49.9690826629956,49.9690826629962,50.1922761168418,49.9690826629969,49.9690826629976,49.9690826664523,49.9690826629989,49.9690826629988,49.9690826629986,49.9690826629985,49.9690826629985,49.9690826629989,49.9690826629985
60,49.9754067281365,50.475474695574,50.4754248378665,50.4754533907041,0,3,0,2,49.989347918871,49.9690890579832,49.9691231163366,50.0772872170981,50.4696693236077,50.1860629783915,50.1672897574337,50.1132540255245,50.0155836146731,50.1727358351914,50.4630454835517,50.266437413331,50.1867674072965,50.3200573591242,50.0816955465405,49.9949085986713,49.9723604465248,49.9696864612547,49.9690949532269,50.2399211058095,50.2419071664039
90,50.1829940186999,50.4742699034647,50.4754233678638,50.4748775212523,0,3,0,2,50.0274623210446,50.1209203668709,50.3185313554407,50.4137492173138,50.2832008728853,50.1089748363537,50.2010507065074,50.1837437586803,50.136271894451,50.2203570004775,50.4780739343336,50.2124239488915,50.0996315547006,50.459019998511,50.4353704654139,50.3602456040285,50.2396369756585,50.1633424154246,49.9906087736132,50.1804449815231,50.246768598611
120,50.3681635902336,50.4754130032168,50.4754251640717,50.4754776392373,0,3,0,2,50.3392807771182,50.3781713296201,50.4041779027308,50.4086484634801,50.4132271721335,50.2834530491818,50.2421904956052,50.2225845150767,50.1844329816554,50.2350245835808,50.4782828312432,50.239923622098,50.1518357331304,50.4561842850371,50.4413225485301,50.434821624376,50.4227467222534,50.4033282652138,50.1916543287153,50.2044875512349,50.3130041582354
150,50.3776326949429,50.4760805713124,50.475423656413,50.4756659604756,0,3,0,2,50.3676601897552,50.3683644747549,50.3660389446445,50.3790984900845,50.4514394370632,50.2947051406255,50.3256949255428,50.2621785959215,50.2229205930248,50.321035747835,50.4800105357381,50.337427869089,50.3108295931864,50.4359399927593,50.4274143793712,50.4256433614952,50.422532252486,50.4207235191364,50.4089328396801,50.2987658234992,50.3672609265078
180,50.3947182789969,50.4754981625714,50.4754258001397,50.4753227150188,0,3,0,2,50.3761079727623,50.3742077792133,50.3779353167075,50.4136366711775,50.4497491198485,50.3868812647427,50.3167980142442,50.2884688914391,50.3304418903321,50.3848916494504,50.4785670214574,50.3956390702941,50.3867802043062,50.4499864581174,50.4360064644935,50.4336042505557,50.4312908891366,50.4290417055302,50.4248102935894,50.413055676841,50.386683322299
210,50.4104802115563,50.475645592117,50.4754228572587,50.4752220921497,0,3,0,2,50.3953550501242,50.3954246985166,50.4134575461344,50.4527620184377,50.4519661276454,50.4148062790872,50.3589597558803,50.3576350068469,50.3701823497673,50.4133788659995,50.4797157323424,50.4208660880689,50.4045217616135,50.4575889050281,50.4469907137869,50.4357965930581,50.4341747645724,50.4329700419962,50.4332604238969,50.4352983099467,50.3925654704721
240,50.4131670845668,50.4757930130018,50.4754218007112,50.4753401565992,0,3,0,2,50.4186363941078,50.4222775610296,50.4581253876454,50.4629210207054,50.4586211955324,50.432803514773,50.4007355449397,50.3996753703131,50.3906618076988,50.4259935796307,50.4813284580453,50.4307077392944,50.4250888008041,50.4610269361538,50.4579171934868,50.4523799612005,50.450070810753,50.4480954502142,50.4480115095644,50.4406180055687,50.4111935178439
270,50.4267973754308,50.4757035350181,50.4754206191755,50.4753715848062,0,3,0,2,50.4516976979317,50.4570841950866,50.4621568737599,50.4636903031136,50.4597070451792,50.4404513346721,50.4267394801436,50.4220324173036,50.4136701191836,50.4311514684719,50.4791432020931,50.4366936585114,50.4375893877352,50.4637929040386,50.4614323375723,50.4588184589912,50.4552331484336,50.4528753701222,50.4532069057141,50.4446940211574,50.4454108397809
300,50.4419766027891,50.4756963014433,50.4754210197521,50.4753574633722,0,3,0,2,50.4553125546329,50.4570920160555,50.4589631415945,50.4581824636818,50.4612797028418,50.4480202755947,50.4359549669863,50.4355899762904,50.43156318445,50.4348154800359,50.48077382638,50.4455692259492,50.44551397798,50.4659925278941,50.4642674553565,50.4616848957897,50.4575257204703,50.4558398617853,50.4571994182857,50.4504314252497,50.4538982858945
