,0
0,11.47333
1,242.05911
2,13.175436
3,57.08872
4,131.06207
5,56.95571
6,4.4278526
7,5.1226163
8,19.699524
9,47.088585
10,33.853325
11,6.9282665
12,2.488535
13,11.360737
14,28.659462
15,17.397469
16,2.9516606
17,0.07665065
18,1.8649663
19,12.82366
20,4.85748
21,10.270029
22,3.1935244
23,0.20002535
24,5.136777
25,4.5366096
26,5.2407393
27,3.101987
28,0.5022794
29,0.53728694
30,2.861848
31,6.5487304
32,3.888135
33,2.8477607
34,0.34046185
35,0.58407855
36,2.006653
37,3.5865078
38,1.9127781
39,1.6063721
40,0.5694833
41,1.3915422
42,1.7078182
43,1.7577325
44,1.6165282
45,1.6750827
46,0.4229567
47,0.66938025
48,0.283988
49,0.788671
50,0.739101
51,1.9212021
52,0.55066013
53,0.17661116
54,0.13858667
55,1.4480398
56,1.9437501
57,1.7026017
58,0.82769144
59,1.4604652
60,0.24096407
61,2.2847257
62,5.457738
63,8.172504
64,3.3648515
65,1.9651731
66,2.0582993
67,5.6339135
68,18.776588
69,9.054008
70,14.577145
71,2.7843807
72,2.5877485
73,20.989729
74,14.195093
75,5.6654243
76,4.1383653
77,1.6433995
78,5.0654182
79,6.9978557
80,5.545285
81,6.4637794
82,2.0145655
83,1.952256
84,2.411466
85,2.9627929
86,3.2637467
87,7.267886
88,7.594904
89,0.7252131
90,2.1288009
91,6.7969
92,6.1777935
93,7.634488
94,11.552055
95,13.105284
96,2.4611979
97,4.206585
98,11.44025
99,2.4927945
100,1.8567779
101,2.0401187
102,4.0456157
103,3.0563333
104,3.178218
105,4.548399
106,1.5485361
107,6.0556335
108,4.241523
109,4.747299
110,10.734579
111,2.708139
112,3.3663452
113,5.6555014
114,1.0273445
115,1.2355353
116,0.82352144
117,1.9062506
118,3.6025019
119,0.8257707
120,0.9954691
121,5.8032503
122,2.4277363
123,3.449988
124,0.9242817
125,7.132247
126,9.372395
127,3.4405212
128,3.763639
129,3.525909
130,0.92989415
131,2.7023954
132,0.9824642
133,2.9425778
134,3.3514214
135,5.0980167
136,9.64913
137,1.5878999
138,0.6221164
139,2.23524
140,5.391449
141,3.5299113
142,1.7159185
143,0.5523463
144,0.86591095
145,3.3696513
146,5.173774
147,1.2435048
148,0.8020926
149,1.2947074
150,0.745144
151,0.7211613
152,3.2596297
153,2.844562
154,1.3150797
155,0.90344626
156,2.4822688
157,6.3083735
158,0.68200624
159,1.0917368
160,1.5241194
161,1.2765176
162,0.7522681
163,3.5143902
164,1.9972937
165,8.016369
166,5.574799
167,3.0904183
168,1.8085458
169,1.2419722
170,4.1020956
171,5.9200215
172,3.6406784
173,2.3465796
174,1.8580908
175,1.2852738
176,1.1943426
177,0.7853175
178,1.9847295
179,3.9829311
180,2.1176777
181,9.990496
182,5.203226
183,8.576779
184,3.1462493
185,1.2533119
186,2.357821
187,1.3380065
188,1.2987914
189,1.3712926
190,0.72044444
191,0.9015931
192,3.1161695
193,2.8781734
194,2.8058307
195,6.1766167
196,7.887736
197,6.1753464
198,3.0847447
199,2.8571863
200,6.6872864
201,5.285916
202,4.3821106
203,8.81109
204,4.598789
205,1.3257301
206,8.729427
207,6.8015666
208,5.1678576
209,2.2550156
210,1.1796038
211,4.6953506
212,6.0633745
213,4.809101
214,4.3366404
215,2.6062536
216,0.46344447
217,0.780762
218,13.089745
219,10.559254
220,3.3281133
221,1.8698416
222,1.059267
223,3.0869145
224,1.2471434
225,1.6595197
226,0.7509022
227,1.8598058
228,0.6287685
229,1.2556804
230,1.280212
231,1.1582097
232,1.2759346
233,1.5191591
234,1.7996612
235,1.7124455
236,2.1723943
237,1.627049
238,1.0868413
239,1.0764967
240,1.43268
241,0.9803411
242,1.1342616
243,0.9298274
244,0.787807
245,2.1188211
246,0.4482664
247,0.7595341
248,0.93150043
249,3.8069303
250,0.72603977
251,0.7256993
252,0.7857337
253,0.9915243
254,0.91100407
255,4.114154
256,1.3320227
257,4.0701194
258,0.5137247
259,0.2679217
260,1.3660625
261,0.7278677
262,3.198848
263,2.1503198
264,1.0538185
265,1.9758369
266,1.8389508
267,7.075408
268,13.070366
269,4.9760623
270,1.8732116
271,8.227697
272,5.4774327
273,7.849826
274,4.012222
275,6.795717
276,8.437271
277,17.736572
278,18.31155
279,3.0077477
280,4.3699675
281,17.879274
282,23.033176
283,13.207068
284,13.742262
285,4.9032125
286,2.2914867
287,2.0529685
288,8.468292
289,38.54301
290,42.90074
291,44.55242
292,49.876324
293,30.223795
294,35.1847
295,33.876144
296,33.86684
297,32.32072
298,13.043762
299,29.096664
300,25.289429
301,12.725673
302,3.4150705
303,6.9511967
304,9.722157
305,9.532965
306,7.8423605
307,10.012628
308,12.824522
309,28.567564
310,40.983517
311,25.874317
312,10.379711
313,6.8789954
314,3.8607774
315,6.9258113
316,9.8695135
317,16.942486
318,16.364635
319,26.994762
320,8.861414
321,5.8776174
322,5.7469535
323,3.1255693
324,3.342843
325,5.954645
326,6.168392
327,6.731115
328,3.632112
329,10.787712
330,8.580616
331,5.7295275
332,3.255597
333,5.3823233
334,3.6251593
335,2.4090266
336,5.5632515
337,3.4162736
338,3.274179
339,1.5149554
340,1.3418577
341,3.187622
342,6.457818
343,6.4721146
344,4.5365305
345,5.590564
346,1.7725824
347,1.4335831
348,2.7420816
349,3.8761299
350,2.1669226
351,3.0722008
352,2.814834
353,2.5513504
354,3.07656
355,4.3493824
356,4.051286
357,1.7803748
358,3.5375044
359,1.6006367
360,2.7610588
361,5.091647
362,1.8306086
363,3.9868917
364,2.417906
365,3.0921097
366,1.2060626
367,1.1638631
368,1.87214
369,1.3537709
370,4.182609
371,3.89826
372,2.772964
373,2.74147
374,4.581376
375,13.430958
376,17.90322
377,13.379774
378,15.169798
379,13.578341
380,12.415003
381,27.91174
382,17.463627
383,27.632776
384,13.669836
385,18.948807
386,37.610947
387,35.04708
388,30.934153
389,24.64847
390,13.8840275
391,15.069511
392,12.316161
393,16.791069
394,13.499017
395,15.855877
396,8.824361
397,14.225801
398,9.014714
399,27.323929
400,35.39796
401,22.957745
402,9.740637
403,7.191803
404,2.8412855
405,18.858978
406,24.595863
407,23.69908
408,22.95716
409,25.680698
410,12.360151
411,2.730585
412,2.0405731
413,1.9753379
414,0.8102427
415,2.5415416
416,3.6391728
417,3.0332937
418,2.2567995
419,1.4406033
420,1.1888815
421,2.1437163
422,2.1737738
423,2.8806703
424,2.6818266
425,2.7132242
426,4.2405305
427,2.5954845
428,5.782404
429,3.8298142
430,4.23841
431,8.503043
432,10.813131
433,9.103352
434,8.517607
435,7.965111
436,7.268032
437,6.301035
438,5.0104513
439,4.5609407
440,4.7177906
441,5.9776254
442,3.9509354
443,15.736227
444,14.530783
445,10.594079
446,6.742283
447,8.797443
448,7.367857
449,9.543006
450,9.430934
451,10.1741705
452,11.056446
453,11.633481
454,5.800912
455,9.971097
456,3.8159475
457,1.6222851
458,6.905293
459,5.8124332
460,6.0161386
461,5.4147377
462,9.018088
463,8.582723
464,4.8615484
465,4.3521442
466,1.9728615
467,2.5534782
468,3.6802692
469,6.6478405
470,5.6469507
471,9.051653
472,6.941153
473,3.4912684
474,1.5643955
475,10.203487
476,3.6163402
477,2.8852637
478,5.780017
479,3.940629
480,3.7204156
481,5.8499517
482,4.52305
483,5.4612923
484,5.079379
485,2.0735846
486,6.035863
487,4.5040913
488,7.970767
489,12.720185
490,16.03513
491,15.181421
492,12.831309
493,13.0101185
494,3.9023895
495,4.1059914
496,3.3882902
497,2.151774
498,1.68839
499,0.77051556
500,4.003106
501,3.549206
502,6.6698284
503,27.521236
504,37.554924
505,33.495472
506,28.870644
507,23.23651
508,16.635477
509,10.169924
510,6.509192
511,3.9280815
512,6.59505
513,11.162613
514,15.1161995
515,14.196108
516,8.304726
517,5.569096
518,1.6291262
519,3.8163128
520,2.53805
521,5.0800962
522,6.447765
523,4.150566
524,3.6874602
525,5.8087835
526,3.6090746
527,3.7519078
528,4.617347
529,5.5451837
530,4.040557
531,4.109071
532,2.9009535
533,3.6719685
534,6.4859524
535,38.56781
536,45.380634
537,26.306602
538,26.963856
539,17.447853
540,9.4335375
541,9.305596
542,16.845526
543,17.55564
544,19.455366
545,15.23522
546,8.198946
547,14.4645195
548,11.068083
549,12.250026
550,8.6029415
551,10.415496
552,8.929394
553,10.697369
554,13.433056
555,11.431776
556,7.5115285
557,11.964756
558,12.249503
559,27.761602
560,10.647036
561,38.841995
562,35.097042
563,15.643445
564,6.8336544
565,3.0350406
566,2.4074328
567,2.178256
568,2.1169415
569,5.035495
570,1.8049518
571,1.2668513
572,1.5039384
573,1.6998885
574,0.88668954
575,0.7566098
576,1.6520147
577,0.87239295
578,1.3758447
579,1.0978689
580,0.59736645
581,0.7414793
582,2.7325807
583,8.560127
584,50.818672
585,54.101963
586,47.720867
587,38.383553
588,29.000156
589,13.888622
590,10.192566
591,6.6401277
592,22.81228
593,14.978142
594,18.59525
595,45.943996
596,45.659626
597,23.727654
598,11.487331
599,7.112552
600,1.5325856
601,2.9128294
602,2.403561
603,5.7906713
604,18.151382
605,17.76129
606,17.712862
607,19.176258
608,16.689247
609,11.057333
610,2.5324714
611,4.1994095
612,3.8781185
613,3.3012946
614,2.8064976
615,4.485322
616,4.6064577
617,2.6923876
618,3.2715538
619,2.9496207
620,2.4328642
621,4.2821894
622,11.500095
623,7.4982905
624,10.890191
625,30.021427
626,58.739265
627,23.938541
628,7.2835684
629,10.067529
630,7.397905
631,11.305388
632,11.664497
633,23.762203
634,31.125776
635,21.60656
636,22.268503
637,15.28832
638,22.590595
639,21.554266
640,14.214104
641,10.681934
642,8.124749
643,13.753122
644,11.428362
645,26.440096
646,16.188965
647,6.1571307
648,9.1515
649,13.878884
650,10.7419195
651,15.310637
652,7.152335
653,8.767115
654,10.747231
655,10.075024
656,39.26171
657,20.733707
658,31.482122
659,28.207464
660,10.695423
661,6.99399
662,1.6899745
663,2.2507114
664,3.2925398
665,4.847593
666,3.9381156
667,7.445072
668,7.3659964
669,10.55975
670,25.520573
671,33.072357
672,20.089851
673,15.183218
674,16.766636
675,9.453449
676,8.595934
677,5.6238985
678,4.1459994
679,2.35182
680,5.9030795
681,9.470021
682,25.460773
683,19.493067
684,17.771307
685,18.79717
686,17.1488
687,9.94816
688,11.667158
689,24.909668
690,27.379768
691,15.396553
692,15.854538
693,12.762842
694,5.2709336
695,6.53242
696,19.348213
697,9.494446
698,16.818905
699,15.936215
700,10.481624
701,9.8745575
702,10.589262
703,15.278514
704,21.374775
705,18.270086
706,17.027905
707,9.082145
708,14.877417
709,2.811026
710,6.9924135
711,2.7600756
712,3.639447
713,4.735372
714,3.6655812
715,7.7408814
716,12.173683
717,11.5877695
718,46.561554
719,26.544765
720,23.246696
721,15.767168
722,14.705947
723,11.032308
724,8.169453
725,9.82942
726,14.533479
727,5.8501663
728,11.741033
729,13.006056
730,8.670453
731,4.4548473
732,9.553775
733,6.6565933
734,7.5972176
735,2.5965815
736,6.4631476
737,7.1971126
738,8.465877
739,8.134175
740,5.407149
741,12.96418
742,8.553604
743,9.965009
744,10.88792
745,7.497381
746,8.68733
747,5.4666247
748,2.7143006
749,2.553447
750,2.0748122
751,2.2070668
752,3.7322628
753,2.4546766
754,5.365779
755,3.4083767
756,2.8155441
757,4.5969453
758,1.9590845
759,2.115904
760,2.0108209
761,3.659135
762,2.232372
763,4.047435
764,2.5587132
765,3.1482673
766,2.6661339
767,3.3899162
768,6.31067
769,4.4277
770,6.8037786
771,3.4052482
