"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","点10RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点14RH Monitor: Sum of RH","点15RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点19RH Monitor: Sum of RH","点1RH Monitor: Sum of RH","点20RH Monitor: Sum of RH","点21RH Monitor: Sum of RH","点2RH Monitor: Sum of RH","点3RH Monitor: Sum of RH","点4RH Monitor: Sum of RH","点5RH Monitor: Sum of RH","点6RH Monitor: Sum of RH","点7RH Monitor: Sum of RH","点8RH Monitor: Sum of RH","点9RH Monitor: Sum of RH"
30,53.0499532104423,50.4754881513311,50.4754254210157,50.4754568137972,2,0,0,0,50.7288197629138,49.971109927686,50.7155789148553,52.0551840166369,51.3193475839633,50.8254706472884,51.6997500137378,51.5766923437801,51.299304289067,51.5339983780387,51.0605766430828,51.6601790270314,51.0642546655124,52.5489035499668,52.7736123072984,52.9641879672186,52.830196649276,52.603197129661,51.4626067222616,51.2430854021408,52.1754993471999
60,52.2688203539145,50.4756563949237,50.4754274397851,50.475612489561,0,3,0,2,51.2049089322982,50.1205942090581,51.4300854719068,51.5230880836921,50.3323389105386,51.0309892082313,51.4905737697631,51.4406860069214,51.2731148639592,51.339686555613,50.0160203312814,51.2983868226894,51.1321179161526,52.2570282727577,52.1269290460687,51.9362198883292,52.4214328151551,52.4733064997112,51.931208932761,50.6523439010504,51.5574221892486
90,59.0212775077889,50.47408172114,50.4754261832468,50.4749217528233,0,3,0,2,51.0417858101585,50.9677314478283,51.5498022805318,51.3364729596398,50.5246423459665,50.9021695076922,50.9672333484184,51.0244280020404,51.0884231566177,50.9854331850686,50.4869522308383,50.9061272115644,51.1578641095413,51.576519657853,51.653729747112,51.6175618137164,51.8676981005882,51.9066932869042,51.5670597058969,50.7346510405336,50.8337871938217
120,49.9391879121831,50.4747284875419,50.4754178655869,50.4751600685247,0,3,0,2,51.0051179338735,51.2559279143604,51.2403458184549,51.0374937960785,50.8158369314263,50.7820927633051,50.7515438454601,50.8396400080688,51.001405808004,51.062643052945,50.4696846533535,51.0991644092934,51.6028570136217,50.5865403031737,51.3437569289588,51.4137235970599,51.3242460943344,51.4284514456458,51.5600071422381,50.6242454566953,51.0309944021504
150,54.536470990773,50.4758623373538,50.4754232069363,50.4754789711252,0,3,0,2,51.0887968760547,51.153859451644,51.0509145295759,50.8472121935653,50.6674216869718,50.7717099397523,50.7317043457664,50.7432428474791,50.7758679525723,51.0955142656476,50.4533338684447,51.1536212653384,51.4356309285923,50.4217179728569,51.0707065088899,50.9008774949045,50.9152524588833,50.9821146195797,51.1186582413443,50.6708342599909,51.1089930112087
180,51.1102871438533,50.475884767733,50.4754221955262,50.4754639670979,0,3,0,2,51.0991469883132,51.0814516492961,50.9172018037246,50.7308162315672,50.5536676649426,50.608650813974,50.6894896171888,50.7171041078094,50.703788235757,50.9809947420536,50.4568513110594,51.0595461474922,51.1207789403502,50.5187089107632,51.1834268464369,50.8172680639677,50.9631247243133,50.8349187199263,50.9592054453481,50.5359393887654,50.9821229503167
210,51.3781558315802,50.4760648912267,50.475421834852,50.4754083056374,0,3,0,2,50.8867779465697,50.8595857683403,50.8080129982458,50.7098092922776,50.5219350310096,50.6023598357462,50.6623043428456,50.8053301733689,50.7639269453944,50.8937869333858,50.4773936239567,50.7595454679183,50.8232496621842,50.5504524609624,50.4955131224452,50.5988231721214,50.6479301197381,50.726251972266,50.7943472774646,50.6981078375076,50.849297218438
240,50.8365802155296,50.4759262173321,50.4754243348798,50.4753451179481,0,3,0,2,50.7538545144881,50.7470645975615,50.6273143561876,50.641317173547,50.4969978018265,50.5797998274237,50.7057178714199,50.7613201788366,50.7138211900814,50.6027384450227,50.4717490588116,50.5673996035309,50.6860375076453,50.4957090951145,50.4921681208897,50.6032590676834,50.5714633538709,50.5946317054411,50.6702939142782,50.6346596625245,50.7455457267762
270,50.6634093111888,50.4755800708799,50.4754205802875,50.4750033440399,0,3,0,2,50.6801273777639,50.6319096175949,50.5520546975031,50.6217095653287,50.4865607823448,50.6184754272908,50.6738137604824,50.665002106655,50.6195974617408,50.5476851989726,50.4731224595602,50.5597060493962,50.6855015240613,50.4877661697153,50.5116336231789,50.5445287789346,50.5644952498761,50.5488370397487,50.6153653855688,50.585468387757,50.6127456079709
300,50.5728709274654,50.4755518093566,50.4754242714986,50.4752750392325,0,3,0,2,50.5987945371714,50.5588807812634,50.5642476649212,50.5905820275438,50.4789676334781,50.6428359024146,50.6400518222674,50.616749557286,50.5385792491358,50.5503809705492,50.474780301039,50.563461428462,50.5717868365026,50.4862538940806,50.4892801925578,50.4981698039455,50.5540974010018,50.5578815844188,50.5591248848474,50.5582929872699,50.5572754221442
330,50.5445648666656,50.4755893649494,50.475424954739,50.4752551021058,0,3,0,2,50.5692747385379,50.5523945142966,50.5607884202999,50.5676117621634,50.4753423867071,50.6236495826469,50.619390917878,50.5980446397064,50.5392321942333,50.5373660899939,50.4747932612083,50.529253130726,50.5362907102948,50.4860002948826,50.4856205074957,50.4799971383011,50.4901227482645,50.5089676194442,50.5363253183043,50.5476699216713,50.5482302677986
360,50.5476689318394,50.4756479340993,50.4754241062986,50.4752370105114,0,3,0,2,50.5492942618273,50.5424229792279,50.5564013406667,50.5559906307289,50.4690644924243,50.6018458413151,50.5881275492624,50.5596167026169,50.5343705318776,50.5239994861239,50.477768678253,50.4962253770366,50.510048804221,50.4854250963011,50.4866433169001,50.4887454392559,50.4940174629761,50.4959520707087,50.5293010110987,50.5355304141875,50.545484585393
390,50.5278878208722,50.4756565615398,50.4754246251071,50.4752342121761,0,3,0,2,50.5302363389211,50.5310760252687,50.5358384045038,50.5386402246988,50.4671656799424,50.5845780456489,50.5706776068055,50.5286093402181,50.5139095473092,50.5104411416112,50.4771756937504,50.4938360548895,50.5057530945461,50.4796652984967,50.48299052255,50.4845865526506,50.4868335478712,50.4873596634178,50.5027879864544,50.5171771133657,50.5293057009158
420,50.5134620150899,50.4756645947333,50.4754245666156,50.4752386312582,0,3,0,2,50.5101654454432,50.5124091817072,50.5068341705698,50.5171818108505,50.4657354442084,50.5414825709208,50.5760842636434,50.5287390422698,50.5207734298416,50.4947136458388,50.4782100821325,50.4915994887546,50.4941342219959,50.4782825862815,50.4788142894687,50.4792319357279,50.4800814816374,50.4818307121072,50.4784479336977,50.4972086826606,50.5128400015414
450,50.4971413219567,50.4757047430048,50.4754238315669,50.4752570651702,0,3,0,2,50.4946087215841,50.4909304575836,50.486598245486,50.4913856628277,50.4661999178869,50.4965677571869,50.5300466611883,50.5356297980646,50.5296816488748,50.493464936463,50.4785876549086,50.4903458216218,50.487924672649,50.4771435372102,50.4781888425175,50.4792947309724,50.4806690329696,50.4802248289825,50.4793325582558,50.4881811081539,50.4968153904914
480,50.4881918871034,50.4757044510232,50.4754230631812,50.4753182219087,0,3,0,2,50.4799708870049,50.4761755295835,50.4780757009222,50.4776916186758,50.4663539257912,50.4821928671792,50.4931302307136,50.5143250988447,50.5083626495365,50.4895670895306,50.4787891582848,50.4875046927298,50.4814211141437,50.4741212200105,50.4747900254158,50.475169757055,50.4752908311973,50.4756461266721,50.4758044406298,50.4824471511154,50.4823248889932
510,50.4841007377997,50.4756817682009,50.4754221388723,50.4753735758785,0,3,0,2,50.4744260233751,50.4747384227579,50.4761272347638,50.4769915719631,50.4659073797125,50.4819143833129,50.4842960963494,50.4918834484725,50.490978212892,50.4834832335908,50.4793971341558,50.4835188616585,50.4805941467978,50.4729271616721,50.4732755335018,50.4734482884295,50.4733870418882,50.4735365863696,50.4746835655472,50.4768788193461,50.4753446194904
540,50.4803897294993,50.4756893315217,50.4754238077922,50.4753804704092,0,3,0,2,50.4725753837822,50.4728817881749,50.4748281923475,50.4752358124839,50.4645990890984,50.4787370910529,50.4826432394487,50.4800213291552,50.4835912462583,50.477732596516,50.479195992293,50.4777367306102,50.4780908465939,50.472344694653,50.4729284399614,50.4735387403796,50.4740304707617,50.4738326849912,50.4735920056573,50.4734181016912,50.4728699152362
570,50.4748078078196,50.4757104942762,50.4754227201519,50.4753586830702,0,3,0,2,50.4712927310913,50.4714693657587,50.4720571260771,50.4708221341459,50.4642647929401,50.4730627656509,50.4786064049601,50.4746169993022,50.477326243867,50.4741911186731,50.479643824583,50.4743756389828,50.47336570206,50.4708022615677,50.4711082492225,50.4714155627756,50.4717187878405,50.4717177799359,50.4724264837914,50.4712794110932,50.4712804546261
