,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,-0.7177619047619048,-0.572047619047619,-0.4447619047619047,-0.3620476190476191,-0.31447619047619046,-0.263047619047619,-0.2107619047619047,-0.17904761904761904,-0.15761904761904758,-0.1400476190476191,-0.11861904761904762,-0.10276190476190472,-0.09119047619047618,-0.08733333333333337,-0.08304761904761902,-0.07833333333333324,-0.07533333333333325,-0.07019047619047608,-0.06890476190476177,-0.06890476190476177
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,-0.7177619047619048,-0.572047619047619,-0.4447619047619047,-0.3620476190476191,-0.31447619047619046,-0.263047619047619,-0.2107619047619047,-0.17904761904761904,-0.15761904761904758,-0.1400476190476191,-0.11861904761904762,-0.10276190476190472,-0.09119047619047618,-0.08733333333333337,-0.08304761904761902,-0.07833333333333324,-0.07533333333333325,-0.07019047619047608,-0.06890476190476177,-0.06890476190476177
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2,-0.7177619047619048,-0.572047619047619,-0.4447619047619047,-0.3620476190476191,-0.31447619047619046,-0.263047619047619,-0.2107619047619047,-0.17904761904761904,-0.15761904761904758,-0.1400476190476191,-0.11861904761904762,-0.10276190476190472,-0.09119047619047618,-0.08733333333333337,-0.08304761904761902,-0.07833333333333324,-0.07533333333333325,-0.07019047619047608,-0.06890476190476177,-0.06890476190476177
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
3,-0.7177619047619048,-0.572047619047619,-0.4447619047619047,-0.3620476190476191,-0.31447619047619046,-0.263047619047619,-0.2107619047619047,-0.17904761904761904,-0.15761904761904758,-0.1400476190476191,-0.11861904761904762,-0.10276190476190472,-0.09119047619047618,-0.08733333333333337,-0.08304761904761902,-0.07833333333333324,-0.07533333333333325,-0.07019047619047608,-0.06890476190476177,-0.06890476190476177
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
4,-0.7177619047619048,-0.572047619047619,-0.4447619047619047,-0.3620476190476191,-0.31447619047619046,-0.263047619047619,-0.2107619047619047,-0.17904761904761904,-0.15761904761904758,-0.1400476190476191,-0.11861904761904762,-0.10276190476190472,-0.09119047619047618,-1,-0.7807301587301587,-0.41133333333333344,-0.3046190476190476,-0.2471904761904762,-0.19790476190476183,-1
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
5,-1,-1,-1,-0.6509047619047621,-0.4876190476190476,-0.4631904761904762,-0.374047619047619,-0.29261904761904756,-0.24076190476190473,-0.20133333333333334,-0.1769047619047619,-0.15933333333333335,-0.14304761904761906,-0.12847619047619052,-0.11090476190476184,-0.09590476190476194,-0.08476190476190476,-0.08090476190476188,-0.07661904761904753,-0.07533333333333322
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
6,-0.7177619047619048,-0.572047619047619,-0.4447619047619047,-0.3620476190476191,-0.31447619047619046,-0.263047619047619,-0.2107619047619047,-0.17904761904761904,-0.15761904761904758,-0.1400476190476191,-0.11861904761904762,-0.10276190476190472,-0.09119047619047618,-0.08733333333333337,-0.08304761904761902,-0.3393333333333334,-0.46490476190476177,-0.5407619047619048,-0.6346190476190477,-0.6911904761904764
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
9,-0.7177619047619048,-0.572047619047619,-0.4447619047619047,-0.3620476190476191,-0.31447619047619046,-0.263047619047619,-0.2107619047619047,-0.17904761904761904,-0.15761904761904758,-0.1400476190476191,-0.11861904761904762,-0.10276190476190472,-0.5518730158730158,-0.6641587301587301,-0.75115873015873,-0.8133015873015873,-0.85615873015873,-0.8844444444444444,-0.90115873015873,-0.9170158730158727
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
11,-1,-0.8583333333333332,-0.6179047619047621,-0.48247619047619045,-0.41090476190476183,-0.35133333333333333,-0.6705873015873016,-0.779015873015873,-0.8291587301587302,-0.8613015873015875,-0.890015873015873,-0.9097301587301586,-0.9303015873015873,-0.9136190476190478,-0.9166190476190478,-0.923904761904762,-0.9316190476190478,-1,-1,-1
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
