,0
0,17.998724
1,360.6465
2,12.634571
3,46.841373
4,89.443794
5,23.569073
6,65.19797
7,10.327011
8,4.479348
9,10.196024
10,13.101017
11,28.175274
12,24.86863
13,18.038166
14,28.680046
15,12.246155
16,5.8343744
17,3.5150754
18,9.2855
19,10.582947
20,17.656565
21,14.472488
22,13.14718
23,13.314262
24,3.619649
25,4.1587524
26,3.3792496
27,9.215035
28,0.6126386
29,9.769048
30,8.15955
31,5.9121046
32,2.6764393
33,2.661706
34,3.4686062
35,3.401682
36,1.0064203
37,4.445695
38,5.027225
39,5.8412867
40,1.5400506
41,2.000489
42,1.662134
43,1.7594478
44,1.7051624
45,1.7161508
46,1.1822133
47,1.1746353
48,0.6883134
49,1.3138463
50,1.0316328
51,1.401936
52,2.0788062
53,1.6190491
54,2.8997636
55,1.7045157
56,5.650146
57,6.7933245
58,10.074324
59,1.1239841
60,2.1107173
61,1.075545
62,1.081213
63,2.34081
64,1.2344708
65,1.117437
66,1.3335894
67,0.8995032
68,1.0575845
69,1.0171025
70,1.1919783
71,2.3230243
72,2.0133226
73,1.2224395
74,1.9320965
75,0.84789944
76,1.1371931
77,1.7861656
78,1.7844524
79,2.2467213
80,2.4437401
81,4.2860684
82,2.6629548
83,1.5650996
84,2.080866
85,2.1702688
86,1.3689313
87,1.6290388
88,3.2533615
89,1.8868142
90,5.243818
91,1.2865616
92,1.4810336
93,1.4767336
94,3.1475568
95,1.0155973
96,3.077355
97,0.93611145
98,2.0228298
99,5.0008535
100,1.2900958
101,4.0729904
102,2.0818508
103,2.04956
104,2.426467
105,1.5242687
106,1.1653558
107,2.1398354
108,1.8892027
109,2.6414223
110,2.8213196
111,4.885751
112,2.3083518
113,2.7080486
114,1.919015
115,1.3109423
116,3.210635
117,4.1188264
118,2.0481222
119,2.888234
120,1.9778707
121,3.7455041
122,1.4967945
123,7.2349916
124,3.6841235
125,4.0166078
126,1.7605668
127,3.49477
128,1.9826219
129,3.5658216
130,1.2538679
131,5.446679
132,5.139913
133,2.7912273
134,1.9520589
135,1.7364395
136,2.0807374
137,2.2630055
138,5.873348
139,9.771276
140,3.002521
141,4.432556
142,3.2260654
143,2.7765026
144,4.500697
145,1.6141129
146,1.8819458
147,1.6482892
148,2.315996
149,2.5979486
150,2.0178523
151,3.253896
152,2.3508906
153,1.9091009
154,1.8824927
155,2.1419985
156,3.127181
157,4.748228
158,1.4026103
159,3.7121594
160,2.9975834
161,8.087489
162,3.158538
163,2.9403207
164,3.5725024
165,5.6637845
166,1.7365192
167,2.6684628
168,2.4220405
169,2.6115057
170,2.0108836
171,2.6404147
172,1.8256298
173,2.0234234
174,2.3692436
175,2.995449
176,3.7781973
177,4.7648335
178,6.3937993
179,2.9611523
180,1.4752283
181,2.0420623
182,6.160658
183,4.0778165
184,11.332432
185,2.8264244
186,9.572327
187,2.5622745
188,2.5172288
189,4.121251
190,2.494551
191,7.157092
192,6.553861
193,4.7664013
194,5.7679505
195,6.9561176
196,7.452313
197,5.4530935
198,2.7168298
199,3.9858253
200,6.2719126
201,6.8448486
202,2.934487
203,4.758126
204,2.4080884
205,1.7438902
206,3.678889
207,2.2058592
208,4.6513467
209,6.0638194
210,3.789184
211,2.3144054
212,3.7654471
213,5.4940915
214,2.7084434
215,2.7472315
216,4.303058
217,5.18209
218,2.1762552
219,6.461388
220,4.1640854
221,2.8533337
222,5.5498786
223,4.520486
224,2.627288
225,3.6413307
226,4.5536146
227,5.1178064
228,4.9930534
229,5.395842
230,5.1203327
231,4.7657814
232,3.9225404
233,2.648259
234,9.484918
235,4.5395846
236,11.626326
237,4.123863
238,5.0558043
239,3.2288303
240,5.6326437
241,5.7675643
242,7.3139987
243,2.3420935
244,5.3022547
245,3.8734994
246,4.9778357
247,2.7258024
248,7.746071
249,2.7517943
250,2.324264
251,3.309987
252,6.1856422
253,5.971633
254,2.63323
255,9.569754
256,3.8524919
257,3.1931984
258,3.7828386
259,4.8721604
260,8.797098
261,3.7862906
262,3.301093
263,6.312218
264,7.020153
265,12.13172
266,7.428625
267,3.3861842
268,12.271437
269,10.142818
270,3.4198086
271,8.090612
272,6.7270722
273,4.199585
274,2.326254
275,6.161375
276,4.4064803
277,9.338255
278,5.776664
279,9.434565
280,9.682769
281,4.2717757
282,2.7150774
283,12.6792
284,5.2538934
285,16.544529
286,5.651209
287,3.4705858
288,3.855181
289,5.5233574
290,6.444453
291,3.8321118
292,4.374629
293,2.2179816
294,7.1319933
295,17.775059
296,4.419429
297,6.82126
298,5.0909376
299,13.05031
300,7.047661
301,11.139602
302,4.7768364
303,4.5990896
304,3.2862768
305,5.8502784
306,3.8523753
307,5.0199966
308,7.587666
309,6.1270237
310,8.5951
311,9.027924
312,3.6766312
313,9.033732
314,7.8740416
315,9.620445
316,8.508602
317,6.2060685
318,3.6849704
319,9.174292
320,4.9497223
321,3.4161818
322,6.5032835
323,3.8411427
324,11.446855
325,6.9183364
326,6.321488
327,6.3064547
328,6.1953225
329,8.895103
330,4.7859783
331,11.54018
332,5.1309075
333,15.820047
334,4.7175474
335,11.920118
336,10.86348
337,3.8937187
338,8.801379
339,4.195054
340,7.5964785
341,9.03999
342,12.300038
343,11.422539
344,6.375531
345,11.388291
346,7.4201574
347,2.9260674
348,10.454199
349,3.3856988
350,2.9469976
351,3.8706298
352,6.95135
353,5.7641773
354,7.71117
355,14.466248
356,7.9171166
357,4.452649
358,13.887909
359,11.767326
360,6.8069353
361,6.96505
362,7.933586
363,10.701992
364,5.897301
365,10.624787
366,7.8770804
367,12.993004
368,3.256619
369,6.853672
370,7.5577006
371,15.277633
372,7.7599554
373,6.3382263
374,12.142693
375,10.693899
376,5.7937536
377,9.547899
378,10.252774
379,15.355167
380,14.328342
381,9.694304
382,2.6033983
383,16.593317
384,17.96849
385,15.631783
386,13.9209175
387,7.6218176
388,7.4476213
389,22.808502
390,3.360264
391,8.188728
392,7.092963
393,3.5749416
394,4.6720695
395,10.074406
396,16.96645
397,8.575911
398,7.0952964
399,5.7430925
400,10.711626
401,2.568914
402,9.759251
403,8.581054
404,14.099002
405,11.323277
406,21.110699
407,8.270818
408,7.205726
409,8.681139
410,5.9940863
411,13.226698
412,9.828739
413,8.425259
414,4.6775
415,9.703714
416,11.317457
417,8.179753
418,4.7642636
419,3.4059885
420,17.033207
421,4.525605
422,8.771998
423,1.8593132
424,10.962989
425,3.8672059
426,6.6883426
427,7.056499
428,2.4036527
429,1.2426951
430,1.3087846
431,8.003087
432,3.7644854
433,3.5783987
434,2.9414144
