,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,-0.8005079365079365,-0.7246507936507939,-0.6895079365079365,-0.6239365079365078,-0.5716507936507936,-0.506936507936508,-0.43279365079365084,-0.38822222222222225,-0.3432222222222222,-0.32650793650793664,-0.2806507936507937,-0.251079365079365,-0.22579365079365077,-0.20393650793650794,-0.18765079365079368,-0.1713650793650794,-0.1567936507936507,-0.14136507936507942,-0.12979365079365074,-0.1212222222222222
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,-0.8005079365079365,-0.7246507936507939,-0.6895079365079365,-0.6239365079365078,-0.5716507936507936,-0.506936507936508,-0.43279365079365084,-0.38822222222222225,-0.3432222222222222,-0.32650793650793664,-0.2806507936507937,-0.251079365079365,-0.22579365079365077,-0.20393650793650794,-0.18765079365079368,-0.1713650793650794,-0.1567936507936507,-0.14136507936507942,-0.12979365079365074,-0.1212222222222222
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2,-0.8005079365079365,-0.7246507936507939,-0.6895079365079365,-0.6239365079365078,-0.5716507936507936,-0.506936507936508,-0.43279365079365084,-0.38822222222222225,-0.3432222222222222,-0.32650793650793664,-0.2806507936507937,-0.251079365079365,-0.22579365079365077,-0.20393650793650794,-0.18765079365079368,-0.1713650793650794,-0.1567936507936507,-0.14136507936507942,-0.12979365079365074,-0.1212222222222222
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
3,-0.8005079365079365,-0.7246507936507939,-0.6895079365079365,-0.6239365079365078,-0.5716507936507936,-0.46533333333333327,-0.3907619047619048,-0.34279365079365076,-0.31065079365079373,-0.3033650793650794,-0.2699365079365079,-0.24079365079365084,-0.2111904761904761,-0.191047619047619,-0.164047619047619,-0.1524761904761905,-0.1379047619047619,-0.12247619047619046,-0.10833333333333328,-0.10190476190476191
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
4,-0.745190476190476,-0.6612222222222224,-0.6016507936507938,-0.5545079365079366,-0.5142222222222222,-0.4610793650793651,-0.3997936507936508,-0.3590793650793651,-0.32093650793650796,-0.29993650793650795,-0.2613333333333333,-0.22833333333333336,-0.20347619047619042,-0.1756190476190476,-0.15076190476190476,-0.1336190476190476,-0.12247619047619054,-0.11219047619047612,-0.10490476190476192,-0.09379365079365075
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
5,-0.8005079365079365,-0.7246507936507939,-0.6895079365079365,-0.6239365079365078,-0.5716507936507936,-0.506936507936508,-0.43279365079365084,-0.38822222222222225,-0.3432222222222222,-0.31876190476190475,-0.28061904761904766,-0.2493333333333333,-0.2099047619047619,-0.18033333333333335,-0.15333333333333332,-0.13876190476190475,-0.12761904761904766,-0.11690476190476193,-0.1061904761904762,-0.09761904761904755
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
6,-0.745190476190476,-0.6612222222222224,-0.6016507936507938,-0.5545079365079366,-0.5142222222222222,-0.4610793650793651,-0.3997936507936508,-0.3590793650793651,-0.32093650793650796,-0.29993650793650795,-0.2622222222222222,-0.2347936507936508,-0.2133650793650793,-0.191936507936508,-0.17736507936507942,-0.1636190476190476,-0.15161904761904757,-0.1353333333333333,-0.11990476190476185,-0.11219047619047617
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
7,-0.745190476190476,-0.6612222222222224,-0.6016507936507938,-0.5545079365079366,-0.5142222222222222,-0.4610793650793651,-0.3997936507936508,-0.3590793650793651,-0.32093650793650796,-0.29993650793650795,-0.2622222222222222,-0.2347936507936508,-0.2133650793650793,-0.191936507936508,-0.17736507936507942,-0.1627936507936508,-0.1473650793650794,-0.13279365079365074,-0.12379365079365078,-0.11565079365079371
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
8,-0.8005079365079365,-0.7246507936507939,-0.6895079365079365,-0.6239365079365078,-0.5716507936507936,-0.506936507936508,-0.43279365079365084,-0.38822222222222225,-0.3432222222222222,-0.32650793650793664,-0.2806507936507937,-0.251079365079365,-0.22579365079365077,-0.20393650793650794,-0.18765079365079368,-0.17733333333333334,-0.15765079365079365,-0.1422222222222223,-0.13107936507936507,-0.12165079365079363
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
9,-0.8005079365079365,-0.7246507936507939,-0.6895079365079365,-0.6239365079365078,-0.5716507936507936,-0.506936507936508,-0.43279365079365084,-0.38822222222222225,-0.3432222222222222,-0.32650793650793664,-0.2806507936507937,-0.251079365079365,-0.22579365079365077,-0.20393650793650794,-0.18765079365079368,-0.1713650793650794,-0.1567936507936507,-0.14136507936507942,-0.12979365079365074,-0.1212222222222222
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
10,-0.745190476190476,-0.6612222222222224,-0.6016507936507938,-0.5545079365079366,-0.5142222222222222,-0.4610793650793651,-0.3997936507936508,-0.3590793650793651,-0.32093650793650796,-0.29993650793650795,-0.2622222222222222,-0.2347936507936508,-0.2133650793650793,-0.191936507936508,-0.17736507936507942,-0.1627936507936508,-0.1473650793650794,-0.13279365079365074,-0.12379365079365078,-0.11565079365079371
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
