,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,-0.8776507936507938,-0.7756507936507938,-0.6865079365079366,-0.6290793650793651,-0.5399365079365079,-0.485079365079365,-0.467936507936508,-0.43879365079365085,-0.3959365079365079,-0.35350793650793644,-0.3243650793650793,-0.3115079365079365,-0.26822222222222225,-0.24593650793650793,-0.230936507936508,-0.21293650793650784,-0.20179365079365072,-0.19065079365079357,-0.1872222222222223,-0.17907936507936512
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,-0.7576507936507937,-0.6522222222222223,-0.5797936507936507,-0.5047936507936507,-0.4632222222222222,-0.44865079365079363,-0.41179365079365093,-0.3547936507936509,-0.33250793650793653,-0.3115079365079365,-0.29907936507936506,-0.3055079365079365,-0.30893650793650784,-0.29222222222222227,-0.2699365079365079,-0.2510793650793651,-0.23265079365079364,-0.2172222222222222,-0.203079365079365,-0.19193650793650793
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2,-0.7576507936507937,-0.6522222222222223,-0.5797936507936507,-0.5047936507936507,-0.4632222222222222,-0.44865079365079363,-0.41179365079365093,-0.3547936507936509,-0.33250793650793653,-0.3115079365079365,-0.29907936507936506,-0.3055079365079365,-0.30893650793650784,-0.29222222222222227,-0.2699365079365079,-0.2510793650793651,-0.23265079365079364,-0.2172222222222222,-0.203079365079365,-0.19193650793650793
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
3,-0.7576507936507937,-0.6522222222222223,-0.5797936507936507,-0.5047936507936507,-0.4632222222222222,-0.44865079365079363,-0.41179365079365093,-0.3547936507936509,-0.33250793650793653,-0.3115079365079365,-0.29907936507936506,-0.3055079365079365,-0.30893650793650784,-0.29222222222222227,-0.2699365079365079,-0.2510793650793651,-0.23265079365079364,-0.2172222222222222,-0.203079365079365,-0.19193650793650793
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
4,-0.7576507936507937,-0.6522222222222223,-0.5797936507936507,-0.5047936507936507,-0.4632222222222222,-0.44865079365079363,-0.41179365079365093,-0.3547936507936509,-0.33250793650793653,-0.3115079365079365,-0.29907936507936506,-0.3055079365079365,-0.30893650793650784,-0.6714126984126986,-0.7528412698412701,-0.8046984126984128,-0.8321269841269839,-0.5622222222222222,-0.485936507936508,-0.42679365079365084
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
5,-0.7576507936507937,-0.6522222222222223,-0.5797936507936507,-0.5047936507936507,-0.8501269841269841,-0.8921269841269843,-0.9221269841269842,-0.9362698412698413,-0.946984126984127,-1,-1,-0.6535079365079366,-0.590936507936508,-0.5647936507936507,-0.5262222222222223,-0.46879365079365076,-0.4293650793650794,-0.3937936507936508,-0.3543650793650793,-0.7279841269841271
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
6,-1,-1,-1,-1,-1,-1,-0.7456507936507936,-0.659936507936508,-0.5926507936507938,-0.5317936507936508,-0.4880793650793651,-0.4345079365079365,-0.4006507936507937,-0.38522222222222213,-0.3637936507936508,-0.3449365079365079,-0.3205079365079365,-0.2943650793650793,-0.2703650793650793,-0.2540793650793651
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
7,-1,-1,-1,-1,-1,-1,-1,-1,-0.7280793650793653,-0.6569365079365079,-0.5990793650793652,-0.548079365079365,-0.5013650793650793,-0.47565079365079355,-0.44179365079365085,-0.4006507936507936,-0.36336507936507934,-0.32907936507936497,-0.3055079365079365,-0.28922222222222216
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
8,-0.7576507936507937,-0.6522222222222223,-0.5797936507936507,-0.5047936507936507,-0.4632222222222222,-0.44865079365079363,-0.41179365079365093,-0.3547936507936509,-0.33250793650793653,-0.3115079365079365,-0.29907936507936506,-0.3055079365079365,-0.30893650793650784,-0.29222222222222227,-0.2699365079365079,-0.2510793650793651,-0.23265079365079364,-0.2172222222222222,-0.203079365079365,-0.19193650793650793
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
9,-1,-0.7379365079365079,-0.6612222222222222,-0.5917936507936509,-0.533079365079365,-0.5026507936507936,-0.4572222222222222,-0.4147936507936508,-0.36250793650793645,-0.3303650793650794,-0.3012222222222223,-0.27593650793650804,-0.26436507936507936,-0.27036507936507936,-0.2557936507936508,-0.24036507936507936,-0.22322222222222224,-0.20693650793650795,-0.19707936507936505,-0.18765079365079362
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
10,-1,-1,-1,-1,-1,-1,-1,-0.7469365079365079,-0.6543650793650794,-0.5982222222222222,-0.5193650793650794,-0.49750793650793634,-0.4550793650793651,-0.4276507936507936,-0.39507936507936514,-0.35950793650793655,-0.3372222222222222,-0.3192222222222222,-0.2995079365079366,-0.2785079365079365
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
11,-0.7576507936507937,-0.6522222222222223,-0.5797936507936507,-0.5047936507936507,-0.4632222222222222,-0.44865079365079363,-0.41179365079365093,-0.3547936507936509,-0.33250793650793653,-0.3115079365079365,-0.29907936507936506,-0.3055079365079365,-0.30893650793650784,-0.29222222222222227,-0.2699365079365079,-0.2510793650793651,-0.23265079365079364,-0.2172222222222222,-0.203079365079365,-0.19193650793650793
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.7495079365079368,-0.6676507936507935,-0.6170793650793651,-0.5545079365079366,-0.5112222222222222,-0.47050793650793654,-0.43279365079365084,-0.39807936507936503,-0.37150793650793656,-0.34750793650793643,-0.3192222222222223
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
13,-1,-1,-1,-1,-1,-1,-1,-0.7469365079365079,-0.6543650793650794,-0.5982222222222222,-0.5193650793650794,-0.49750793650793634,-0.4550793650793651,-0.4276507936507936,-0.39507936507936514,-0.35950793650793655,-0.3372222222222222,-0.3192222222222222,-0.2995079365079366,-0.2785079365079365
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
14,-0.7576507936507937,-0.6522222222222223,-0.5797936507936507,-0.5047936507936507,-0.4632222222222222,-0.8128412698412699,-0.8762698412698413,-0.9024126984126983,-0.9208412698412699,-0.9341269841269842,-0.94784126984127,-1,-1,-1,-0.7327936507936507,-0.6642222222222223,-0.6072222222222224,-0.5433650793650795,-0.47693650793650777,-0.42936507936507917
