"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点10RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点14RH Monitor: Sum of RH","点15RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点19RH Monitor: Sum of RH","点1RH Monitor: Sum of RH","点20RH Monitor: Sum of RH","点21RH Monitor: Sum of RH","点2RH Monitor: Sum of RH","点3RH Monitor: Sum of RH","点4RH Monitor: Sum of RH","点5RH Monitor: Sum of RH","点6RH Monitor: Sum of RH","点7RH Monitor: Sum of RH","点8RH Monitor: Sum of RH","点9RH Monitor: Sum of RH"
30,49.9690826629987,50.4754245549692,50.475424554968,50.4754245549682,0,0,0,0,49.9691358058479,49.9691359957205,49.9691358897058,49.9690826629984,49.9690826629983,49.9690826629982,49.969082666521,50.0226872557687,50.1922818353654,49.9690826665147,49.9690826629964,49.9690826629956,49.9690826629962,50.1922761166002,49.9690826629969,49.9690826629976,49.9690826664523,49.9690826629989,49.9690826629988,49.9690826629986,49.9690826629985,49.9690826629985,49.9690826629992,49.9690826629985
60,49.7277061900147,40.3064525485398,40.3064389186224,40.3064407293744,0,3,3,3,40.6694911362251,40.6674076724952,40.6733663687306,48.426015510895,49.7746221757939,49.9607508280848,47.651530709018,40.3233988020792,40.3023825942354,42.7879636316269,44.2796208140387,47.4020336267803,45.0286585161069,40.3024085263125,43.3695051349338,44.6150375458167,42.9511520159015,47.2305422474604,49.1035283570025,49.7937972477443,49.9222123716988,49.9689673790087,44.8962880191194,44.3633403520531
90,49.722029835767,40.3065683229601,40.3066154638703,40.3065531240457,0,0,0,0,43.7425266557348,42.8275545620913,45.966824869401,46.9435163978313,49.2173759343118,49.8300218229038,49.0916359794112,45.0925336732311,41.9734864100349,44.0394514869742,45.2427103041365,46.82309107145,45.6908275224343,42.4708177546031,44.6919780781761,45.0144444104358,45.3592014658503,48.5460920657518,49.4967992978061,49.7620672746778,49.3968353103038,49.0469392596088,44.8617555754928,44.1741947768625
120,48.5707581732111,40.3065494588447,40.3064282926879,40.3065626814921,0,3,3,3,40.4192704797707,40.3969749734586,40.4923766353644,45.0840455025956,47.7113646054298,49.2026054861305,48.709261750339,40.3282550682572,40.3067052468105,41.2332781082629,41.8825699321857,43.5602955843308,45.5927163742287,40.2838821824078,45.367400813118,41.440403092517,41.3595319148989,44.4493281541689,47.8568191200366,49.4643162648118,49.5877472200933,48.316958108223,42.0969866425741,43.1209737152548
150,48.7844609105898,40.3056447190026,40.3057332880754,40.3056702440299,0,0,0,0,42.5085333619183,41.5264581138274,46.6332611937069,43.2527350589458,45.1015878376061,47.3423241862483,48.4062763092605,46.4924468301772,41.2388668024453,41.0583851590038,42.2318013964553,43.6205426297351,44.4425650361264,42.7534917664056,43.675695014863,44.0628548804225,45.2957024052757,47.7376714314049,48.6273789541249,48.3493388623427,46.9298159639389,46.6170394661664,41.6525156853461,42.5814858383907
180,47.5957172352029,40.307009117612,40.3069558386955,40.3070288305184,0,3,3,3,40.4494623295567,40.8673622014836,40.7241009403026,43.4631753302323,43.765008104176,45.5732027705066,47.2693364090777,40.326192701119,40.351329724653,40.6631213041894,40.7147615039788,41.5595246288761,42.8233602242702,40.3819333696796,42.1240387179522,41.3208974938531,42.1606702693318,47.1217526007152,47.7113217935566,48.418544382468,46.3315245735094,43.3823995163097,40.9730140702724,42.7416952096007
210,46.9585795470409,40.3069921244243,40.3067663295091,40.3066165831336,0,0,0,0,42.9551722561987,41.1813304142671,44.5440959586086,43.1784101798989,43.1556407150122,44.4992941206176,45.6314285449532,44.1249970742989,40.8473736288837,41.3160043893306,41.1931469915548,41.128552253884,42.3176433983049,42.0784177956739,42.2081379670676,42.641734358407,43.8916522201485,46.7324302069198,47.6945753349492,46.7779705353556,44.7469182120756,43.6793633276778,41.5855446371148,42.3498221446442
240,46.3440739976386,40.3059624115131,40.3062546126981,40.306250671222,0,3,3,3,40.4001738766434,40.5381437943209,40.6327968217104,42.9614403488641,43.0949559194268,43.1960966267962,44.2391125540731,40.3090246668334,40.3096626717701,40.9348157192599,40.8796320210831,41.7586109857835,42.3934877931069,40.2979970664276,42.8146241240322,40.5765248864341,43.1402925348931,45.5044396681029,46.7839442661044,45.3056850337982,44.1393044800362,42.3013256925926,40.6912683281142,43.282417695529
270,45.882329600816,40.3060661794034,40.3066680854197,40.3063032194364,0,0,0,0,43.0569947609122,40.7974510862577,42.0994544073971,42.8762310448542,42.569816866726,42.6292730157452,43.1132483756472,41.4726530211057,40.6161896583993,41.2359248164084,41.2471880363065,42.220227595255,42.1730622371097,42.5427520164902,41.9963510134344,42.0566596416771,45.4563869865056,44.7008077231949,45.2434857416989,44.477708168455,43.9336313008144,43.3957122835794,41.5360138634086,42.9986206625119
300,45.3242050811657,40.3070346098822,40.3064332258839,40.3070298538017,0,3,0,3,40.716282657237,41.0483266520274,40.3782082404461,42.9987227244085,42.5475569509724,42.4542534474199,42.5195663347881,40.3019894320255,40.8447156202397,41.3467190485957,41.3470001193012,42.1072627274074,41.9749131794529,40.3013946984249,41.9940632241533,40.7088181033756,42.8332728946998,44.3157013902438,44.6892143060605,44.8060402044638,44.3781325803277,42.7703385195939,41.4127071509193,42.3295122692197
330,44.8931250932141,40.3054024654538,40.3064223260946,40.3053208652375,0,0,3,0,42.6015209498514,40.3366193722057,42.8060110517948,42.5500665256433,42.5713834364368,42.2479205915588,42.3531407446673,42.0141646400615,40.3053178683014,40.4290836536323,41.1220285390072,41.7784776342196,41.9785540620545,40.7304096812339,41.951400014626,41.8641239152752,42.2131337695641,44.1373463696076,44.3608995283647,44.7046545777954,44.0981730966133,43.3995727338384,41.3067289970473,41.8681112635981
360,44.5056060770564,40.3077051608824,40.3065469633955,40.3079015593703,0,3,0,3,40.3306225403889,40.7712038663595,40.3692407017132,42.3910942845588,42.3712944579448,42.2919815053759,42.1134802163897,40.2981382549855,40.6521136108714,41.579014376648,41.2861874695597,41.4883391480992,41.8148979568048,40.3122566599887,41.8098669930489,40.7830001966495,40.7732073495383,42.2376045930787,44.1489022979127,44.4903137175311,44.0193995121866,42.5681556955882,40.9244925031061,43.0424744771366
390,44.1463453637703,40.3057519026716,40.3063647254548,40.3057436427927,0,0,0,0,41.6955935748226,41.0007254740366,41.5950161718601,41.8906624648843,42.1774517611273,42.1884411347361,42.0909414789996,41.446756807222,40.6369727964067,41.3197737948795,41.3200285642558,41.2837742799783,41.5179951624456,41.3582752345219,41.4856767187727,41.3185418993309,41.3772758403844,41.5607414878814,44.0561057255552,44.1492470141612,43.1741863741961,42.7842623194639,40.9079908402738,41.9718906756058
420,43.4086582984797,40.3062598907074,40.3063503283447,40.3063857677376,0,3,3,3,40.7941084349751,40.3165978224788,40.32706815269,41.9701460840515,41.7733522624752,42.01771438086,42.0412600255642,40.2947452198238,40.3369226989289,40.5774257614397,40.7039021764479,41.1374655007262,41.3741773544039,40.2962947835665,41.2390509157599,40.5319509081747,40.8560167516622,40.9693601779162,42.3103485569728,43.6465934892736,42.7639754345034,43.2563422750676,40.7355817318273,41.8029209201104
450,43.1043187234087,40.3066626948413,40.3065918239287,40.3067113780256,0,0,0,0,40.9203864387243,40.5728820026119,41.2250290997735,41.6888020586505,41.4861544241662,41.9154891367498,41.9171605345291,41.1761255872459,40.4955952409378,40.6797299699897,40.7409979766619,40.975189033252,41.2292215751182,40.3624869098066,41.1292087273262,40.9277475580948,41.0483066342019,40.9276581779041,42.5822530125029,42.8896256638981,42.5926739641521,42.8941229655138,40.708340029564,41.1706489131452
480,42.7706344823759,40.3063351620677,40.3063898898633,40.3067732254484,0,0,0,3,41.206454090795,40.6498478301665,40.319920175237,41.5058126329931,41.4178236145487,41.7400318608915,41.4265400011349,40.2929662455328,40.3381847936975,40.7582911613522,40.7782567145588,41.1229747332683,40.9538075399895,40.4376312880119,40.991503660187,40.5423336872268,41.5217769869243,41.5406217136801,42.5062388500419,42.3013848117613,42.704388352953,41.8479845173218,40.6952587598442,41.4183196755954
510,42.3117505021073,40.3071385684433,40.3063916111272,40.3057568416336,0,3,0,0,40.3529681927831,40.6172030383779,41.12665228358,41.2033568141236,41.2624528822163,41.4788109944423,41.4865580923032,41.1552030231389,40.3198621007071,40.7124447932321,40.755678937235,41.0051327172058,41.0035124591181,40.3067227983962,41.0597929772389,41.0383746146801,40.6315799621578,40.9114022073774,41.7349566566245,42.1622528187537,42.1878698583963,42.3555411939072,40.6117111134641,40.9191727814002
540,42.1020375582391,40.305565285354,40.306396438052,40.307070191645,0,0,0,3,41.0002598364342,40.5481121364458,40.4597138983456,41.2992131512878,41.2856922653779,41.1270633412977,40.5601313985573,40.290926757735,40.3280504459081,40.8017136260591,40.7998473176239,40.9393542068226,40.8375705479613,40.6717868231864,40.8574133392466,40.6564198887738,41.2103458887753,41.2165799154685,41.925507167156,41.9346903560906,41.7347095161276,41.9124543952696,40.6470044718822,41.2021108625711
570,41.752227426997,40.3076610245142,40.3064495958257,40.3057904352304,0,3,0,0,40.3626968313146,40.5025567521757,40.9955647826854,41.1664960001712,41.2610513839299,41.2142970182099,41.1511772255205,40.8524311012153,40.3283549534121,40.6678340444693,40.8047285754079,40.8419958100514,40.9130656377266,40.3026968517818,40.9759889406938,40.6723884616299,40.4723023066097,40.6890293151742,41.4702798498346,41.8280122187377,41.9970855751226,41.9782174069489,40.4836188275523,40.8689741083143
600,41.575265258776,40.3057481410293,40.3064488234641,40.3065509510934,0,0,0,0,40.5981789692929,40.502597312515,40.9225678538499,41.0755489317123,41.2173930765617,41.2058411096966,41.1314876505868,40.7189594807605,40.3275361639714,40.7773272812306,40.8114818412019,40.8566253153833,40.8482726356557,40.4071671135006,40.8889467581814,40.7548054683635,40.8849738335437,40.6608732127598,41.3928076680598,41.7890620262263,41.9602157155,41.698649335863,40.5400659206957,41.0166402880766
630,41.4600010544093,40.3064866344569,40.3064376022022,40.3064342870941,0,0,0,0,40.7694374825822,40.5052179662378,40.8285270051872,41.0520225056175,41.1504574495193,41.1803220186635,41.0830776055026,40.5621687909324,40.3235665169426,40.8215573819796,40.8019452031303,40.8471045772326,40.832340752775,40.4168765452215,40.8522765509663,40.7902414630481,40.9217638674303,40.6433712611412,41.4545809554843,41.6520638608402,41.9307455996048,41.5745858281598,40.5869353550683,41.0794956833779
