"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点10RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点14RH Monitor: Sum of RH","点15RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点19RH Monitor: Sum of RH","点1RH Monitor: Sum of RH","点20RH Monitor: Sum of RH","点21RH Monitor: Sum of RH","点2RH Monitor: Sum of RH","点3RH Monitor: Sum of RH","点4RH Monitor: Sum of RH","点5RH Monitor: Sum of RH","点6RH Monitor: Sum of RH","点7RH Monitor: Sum of RH","点8RH Monitor: Sum of RH","点9RH Monitor: Sum of RH"
30,49.9690826629987,50.4754245549692,50.475424554968,50.4754245549682,0,0,0,0,49.9691358058479,49.9691359957205,49.9691358897058,49.9690826629984,49.9690826629983,49.9690826629982,49.969082666521,50.0226872557687,50.1922818353654,49.9690826665147,49.9690826629964,49.9690826629956,49.9690826629962,50.1922761166002,49.9690826629969,49.9690826629976,49.9690826664523,49.9690826629989,49.9690826629988,49.9690826629986,49.9690826629985,49.9690826629985,49.9690826629992,49.9690826629985
60,49.9678455222579,40.3064425192112,40.3064379754583,40.3064385788687,0,1,1,1,41.3970773193185,41.3881550599176,41.4088475020596,49.9167764218548,49.9689543434945,49.9690624076393,49.0001235211493,40.3790814946431,40.323365414281,45.4511377649126,47.5725829088617,49.546567508381,48.2255182654086,40.3234001107531,46.4656379899734,47.6987558909352,46.2019255313195,49.735940535728,49.9622909025794,49.9690275029614,49.9690747460365,49.9690750825613,48.0278907415863,48.0567134998434
90,49.7734088508961,40.3064479037305,40.3064474748724,40.3064450371664,0,1,1,1,44.3238655945221,47.8341765197938,47.9768916432892,49.9474035600511,49.7881863211754,47.1338664287512,41.8581952084669,44.3172612429906,40.4059175697463,41.7998040514958,43.1045675020252,46.497520370381,46.0921885047768,40.3719236470737,45.6431419465333,48.7275459574055,41.0966792833726,44.2520457192356,48.4320057438445,49.8297080927299,49.9490286907772,49.9707630593193,47.9512322955986,45.5169493914322
120,47.5456983624914,40.3064321235511,40.3064391670577,40.3064383366712,0,1,1,1,43.6191031806262,48.1516694853681,48.7966413893804,46.9468598436578,45.237125772737,42.9554873670187,42.6822021691184,43.6175446571513,40.347062360188,41.9641659358028,42.0155100788898,42.6002017655814,46.1724288811205,40.3335805847803,46.2805821538779,47.9694509621349,40.8831293274193,41.1343452373123,42.5518426137388,45.7808119590993,47.6458308392179,49.8887235968618,47.2555300794938,47.3259406327922
150,44.2992481650357,40.3064553563982,40.3064510988297,40.3064617426764,0,1,1,1,44.969310221326,46.7678597250171,48.197702327887,43.3436356026689,42.8515844143712,42.6672436491365,42.6512989884505,42.2230893941716,40.3430243032072,42.0649036234681,42.1525499671612,42.3787106024654,46.4516851771504,40.3356856778057,46.6312782342983,47.3259940911027,41.262129083254,41.3948430358462,41.4854655532623,41.9887897742916,42.9211409369718,48.3101822472798,46.6575620835863,44.1180014946342
180,43.4233562157283,40.3064598746436,40.3064490057136,40.3064500873523,0,1,1,1,45.0222956971778,44.2423997769528,43.5720595421579,43.2597137679667,43.5697132964183,43.7375809907221,42.8671142034069,41.2120804544956,40.3326232912523,42.119462278987,43.1903742366116,43.7330375212398,45.6901275391686,40.3420985636121,46.468575809752,46.6678866148131,41.5726480287827,41.7618896328801,41.7550457712502,41.763297193375,41.8531545080171,42.9792355125932,44.2659997714126,43.1804441639907
210,43.4545553394281,40.3064485954904,40.3064487526969,40.3064392431823,0,1,1,1,43.8094676742375,43.02354672853,43.2062328779757,43.8995502917299,43.9755111076576,43.6325484339213,42.3022071772115,41.0574532421766,40.3205456135794,41.7888041561101,42.7514679894484,44.005066310038,44.2421525393882,40.3287364976534,46.3574304248542,46.7276654193525,41.0716331528557,41.5585146127366,41.7576416171532,41.7714072770833,41.7964748796417,41.8919782032375,42.2730430665607,43.7439676313403
240,43.646248214868,40.30646876595,40.3064596319765,40.3064471720571,0,1,1,1,43.509520841362,42.6376821612172,43.0159428365807,43.5749395237952,43.1786005707746,41.8282241591268,41.042976158434,40.9539276733331,40.3201430299121,41.1762326138655,41.4158995906952,43.0268530569553,44.1027159944188,40.327103825321,46.0272215909801,46.154791361952,40.9132840605713,41.0784428490592,41.3545462239497,41.4828777146823,41.6148991639359,41.7010983340651,42.2906961768816,43.6988064980242
270,43.5121820224238,40.3064629148787,40.3064555146742,40.3064501021196,0,1,1,1,42.8799363014256,42.3661569961066,42.5262275255486,42.4158109291475,41.446931666115,40.8869572010844,40.8005636106343,40.7735373252256,40.3176751615975,40.9282571527351,40.9933993947068,42.1296647572783,43.6025898165724,40.3228216459153,44.5599193078286,45.681084932203,41.1159772987277,41.1930631107828,41.2709675583806,41.4193937501555,41.5877491440813,41.6432912667344,42.064920582323,43.0743935177733
300,43.0610307599745,40.3064606554089,40.3064536189392,40.3064506768284,0,1,1,1,42.3474955683687,42.1202365897307,42.1350294014801,41.2034910858814,40.9939959020601,40.8540459101934,40.7807450883973,40.6373455707168,40.3150260150177,41.088260014118,41.046380801439,41.6595856300033,42.7142461976398,40.3201872383539,42.8074028300818,45.0178223674213,40.8955105311163,41.1494385346155,41.3969200238282,41.6074973783668,41.6996716939349,41.5442880601969,41.7298736402864,41.7278900297192
