"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","点10RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点14RH Monitor: Sum of RH","点15RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点19RH Monitor: Sum of RH","点1RH Monitor: Sum of RH","点20RH Monitor: Sum of RH","点21RH Monitor: Sum of RH","点2RH Monitor: Sum of RH","点3RH Monitor: Sum of RH","点4RH Monitor: Sum of RH","点5RH Monitor: Sum of RH","点6RH Monitor: Sum of RH","点7RH Monitor: Sum of RH","点8RH Monitor: Sum of RH","点9RH Monitor: Sum of RH"
30,49.9690826629987,50.4754245549691,50.475424554968,50.4754245549682,0,0,0,0,49.9690826629984,49.9690826629983,49.9690826629982,49.969082666521,50.0226872560013,50.1922818352633,49.9690826665147,49.9690826629964,49.9690826629956,49.9690826629962,50.1922761168418,49.9690826629969,49.9690826629976,49.9690826664523,49.9690826629989,49.9690826629988,49.9690826629986,49.9690826629985,49.9690826629985,49.9690826629989,49.9690826629985
60,49.6735336726686,40.3064598515224,40.306438509248,40.3064396213144,0,3,2,2,48.2563737259662,49.6921595140015,49.9495312647832,49.0420544611939,40.3403537521335,40.3108555406478,43.7041691870844,45.2956131764843,47.8514273049764,46.3228575957056,40.3024326516508,44.4954838742222,45.3667338440419,42.8966090519944,47.0197145421229,48.9368790874946,49.7284906157589,49.8964598429842,49.9688314677216,44.9474319313879,44.3620337210075
90,45.7191398258015,40.3061078409624,40.3065286190578,40.3065905074585,0,3,3,2,48.0979609394674,47.3731385561324,43.7010232151843,41.4794240868927,43.9297306999996,40.388517281436,41.0866215715182,41.3637893561851,42.2112900262132,45.4585266115446,40.316755879687,45.5113926440258,47.3337120812208,40.5049528532129,40.8853058511974,42.0744935322144,44.4524490150312,46.1122143830774,49.5483602888802,44.9918712475558,44.018484685754
120,42.2564091456542,40.3066267705257,40.3064318494887,40.3067057050118,0,3,2,2,42.7445553890792,41.9633248378863,41.4247255512156,41.3355747005672,41.3522621724231,40.3127895450986,41.2371683645805,41.3787315607177,41.5657774563944,45.0694922796497,40.3168794428531,44.9920331606339,46.2366709104048,40.5844864822921,40.7773117775774,40.8489431691199,41.0494503067651,41.4666675057446,45.056925342285,45.1185647188959,43.1711613608153
150,42.0446592617502,40.3066847509975,40.3064672940938,40.3064314666864,0,3,2,2,41.8083552508897,41.8643353085992,41.9718555753874,41.8578355798931,40.6222288746878,40.3213699582936,40.9999329378441,41.1412186996849,41.3929382066434,43.3938870038908,40.3244488053104,42.8796603911756,43.0610942987142,40.9801362010246,41.0166850049617,41.0365059655326,41.0628277487941,41.0726958558475,41.313825516049,43.6315152886035,41.8812285958413
180,41.5282213779943,40.3064687832735,40.3065257335768,40.306379387852,0,3,2,2,41.3064550916542,41.33000833571,41.3892860704109,41.0045285604212,40.6055443178102,40.3120078364741,40.9829035954842,41.2896461301133,41.661524945708,42.1785726760399,40.3273819550613,41.6403387184672,41.8875357891146,40.7598788414934,40.9894860730134,40.9985173313676,41.0088918576287,41.0259324069129,41.0356045428325,41.7816004014037,41.301181729611
210,41.24093529737,40.3067648949306,40.3065763416391,40.3065050851635,0,3,2,2,40.961871550373,40.9183388728037,40.7595449070091,40.545851060615,40.4919405677654,40.3101194339127,40.7444522743893,40.8827944507171,41.4184482935561,41.6044167318794,40.3123204666618,41.2403236121477,42.0743525842139,40.4786430410397,40.6678196710158,40.8325546296714,40.8575459671612,40.8786694372301,40.8858567546349,40.7584091142826,41.0243826735541
240,41.1675331651088,40.3065738261261,40.3063636947706,40.3063437058808,0,2,0,1,40.8221914942056,40.7591310406506,40.5585186164226,40.4689989290572,40.4269797186034,40.9844246056483,41.0949230910088,41.1232981686016,41.5319293699983,41.3645749815181,40.3112210500936,41.0642432569449,41.1605455937624,40.4898113034601,40.5320367414008,40.667523030215,40.7325524462876,40.7826757974789,40.7961237105998,40.9447092674622,40.9242393699117
270,41.1261658861717,40.3065591459327,40.3064510910278,40.3064801293605,0,2,0,1,40.8630143712387,40.79996593389,40.5512987519998,40.4476676709105,40.3235394726547,40.8580516656182,41.1058851462882,41.1434809309582,41.3136485417747,41.0940232154917,40.3125911670615,40.8826973938949,40.7836231865122,40.437569309344,40.4617013416021,40.4722199139881,40.5543353921689,40.6370898362248,40.6634682149441,41.0021666381017,40.8849481753093
300,41.0244755060426,40.30649179743,40.3064771572345,40.3064178727317,0,2,0,1,40.7910766742765,40.748153847664,40.5631080654598,40.5464627194994,40.3273544330112,40.8690915944708,41.0109385467885,41.0668281842661,41.0773430300348,40.8192263205411,40.3104706058983,40.7778281382218,40.8013210914978,40.4702702453998,40.5532925619362,40.633792010633,40.6908457485971,40.701781764696,40.6952904093909,40.8476487529158,40.8041046739291
330,40.9035922159456,40.3064019057522,40.3064408041496,40.3063245744814,0,1,1,0,40.7503005364245,40.7420892497454,40.6850193197793,40.6937064911464,40.6595455669548,40.3088898923196,40.8376099168169,40.9159388104773,40.9621369617704,40.7677645615461,40.3115155328808,40.7447270574216,40.9300578498598,40.4889788177412,40.6283822823764,40.7579895241465,40.8184825135196,40.8107043455158,40.7955683392842,40.7475440496046,40.7737899832424
360,40.7947961169048,40.3066229172246,40.3064207366675,40.3065716809082,0,2,0,1,40.7421882899169,40.7038033365663,40.668960174335,40.6435239353371,40.3072713352896,40.6376800567389,40.8243009746009,40.8416206224171,40.7425122553142,40.6401410422052,40.3130590793963,40.6203241997533,40.7371915027814,40.3596199296293,40.4536672962962,40.5914412658995,40.6379320497387,40.5925519429559,40.5837171132179,40.7086136751867,40.7490012731236
390,40.7055518428082,40.3063016041059,40.3064416374147,40.3063091551444,0,1,1,0,40.7253076493224,40.6533463235378,40.6393521010933,40.6129549806172,40.5173111432939,40.3065304574232,40.7003788424979,40.7392049019532,40.6718045274633,40.6206270255579,40.3092782791703,40.6083296032321,40.639256691212,40.426444701705,40.4794650273221,40.5324515134847,40.5957442049402,40.5335032489378,40.5695314570246,40.6588958175839,40.729027426463
420,40.62712151981,40.3065776929362,40.3064472666408,40.3065158421039,0,1,1,0,40.7153755245609,40.6323538843411,40.6135880245054,40.5988007987916,40.5380217954016,40.3075432913147,40.3584108004086,40.4723642318056,40.6316371900607,40.6137737368969,40.3091694329765,40.5945983249783,40.5821605414733,40.3702416508891,40.3861841800996,40.4536657823576,40.530701897461,40.5277201450406,40.5414308378554,40.6343217083218,40.6390284380315
450,40.5516817420694,40.3065246233477,40.3064873057984,40.3065119356967,0,1,1,0,40.6811600339742,40.6261373255612,40.584021777217,40.5533153173072,40.4860137040883,40.3075627607104,40.3536735946505,40.3709434448696,40.5953878280665,40.5873914582607,40.3100539701397,40.5564681089152,40.529540114618,40.3694500745585,40.393546187433,40.400973037883,40.4351428528801,40.4771363275702,40.5095957256459,40.6114199291407,40.6310452160398
