"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点10RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点14RH Monitor: Sum of RH","点15RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点19RH Monitor: Sum of RH","点1RH Monitor: Sum of RH","点20RH Monitor: Sum of RH","点21RH Monitor: Sum of RH","点2RH Monitor: Sum of RH","点3RH Monitor: Sum of RH","点4RH Monitor: Sum of RH","点5RH Monitor: Sum of RH","点6RH Monitor: Sum of RH","点7RH Monitor: Sum of RH","点8RH Monitor: Sum of RH","点9RH Monitor: Sum of RH"
30,53.049952930463,50.475488049462,50.4754254190713,50.4754567633402,2,0,0,0,52.0899158019673,51.6815114358934,51.9958508366522,51.1210127268003,50.4777283075334,51.1045058293966,52.2532938645137,51.6435331518549,51.1291165307333,51.8896964448099,51.7815018298221,51.6346879227988,51.7674639983401,51.3786067206218,51.8676531854318,51.4315234154967,52.6589914997806,52.8451680644832,52.9771032406547,52.8601280126911,52.669907916955,51.7683657027253,51.6333066412024,52.2993116265627
60,50.857386676045,40.3065353596964,40.3065014362651,40.3065847418131,0,3,3,3,40.6172914001441,40.6348179246166,40.5848055131264,49.66539964672,50.4476333110659,50.5600392531024,48.0339238898435,40.1938956287278,40.0564354421673,44.6595742231909,46.3045345950068,47.3847385189346,46.2465293992618,39.9296705658475,44.2775914120478,49.6053411045213,50.9066582129044,50.7525575760872,49.4894273724446,51.9856261427841,51.9828155604466,51.8010862042552,44.6541257741233,44.8872862077534
90,56.2761366794702,40.3067964460408,40.3067592111221,40.3067056314382,0,0,0,0,48.330184197304,44.8033864856314,47.4996597234953,48.4204401862976,50.2460419299536,49.4531616298117,49.8247778039283,46.6032660117422,44.1474308562823,45.9042991451851,46.2778731246341,47.1003294315051,47.0210582856665,47.0443214496365,46.5433434930551,48.2503951565875,49.6668582850698,49.1216079184981,49.4238789140787,50.7198944716079,50.8883351649423,50.7275186642036,45.1129832894892,47.0126411995228
120,46.8722747319278,40.3060001757011,40.3062228962855,40.3060809660777,0,3,3,3,40.6562363739828,40.3575019645802,40.3725515672653,46.9150331351511,49.2471878601927,48.8535430472201,48.0433473765917,40.1811348226491,40.1878966213915,43.7154922329042,44.0859101650016,43.7953731101142,46.003291764966,40.1183560796031,44.3748385011615,46.5162949100332,47.2753187503589,47.4576825520948,47.9629597185961,48.6779375639366,48.4116234814763,48.0218633136533,41.704654480362,46.4085479265584
150,49.2887018340044,40.3058339961312,40.305360253624,40.3061741369977,0,0,0,0,44.0213360707171,42.7974604343975,43.6836119981325,47.6777158810977,47.4775056835122,47.0928386840625,46.9773797737843,43.5333491873923,42.0999827365363,44.0676183679336,43.613716914995,43.2240603974649,44.6450741061851,42.9220473103436,44.3726496236787,45.3287191195656,45.1351251346087,46.1300263505509,46.6136896435736,47.0273031037287,47.0293570404455,47.5705837638564,44.9041464038327,47.0392354572627
180,43.733312937484,40.3064094694105,40.3065598100174,40.3064539134189,0,3,3,3,42.8182748617725,40.4106533664754,41.0294896633397,47.2089397016871,46.4852220300802,45.266840512141,45.0572234431721,41.1433002473884,40.2841935969711,43.3915913024629,43.5076092042981,43.3580777998936,43.4549759170366,40.2437239199793,42.3824083107295,41.8620272817968,40.9617083758728,42.8280269338787,43.9274982481736,44.7916642988638,44.9552983285899,45.6318632737457,44.3528227236041,47.2019152623577
210,42.6039342403496,40.3069315930678,40.3069195756614,40.3070382264205,0,3,0,3,41.4778873865913,43.7393899857642,43.0665591199965,44.5029889498925,44.0563309763334,43.9336080906327,43.3851911995464,41.4913395440844,43.193999949512,44.1607915299515,44.436067662377,43.7642824859512,41.9700813484173,40.3143292092341,41.833989800779,42.7746279610723,40.3750416901427,40.8570293049429,42.4017513823467,42.9473314340178,43.553740658699,44.0637555774137,44.3946745621075,45.617387196363
240,41.3083679568903,40.3061150613239,40.3065249354833,40.3061569518706,0,3,3,3,42.2548017691287,41.1515733986794,42.2240133249094,42.2801164481033,41.8530748021488,41.7091848838926,41.3484141860595,40.4846394873648,40.2904514121477,41.4902239102643,41.8203965914326,42.6800510359117,42.0402880100762,40.3059712565633,42.0886957833405,42.4835541608365,40.557388878225,40.6433805818529,41.4236455249755,41.5687453372304,41.9136843993679,42.4356659163251,43.2824436700538,42.8089931649385
270,41.0508599105217,40.3076220112334,40.3064804563189,40.307547719612,0,3,3,3,41.9316271469735,41.6249446210439,41.3049499146081,40.9808632972316,40.9336006074427,40.9011687119747,40.7643751828173,40.3788956486793,40.3161493199262,40.6572729780622,40.9293618532134,41.2048928318706,41.7997562811847,40.3119107600696,41.8830911649056,42.24422856108,40.7035689887151,40.698958886328,41.1206116640908,41.1489322969416,41.2407950584403,41.3830578111707,41.8357496123515,41.0883084171757
300,40.9817168781589,40.3069581715605,40.3067500609225,40.3067912941815,0,3,3,3,41.1952933968248,41.0558809550787,40.9279253814765,40.7455841053741,40.7952497993752,40.8673196296457,40.694767061023,40.3591455953635,40.2969451221093,40.4493241909219,40.4858071491133,40.5852519020332,41.1768891134095,40.3035388722826,41.1296553023767,41.3939747025026,40.4132841545794,40.4496123826829,40.5916126537814,40.7660438728303,40.8096826185089,40.996584772599,41.0738911660309,40.6959591884356
