"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","点10RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点14RH Monitor: Sum of RH","点15RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点19RH Monitor: Sum of RH","点1RH Monitor: Sum of RH","点20RH Monitor: Sum of RH","点21RH Monitor: Sum of RH","点2RH Monitor: Sum of RH","点3RH Monitor: Sum of RH","点4RH Monitor: Sum of RH","点5RH Monitor: Sum of RH","点6RH Monitor: Sum of RH","点7RH Monitor: Sum of RH","点8RH Monitor: Sum of RH","点9RH Monitor: Sum of RH"
30,40.306437503891,50.4754245548396,50.4754245549663,50.4754245549108,0,0,0,0,50.4754245549054,50.4754245549071,50.4754245549086,50.4754245549063,50.4754245549074,50.4754245549651,50.4754245549895,50.4754245550405,50.4754245550807,50.4754245550561,50.475424554838,50.4754245550016,50.4754245549757,50.4754245548085,50.4754235360918,50.4726343509158,50.4754235359672,50.4754245548137,50.4754245548438,50.4754245549005,50.4754245549005
60,40.3064242607429,40.3064525513291,40.3064389209723,40.3064407216004,0,3,3,3,48.8567564138773,50.2719538676023,50.466760140333,48.0293339229847,40.3242810773266,40.3025155750695,42.9108965788828,44.4784653857345,47.7689757778952,45.2693366307938,40.3025681944537,43.5245185240582,44.837538154546,43.0926547526046,47.598351911811,49.5691746148525,50.2719639726981,50.3874523574006,50.4745537615749,45.1409452251523,44.5770963706329
90,40.3073353803701,40.3063847235026,40.3063904051054,40.3063528418514,0,3,3,3,47.384091017256,45.8570644317924,42.612356277401,41.1078690133387,40.5062595613636,40.3358118287974,41.0481842381107,41.5439922310454,42.4612597263093,44.9539451115778,40.3198428122822,44.9888027604045,46.3303491288658,40.5340628271311,40.9395606737484,42.2290824697775,44.768596906451,46.4325545989289,49.8133024584836,44.9361878659074,44.0193926138464
120,40.3067170281941,40.3065940025388,40.3066635298535,40.3066127846045,0,3,3,3,42.0804288600939,41.6131549814974,41.3106281645441,41.2771549814712,41.791606312366,40.3203787556716,41.2348114133277,41.2395012153011,41.3129049855334,44.7531147728057,40.3167431625499,44.6649709830227,45.3323842885216,40.5768407787326,40.7489112820269,40.8475659000831,41.0523655404682,41.4219924685857,44.733321596192,44.4408796736056,42.6020396241991
150,40.3062348767646,40.306661686587,40.3065683135475,40.3066957327888,0,3,3,3,41.5076131718361,41.5043745473929,41.5070230000376,41.4055677409969,40.7370874900654,40.3197104369941,40.8341719245317,40.9317885706641,41.0686200993263,42.9499626490109,40.3248587774265,43.5917615016254,43.4391306289043,40.8653260900311,40.9355720362675,40.951261103976,40.9745625525858,40.9984418125687,41.1811035426641,43.011101426831,41.5556994477502
180,40.306540318804,40.3065932025094,40.3065450164841,40.3064293383162,0,3,3,3,40.9565249285369,40.9306967630942,40.7958330108962,40.6940776140851,40.6299134786166,40.3172829701418,40.8055311292162,41.0558996083881,41.4120136945474,41.5302653383939,40.3153452938181,42.4731072098263,42.7449537240065,40.5098981713084,40.7047466313377,40.8081135457175,40.8583150971464,40.887244489547,40.9017658493692,41.0726625294148,40.9879256761181
210,40.306400571549,40.3065284654073,40.3065779942738,40.3064402332289,0,3,3,3,40.5782095374674,40.5343431382212,40.484076150372,40.4078367219512,40.4895125110989,40.3151187656692,40.6183314662327,40.6397694217667,41.0077399622108,41.1897139705205,40.3161245180565,41.3284303187534,42.6566627228658,40.4475428912935,40.5160917562738,40.6693368249183,40.7511438097353,40.7708237869834,40.7615704175774,40.7746483024042,40.6835449002687
240,40.3064834462796,40.3067151155186,40.3067135486708,40.3067883328906,0,3,3,3,40.4073344214333,40.3975551125114,40.3838914173549,40.379180698986,40.3770818706707,40.3133251637095,40.5089395187184,40.5284962786639,40.7628092604292,41.034781612655,40.3120582593068,41.087072053125,41.6092500813943,40.4644415421367,40.5091866822865,40.5153421893167,40.5231397106089,40.5514262141395,40.5709782561037,40.5341786133552,40.4507727863689
270,40.3064962163036,40.3066695942042,40.3065676073525,40.3066327436853,0,3,3,3,40.4080321268072,40.4034997628009,40.3971936343198,40.3869142666707,40.3362259502803,40.3133575806676,40.4228975377931,40.4311307374065,40.5799960767492,40.7010746198998,40.3115897280703,40.7352160896834,41.043958941276,40.3853426121349,40.4503095451528,40.4829042747935,40.5083525903987,40.5165264215366,40.5350951505499,40.4204538008702,40.4137751641204
300,40.3063934533552,40.3065741445292,40.3065132674124,40.3065042525959,0,3,3,3,40.4337575981829,40.4186731344002,40.3895356703794,40.3774562048536,40.3108569460476,40.3114420899432,40.3816720923726,40.3856176317073,40.4617333704873,40.5330311580865,40.3115891097402,40.520363671677,40.6947876114058,40.3463931741731,40.3676186272787,40.4118053286629,40.4620353044394,40.4598302437127,40.4472189268616,40.4521736060992,40.445167824694
