,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,-0.7795079365079366,-0.6547936507936507,-0.5386507936507936,-0.46065079365079376,-0.41522222222222205,-0.3727936507936508,-0.3200793650793651,-0.29393650793650794,-0.2656507936507937,-0.23693650793650795,-0.21507936507936506,-0.1975079365079365,-0.18165079365079365,-0.17307936507936503,-0.1666507936507937,-0.15765079365079368,-0.14607936507936506,-0.13493650793650794,-0.12293650793650794,-0.11436507936507936
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,-0.7795079365079366,-0.6547936507936507,-0.5386507936507936,-0.46065079365079376,-0.41522222222222205,-0.3727936507936508,-0.3200793650793651,-0.29393650793650794,-0.2656507936507937,-0.23693650793650795,-0.21507936507936506,-0.1975079365079365,-0.18165079365079365,-0.17307936507936503,-0.1666507936507937,-0.15765079365079368,-0.14607936507936506,-0.13493650793650794,-0.12293650793650794,-0.11436507936507936
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2,-0.7795079365079366,-0.6547936507936507,-0.5386507936507936,-0.46065079365079376,-0.41522222222222205,-0.3727936507936508,-0.3200793650793651,-0.29393650793650794,-0.2656507936507937,-0.23693650793650795,-0.21507936507936506,-0.1975079365079365,-0.18165079365079365,-0.17307936507936503,-0.1666507936507937,-0.15765079365079368,-0.14607936507936506,-0.13493650793650794,-0.12293650793650794,-0.11436507936507936
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
3,-0.7795079365079366,-0.6547936507936507,-0.5386507936507936,-0.46065079365079376,-0.41522222222222205,-0.3727936507936508,-0.3200793650793651,-0.29393650793650794,-0.2656507936507937,-0.23693650793650795,-0.21507936507936506,-0.1975079365079365,-0.18165079365079365,-0.17307936507936503,-0.1666507936507937,-0.15765079365079368,-0.14607936507936506,-0.13493650793650794,-0.12293650793650794,-0.11436507936507936
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
4,-0.7795079365079366,-0.6547936507936507,-0.5386507936507936,-0.46065079365079376,-0.41522222222222205,-0.3727936507936508,-0.3200793650793651,-0.29393650793650794,-0.2656507936507937,-0.23693650793650795,-0.21507936507936506,-0.1975079365079365,-0.18165079365079365,-0.17307936507936503,-0.1666507936507937,-0.15765079365079368,-0.14607936507936506,-0.13493650793650794,-0.49919047619047624,-0.7546190476190476
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
5,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
6,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
7,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
8,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
9,-1,-1,-1,-1,-1,-0.8506507936507939,-0.7417936507936508,-0.7777936507936507,-0.7927936507936509,-0.8137936507936508,-0.8343650793650794,-0.8617936507936507,-0.8862222222222221,-0.9063650793650794,-0.9149365079365083,-1,-1,-1,-1,-1
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
10,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
11,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
13,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.8150793650793651,-0.7387936507936508,-0.7945079365079366,-1,-0.9119365079365079,-1,-1,-1,-1,-1,-1
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
14,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.8707936507936508,-0.9055079365079365,-1,-1,-1,-1,-1,-1,-1,-1
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
15,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
16,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
17,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
18,-1,-1,-1,-1,-1,-1,-0.7859365079365082,-0.6723650793650795,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
19,-0.7795079365079366,-0.8257936507936509,-0.8373650793650796,-0.8497936507936509,-0.8660793650793652,-0.8746507936507937,-0.7503650793650796,-0.6719365079365079,-0.5892222222222223,-0.4859365079365079,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
20,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
21,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1
