,0
0,27.838604
1,3760.9329
2,126.73965
3,52.528496
4,324.38547
5,327.69968
6,160.99905
7,12.376511
8,3.5060518
9,30.738377
10,0.06525918
11,10.973199
12,15.727344
13,15.772208
14,14.178702
15,6.132981
16,4.35953
17,0.22496744
18,2.2052221
19,6.508092
20,1.0054396
21,4.7631407
22,0.24783725
23,0.060309645
24,0.113053404
25,2.1224375
26,0.30707
27,0.9959572
28,0.10361564
29,2.0710716
30,0.28552157
31,2.7338245
32,3.9827127
33,3.1511972
34,8.547506
35,2.578633
36,0.2838387
37,0.34867695
38,2.7909493
39,1.6070335
40,1.1349491
41,1.5747604
42,0.9804783
43,0.85769737
44,3.9208264
45,1.2657278
46,0.26651594
47,0.30394322
48,0.71019745
49,30.82224
50,22.55127
51,44.73115
52,16.605623
53,49.381733
54,12.340861
55,8.553804
56,0.31751114
57,0.7959322
58,1.211891
59,4.0838757
60,9.124943
61,21.451063
62,31.342308
63,26.781876
64,19.223337
65,2.928381
66,4.8481903
67,5.6118245
68,3.839398
69,2.9175048
70,113.969826
71,30.548048
72,87.4166
73,103.740234
74,111.05199
75,53.350765
76,66.79395
77,52.67902
78,7.8872414
79,2.1106653
80,4.1842256
81,13.0073
82,3.35596
83,2.919248
84,1.1823759
85,6.5237656
86,11.021785
87,5.804199
88,5.034912
89,0.87596685
90,1.83656
91,0.3602232
92,0.5686542
93,1.78546
94,1.0393097
95,56.25762
96,26.258583
97,32.961674
98,8.480059
99,7.3102427
100,3.4532058
101,7.0651217
102,2.4029498
103,1.4949391
104,2.654333
105,4.108968
106,5.079356
107,2.2890525
108,8.398202
109,2.6355867
110,22.970707
111,119.3902
112,2.6849005
113,4.5955267
114,2.2645807
115,8.714652
116,10.105671
117,6.45646
118,18.17083
119,15.289788
120,4.42581
121,6.8253126
122,1.5440814
123,1.1839812
124,14.436869
125,17.180824
126,17.689068
127,5.672694
128,13.324015
129,1.9316355
130,2.2289004
131,6.147963
132,3.5802956
133,2.7585542
134,2.6649852
135,3.6927152
136,5.6034117
137,5.472625
138,1.8202546
139,7.0766716
140,4.1056437
141,5.095451
142,4.585348
143,1.630679
144,2.0694728
145,1.75811
146,3.4945178
147,3.1747055
148,4.153702
149,2.3025062
150,3.0285466
151,2.1845767
152,2.6864383
153,2.6428995
154,1.9700017
155,10.346268
156,102.998566
157,17.221865
158,15.669308
159,17.967632
160,15.532684
161,4.6168075
162,3.2090986
163,6.5386195
164,74.56506
165,26.54165
166,38.284973
167,0.5306664
168,10.880257
169,10.672273
170,3.0149074
171,3.3713372
172,42.09208
173,11.809528
174,1.2814626
175,0.6868878
176,8.919685
177,3.5941916
178,2.5394356
179,4.3889813
180,4.254468
181,0.22401516
182,1.7740896
183,1.709439
184,3.3466134
185,1.3857309
186,1.2084948
187,6.531822
188,6.1131134
189,2.1252856
190,0.515624
191,1.8292577
192,3.5682073
193,0.42800313
194,1.4134723
195,2.0312
196,0.50663936
197,0.1790461
198,0.4547276
199,0.23633537
200,0.81506217
201,8.072935
202,12.9207325
203,11.100254
204,3.1362925
205,8.828165
206,18.056215
207,6.1441116
208,4.8815584
209,2.3103786
210,0.6458138
211,0.91843235
212,1.9626092
213,1.435091
214,0.74696344
215,1.7077146
216,1.9101771
217,3.6252213
218,1.175247
219,3.563434
220,1.5574636
221,1.3598945
222,0.48253304
223,1.3840942
224,3.4805658
225,5.152713
226,3.7146022
227,2.3825836
228,6.562017
229,3.811753
230,2.3310716
231,5.411787
232,4.712078
233,5.545797
234,1.7646145
235,5.940134
236,6.969988
