,0
0,63.532833
1,50.027313
2,62.18104
3,28.082336
4,6.909361
5,8.344917
6,12.498421
7,20.317633
8,12.565748
9,9.720176
10,5.935213
11,2.632132
12,14.829771
13,13.733969
14,8.870247
15,5.16862
16,4.620896
17,2.4089434
18,5.4722195
19,4.562148
20,5.576471
21,3.2753263
22,2.0105054
23,2.6915073
24,2.1937695
25,2.7662015
26,3.05064
27,1.9182224
28,2.4274468
29,1.9698673
30,3.2703087
31,4.3656836
32,4.1320424
33,2.721875
34,2.7610512
35,2.1244378
36,2.1189392
37,2.770367
38,2.1714036
39,2.260745
40,1.8253254
41,1.7071459
42,7.069294
43,3.1160755
44,3.1536248
45,3.1568518
46,3.0536764
47,1.8420913
48,7.4666986
49,1.9545106
50,1.3629515
51,2.3773608
52,1.6795661
53,2.4234114
54,6.6305265
55,3.825482
56,3.1477008
57,1.3267657
58,2.7193518
59,2.0769079
60,4.7610583
61,2.0552213
62,3.4020698
63,2.7330372
64,3.6076589
65,1.6646558
66,3.4646385
67,1.5641029
68,2.6105654
69,3.2114258
70,4.459448
71,6.1070204
72,2.852676
73,2.1685998
74,2.056973
75,3.3348484
76,1.5602026
77,2.8155065
78,4.8619976
79,1.815287
80,3.040183
81,2.8094158
82,1.1763592
83,5.552582
84,7.236045
85,2.6280375
86,2.5948536
87,2.4565635
88,5.2508283
89,3.6523428
90,2.8612518
91,2.751389
92,1.4991636
93,4.386757
94,4.241886
95,1.8583336
96,9.802976
97,5.5290575
98,3.8878145
99,2.0541303
100,2.6341193
101,1.9137726
102,6.7098575
103,3.1055226
104,0.80467564
105,3.2739408
106,1.9441421
107,2.8934197
108,3.8501801
109,1.6325852
110,2.5705824
111,3.0378878
112,3.0195327
113,2.5770564
114,3.8042228
115,2.1112387
116,1.7963958
117,2.3669238
118,1.1634123
119,2.492877
120,1.7884116
121,3.8413353
122,1.8534446
123,1.6434287
124,2.9450493
125,1.9538007
126,2.0398555
127,2.560218
128,4.0331883
129,2.330038
130,1.3276272
131,1.9856737
132,1.701457
133,3.3009899
134,2.1276255
135,1.6230013
136,2.3918324
137,1.4461126
138,1.973062
139,1.3667295
140,1.3424008
141,1.478879
142,2.4618359
143,1.5183475
144,1.7247232
145,1.218063
146,0.974031
147,1.7030373
148,1.60509
149,2.0449228
150,1.6935835
151,1.5833106
152,1.7212268
153,1.0679581
154,1.5477371
155,4.935484
156,1.3623209
157,2.0108118
158,2.1804683
159,3.0533586
160,1.753952
161,2.5050216
162,2.1455085
163,2.4968896
164,2.1418009
165,1.0511856
166,1.439619
167,1.6055834
168,1.7931048
169,2.2333546
170,1.8212233
171,3.704295
172,1.905379
173,2.4810915
174,2.0565007
175,1.690324
176,1.7127781
177,1.9756317
178,2.7196243
179,1.3644142
180,1.733514
181,1.5481853
182,1.2634065
183,2.5819404
184,1.6061517
185,1.8095201
186,2.029593
187,1.3683748
188,1.6383754
189,0.9631663
190,2.7126138
191,1.2016035
192,1.1072521
193,1.3920697
194,1.0954349
195,1.51383
196,2.5988348
197,1.654474
198,1.54701
199,2.3403134
