,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,-0.8111904761904765,-0.6937619047619048,-0.5793333333333334,-0.4863333333333333,-0.41861904761904767,-0.3607619047619048,-0.3316190476190476,-0.308047619047619,-0.26861904761904765,-0.24890476190476185,-0.23519047619047617,-0.20604761904761904,-0.17476190476190476,-0.14347619047619045,-0.1241904761904761,-0.11004761904761906,-0.10061904761904761,-0.09504761904761908,-0.0937619047619048,-0.09290476190476193
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,-0.7053333333333333,-0.5544761904761905,-0.42161904761904756,-0.3329047619047619,-0.2977619047619048,-0.26776190476190476,-0.2313333333333333,-0.19661904761904755,-0.17090476190476186,-0.1537619047619047,-0.13619047619047617,-0.12419047619047621,-0.11519047619047615,-0.11004761904761898,-0.09847619047619044,-0.09119047619047624,-0.0851904761904762,-0.08047619047619042,-0.07876190476190467,-0.07661904761904759
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2,-0.7053333333333333,-0.5544761904761905,-0.42161904761904756,-0.3329047619047619,-0.2977619047619048,-0.26776190476190476,-0.2313333333333333,-0.19661904761904755,-0.17090476190476186,-0.1537619047619047,-0.13619047619047617,-0.12419047619047621,-0.11519047619047615,-0.11004761904761898,-0.09847619047619044,-0.09119047619047624,-0.0851904761904762,-0.08047619047619042,-0.07876190476190467,-0.07661904761904759
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
3,-0.7053333333333333,-0.5544761904761905,-0.42161904761904756,-0.3329047619047619,-0.2977619047619048,-0.26776190476190476,-0.2313333333333333,-0.19661904761904755,-0.17090476190476186,-0.1537619047619047,-0.13619047619047617,-0.12419047619047621,-0.11519047619047615,-0.11004761904761898,-0.09847619047619044,-0.09119047619047624,-0.0851904761904762,-0.08047619047619042,-0.07876190476190467,-0.07661904761904759
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
4,-0.7053333333333333,-0.5544761904761905,-0.42161904761904756,-0.3329047619047619,-0.2977619047619048,-0.26776190476190476,-0.2313333333333333,-0.19661904761904755,-0.17090476190476186,-0.1537619047619047,-0.13619047619047617,-0.12419047619047621,-0.11519047619047615,-0.12412698412698411,-0.11598412698412702,-0.10526984126984132,-0.09884126984126981,-0.09455555555555548,-0.07104761904761894,-0.07019047619047608
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
5,-0.7053333333333333,-0.529126984126984,-0.3576984126984127,-0.29084126984126984,-0.262984126984127,-0.20598412698412694,-0.1631269841269841,-0.14212698412698413,-0.12584126984126984,-0.1172698412698413,-0.0946190476190476,-0.08990476190476186,-0.08519047619047623,-0.08090476190476195,-0.07661904761904759,-0.07276190476190468,-0.07276190476190468,-0.091126984126984,-0.08769841269841253,-0.08684126984126965
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
6,-0.6444126984126985,-0.46998412698412695,-0.3204126984126985,-0.2754126984126984,-0.2342698412698413,-0.17769841269841263,-0.14304761904761903,-0.13147619047619047,-0.11990476190476182,-0.1074761904761905,-0.09633333333333333,-0.08947619047619051,-0.08304761904761906,-0.07919047619047617,-0.07790476190476187,-0.09584126984126978,-0.09455555555555548,-0.09155555555555543,-0.0898412698412697,-0.08812698412698396
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
7,-0.6444126984126985,-0.46998412698412695,-0.3204126984126985,-0.2754126984126984,-0.2342698412698413,-0.17769841269841263,-0.14726984126984125,-0.12419047619047607,-0.11690476190476184,-0.10661904761904761,-0.09719047619047616,-0.08947619047619054,-0.08304761904761906,-0.08090476190476192,-0.07704761904761903,-0.07404761904761899,-0.09198412698412686,-0.09069841269841256,-0.08769841269841253,-0.08769841269841253
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
8,-0.6444126984126985,-0.46998412698412695,-0.3204126984126985,-0.2754126984126984,-0.2339047619047619,-0.18847619047619052,-0.15461904761904763,-0.1383333333333334,-0.12633333333333335,-0.11304761904761904,-0.10404761904761903,-0.09590476190476188,-0.09333333333333338,-0.08776190476190474,-0.08304761904761902,-0.07876190476190474,-0.09669841269841264,-0.09498412698412691,-0.091126984126984,-0.08812698412698396
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
9,-0.6444126984126985,-0.46998412698412695,-0.3204126984126985,-0.2754126984126984,-0.2339047619047619,-0.18847619047619052,-0.15461904761904763,-0.1383333333333334,-0.12633333333333335,-0.11304761904761904,-0.10404761904761903,-0.09590476190476188,-0.09333333333333338,-0.08776190476190474,-0.08304761904761902,-0.09798412698412695,-0.09669841269841264,-0.09412698412698403,-0.09069841269841256,-0.06804761904761891
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
10,-0.7053333333333333,-0.5544761904761905,-0.42161904761904756,-0.3329047619047619,-0.2977619047619048,-0.26776190476190476,-0.2313333333333333,-0.19661904761904755,-0.17090476190476186,-0.1537619047619047,-0.13619047619047617,-0.12419047619047621,-0.11519047619047615,-0.12412698412698411,-0.11598412698412702,-0.10526984126984132,-0.09884126984126981,-0.09455555555555548,-0.09198412698412686,-0.09026984126984114
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
11,-0.7053333333333333,-0.5544761904761905,-0.42161904761904756,-0.3329047619047619,-0.2977619047619048,-0.26776190476190476,-0.2313333333333333,-0.20084126984126982,-0.16698412698412696,-0.14898412698412694,-0.13484126984126987,-0.12412698412698411,-0.11984126984126983,-0.1104126984126984,-0.6855873015873017,-0.9303015873015873,-1,-1,-1,-1
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
12,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,-0.8355555555555556,-0.6876984126984127,-0.5831269841269842,-0.5106984126984127,-0.4382698412698413,-0.3718412698412698
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
