"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点02RH Monitor: Sum of RH","点03RH Monitor: Sum of RH","点04RH Monitor: Sum of RH","点05RH Monitor: Sum of RH","点06RH Monitor: Sum of RH","点09RH Monitor: Sum of RH","点10RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点19RH Monitor: Sum of RH","点20RH Monitor: Sum of RH"
30,50.475424554968,50.4754245549681,50.475424554968,50.475424554968,0,0,0,0,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968
60,50.2232175380673,40.3064524716406,40.3064388858429,40.3064406619528,0,3,3,3,40.6891114723472,40.6864866873981,40.6919582380269,43.0886697704435,47.5933292259553,49.5691930961367,50.2920801360712,50.4264695158807,44.5824176676371,48.8434288522784,50.2694760330638,50.4665364432621,48.030748803812,42.9153964761135,44.482376687188,47.7662482222929,45.2777942727206,43.5324780441806
90,45.9927946626879,40.3063307157823,40.3064237026648,40.3063086208827,0,3,2,3,42.3832410038238,46.6762229506403,47.9744229435223,40.5329447937862,40.9219189553291,42.0969747600572,44.4345808666141,46.097993774969,44.6881667261875,47.7172232323312,46.8594587672724,42.9527731484103,41.138489227079,41.6507057330469,42.6751274055222,44.2747452443965,44.7535902848452,44.7708491699614
120,42.281822281636,40.3063463197037,40.3064984352858,40.3063571704595,0,3,2,3,43.8568154604745,44.6893828826032,45.8192172685764,40.6646952880629,40.75429429006,40.8638183304057,41.0689733841903,41.403440542341,42.6648292727711,42.2533362947937,41.6467406370115,41.2833433776186,41.249899412091,41.5860384113634,41.5718358376897,41.9652153451391,44.5392070289462,44.2647624694569
150,42.2252257958449,40.306793193227,40.3065305260059,40.3068090896421,0,3,2,3,42.854720974051,42.5770392010174,42.0213270959063,40.8114393642464,40.8451448537922,40.8667554402062,40.9058488948349,40.9558139981742,41.6733275141016,41.6988852501747,41.7370657781388,41.6890782202029,41.5408345278132,40.9711662040416,41.1072418642159,41.3580389584169,43.4083845880919,43.039767697735
180,41.4753426722621,40.3065233908399,40.3063347213792,40.3061945994991,0,3,0,1,41.7534613903925,41.8902482225354,41.5265944604392,40.6867368441237,40.8657730469517,40.8832025747782,40.8932876324951,40.9228076092225,41.9375936295937,41.8112427785406,41.695851899691,41.7787938724974,41.5883897030698,42.1576616775542,42.1115543568879,42.2145239239877,42.0460626666623,41.6745049125657
210,41.2948667388532,40.3064271272775,40.3064393621818,40.3063498214591,0,1,1,1,41.6606522534642,40.366755072223,40.9350659874675,40.7479421945786,41.1079616810546,41.4129589462567,41.4435527852133,41.386773604689,41.7322468656684,41.9338584188597,41.801370812888,41.6728670269915,41.4976140877978,42.2412055289729,41.9613425329576,42.0161256396688,41.6376228819171,41.50660290027
240,41.3035026529549,40.3066623950886,40.3065165374301,40.3065058203521,0,1,1,1,41.4242057529975,40.8389904908527,40.7608397336032,40.5540390915831,40.6710026403267,40.9674007875601,41.1856931855884,41.1954015366838,41.4273433231372,41.5265483877551,41.4591542640921,41.0797442455001,40.6476666465542,41.8303076201774,41.5321089767404,41.559496405305,41.4841129035647,41.3646892305513
270,41.3577800214688,40.3064828660707,40.3064092981547,40.3064714636002,0,1,0,0,41.3285153726339,41.4153759934246,41.0071201030438,40.4493409413564,40.4890889673518,40.5246951414143,40.7651869120849,40.9052654843394,41.348812285406,41.3766242277249,41.2356701236159,41.1016285205061,41.0044629163941,41.6831404585062,41.5716220234609,41.3861594569999,41.4497359035481,41.3633587573754
300,41.3886562217641,40.3064466383777,40.3064438699221,40.3064272582208,0,1,0,0,41.2236549587853,41.4179807007223,40.8819800981264,40.4822962072502,40.5150375298857,40.5510829399295,40.6357155439701,40.7315923989539,41.2570120127617,41.2248693525052,41.1546035003428,41.1627732467031,41.0885123964033,41.4534834622517,41.5919852338706,41.4160689391014,41.3380413410574,41.2509407088855
330,41.3479953267099,40.3065006814468,40.30647833116,40.3064653287738,0,1,0,0,41.1644047046339,41.3666233370495,40.8629841281785,40.5575608017036,40.5953314067405,40.6918348790777,40.7487656258602,40.8142511820131,41.2092407543503,41.1640750156156,41.1350238570022,41.1092320996768,41.0641235257333,41.3064928492309,41.555770253059,41.4207199819493,41.1809180938091,41.0777072445894
360,41.2616896372791,40.3064578164742,40.3064387680049,40.3064404678355,0,1,0,0,41.1187946088523,41.2621341656118,40.8297023782104,40.4801304707011,40.5410289296166,40.6199081809628,40.7152322863453,40.7476505878242,41.1467263907732,41.092214180561,41.072013874245,41.0160916813627,40.9789822945566,41.2687060374702,41.5346175807734,41.3245433168729,41.0192394393048,40.967955869358
390,41.1573904108355,40.3064553885488,40.3064349071862,40.3064357840982,0,1,0,0,41.0804267329771,41.1010026433678,40.7795547479639,40.4677340950063,40.5205039672657,40.5738982758486,40.6846933227622,40.7159779414856,41.1210721957323,41.0565554913355,41.0350589881525,40.9804593962432,40.9214532567274,41.3281866161473,41.4747763556298,41.0813508071234,40.947078904423,40.9052819172628
420,41.0987074621341,40.3064599304395,40.3064395088839,40.3064374308746,0,1,0,0,41.06153218211,41.1386357062598,40.7454399665206,40.4616531956194,40.4972061168237,40.5509060001369,40.6242319550129,40.6651578837956,41.1278209207994,41.0441794161868,41.0153067930437,40.9622872606168,40.907485362257,41.2727169704933,41.2775087611186,40.9492168023912,40.903693880768,40.8475958321212
450,40.9750051841684,40.3064590227965,40.3064380560884,40.3064347631032,0,1,0,0,41.0660619966189,41.1445789818275,40.7607018363111,40.4802202715875,40.5377210632966,40.568019581059,40.6052975687101,40.6430843600476,41.1638611004335,41.0643652541365,41.0026326227732,40.9562304533075,40.9022851506244,41.1322209714701,41.0841999914602,40.9107173588103,40.8535096257246,40.8339388111662
480,55.6015790954765,40.3064937880884,40.3064370579235,40.3064399208601,1,1,0,0,50.6785191306487,46.6622027649731,49.1962859462408,43.2929572956213,44.8791982386789,52.6309861149739,54.2644960991886,52.3714752787598,43.6721341855028,42.5676053405358,42.1123017720573,41.3133644974525,42.2244520380903,44.0366215892308,43.8217491800313,43.4891157594513,44.3217690995391,44.7263363683082
510,49.0543679204014,40.3064310728709,40.3064955949882,40.3066628920779,0,3,3,3,43.8416051551786,40.6068691945347,43.3654814625401,40.9353531389347,41.0503107085164,41.8452021622454,50.1529229338517,48.8687533712965,46.1258172482241,43.0765599954532,42.6255805988168,42.2515050270118,44.0257130037455,41.0124720018585,41.2868764577822,44.0450347553562,42.53954328956,41.9526297204972
540,44.3231098277186,40.3077661978042,40.3068083783046,40.3068220994138,0,3,2,3,44.4316656347652,43.6581572714693,44.0067167720585,41.3028573293513,41.4962198459513,41.6841158758721,42.5328441500414,43.3728748760056,43.3082649236543,42.9518766065766,42.646324977028,42.8951875744942,43.7334702422214,41.6993699570325,41.9649685295826,42.123658041977,42.3230711442113,42.2364887581604
570,42.815417793659,40.3065188949048,40.3064069172044,40.3060301364098,0,2,1,3,43.5986757439878,43.2040330208321,42.9048413603529,40.9569355058275,41.146555149931,41.3756886823396,41.54727362245,41.8878502366206,41.6256336141054,41.4631718904151,41.5607726039662,42.0320935115068,41.92893070457,41.0617031425247,41.1911381259907,42.225673013377,42.1299288110852,42.2602520143859
600,41.4142218233722,40.3065424780711,40.3064472145139,40.3064253378075,0,3,0,3,41.9823219516638,41.7450893089752,41.5931856588131,40.5791974102718,40.6286127051168,40.6897774695063,40.7863652628907,40.876803324175,41.2869418662871,41.3157430944844,41.3716404733557,41.4210761274323,41.2028134241656,41.3416460200572,41.4338360646526,41.7698530509355,42.202278745808,42.2341347145589
630,41.3079738311823,40.306543505141,40.3064419013763,40.3065203155382,0,3,0,3,41.1810979366928,41.0716097556517,41.1930826369056,40.5387956414858,40.5760253717212,40.5882078389496,40.6150449174158,40.6596044000312,41.4524725761922,41.4421730409518,41.4159499067261,41.2551917219637,40.970788814335,41.3340946517501,41.3775555202559,41.5155101613261,41.5443219493078,41.3874385209961
660,41.2032989061314,40.3065608163878,40.3064391226456,40.3062617485303,0,1,0,0,41.2284141319248,41.4202547048181,41.2969150787722,40.7268365270616,40.7816054473575,40.7700206296285,40.8418976591151,40.8504273985033,41.4184089867011,41.4599501448654,41.5179366909263,41.5052870886004,41.251583304713,41.5366022148704,41.4716184779473,41.551908004681,41.4146830025504,41.3585995193611
