"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点01RH Monitor: Sum of RH","点02RH Monitor: Sum of RH","点03RH Monitor: Sum of RH","点04RH Monitor: Sum of RH","点05RH Monitor: Sum of RH","点06RH Monitor: Sum of RH","点07RH Monitor: Sum of RH","点08RH Monitor: Sum of RH","点09RH Monitor: Sum of RH","点10RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点14RH Monitor: Sum of RH","点15RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点19RH Monitor: Sum of RH","点20RH Monitor: Sum of RH","点21RH Monitor: Sum of RH"
30,50.475424554968,50.4754245549681,50.475424554968,50.475424554968,0,0,0,0,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968
60,50.3110538014927,40.306461373571,40.3064385204357,40.3064511585444,0,3,2,3,40.6887484795464,40.8726923605335,40.6927494421336,40.3025541438943,43.195135339354,47.9843029986911,49.8415344935817,50.3802903425789,50.4555628534973,50.4754051506819,45.0026603942957,44.7200953538681,49.5300007081265,50.4521478790906,50.4751023454524,47.350381786296,40.3242325278059,40.3110895888575,43.940528531021,45.5748504254469,48.423700301386,45.1314211801188,43.4303537297409,44.9828158581781
90,45.9932832608356,40.3058625116737,40.3064644736125,40.3058440154192,0,3,1,3,42.3254805284544,45.6551205856845,47.9736153561567,40.3090503801519,40.5268746479758,40.9575822843986,42.2865919794365,44.6303547356277,46.1976317816236,49.9297408669235,46.134444122887,44.5633316988889,48.8679980503941,46.9226690999576,42.83349582465,41.1664352007926,40.5015972010793,40.3766407151014,42.8206634399215,43.7686076077916,45.9179242790433,44.7503214393242,44.786994681359,45.7456206178404
120,42.2623875575282,40.3062891147046,40.3064130368258,40.3062817848316,0,3,1,3,43.7910669956639,44.5514755207701,45.5613130871045,40.3375728392895,40.6666318614464,40.7791029450012,40.885307408505,41.1069201311731,41.444559069017,44.2295527191217,45.0122120454713,42.7530716313491,42.3374809037871,41.7162027905873,41.3600060061219,41.3326127692992,42.1339124008657,40.3209903965616,42.1619331790608,42.2482101372177,44.2598679011464,44.6360824847257,44.3166980139365,45.0899387797575
150,42.1994047498544,40.3069458178662,40.3064958935601,40.3069311544823,0,3,1,3,42.8545492713483,42.505999359613,42.0078340986874,40.3285052265129,40.8707083993267,40.9191097711736,40.9305117710875,40.9688261211215,41.0212594978487,41.1794446504689,43.3589472450569,41.7287302823427,41.750728104247,41.7750092822862,41.7217335589627,41.5914980382725,40.6716336224319,40.319976955339,41.2612222438947,41.6274724454849,42.1060850703666,43.1927537070892,42.8785909124614,43.074653041005
180,41.4495489182093,40.306480935854,40.3064288832007,40.3061882081583,0,3,1,2,41.4895953343394,41.3918766125805,41.5212773756719,40.3190048849656,40.6481362267432,40.8447792715376,40.8703380567382,40.8916050210865,40.9270499428529,40.9433396301282,41.4000882033903,41.825304967891,41.7044210999732,41.5683549675679,41.5975319036086,41.3160774499832,40.7064648260983,40.3130096567122,41.4184508176113,41.4961823641642,42.4445283418836,42.141782220835,41.6233300261505,42.2114790704976
210,41.3314359312175,40.306643576224,40.3064700189692,40.3064059869475,0,3,1,1,41.3566136265518,41.2702795540067,41.1716437402845,40.3174609202085,40.4897966565865,40.5918925715739,40.7136281394049,40.751170121151,40.7906869004007,40.8147453621372,41.2053882543551,41.6087130511627,41.53715218154,41.5121875593912,41.3555631560644,41.0176943030734,40.4178092344167,40.3139192910041,41.3293210473275,41.6044736849914,42.1972352063826,41.4754646235426,41.2738789793287,41.2184262258605
240,41.3419875216324,40.3066052054462,40.3064773991173,40.3064458273971,0,1,1,1,41.1438869616575,41.3767122196776,40.794096865318,40.3152819405051,40.6478353273153,40.6810107086032,40.7855145144346,40.8632880921403,40.8886942500892,40.8911491057266,41.254574399493,41.1758129802092,41.220067152845,41.1682542666888,41.0037154486037,40.516349193133,40.3338862421673,40.3124578853985,40.6479327024661,41.1410365181028,41.3556092382291,41.216847891864,41.1330204805701,41.0774079580801
270,41.197649383903,40.3065122327794,40.3064222306468,40.3064012508606,0,1,0,1,40.9920549512161,41.1930251566478,40.8338241046833,40.3094535947496,40.4233363808271,40.5157833806915,40.5863371032524,40.7124723019912,40.782568088277,40.8308700816227,41.10469102192,41.0076810278012,40.9063060826248,40.8953497301183,40.8079499706737,40.4699284658165,40.3780018211351,40.9465018174141,41.127106270747,41.1437764078681,41.1786336892198,41.1252442163739,41.0329037708545,41.1466060342419
300,41.105031155165,40.3062901308044,40.3064427314459,40.3063155199375,0,0,2,0,40.9184668719745,40.3490415761705,40.930410077111,40.709879570774,40.7760703828672,40.8005793138754,40.8987614895472,40.9032409896549,40.9207247417344,40.9122269532201,40.9372870046706,41.0420688182427,40.9936630606446,40.9571883598065,40.9154784864292,40.8292262387592,40.8467251618566,40.3046556779239,40.5155208256398,40.8012616272647,40.8123030633209,41.1240806995184,41.0866565447766,41.0467818490139
