"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点02RH Monitor: Sum of RH","点04RH Monitor: Sum of RH","点06RH Monitor: Sum of RH","点09RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点20RH Monitor: Sum of RH"
30,50.475424554968,50.4754245549681,50.475424554968,50.475424554968,0,0,0,0,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968
60,50.0584026430415,40.3064509227437,40.3064388544785,40.3064291108083,0,3,3,2,40.6890975869816,40.6853593053993,40.895966502862,42.9367399301695,49.1161444074937,50.3423243403927,44.4989445907107,49.8362490287943,49.8776712791494,42.8159141507882,47.5505617201304,44.9104975692415
90,46.09612392022,40.3063178183773,40.3063463656377,40.3068041009251,0,3,3,2,42.4009973114437,46.9162580878173,48.9375233597306,40.5331478733168,41.8764044696724,46.1357600533717,44.2983085557919,49.2956458117622,41.5930125868742,40.9458056091979,42.2403009014184,45.3005748674992
120,42.4979004239407,40.3063928516959,40.306491765324,40.3065003706567,0,3,1,1,43.9595289877337,45.2522407721962,45.209785351138,40.6449581095026,40.8315419851191,41.4145124328374,45.060422669512,42.9489735650506,41.8685841359259,42.4217896446127,42.1953715775492,44.7622423855036
150,42.7467756495901,40.3064749923297,40.3064773572778,40.3063628038224,0,2,3,2,44.3561019602576,44.5987588975381,42.6907845447283,41.0068389534606,41.1468969827349,41.2942843895769,41.8844730457231,41.8425856809013,42.0162622844599,40.9972552126568,41.5983127621827,43.506247434991
180,41.9634333510076,40.3067290953981,40.3060641272688,40.3065393402766,0,3,1,3,42.4569266974571,41.7710639943901,42.1922581267918,40.7698906123676,40.9606264808596,41.0151313629351,41.159468097767,41.1850020052872,40.8371122519903,41.1012510694792,41.6442114866712,42.3115397336216
210,41.5030001175166,40.3061809449384,40.3064426978799,40.3061382371518,0,3,1,3,40.9084240562963,40.9843685756235,41.1843997122944,40.5146779369927,40.7439897710209,40.8103291093216,41.0775776690393,40.9210039997581,40.6437273294847,40.9324653278856,41.9665706325085,41.4401011097075
240,40.9996273711303,40.3067516221211,40.3064924773145,40.3065984599444,0,2,0,2,40.9656001514234,40.9288018074289,40.9940730418132,40.4860447275183,40.771068760678,40.9028326669139,41.0394823926002,40.6466042140656,40.4859311020422,40.9977767131941,41.7444021488493,41.1292859223546
270,40.9405480760576,40.306544561947,40.3064345199386,40.3064783162928,0,2,0,2,40.7935179672968,40.9853189209361,40.7792757635346,40.435961373117,40.480094096024,40.5647631986138,40.5641957059201,40.4540292267269,40.4295983889238,40.9609281939859,41.3379671456103,40.9415873878228
300,40.7939968401204,40.3064308251482,40.306427400806,40.306380108407,0,1,0,1,40.7466879835472,40.9130202701501,40.7379799766518,40.4690940305657,40.572195187742,40.6054309542316,40.7271091290874,40.5282743010963,40.4519390525594,40.9335171530431,41.1660402841093,40.8016330469213
330,40.7624313164768,40.3064978359215,40.3064370804345,40.3064751372807,0,1,0,1,40.6078253776993,40.8826537933079,40.6386054187861,40.4060777461333,40.5918848244661,40.6612713012282,40.8667951662247,40.6202454883212,40.4785281147733,40.9156535029145,41.027822010518,40.6732616279757
360,40.6667138354065,40.3064419852961,40.3064383808089,40.306419537668,0,1,0,1,40.535090725106,40.8295881833039,40.6411334341333,40.4146454608028,40.5304196636697,40.5882458850479,40.8323962696392,40.6441685012401,40.5013020297515,40.8861757164765,40.9398040648345,40.5887662350543
390,40.5237840659437,40.3064517482243,40.3064331256176,40.3064473160292,0,1,0,1,40.5638648419884,40.6920188839165,40.5952579480215,40.4281786064452,40.4659277943966,40.540529554602,40.7544386430722,40.5831090228059,40.4997591650718,40.8034625416368,40.8423253505369,40.6422559813364
420,40.45944048399,40.3064577806072,40.3064352106965,40.3064499709866,0,1,0,1,40.5402626270885,40.6076769552769,40.5485367932753,40.3905354360449,40.4338386114663,40.4961204395611,40.6738495596675,40.5136631998953,40.4959813549839,40.7429677722134,40.7831493723495,40.6608698236977
450,40.451602564621,40.3064486105217,40.3064369770575,40.3064418193536,0,1,0,1,40.504401415379,40.5610984953912,40.5119267812999,40.3635958690136,40.4034986198553,40.4824811025529,40.5589456988491,40.4464783896788,40.42877343987,40.6648809895709,40.7072890337606,40.6152156392568
480,55.6015960516015,40.3064901131551,40.3064370938919,40.3064428227573,1,1,0,1,47.6171303143053,42.8889440558327,49.7662804361935,43.3523245236843,53.5135270391485,52.7746256338798,43.0404647758526,44.3681411738026,46.8704297375087,43.1111496821183,41.9645413668418,44.5096094791939
510,45.8610876611762,40.3063213231565,40.3064313342256,40.3063130208586,0,2,2,3,45.3007534166594,41.4586072922153,47.6118125149319,41.1096080669607,42.800810279744,47.7095435119201,43.0855904182534,43.5685469574594,44.6044131665307,41.465950545271,41.7709286709559,46.3075681011995
540,43.5058669455117,40.306867307563,40.3064127424433,40.3063979098462,0,3,1,3,44.2462159273491,42.2756110281028,43.8180112032123,40.6994291328689,41.2442335450222,42.7672754975322,44.0920627233986,44.2851903810654,42.6452125327135,42.5699938222862,43.0426375476382,45.5457095937912
570,42.2642564755689,40.3064876365128,40.3064514118967,40.306490753658,0,3,1,3,42.6049691057255,41.9167847944402,42.1401788213239,40.8065237697716,41.0532260943869,41.650159425966,43.4831700720777,43.2384660307675,41.5961729621827,41.4177261943802,42.813258558614,42.6966041015914
600,41.980738589561,40.3066759847568,40.3064625988607,40.3064286349345,0,3,1,3,41.71274071021,41.4105127782014,41.4795139477006,40.5771003934505,40.7253814487578,41.175590122797,42.0767745385514,42.4484244536122,41.3339057785466,40.8433354695927,42.4511800618655,41.8096460780734
630,41.5652547363663,40.3066445977831,40.3064582811624,40.3062965918221,0,3,1,2,41.3872056513033,40.9938718674494,41.2487117976454,40.5292024685714,40.7388248429616,40.9104220908358,41.7425924186914,41.9269344161982,41.1815703048204,40.4948664587921,41.6693740818026,41.2288067939324
660,41.2179234756713,40.3066723889726,40.3064348476751,40.3063753513034,0,3,1,2,41.1315849012082,40.8643943046138,40.997628748095,40.4647420980038,40.5866668704373,40.7234389648581,41.0615872239003,41.2297784332298,40.9078728810915,40.5271267960636,41.2047787081015,40.9269027201311
690,41.0538885919683,40.3065035549012,40.3064293094768,40.3062446876721,0,1,0,1,40.9723032835019,40.9909145605942,40.8958251471407,40.5458900612489,40.667169994329,40.8214908543358,40.8627129187844,40.851307767355,40.8387915639092,41.0470594698902,40.999544373874,40.8812573029046
720,40.9402356477953,40.3065147263151,40.3064401760505,40.30642754135,0,1,0,1,40.760870927068,41.0025272502059,40.7836923717445,40.385312570634,40.5144173497567,40.8022556686891,40.8707725232434,40.8661837557753,40.8576951341703,41.0524317329753,40.8617714716305,40.7420104783121
750,40.8864198630906,40.3063748920922,40.3064283126411,40.3063641094249,0,1,0,1,40.8903513672897,41.0049791880873,40.7473187939266,40.3834375890847,40.503260272885,40.7536142468558,40.8517380071655,40.8601240091537,40.7734851694133,41.0278793133389,40.7883156238544,40.6493379352371
780,40.8378603745705,40.3064745782894,40.306438164069,40.3064131103154,0,1,0,1,40.8743265961061,41.002718789916,40.7043943340339,40.45549105043,40.5010612647221,40.6786703474668,40.7961651381172,40.7808541066245,40.5993193301059,41.0069495735006,40.7699794200801,40.624785154477
810,40.781923114219,40.306487446028,40.3064394200953,40.3064362092778,0,1,0,1,40.7985571419764,40.9522946143915,40.628849744455,40.4224643715866,40.5308899485358,40.5810310472139,40.6772761638517,40.5947223679626,40.4683291327974,40.9558735411072,40.7859697182318,40.6322714104326
840,40.7423910116112,40.3064574126794,40.3064371656786,40.3064334278047,0,1,0,1,40.6711640222623,40.7860754087394,40.5513417397583,40.3794886976674,40.463903170422,40.5202806945237,40.5510914571416,40.4834848385474,40.4363342269298,40.8264318403101,40.7891474130467,40.6221527854314
870,40.703734722278,40.3064688686257,40.3064372184694,40.3064369202416,0,1,0,1,40.5624689844457,40.6290021450009,40.4954862307186,40.3528656205723,40.402999279395,40.4826421027425,40.4808606869047,40.4467244207229,40.4275670204787,40.6860347879461,40.7621076522533,40.5874116817325
