"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点02RH Monitor: Sum of RH","点04RH Monitor: Sum of RH","点06RH Monitor: Sum of RH","点09RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点20RH Monitor: Sum of RH"
30,53.049952930463,50.475488049462,50.4754254190713,50.4754567633402,2,0,0,0,52.0899158019673,51.6815114358934,51.9958508366522,52.6589914997806,52.9771032406547,52.669907916955,52.2993116265627,50.4777283075334,52.2532938645137,51.8896964448099,51.6346879227988,51.8676531854318
60,51.8981506437203,40.3065007682842,40.3064655726939,40.3065185918889,0,1,1,1,45.4915352580957,42.5961349670181,46.863104458652,51.7269369983597,51.3506741723335,52.419310230253,46.7500341038557,50.4900045663306,49.5762571652198,47.5414852974862,49.9729151023954,48.1798220510765
90,57.118742482446,40.3064722682007,40.3065241405945,40.3065220724454,0,1,1,1,45.523922883957,45.8482471681117,46.5642293439204,48.3531482608745,50.2843880086424,51.69304565259,46.2785894531141,49.712014074434,45.6949333381287,44.6220810991555,47.9285645274181,46.1730380157653
120,47.6411249909692,40.3063688719199,40.306416309724,40.3063996100829,0,1,1,1,44.0316207903692,47.0912082649863,47.0944761564166,41.9194141135637,49.1440982489801,50.1403376260702,47.9859812298037,45.9502458390305,43.9733208334105,42.4401164388208,46.9810401885264,45.6083970762413
150,47.7816440560183,40.3063150915043,40.3064784107742,40.3065361049558,0,1,1,1,46.0805884112886,47.0124413833762,47.9251341917889,41.6056490084759,45.7611162036461,46.5501856031742,46.1283044495773,45.8386530870289,44.8846139464315,41.7021441610482,46.6180907125456,47.0198389318469
180,44.7580122957685,40.3064470795873,40.30644969165,40.3064542523467,0,1,1,1,45.9013477241479,46.2812413377748,46.0958949535556,41.557244862574,44.6712391388243,46.3197164090001,44.746163925692,45.8693171662131,45.0038816825175,41.7677257332424,44.8418412828178,47.0981537127405
210,51.0596995195852,40.3064902886758,40.3064471549791,40.3064480708695,0,1,1,1,44.8225801987416,45.550860694058,44.9708155962215,41.5089358707622,43.9240426250119,44.9737043262865,45.2225953586775,45.9123046246171,44.6218142746738,41.3010679530844,43.9046899893559,45.2380913636458
240,44.5080128869815,40.3065282284477,40.3064636417899,40.3065085123721,0,1,1,1,44.0469207819344,45.051500198462,44.2448743681786,41.4151853108159,43.6750578578093,44.3669289574155,44.7764347143229,45.2477586709373,44.4497712527121,41.5642583441348,42.1480066281884,42.9030806388134
270,43.6752862819519,40.306407132063,40.3064405657063,40.3064319267669,0,1,1,1,44.1209063958791,44.29915153676,43.4458740507165,41.457445299299,43.3444762858975,43.4534356581382,44.4680853785236,44.278751747231,43.9715177553724,41.5210020499979,41.9796430242559,43.1855622373021
300,43.3804895940151,40.3064698033553,40.3064271664963,40.3063651486199,0,1,1,1,43.9493235117986,43.706383452618,43.3924011575113,42.1962539213798,43.3746783420262,43.5540098857032,42.8777504166358,43.0969380927305,43.7933203185007,41.4029306356002,41.8402113471274,42.8628091514238
