"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点02RH Monitor: Sum of RH","点03RH Monitor: Sum of RH","点04RH Monitor: Sum of RH","点05RH Monitor: Sum of RH","点06RH Monitor: Sum of RH","点09RH Monitor: Sum of RH","点10RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点19RH Monitor: Sum of RH","点20RH Monitor: Sum of RH"
30,50.475424554968,50.4754245549681,50.475424554968,50.475424554968,0,0,0,0,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968
60,50.2232175380673,40.3064524716406,40.3064388858429,40.3064406619528,0,3,3,3,40.6891114723472,40.6864866873981,40.6919582380269,43.0886697704435,47.5933292259553,49.5691930961367,50.2920801360712,50.4264695158807,44.5824176676371,48.8434288522784,50.2694760330638,50.4665364432621,48.030748803812,42.9153964761135,44.482376687188,47.7662482222929,45.2777942727206,43.5324780441806
90,50.2212545542535,40.3065878746214,40.3066301490723,40.30656882984,0,0,0,0,43.8991590542181,42.993807264427,46.3028560701421,45.629038135399,49.0055423019339,49.9818618945483,50.258472925238,49.8692068268827,44.3758057429844,47.2372362266934,49.669275549726,50.3249706121654,49.5558868768158,44.2665361855875,45.5242890702999,46.9800011500336,45.9858260902042,44.9264000435474
120,49.1138113313348,40.3065421101389,40.30642476733,40.306558110175,0,3,3,3,40.4200717013003,40.3944703406222,40.4930417739226,41.4277074355865,44.9270550540428,48.4007198177742,49.984657206785,50.0882760012831,43.3535862768112,45.3643568664098,48.1155271080296,49.6666075225934,48.7879813053368,41.2494564363491,41.9223114734251,43.7419143191892,45.8352382510404,45.5285658086785
150,49.348027424826,40.3055505520742,40.3056293150416,40.3055804916183,0,0,0,0,42.6777460938051,41.6202126765986,47.1559382835549,45.4412467680444,48.1850093969797,49.0823652387204,48.7023794485468,47.1647751460799,42.7177633459471,43.4906512180727,45.4998592365876,47.7944220170049,48.8795479256116,41.1192495487563,42.229376150549,43.9253152096093,44.6519691453038,43.817481834377
180,48.2523468773626,40.3070522974925,40.3070022476059,40.3070711146103,0,3,3,3,40.44260580365,40.8646849357722,40.6470285293816,42.0432612483312,47.0083993943223,47.8841221757826,48.8291381173607,46.4072487322158,42.6962506879869,43.5831221073281,44.0144464124632,46.0423773703241,47.7052985138373,40.5850100382884,40.6948584193499,41.5594285872494,42.8560807903676,42.061814566513
210,47.6243879202213,40.3069711408816,40.3066684282586,40.306782247038,0,0,0,0,43.0782505722791,41.2070733191844,44.2545130232543,43.8409885116673,45.6317309072035,47.7552161709618,47.1621679629087,44.8423951649056,43.2440365570037,43.5041963709975,43.3183611811846,45.1230068328961,46.5231472604197,41.3619278683055,41.4790697801325,41.4084366714268,42.6074755108531,42.3185856720528
240,46.5575307323748,40.305792750919,40.3061565778876,40.3060181641044,0,3,3,3,40.375016764836,40.3252099874348,40.6291273840371,44.4135100683189,44.2313558989298,43.9796853615631,46.0070497167431,44.2154639569714,42.6823464510634,43.2750567837836,43.2221482293511,43.6100406336009,44.700847258158,41.0418279665437,41.08665286297,42.2265437644864,43.1766398992057,43.0424882030778
270,46.1705171245634,40.3061496676629,40.3064026894081,40.3062325684311,0,0,0,0,43.7458256621331,40.8265198089169,42.2414107429458,45.4438938196933,44.6129041270883,43.5871532844932,44.4554926140993,44.3524204344841,42.4354821013975,43.0535054064665,42.9360190184858,42.9630521390405,43.2793328576264,41.7416776410257,41.7843295009902,42.3397211155115,42.7365737462345,42.109574420278
300,45.366564025635,40.3068942968087,40.3063328035203,40.3068692760032,0,3,0,3,40.5758856687097,41.1178720933293,40.3763417587824,44.4024758156149,44.6160452743238,43.8089189492794,43.9069566341489,43.9181826211727,42.1040286776482,42.8720923000243,42.9279986160486,42.6466687586163,43.2747042335765,41.2762055630129,41.4223053431908,42.4915293098786,42.1182619594002,41.9442530912595
330,44.7473166241871,40.3054290128865,40.3065904096676,40.3056278163653,0,0,3,0,42.7276598974029,40.3402832907971,41.7549690228325,43.6990122426934,44.5207547589901,44.2138307909716,43.5259920953473,43.393461133328,41.3540654881377,42.0946652714068,42.4759541002903,42.3559929968766,42.6550356740822,40.4578620407978,40.9867785716043,41.9000470382062,42.0910991191291,41.9868070051264
360,44.3443000570289,40.3082160127951,40.3068635636526,40.3080360455234,0,3,0,3,40.3465947297816,40.8754823178165,40.358015633847,42.5255781693199,43.749749024869,44.5797874380639,43.1805789851545,43.4648280487003,42.1946721198894,42.1422384612767,42.439282513295,42.21088383798,42.532041666212,41.3742840370804,41.1010833647916,41.6371929600345,41.7339335530774,41.606794745152
390,44.0501325028908,40.3057229345878,40.3063416416754,40.3055035372031,0,0,0,0,41.9122252449071,41.0312797445176,41.3585938083221,42.5713677768741,43.3298259101024,44.1846068949986,43.0270715140259,43.7857063501984,41.5637310748898,41.4421084439241,42.0061786561738,41.9111891014386,41.8789330640013,41.4027233939178,41.3329259943458,41.3442644941918,41.6131671899843,41.6179258321272
420,43.7656267764314,40.306227168084,40.306208747622,40.3061761313238,0,3,3,3,40.3291170252026,40.333696019979,40.7121492112903,42.0000534844753,41.7991266059888,43.0500137250453,42.8140665355925,43.4305732245064,41.4106851785323,41.7759043928169,41.6942810648499,41.5707589725756,41.6509771810911,40.6641184353168,40.8642455538977,41.1526748015893,41.2352881721836,41.066338172697
450,43.5336899809816,40.3068862527319,40.306645157492,40.3070641715891,0,0,0,0,41.1496282147846,40.6953329591114,41.889359451453,41.7132428410203,41.5020762721831,42.5697446941149,42.7099033315964,43.4889602760477,41.1331289856324,41.8041709069569,41.6180271171365,41.2817386288616,41.6583296697146,40.9358955728775,41.012471792381,41.0478309734842,41.1488085186846,41.0405601101713
480,55.60131869281,40.3068964937008,40.306415851251,40.30667024765,1,3,0,3,40.3189828571763,40.730198465795,45.9695136299341,52.583819434151,53.905156351032,55.0169733687623,54.3551553235803,52.6190869021973,49.0422507304993,42.5980202605753,41.9085908786121,41.8585027326319,50.0727912165236,45.9181850053811,45.563296350103,43.5483498910199,44.9906839301947,45.2764936596421
510,53.1218621035882,40.3057206773399,40.3064036956912,40.3056238642539,0,0,0,3,45.3371422362702,41.5625698062992,48.4843797488854,48.6151815269076,49.6126846579799,52.085294916531,51.4059747348166,51.7304680689301,46.5309773930658,42.5170126555257,42.183322043895,42.7706039653933,41.6887992660176,44.1722564582444,44.0499060562706,43.806684461476,43.8835644445557,43.5978679296975
540,46.1928747047747,40.3069184297387,40.3066078294712,40.3062906387687,0,3,3,3,40.6342790440448,40.4649869276032,46.7697520529447,41.5542596748648,43.2150382804181,45.7200597001369,48.0272615120413,49.8409225810217,43.0996857484205,42.5650638881687,42.7651185434665,42.9307575729284,43.1124781075054,41.5666372331162,41.8421179323278,43.4050796261251,44.132721939658,44.3024442184922
570,42.7630377061283,40.3062809598034,40.3062628947932,40.3074328721199,0,0,0,3,41.4224418067786,42.1249781332082,46.8095023593501,42.7365625767298,42.9059943973887,42.7121187862849,43.9944262320547,45.1720685679102,42.7676980375177,42.6811229243047,42.6709806909039,42.6762930305847,42.6572202463222,42.8773055432779,42.8694822327395,42.9582764954404,43.6874969190203,43.9291958732016
600,41.0447312518582,40.3068418867917,40.3065651073491,40.3061595084024,0,3,3,3,40.5190034459359,40.9323890331143,43.6651544976757,40.7576201926034,41.5158441665453,41.2882097726673,41.5976973344243,42.2343598067824,42.157466256,42.1136574127255,42.0717340622982,41.987532401037,41.6647064860088,41.7821690838882,41.9904826332774,42.3800594035119,43.2228738458276,43.8529090773413
630,41.2310468446855,40.3062966803525,40.3063670016752,40.3071171340434,0,0,0,3,41.4660441079788,41.5428253327437,42.2975931722353,41.7804723918573,41.9897704131083,42.0975505566434,41.7552479368935,41.7794296552761,41.9983519068868,41.9354283341462,41.8899314223105,41.7182103877078,41.119388818277,42.3745933829242,42.2808291355856,42.2804691420381,42.5642876418274,43.231512404237
660,41.0194385384698,40.3070301247557,40.3066321077841,40.3064246223256,0,3,3,3,40.7488027114634,41.0698689856978,41.7119300245427,40.590368145958,40.9262677572939,41.105630967436,41.1766758991936,41.3634093772282,41.6532823753639,41.5376860178716,41.4110873173187,41.0586988164247,40.6937766904133,41.1158300938095,41.0997467774816,41.7010866518498,41.9844501240056,42.6036878887747
