"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点02RH Monitor: Sum of RH","点04RH Monitor: Sum of RH","点06RH Monitor: Sum of RH","点09RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点20RH Monitor: Sum of RH"
30,50.475424554968,50.4754245549681,50.475424554968,50.475424554968,0,0,0,0,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968
60,50.4741429763337,40.3064424930146,40.3064379649804,40.3064385567051,0,1,1,1,41.4530390107393,41.4441585638974,41.4634733560919,46.5080495709924,50.4683911772491,50.4754165319859,48.4680050895393,50.4753024383622,49.4536706925696,45.7200179642646,50.0284101127166,46.7904910354
90,50.2699556074336,40.3064487959309,40.3064477024032,40.3064459136634,0,1,1,1,44.5318556902403,48.2145153458377,48.3317440470314,41.1360662826024,48.8456656671505,50.4556038140607,45.8021437699417,50.2780778833179,41.9324979310793,41.8763500012225,46.8223059094411,45.9329640075163
120,47.9176440713677,40.3064327762037,40.3064394217014,40.3064387275586,0,1,1,1,43.7985384633551,48.548727733176,49.2376793193866,40.915579283805,42.660964847557,48.0180448661752,47.6963483705226,45.4810945614377,42.8216976655902,42.0544984011821,42.7233780478466,46.5924258161391
150,44.5099284114645,40.3064562761689,40.3064509350055,40.3064621483631,0,1,1,1,45.3005970611603,47.0842615554647,48.5166828617295,41.3078049073184,41.5495855812893,43.0521845281096,44.3083862793915,42.9897856570062,42.7661418567898,42.1549598460062,42.5059148805864,46.9750277595314
180,43.5943201652663,40.3064604116453,40.306449558748,40.3064503943361,0,1,1,1,45.3002103774182,44.4369540486147,43.7283540660813,41.6211406536105,41.8129789133206,41.918962503801,43.3204919887281,43.7097510127442,43.0060833500868,42.2099806786323,43.9037371472381,46.7836087421357
210,43.6328891013402,40.3064479542668,40.3064482994879,40.3064380180017,0,1,1,1,43.9793175478871,43.1733880922774,43.3847911823988,41.1083986237162,41.8168749815433,41.8595453575294,43.8855697209248,44.14316754977,42.4091641574112,41.8815890912733,44.1967864032788,46.6720423740342
240,43.8312901048293,40.3064688222834,40.3064600053036,40.3064474220091,0,1,1,1,43.6766603611071,42.7511034183717,43.169130692965,40.9492483713446,41.3983905404385,41.6715600739721,43.8618009596353,43.3018976915904,41.0851587223864,41.2349739530683,43.1540918536473,46.3792282913977
270,43.7093954451297,40.3064616328077,40.3064549124461,40.3064491138109,0,1,1,1,43.0203829486275,42.4624329369448,42.645338395138,41.1685242002345,41.3652231220928,41.6770163550568,43.1951897968766,41.4906588732605,40.8322334679965,40.9663497185946,42.1818199928279,44.9159442880741
300,43.2139113835821,40.3064586588626,40.3064534559197,40.3064500470987,0,1,1,1,42.4583941981692,42.2486137900977,42.2207829642244,40.9121478010494,41.4999501024183,41.8119264218471,41.8209575963402,41.0670957552365,40.807558900697,41.1161940778901,41.7138218112843,42.9986192959419
