"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点03RH Monitor: Sum of RH","点05RH Monitor: Sum of RH","点10RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点19RH Monitor: Sum of RH"
30,50.475424554968,50.4754245549681,50.475424554968,50.475424554968,0,0,0,0,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968
60,50.4340452797608,40.3064791043132,40.3064377639608,40.3064720940157,0,3,0,3,40.6884526527944,46.682078732838,40.6915919987527,48.8870682282842,50.4667884556306,50.4674803393793,50.2290329395709,47.4430339549349,44.9803052530607
90,46.4651260824227,40.3054929535833,40.3064370505657,40.3054741177866,0,3,0,3,42.2899312879805,46.2623665617981,47.8357632881963,41.0616065606288,45.2041048907083,47.492374860192,42.1144848121507,46.2904734735289,44.6815157521871
120,42.4243727356755,40.3063959085178,40.3064383505174,40.3064007818185,0,3,0,3,43.6393900286013,45.034175490936,45.6349106637458,40.7847446159409,41.1721746764888,42.1077397885706,41.5138104685976,44.8250821155528,44.6111309893266
150,42.1944999927651,40.306960178515,40.3064364444197,40.3069294448819,0,3,0,3,42.6349299116749,42.7007808679407,41.9344138798352,40.8457882057148,40.9045160648799,41.845227457485,41.8321959087489,42.7861868057112,43.2733443824604
180,41.4066455018854,40.306437550142,40.3064298945569,40.3062103449354,0,3,0,3,41.119501099773,41.1457921438324,41.5725077459303,40.6953828633846,40.7821580147214,41.405004843744,41.408378340025,42.8602610375745,42.1609969656217
210,41.183390854262,40.3065663038802,40.3064311150303,40.3063602066147,0,3,0,3,40.994103655009,40.7460688982648,41.0134722256854,40.5266032861405,40.7331850401139,41.1330325211585,40.8498282840147,41.9440601718051,41.3719628067165
240,40.9432576964818,40.3067073285448,40.3064362442115,40.3065540509431,0,3,0,3,40.7028557682643,40.6954138037037,40.7347927887636,40.4955083209267,40.5629147422647,40.7877815717529,40.472832926993,41.1769503535293,41.0523701199989
270,40.761242226784,40.3066772622988,40.306426563782,40.3064645514788,0,3,0,3,40.5530050653514,40.5877135433447,40.559040755864,40.3895643437295,40.438938318702,40.4426981931296,40.4085798563868,40.9461921906313,40.7661406983514
300,40.6002218771814,40.3066187105688,40.3064334829878,40.3064358749138,0,3,0,3,40.535905171336,40.4936431491046,40.4635079856019,40.3742720803403,40.4343613600041,40.4111571549757,40.4059790691044,40.7379913262602,40.5482125551686
330,40.4960447129126,40.3066274384548,40.3064288724641,40.3064121080798,0,3,0,3,40.4484859124294,40.4554532888516,40.4190697686224,40.327767649206,40.3859699480682,40.3867677945785,40.3803235896544,40.599861767854,40.4599379712101
360,40.4508751235877,40.3065335721135,40.3064349700783,40.3063278528609,0,3,0,3,40.3896140536705,40.384337489532,40.3908653478857,40.3280533343412,40.3602216482365,40.3985564778309,40.390504630201,40.5123022758435,40.4151826685208
390,40.3836903707315,40.3065450838442,40.3064330364204,40.3063561534262,0,3,0,3,40.3492295066438,40.363298787938,40.3646864772823,40.328528053019,40.3504420428642,40.3790198577957,40.3682244519163,40.4285611404487,40.3854230866522
420,40.3428887712216,40.3066543615436,40.3064326360022,40.3064895460823,0,3,0,3,40.3278470779295,40.3320091890294,40.3338020510491,40.3161727614366,40.3305076958004,40.3466932408968,40.3323446388174,40.363803599695,40.3571493539743
