"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点02RH Monitor: Sum of RH","点04RH Monitor: Sum of RH","点06RH Monitor: Sum of RH","点09RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点20RH Monitor: Sum of RH"
30,53.049952930463,50.475488049462,50.4754254190713,50.4754567633402,2,0,0,0,52.0899158019673,51.6815114358934,51.9958508366522,52.6589914997806,52.9771032406547,52.669907916955,52.2993116265627,50.4777283075334,52.2532938645137,51.8896964448099,51.6346879227988,51.8676531854318
60,50.857386676045,40.3065353596964,40.3065014362651,40.3065847418131,0,3,3,3,40.6172914001441,40.6348179246166,40.5848055131264,50.9066582129044,49.4894273724446,51.9828155604466,44.8872862077534,50.4476333110659,48.0339238898435,44.6595742231909,47.3847385189346,44.2775914120478
90,54.215221715632,40.3075837742636,40.3075867589249,40.3075601095088,0,2,3,3,40.3445610010079,46.1987006797756,46.188473417507,46.8195488322495,47.3129999276112,49.7972599895394,48.0505325509623,45.0926724986656,42.7437285109856,43.2285936806536,45.7905214238622,44.6097635522399
120,43.8410538099449,40.306742638132,40.3063942324475,40.306295258697,0,3,3,3,41.9647180064753,45.9297627394057,47.768070715754,41.0363513989277,44.6436703154495,46.5947400852619,44.4495294172986,42.6209390661409,42.6063820779652,41.6206089708787,43.3941790481095,44.9756298905903
150,43.7666416776793,40.306610001753,40.3067522209992,40.3067822760451,0,3,2,3,42.3966578420674,43.4357257892704,44.3177078632406,40.4663111589939,41.916459297484,42.6415442960669,41.8550293277736,41.710463341065,41.4849119816116,41.4467363271892,42.2563987968167,44.9075253757361
180,41.7484192331979,40.3065469540259,40.3065014571012,40.3065478412057,0,3,2,3,41.9742977652905,41.7199080719964,42.1155581482191,40.5896934251449,41.2110574739903,41.7692621770171,42.0556048509836,42.2425885496719,41.3446250676031,41.1054277455301,41.2352154491035,43.4797011856347
210,41.5356580083268,40.3067575189278,40.3064808754316,40.3070122838008,0,3,2,3,41.5315995988451,41.4138452340125,41.3026336146511,40.6500570120086,40.8912215046911,41.172401388329,41.652017798892,41.8918215342649,41.168518509734,40.6144798564398,40.9595572519997,41.6073692224012
240,40.9779905029647,40.3069644359801,40.3064295210335,40.3068068816802,0,2,1,3,41.0576277402798,41.0371327608607,40.9903533738121,40.5461578910237,40.8239958465237,40.9794441729478,41.0732233096562,41.0758889699817,40.860197973013,40.6808043980264,40.9288423727152,41.1671211078313
270,40.8856612677393,40.3073119756926,40.30650389599,40.3063342713949,0,1,2,0,40.6560270503447,40.3722772909912,40.9158861060934,40.5258200459343,40.793632067073,40.9002602407272,40.9880340427951,40.9726048607159,40.9270027392357,40.5683986319267,40.9762516395207,40.9469120189304
300,40.7689545051974,40.3071339786534,40.3063978825767,40.3070136178056,0,1,0,1,40.699894906714,40.7408101003127,40.8403710709799,40.5893740840731,40.7812577142732,40.8127888160981,40.9177046851648,40.9673783194665,40.8572319643396,40.9088011321937,40.8894297166278,40.7722464557233
330,40.6876229482341,40.3063330036428,40.3064483593334,40.3061903007094,0,1,0,1,40.6684754714515,40.8300741322321,40.7760714123223,40.5625233179292,40.6993587253913,40.7279813938142,40.9013396345562,40.8908188026685,40.7657446037394,40.8132683826452,40.7797411829523,40.7239920402644
