"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点02RH Monitor: Sum of RH","点04RH Monitor: Sum of RH","点06RH Monitor: Sum of RH","点09RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点20RH Monitor: Sum of RH"
30,50.475424554968,50.4754245549681,50.475424554968,50.475424554968,0,0,0,0,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968
60,50.2232175380673,40.3064524716406,40.3064388858429,40.3064406619528,0,3,3,3,40.6891114723472,40.6864866873981,40.6919582380269,43.0886697704435,49.5691930961367,50.4264695158807,44.5824176676371,50.2694760330638,48.030748803812,42.9153964761135,47.7662482222929,43.5324780441806
90,49.9344311661114,40.3064934527662,40.3065307621325,40.3064684354319,0,1,1,1,42.6988207040083,42.1906851214154,44.9131265682334,41.4206834899492,46.8017083110749,50.3981465310232,43.737647494758,50.2046115019013,43.1156850335875,41.908361151308,44.8427840332997,42.8289471569476
120,49.3889997375922,40.3063374233243,40.3063513955087,40.3063179556131,0,1,1,2,42.6238461738568,44.213743045594,45.4218295965551,40.6841177409847,45.0033986429251,50.1056477659501,43.5483305391579,48.7951094754528,41.9545246929066,41.5345256030079,43.3099207794451,42.3930497249753
150,44.7941487577194,40.3064883662921,40.3065076680886,40.3066386895989,0,1,2,3,43.6990612584727,44.6221915481292,47.4144069312333,40.9940280494055,41.4933565391847,44.1683748493746,43.3490490827082,42.210045119785,41.8970511814052,41.414574215667,42.4902055362076,43.2615686566361
180,42.6006920679654,40.306551992509,40.3064045996324,40.3064931523618,0,2,2,3,42.6324536433627,42.8207922179255,43.0646102856352,40.4793592279952,40.6837799709876,41.0345442590582,41.5459725951242,41.4790858436017,41.3184522890214,41.5609673270556,42.3112470745686,43.9911990535394
210,42.5506927038646,40.3063484495313,40.3065051134552,40.306546955117,0,1,2,2,42.401940980336,42.1561520130867,42.2482031523316,40.8555734537009,40.9856722838414,41.0481296747589,42.2829033687881,42.3176054827592,41.4999433850495,41.1602017587991,42.6598806872005,43.4454797039527
240,42.4392437063233,40.3064859399017,40.3064823935164,40.306450358114,0,1,1,1,42.3117509120982,42.386973980777,42.4189273600418,40.9552684447087,41.3030467202353,41.4991195936111,42.569129285231,42.355351050757,41.1891567033232,41.414072251422,42.3883053023883,42.5198071798675
270,42.2358220236244,40.3064104902954,40.3064731204713,40.3064348928506,0,1,1,1,42.0631228966597,42.1585458733952,42.2809094046725,41.0925396677693,41.4253881663718,41.6164000241568,42.4378899286952,41.9960742021596,40.855877376185,40.9518685280924,41.5485557313551,42.1404567231658
300,41.9363148624478,40.3064887245432,40.3064667155025,40.3064741304276,0,1,1,1,41.6960706728648,41.9713560552787,41.9340064860289,40.7956906239729,41.344674605857,41.4034963345059,42.0410005073367,41.2082579571283,40.7652816847751,40.803433144681,41.0075861980315,42.0824925831461
330,41.597145820172,40.3064749806935,40.3064593311028,40.306465590491,0,1,1,1,41.5356997512936,41.7473828000442,41.4815447215689,40.4917222074555,41.1574624861549,41.1895365875402,41.5632665044902,40.8933862002322,40.8225111896444,41.0145303310359,41.0493141546763,42.0187860139838
360,41.3594863749338,40.3064318492395,40.3064420145182,40.3064399281278,0,1,1,1,41.4314186266001,41.3092582072726,41.1528028213121,40.4456040107363,40.9670270515965,41.103923761029,41.1475874169058,40.8550662110275,40.8041925249411,41.0079366959407,40.9699211027074,41.6655870879728
390,41.1534829726332,40.3064638065079,40.3064517102206,40.3064658795112,0,1,1,1,41.2400582322564,41.2151735892522,40.9836354547092,40.5090682929925,40.693581961433,40.9555885867976,40.8577811667164,40.7625436673983,40.6449412937301,40.8555224234796,40.922459892712,41.2703224492868
420,41.0374893892135,40.3064427649993,40.3064400450052,40.3064365856195,0,1,1,1,41.1026275945783,41.1108430987977,40.8654483281585,40.5397248559188,40.7035062189461,40.8222728917273,40.7468131610019,40.637536605078,40.5517716080003,40.6113089266773,40.7945410978555,41.0734613978834
450,40.9494180517096,40.3064342114668,40.3064260493994,40.3064026467532,0,1,1,0,41.0002087008584,41.0935047703202,40.825535848399,40.5366660547447,40.7244830974966,40.7692558727017,40.8089133670862,40.7473615114505,40.8150251053597,40.4868699434088,40.7211194637429,40.9710125798968
480,55.6015496739835,40.3064631552742,40.3064312210412,40.3064272484626,1,1,1,0,49.5841985557111,44.3303185244293,49.3388250041133,42.3657040958154,54.4224843049537,53.2112380826266,42.2027641861842,42.8582170452728,48.1759448776122,41.4343814756459,42.937341740456,46.3720290583533
510,46.3013429439143,40.3064355520556,40.3064451177496,40.3067415742977,0,3,2,3,45.7473099509432,44.2625147485562,43.2022866347407,40.9350702673156,41.5682816841019,48.166996411956,44.0898449888362,45.2151320183398,47.69455987843,40.7424110374447,43.0027883498666,42.5540726525887
540,44.3787647360731,40.3064333285532,40.3063807002017,40.3056443683953,0,3,2,2,44.8322435154366,43.7274566873346,43.7168804550829,41.6544602941318,41.9827517663458,43.5355518061574,44.3476784761496,44.4999330536409,44.2147220162084,41.3778337285443,42.1906389710514,42.5671444906006
570,42.751276868501,40.3065185621382,40.3064491087707,40.3063855803887,0,2,2,2,44.7143287042378,43.8206331268137,42.9907146924229,41.065276395537,41.4444119673331,42.5781720625474,43.8839963798131,43.8881779754297,43.2728524525332,41.1637059894433,41.5567117476913,42.5276214981461
600,42.5426115051701,40.3065030768858,40.3064733935279,40.306393312894,0,2,2,2,42.8600452176314,42.4691224133272,42.2622359475119,40.772033018458,40.9654266762762,41.6241850900592,42.3714345424927,42.7830160428172,41.7499682965282,41.1423960879956,41.3824900135368,42.5901129127142
630,42.1779639686196,40.3064476552879,40.3064346986756,40.3063290692034,0,2,1,1,42.1767409937792,41.8474742455246,41.8229804440422,40.7131309919532,40.8226605613464,41.3884823439904,42.1412870087796,42.2478205721735,41.7907491415731,41.1370012955175,41.6085459915038,42.2564366300929
660,41.9995243213373,40.3064452477981,40.3064651849534,40.3064631537253,0,1,1,1,41.986940890724,41.778625581598,41.6958536885759,40.906940387701,41.0267581593276,41.3896546743872,41.7168198636642,41.6021459922356,41.6087280135171,40.9160947319346,41.4046073535061,41.830763052712
690,41.8529114790849,40.3065066415556,40.3064442356454,40.3064079874458,0,1,1,1,41.8751275249863,41.7396218632818,41.6221691622266,40.5955227862897,40.7583763570823,41.21332688573,41.3925421698298,41.3767342902215,41.3877147747627,40.784558820461,41.1610913174928,41.7263012878105
720,41.7236249559745,40.3064028175628,40.3064297564699,40.3063925264565,0,1,1,1,41.6059795186856,41.6018716304316,41.3528129680705,40.5959820993813,40.7950374679451,41.1278865895038,41.1766003075203,41.0899326639986,41.1038475620522,40.7353437348063,40.9999140564816,41.5799957197798
750,41.5235211017037,40.306434961638,40.3064380843541,40.306406482813,0,1,1,1,41.28044960629,41.3332922485228,41.1454894678763,40.6239798987459,40.8364150070649,41.1477302847899,40.9673840310364,40.8848449825529,40.8586577318214,40.6406711708181,40.8899305078073,41.4025441361477
780,41.3903119940464,40.3064535755561,40.3064418396753,40.3064214189897,0,1,1,1,41.1338029683371,41.1096177339921,41.0021961122673,40.6123120999276,40.7780478895108,41.0750735254537,40.8766473283162,40.8149164108639,40.6981441765376,40.5802864425495,40.7842448813114,41.3118384631395
810,41.3231364817899,40.3064353960281,40.306434859713,40.3064230344816,0,1,1,1,41.0298829181765,40.8881606383011,40.8855834292049,40.5423274031254,40.7247390632013,40.9456256098833,40.8030994678046,40.7230442453939,40.6293063081555,40.4981508152404,40.6819840674672,41.1884797505828
840,41.3022258899735,40.3064447292983,40.3064191243083,40.3064075289638,0,1,0,0,40.9780597544037,40.9124759559661,40.8259115176094,40.4818309999076,40.6309380506094,40.812944422842,40.8963979961004,40.888115744007,40.904320595938,40.7799762793769,40.8817261215858,41.0835224157646
870,41.2488100660329,40.3064285857093,40.3064408560687,40.3064365725731,0,0,0,0,40.9527245188492,40.9201124930887,40.9023400584339,40.8334177079889,40.9088567868572,40.9593743373241,40.9431713215293,40.9561484763472,41.0053732885383,40.8687833455069,40.9720070293176,41.0380995002671
900,41.1794444979018,40.3064268348388,40.30643471664,40.3064381029819,0,0,0,0,40.9480616135744,40.929608535811,40.9474820194993,40.9411704175322,40.9958783831173,40.9846854698703,40.973110678872,40.9789171424069,41.0138727264156,40.9230820758517,40.9985249993322,41.0136452677802
930,41.1140812037573,40.306443191524,40.3064392723902,40.306434505115,0,0,0,0,40.9573641912917,40.9376729637651,40.9826851650452,40.9636855319144,41.0237146479562,40.9830948177869,40.9835152220563,40.9826192305561,40.9983239513415,40.9437749119799,41.0051869299891,41.0104968311622
960,41.0678683062124,40.3064379442294,40.3064380443576,40.3064372686954,0,0,0,0,40.9604363769214,40.936216313139,40.9845895321455,40.9691320514218,41.0275381890373,40.9742807379159,40.988187262209,40.9812984772312,40.9896520313629,40.9555094997576,41.0073337977653,41.0154445191218
990,41.0404076729988,40.3064370285656,40.3064373701438,40.3064370576618,0,0,0,0,40.9617742334398,40.9455370701582,40.9791845148128,40.9718265953411,41.0224737640176,40.9719555543092,40.9894723384493,40.9797561467051,40.9856289477868,40.9622676331456,41.0074904483058,41.0218331263271
1020,41.0229655241192,40.3064379629407,40.3064375880081,40.3064373092951,0,0,0,0,40.9621839490557,40.9552108117535,40.9735294795522,40.9730116683762,41.013838632456,40.9738194960661,40.9890186167157,40.9787940986282,40.9837958174315,40.9666273014302,41.007173176608,41.0255038556069
1050,41.0125769968296,40.3064377482656,40.3064375343129,40.3064374707321,0,0,0,0,40.9666118838521,40.960454721338,40.9669926924377,40.9742201854089,41.0066917072234,40.9788215164518,40.987555826528,40.9783330191218,40.9828567158174,40.9689146946603,41.0068871583954,41.0266577855197
1080,41.0054557393317,40.3064375621765,40.3064374671364,40.3064374941828,0,0,0,0,40.9689980851594,40.9630158158437,40.9620649258204,40.9757055740618,41.0031238512686,40.985478024461,40.9858036337683,40.9781840816235,40.9823872821433,40.970118578541,41.0066503103473,41.0255192987103
1110,41.0003781228361,40.3064375899239,40.3064375013527,40.3064375535241,0,0,0,0,40.9706791193026,40.9646697225683,40.9597466857896,40.9768710921879,41.0008622032214,40.9918835226949,40.984089840196,40.9782802735064,40.9819837835486,40.9708895103096,41.0065098006229,41.0225762473834
1140,40.9968183384606,40.3064375698359,40.3064375079213,40.3064375423746,0,0,0,0,40.9721880422841,40.9660112989002,40.9620547130216,40.9777907485143,40.9987797534812,40.9967667379165,40.9826548259108,40.9785030460445,40.9818102258346,40.9712699204634,41.0064932105735,41.0184192399293
