"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点02RH Monitor: Sum of RH","点03RH Monitor: Sum of RH","点04RH Monitor: Sum of RH","点05RH Monitor: Sum of RH","点06RH Monitor: Sum of RH","点09RH Monitor: Sum of RH","点10RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点19RH Monitor: Sum of RH","点20RH Monitor: Sum of RH"
30,50.475424554968,50.4754245549681,50.475424554968,50.475424554968,0,0,0,0,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968
60,50.2232175380673,40.3064524716406,40.3064388858429,40.3064406619528,0,3,3,3,40.6891114723472,40.6864866873981,40.6919582380269,43.0886697704435,47.5933292259553,49.5691930961367,50.2920801360712,50.4264695158807,44.5824176676371,48.8434288522784,50.2694760330638,50.4665364432621,48.030748803812,42.9153964761135,44.482376687188,47.7662482222929,45.2777942727206,43.5324780441806
90,46.169210203709,40.3063212568036,40.306351756425,40.3062984065361,0,3,3,3,42.5519973265027,46.7382920954905,47.8918271478219,40.5415711438625,40.9384520729979,42.0946153698484,44.531515781721,46.2355899898106,44.3980580208281,48.4528358094669,46.7505612034321,42.9565364310557,41.1367710454333,40.9986991819802,41.5574546245398,42.5108855588647,44.6576350265063,44.6316583788309
120,42.3213075657508,40.3065314058514,40.306632601485,40.3065731825899,0,3,3,3,43.6158878294911,44.5615123387961,45.906296666611,40.6520959610628,40.7179196771008,40.8083468801953,41.0098715024823,41.3564825476991,42.6769754635638,42.220801434742,41.6303572916157,41.2829637167706,41.2498314399959,41.4025140204019,41.4010740859265,41.4427287387101,44.4087147390564,44.2754061947373
150,42.1192814055453,40.3066254732803,40.3065814614192,40.3066762199999,0,3,3,3,42.8724944485094,42.4948840493778,42.040556478924,40.8939339689371,40.9271158163374,40.9396317909851,40.9719124826958,41.0110388397081,41.7043981825404,41.6880712207637,41.7250963035323,41.6843148521691,41.5151941541918,40.833853678653,40.959543351228,41.0722200733754,43.4403232554916,43.603304817159
180,41.5115497190682,40.3065711184095,40.3065077228633,40.3063502245797,0,3,3,3,41.1085351114068,41.0149046764815,41.3605346034441,40.5433993448023,40.7283593636903,40.8061319554086,40.822224005752,40.8438527508252,41.1916220294438,41.1119041436298,41.0675235009509,40.8578655110279,40.6674437229766,40.8212073497452,41.0762850002522,41.3315130621812,41.4512640059458,42.7997419273513
210,41.2486641640897,40.3065240836504,40.3065372159706,40.3064409222329,0,3,3,3,41.0041081841272,40.9871167831297,40.9924742967847,40.457886291797,40.5458176335296,40.7104237852278,40.7543216965934,40.7685252945691,40.7262884463357,40.6214908950842,40.5761865845088,40.4914603843479,40.4032240903947,40.5848850281119,40.6354580275001,40.9173675755557,41.1772755047719,41.5295852346341
240,40.9897827741611,40.3066901966081,40.3067051850274,40.3067749555809,0,3,3,3,40.7537153495526,40.9140125670361,40.7366288996073,40.4557497820367,40.5417306026926,40.5576955644038,40.5660725332672,40.5833792911972,40.4922891309755,40.4786766904471,40.4541969413332,40.4068487178437,40.3862023583213,40.5000793675446,40.5132796821746,40.6707783501003,40.918549956445,40.9377337818686
270,40.7068596495641,40.3067203628526,40.306593787205,40.3067385585881,0,3,3,3,40.5900659055763,40.7164981267038,40.5724286954662,40.362528212598,40.410687241,40.4375645358132,40.4735808001553,40.4938704954197,40.4252521662626,40.4178044795981,40.3917172343097,40.3652343139479,40.3557544216288,40.4454486586507,40.4537118450812,40.5373081083752,40.7047399764219,40.6683536864456
300,40.537768504662,40.3066669952249,40.3065530734048,40.3067091843633,0,3,3,3,40.5007962441228,40.5707094983209,40.4655480707954,40.3441040586624,40.3652961812034,40.3945719422177,40.4185549253249,40.4270706981221,40.3900836852081,40.3855703610255,40.3790973950252,40.369478972581,40.3711194854345,40.4216996607586,40.418872121117,40.4662194426611,40.5469746682937,40.5207719195231
330,40.4506600380716,40.306750742733,40.3066180357624,40.3066789189241,0,3,3,3,40.4185374844351,40.4669438765622,40.3919852969473,40.3216241392746,40.329726291572,40.3490805604717,40.3689047917797,40.372583452094,40.3744300935774,40.3685764969672,40.3602935189639,40.3578494406657,40.3538321319675,40.3783962457315,40.3795097510552,40.4060229432393,40.4606151867857,40.4358485741848
360,40.3916783452425,40.3066127996491,40.3065043884507,40.3065546369661,0,3,3,3,40.3691143983048,40.4057340709662,40.3561571608695,40.3111055206195,40.3126674326866,40.3212082844506,40.3289363578951,40.3327778077425,40.3452761995524,40.3345691973532,40.3304632732128,40.3273118046898,40.3246145949727,40.3295733830107,40.3351472291799,40.3569162090068,40.397519104908,40.3804319915822
390,40.3559870613027,40.3064777374132,40.306440353718,40.3064075831422,0,3,3,3,40.3429311051571,40.3490928342209,40.3328657685585,40.3148849700551,40.3248147246549,40.328568073494,40.3263300119908,40.3269244749694,40.3205351087817,40.3195799331114,40.3183449745563,40.3178829417687,40.3177484436805,40.3154863620935,40.3202519052839,40.3334876396237,40.3524036657599,40.3425605178373
420,40.3281676760881,40.3064280237784,40.3064635600244,40.3063908420254,0,3,3,3,40.331046224215,40.3187694496461,40.3202300814455,40.3109778403764,40.3211784910016,40.3294927539288,40.3332759267397,40.3329809542776,40.3130542807999,40.3129457646455,40.3127920703734,40.3143484905696,40.3128195228246,40.3099015643146,40.3115629347341,40.3168845013539,40.3265494430903,40.3252993946552
450,40.3166346344528,40.3065449246222,40.3065160786665,40.3064295136276,0,3,3,3,40.3223617986436,40.3096158153545,40.31213376395,40.3061316018643,40.3094109775224,40.3158682318156,40.319650438388,40.3178473359859,40.3076599505052,40.3076333796028,40.3077738657267,40.3094798200804,40.3086914841037,40.3073106255294,40.3080310311941,40.3089112356547,40.3133903845846,40.315122403711
480,55.6018234369203,40.3066561072134,40.3065817604699,40.3064035935324,1,3,3,3,42.2199387922673,43.7104118066341,47.0342900435345,41.2054219158673,42.7971815378567,51.4365529576732,54.0240928591963,53.3154377070199,44.724469094964,44.7253433357608,45.1425963119427,45.5799219138069,44.483829450982,41.4047304347868,41.4514888943017,42.1490524145062,44.2092950682247,44.8195293363191
510,44.7588911914639,40.3066624630013,40.3066842971833,40.3063900611182,0,3,3,3,43.9178145220502,42.8319388596836,44.0885638875903,41.114091229068,41.9991351049521,42.1866013229444,43.8710000333659,46.3189490910746,44.6396838346681,44.6200583664085,44.8474584946059,44.9980489523497,43.6816586220722,40.9470158879326,41.1739971036359,41.8971440874002,43.5666546427233,43.8098499862613
540,43.1200174185737,40.3066992746124,40.3064982245312,40.3063259680237,0,3,3,3,42.8382324374089,43.1497816145135,42.435368057616,40.7580093285012,41.0496720016608,41.250669315954,42.441335131577,43.6685609561733,42.3751653533376,42.2590783421065,42.265351506708,42.2466642701407,41.8458348036991,40.9898220664461,41.2006147459841,41.6400882251398,42.5667909378582,42.7904073744145
570,42.236281541505,40.3065063203088,40.3065046421557,40.3062631487861,0,3,3,3,41.8113126009049,42.2772451785318,41.670957539624,40.5839699191871,40.771614822138,40.9653922903136,41.5621374196335,42.2879460721062,41.3221725485513,41.2473455094686,41.1931448458312,41.0387609488417,40.9400642846758,40.8996059697044,41.0399522219966,41.4151976030049,41.9747271321783,41.9508758379632
600,41.5946682008907,40.306562331635,40.3065308896646,40.3063617574395,0,3,3,3,41.177386765369,41.8031825254026,41.2963464804113,40.4705771241112,40.5790055295375,40.6379145220813,40.8382558769476,41.2957037124019,40.8734275811745,40.8166264516248,40.74600769853,40.679069752648,40.6355378311432,40.7062595774496,40.8094687364242,41.0415760232344,41.4823685092049,41.433623706337
630,41.1218333616843,40.3065906053277,40.3065359023032,40.3064114522364,0,3,3,3,40.9585402105244,41.1677811992998,40.8780320154232,40.4082984080697,40.4756433620294,40.5194118579341,40.6116377930584,40.7066315205042,40.6220266503628,40.5789058152632,40.5524509198248,40.5234967488132,40.5078403120078,40.5231640054656,40.5690677022371,40.7524508560555,41.086515468293,41.0364976620579
660,40.8493743417077,40.3065215666503,40.3065471319168,40.3063948581308,0,3,3,3,40.7606321698875,40.8131485839646,40.6344434936232,40.3625830974033,40.3911973667589,40.4165783266287,40.4640925999057,40.4999858589696,40.5293681208256,40.5170510694247,40.5004849202251,40.482262087152,40.4725474351608,40.4865795828512,40.4982656869727,40.6084899409409,40.8225919188208,40.783466369037
