"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","点10RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点14RH Monitor: Sum of RH","点15RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点19RH Monitor: Sum of RH","点1RH Monitor: Sum of RH","点20RH Monitor: Sum of RH","点21RH Monitor: Sum of RH","点2RH Monitor: Sum of RH","点3RH Monitor: Sum of RH","点4RH Monitor: Sum of RH","点5RH Monitor: Sum of RH","点6RH Monitor: Sum of RH","点7RH Monitor: Sum of RH","点8RH Monitor: Sum of RH","点9RH Monitor: Sum of RH"
30,40.306437503891,50.4754245548396,50.4754245549663,50.4754245549108,0,0,0,0,50.4754245549054,50.4754245549071,50.4754245549086,50.4754245549063,50.4754245549074,50.4754245549651,50.4754245549895,50.4754245550405,50.4754245550807,50.4754245550561,50.475424554838,50.4754245550016,50.4754245549757,50.4754245548085,50.4754235360918,50.4726343509158,50.4754235359672,50.4754245548137,50.4754245548438,50.4754245549005,50.4754245549005
60,40.3064242607429,40.3064525513291,40.3064389209723,40.3064407216004,0,3,3,3,48.8567564138773,50.2719538676023,50.466760140333,48.0293339229847,40.3242810773266,40.3025155750695,42.9108965788828,44.4784653857345,47.7689757778952,45.2693366307938,40.3025681944537,43.5245185240582,44.837538154546,43.0926547526046,47.598351911811,49.5691746148525,50.2719639726981,50.3874523574006,50.4745537615749,45.1409452251523,44.5770963706329
90,40.3073595911611,40.3064039518622,40.3065342194422,40.3063677310058,0,3,1,3,48.2937199244307,46.4341610844475,42.791589293343,41.1307710529808,40.5162600225818,40.3185331362695,43.3608165610358,43.4475838525732,45.4254110726108,45.0379302418952,40.3174895890919,45.1685875365857,46.8696373792386,40.5181330034198,40.9193778430884,42.2222322737839,44.5073245194127,46.0261305376763,49.6188751495025,46.3870539090304,44.7179245367165
120,40.3063435471574,40.3062283392727,40.3063638444135,40.306192933418,0,3,1,3,42.2403421805704,41.6474490996005,41.3128263677765,41.2811593042215,41.5629761067778,40.318115238768,42.1628858217066,42.0765626338798,44.1339772083907,44.7446172190229,40.3186003817213,44.4792423674329,45.2879376378382,40.6135000508691,40.798936111622,40.879984135444,41.0730776299722,41.4030594243637,44.5647191676804,45.2033723175846,42.726830536077
150,40.306531900473,40.3067895806809,40.3064915242063,40.3067648470243,0,2,1,2,41.7859148602968,41.7765756696853,41.8031789408758,41.724492363132,40.8617955566526,40.3199093492497,41.3414812921485,41.4965008332707,42.0720887772651,43.5341993257979,40.3182570139876,43.0467972087308,43.2112556379202,40.9876982511905,41.079746350826,41.1196965569741,41.1808125305146,41.1869487943124,41.4906911612878,43.4123132728985,41.8666398519094
180,40.306561787378,40.3066406447449,40.3064205988203,40.3065016280101,0,3,1,3,41.3882695153286,41.3329697950686,41.3057414004069,40.9868426819731,40.6553741652056,40.3123356273651,41.3132051892227,41.5337285081498,42.0551582707099,41.8903708793685,40.3317037831271,41.4552282896097,42.0415123444937,40.6914477364264,40.8431324502906,40.8463250221501,40.8682084423263,40.9275864586119,40.9467765551964,41.6644799301946,41.5595199180202
210,40.3064471146076,40.3062748964014,40.3064255217265,40.3061265873452,0,2,0,2,41.1901726926419,41.1943615651726,41.1203651961437,40.7584248340825,40.5493997835027,40.9740379203735,41.8867614489278,41.4561911852359,42.0859287096914,41.6099031289892,40.3073360895556,41.483287760004,41.861601585453,40.5165346158486,40.7677417010338,40.8748518849328,40.8795755700654,40.913217086055,40.9018317587998,40.7979225552256,41.3500851749549
240,40.3064356724724,40.3066484763523,40.3064453184102,40.306563629652,0,2,0,2,41.1514614961377,41.0748546691463,40.5817395130331,40.4139857803951,40.4390420284194,40.9093247302983,41.518477071921,41.4224298463463,41.5368325851023,41.3152089171896,40.3119787327911,41.1647454754072,41.2352823039277,40.4052607190484,40.5356392049943,40.6995710083808,40.718700906322,40.7400523296048,40.7527010215649,40.789823674967,41.0700066972314
270,40.3064137125534,40.3063999072112,40.3064422527366,40.306443600555,0,0,0,1,41.0815698443814,40.875866946377,40.4949171242248,40.47026897461,40.4509913095733,40.9614161013841,41.3460818005799,41.2802858258121,41.2557281064103,41.3215399829213,40.7592843799214,41.2350010072854,41.1107037888721,40.8379021750825,40.7871633817453,40.9026848029856,40.9846530175272,40.916577597562,40.9994569017282,40.9225957399567,41.0950850739777
300,40.3064299212387,40.3064773833852,40.3064272171654,40.3064613047298,0,1,0,1,40.8209485845639,40.7089882822947,40.5519080369238,40.511371033687,40.3128048386862,40.7221300615907,41.1485897624022,41.17508614851,41.1227539498034,41.2855147174296,40.311490140972,41.1342830526389,41.1406302472004,40.5545685514907,40.6868864810469,40.7363471532237,40.8974369935938,40.8926781999708,41.0137714717976,40.8539230620527,40.9093783822598
