"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点02RH Monitor: Sum of RH","点03RH Monitor: Sum of RH","点04RH Monitor: Sum of RH","点05RH Monitor: Sum of RH","点06RH Monitor: Sum of RH","点09RH Monitor: Sum of RH","点10RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点19RH Monitor: Sum of RH","点20RH Monitor: Sum of RH"
30,50.475424554968,50.4754245549681,50.475424554968,50.475424554968,0,0,0,0,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968
60,50.3110538014927,40.306461373571,40.3064385204357,40.3064511585444,0,3,2,3,40.6887484795464,40.8726923605335,40.6927494421336,43.195135339354,47.9843029986911,49.8415344935817,50.3802903425789,50.4555628534973,44.7200953538681,49.5300007081265,50.4521478790906,50.4751023454524,47.350381786296,43.940528531021,45.5748504254469,48.423700301386,45.1314211801188,43.4303537297409
90,46.1028667159225,40.3060743755032,40.3065321130133,40.3060550650495,0,3,3,3,42.3505122987171,46.1805060651658,47.9140920999703,40.5286582485577,40.9641215309215,42.3111271541799,44.7030180547635,46.2946440306361,44.3451019647436,48.7040516825992,46.7186840462848,42.7857541813179,41.1618407853754,41.0188983983287,41.489841219689,42.7385799856615,44.7075630584499,44.7179286788297
120,42.3164008415869,40.3065910952018,40.3064334883343,40.3066173889496,0,3,2,3,43.5608347419181,44.4621445885401,45.8025085221559,40.646536437437,40.7364852981474,40.8281187080345,41.0544637193424,41.4032150458561,42.6588181037788,42.2328165205966,41.667525195457,41.3384778240769,41.3122755969575,41.3395028987545,41.3870886103024,41.5159224797847,44.585041557933,44.3389636709908
150,42.0460093180284,40.3063872902336,40.3065036237473,40.3065910631628,0,1,3,2,43.4888335095851,43.2124877517149,42.6665359151899,41.3593980610712,41.3838060755288,41.4640004546301,41.5581708835427,41.5470751290508,41.8324013685968,41.7439285892011,41.7404029354262,41.6232356135636,41.5500660551082,40.8202952232337,40.9072106989834,40.9393792333238,43.7999687221319,43.7564704021566
180,41.3282011745343,40.3066143233575,40.3065059757749,40.3064786955048,0,3,1,2,41.2291724009399,41.8147295094136,41.7512088603883,40.4667253036018,40.5792674788408,40.6165886824022,40.8231179550488,41.117405467484,42.0661143588532,41.7374288114775,41.5826209322083,41.4695755683116,41.177633157292,41.301550188,41.5649702603255,41.7432085903782,43.1100057174394,42.9221019834828
210,41.2387442271067,40.3058861723366,40.3064545289556,40.306458454695,0,3,0,3,41.1139160988919,41.084785545254,40.9362205389632,40.5205053269188,40.6443322109483,40.6570843361007,40.6717297020571,40.7006692472676,41.3420163908943,41.3050527804831,41.3106488765976,41.262125118248,40.9258205390995,41.7748686988391,41.7749286703257,41.9294702103168,41.9946056190612,41.7752910665085
240,41.0661434124969,40.3066538945538,40.3064331094742,40.3062583716185,0,1,0,0,41.2277575341601,41.3654415048944,41.0294081383115,40.5906051957005,40.6709704275211,40.6981546955387,40.7854781585963,40.8947291564225,41.2292445213537,41.2208729183582,41.3189378145,41.1819936277153,41.1324044323705,41.4875687230086,41.7341365001557,41.6561948944676,41.8319373527691,41.5676732342329
270,41.1175713381856,40.3064937250355,40.3064370987644,40.3064947991561,0,1,0,0,41.1034786351468,41.3407704730844,41.0259017225921,40.6350802118987,40.7449268968969,40.7506073526007,40.891723534439,40.9854984839935,41.1670766663191,41.2343931347103,41.2079839820035,41.1053980293593,41.1363442681063,41.3640391149068,41.441405511999,41.5440212566058,41.6675241765343,41.4343607678147
300,41.0360447926628,40.3064105556181,40.3064401989268,40.3065116891653,0,1,0,0,41.0989713409046,41.2932082509269,41.0385412275873,40.4347042199089,40.5223516514352,40.6344926805669,40.7586710719844,40.9283068430956,41.1778712676399,41.2046689384526,41.1746002203186,41.1476077266025,41.1579699562256,41.3248018987993,41.3367995496647,41.460691579096,41.5545438905488,41.321298966807
330,40.969027720062,40.3064648259619,40.3064374977055,40.3064394811089,0,1,0,0,41.2002886332186,41.2842514797805,40.9371721113873,40.4324444763562,40.4492010038555,40.5412870813467,40.6106461972414,40.7912850170093,41.1575176650324,41.157545746699,41.1074508989274,41.0674198239474,41.0189115899335,41.3375638604452,41.3336871417538,41.3302746158291,41.4414673885709,41.2112297959233
360,40.921524417345,40.3064714213997,40.3064373849893,40.3064442293537,0,1,0,0,41.1501704069444,41.2640261762078,40.8404393823839,40.4944678366371,40.5069685981933,40.5651709846354,40.5870777504455,40.6208555445354,41.0937107864344,41.0589239099736,41.0165484298323,40.9372956448077,40.8995842514324,41.3470923990142,41.3364863723556,41.2038720684583,41.30780738171,41.1917839030459
390,40.9220006406153,40.3064628573954,40.3064380005875,40.3064386149335,0,1,0,0,41.0918546315262,41.2623100783642,40.6948509134691,40.48159012504,40.5185435987937,40.5471452575753,40.5763194964756,40.5816656047101,41.0163244850917,40.9744261260545,40.9550139762259,40.8577551299269,40.8264194998468,41.3196044921248,41.3109085647171,41.1308209335849,41.1528339254974,40.9618218957581
420,40.9413468566561,40.3064600348497,40.306437623959,40.3064407672747,0,1,0,0,41.0687440918149,41.268543197147,40.6811280010892,40.4675471996876,40.5161212470289,40.5620364259742,40.5937676460257,40.6012554288017,40.9951294169948,40.9390087631931,40.9086540716551,40.8351197998126,40.8193848929333,41.2536613053797,41.2652630428759,40.9989312428441,40.9089526577233,40.7800321184648
450,40.9486566683086,40.3064647303049,40.306437467597,40.3064360280263,0,1,0,0,41.0645826719092,41.2364219804853,40.7157636515188,40.4583429064501,40.5127704622216,40.573382880254,40.6101541421431,40.6176964917326,40.9698154721467,40.9057069286715,40.8614760020962,40.8171059411138,40.812993041411,41.1806209679988,41.0948957748209,40.864729445992,40.7940947318162,40.7715678361191
480,40.9538443945625,40.3064592530208,40.3064374423782,40.3064336176528,0,1,0,0,41.0574024390874,41.134341702741,40.7144237278086,40.461696520581,40.5062330171103,40.5631803155242,40.6149689557958,40.6213807188426,40.9279860708707,40.8686663048242,40.8294225474879,40.80342745905,40.7875471496452,41.1067880010994,40.9001019048976,40.790009747877,40.7703921145096,40.7635229944725
510,45.3941374324796,40.3064956821819,40.3064377660237,40.3064429517129,1,1,0,0,43.6505510228031,42.3132540793884,43.4266946734648,41.5009985935498,42.0665223486201,44.5100966503768,45.0226360810882,44.4850493128798,41.9372581383185,41.4798928720211,41.0599822266311,40.9078513182491,41.477623229167,41.5297136604606,41.6728758036262,41.6788150690773,41.8082532392275,41.918713777055
540,42.4371728309506,40.3064774653348,40.3064500005618,40.3065447653952,0,2,1,1,42.1351618226888,40.5373222890623,43.1872513553095,40.6473724098131,40.7483417772169,41.3162327051181,42.7602091979823,43.2081419016295,42.0599006509939,41.7815059282147,41.2567833241435,41.588618022525,42.3769538216934,40.568664981378,40.7801269339461,42.0643169099607,41.7432436928922,41.4102461857313
570,41.7640580777299,40.3065507329091,40.3064353490141,40.3064764810306,0,2,1,1,41.9813424939879,41.5097712509653,42.1696334001644,40.6299489155217,40.7026257276169,40.7841557723682,41.5474637051359,41.9052537562568,41.895047428073,41.695684943543,41.7870058364042,42.1208135080735,42.4786964112983,40.7366550899999,40.7399489819392,41.807506355754,41.5869863959942,41.3112830650257
600,41.4117160136646,40.3064726914711,40.3064115662432,40.3063815461502,0,1,0,0,41.7722285010121,41.1871916723026,41.6643743367175,40.7025537072824,40.7938120367057,40.9216491981631,41.2859815828448,41.5395553252337,41.8268528753506,41.8425121822177,42.0062810305689,42.1271424320044,42.1797104637835,41.0228196856337,41.3164520343021,41.7446362138945,41.6244633618273,41.5745397337972
630,41.1579314261032,40.3064715350441,40.3064470834802,40.3066025171222,0,1,1,3,41.7571039962172,40.9160296163145,40.4061311629376,40.7297213427099,40.7868012086,40.9550305634632,41.0052965194424,41.3141470750214,41.8329237578162,41.8330707464828,41.8031036461777,41.751519073855,41.8652461059373,40.6690280382385,40.8617271079245,41.2287652872864,40.9548101065725,40.8014615879364
660,41.3435055649331,40.3065183586801,40.3064546320851,40.3058472407705,0,1,0,0,41.7450083011497,40.8858337012608,41.2696772347275,40.596447271927,40.6213970998663,40.6765648657078,40.7731724485619,40.9115017091375,41.7514075350709,41.6829488107451,41.6344909692686,41.6072218416274,41.5779212135244,40.9801162208865,41.1016488729267,41.0952537824165,41.0340273665981,40.9370285011344
690,41.4445095332992,40.3064073003323,40.306403499129,40.3066731500627,0,1,0,0,41.6207384689929,41.0583839733685,41.1046192601981,40.5571681912939,40.5843318395359,40.6001704776198,40.6625727613188,40.71966510574,41.5617063050666,41.5023434647535,41.5067908515733,41.4053386055677,41.2624855125715,41.0818187972913,41.1141999425393,41.1114285345145,41.1007376947626,41.0461802936569
720,41.4042366940034,40.3064817417963,40.3064424835618,40.3064927642801,0,1,0,0,41.4764313767152,41.0946816841484,40.9340588625758,40.5598124842484,40.5883207553654,40.6135250777796,40.6278884304201,40.6783799235768,41.4424137834944,41.4369457217363,41.4175181468125,41.2441176529993,41.1711923071798,41.1489132920111,41.1183526121818,41.1253663575933,41.1148297737658,41.0729239557277
750,41.4158490959468,40.30646713324,40.3064401857132,40.3064274243201,0,1,0,0,41.3484875613004,41.1087973758963,40.9433783557677,40.4964237044458,40.5058778744937,40.5348699989093,40.5833787640382,40.6504996289695,41.4282286335331,41.3901907365058,41.327179259561,41.1800886680228,41.0960816679083,41.146776938521,41.1332952910962,41.1116078336658,41.0805807903547,41.0607203565889
780,41.3754302020158,40.3064641195044,40.3064371953171,40.3064358660389,0,1,0,0,41.2510554163678,41.1086315162625,40.9888372316516,40.4815301487441,40.4837812245826,40.5029811193615,40.5720239751032,40.6163527375641,41.4202879914518,41.340837395076,41.2484948139414,41.1062355530055,41.0338366916917,41.1309989980514,41.1441813422456,41.0857952671401,41.0356511880475,41.026174917211
810,41.3299300145705,40.3064673248048,40.306437640653,40.3064366926977,0,1,0,0,41.1893784653539,41.102715342135,40.958328057145,40.4731098559228,40.4792454024961,40.4841084740581,40.5286928565739,40.6078498921265,41.3976029449139,41.2674046236926,41.1614711813051,41.0490455409475,41.0146145116674,41.1141669017375,41.1514105156367,41.0500525983544,40.9928132640337,40.9902866456436
840,41.2850220342347,40.3064676230072,40.3064377344686,40.3064343718182,0,1,0,0,41.153600028511,41.091956100584,40.9063004169818,40.4722881221507,40.4981738813134,40.5044731757928,40.5306703530398,40.5929699630662,41.3471751901893,41.1852011474164,41.0905482934428,41.0102960733297,40.9829275651961,41.1049505919158,41.1503435428632,41.0103819814987,40.9632411829502,40.9527473473501
870,41.2474894157492,40.3064676735556,40.3064374656011,40.3064349845017,0,1,0,0,41.1300457841268,41.0795109931541,40.8452514335657,40.4590360370371,40.4956747546281,40.5357829909418,40.5490632737244,40.6001779471442,41.2897274998143,41.108488590775,41.0311498985857,40.9637549848368,40.9135087388124,41.1124378822269,41.1272864067803,40.9727425641546,40.9298029911075,40.9148727527736
900,41.2165358902099,40.3064680655068,40.3064375150742,40.3064363368052,0,1,0,0,41.1079424662113,41.0663199371485,40.7884029397395,40.4614986551301,40.4927792836804,40.5452850355445,40.5599576866358,40.6049644689502,41.2116033507715,41.038576779564,40.9664869138224,40.9033441848552,40.8515303204831,41.1340314108703,41.0969577630855,40.9350273013823,40.889431930723,40.8728671309877
930,41.1656879888578,40.3064680601097,40.3064375244151,40.3064368052092,0,1,0,0,41.0660774426186,41.0512910046327,40.7515392370138,40.4549866514773,40.4888777110189,40.5386896973951,40.5645704698145,40.6028957787773,41.1036599902194,40.9636648239187,40.9035049860855,40.8546755113115,40.8201005557854,41.1574556724478,41.0632242541,40.8981598418583,40.8529896101706,40.8370205553824
960,50.4755617487697,40.3065004031643,40.306438153592,40.3064473939435,1,1,0,0,46.7786981782565,44.2526528937195,46.157887985868,42.0466921916617,42.833235355685,47.9857306523637,49.473918665369,48.7589895788146,43.684145324198,41.0418299581981,41.1542297817368,41.5910272620099,44.6124659381546,42.6100495578004,42.4061360829796,42.0867834973308,43.4155479515353,43.8537168821267
990,44.0082618211757,40.3064656151199,40.3064690254678,40.3065992440827,0,3,2,2,43.3129015405915,41.0580175787644,43.3700921622843,40.7116570400918,40.7606076573624,41.1639049930276,44.4824494765473,46.5083777288817,43.9342404128938,42.139551173741,42.7402740086023,43.7051637778077,45.2045678543136,40.6788982978944,40.8794516592341,41.7477094406621,42.7955179179776,42.2453597731655
1020,42.7557583097657,40.3067092301307,40.3063738671009,40.3064034521916,0,3,0,3,43.417267380566,42.1728410873287,42.6727449754825,41.0202853871595,41.0622616966535,41.0931990555154,41.3557881105519,41.8928078265244,42.7421778552189,42.772409619826,42.7938972248084,42.9945583419305,42.7035755800472,42.1780055675372,41.8894712792497,42.0974579240572,41.9583407062715,42.0417501479778
1050,41.9674521962561,40.306491729108,40.3064330744109,40.305711385181,0,3,0,3,42.5361176282609,42.2323647231155,41.856443169605,40.6512638228288,40.7145559665749,40.8121514206625,41.014069094805,41.0891844136027,41.8701208544088,41.7745419416162,41.7356021436198,41.9663368286881,41.5069094891139,42.1567491948094,42.2719492797663,42.0893315233041,41.8360929394184,41.8384018700936
1080,41.5497078586058,40.3062372088019,40.3063732369413,40.3062736053637,0,1,1,3,41.7098015558403,41.3822402752922,41.6050253557854,40.9458289143863,40.9977532107907,41.0568913001446,41.1672728680816,41.2123678486219,41.2730693599663,41.249218140061,41.2103660467338,40.9932496319686,40.6994775202527,40.79514892097,40.9686098382472,41.3147895431185,41.7656693695879,41.7621019379475
1110,40.9930231324214,40.3066085621458,40.3064401270553,40.3064052844896,0,2,1,1,41.2808435327062,41.2207139199844,41.2789172495735,40.5079290532261,40.604785500176,40.6354102492881,40.7317450398939,40.8127564271992,41.2264441891941,41.2055952431775,41.1546169112711,40.9479605379058,40.8754720659716,40.7103948558139,40.7368821634194,40.9114500949516,41.6022259440493,41.5402687385055
1140,41.0380793307775,40.306260342777,40.3064441327618,40.306467386327,0,1,0,0,41.2494948285609,41.2075571030378,41.1787337940675,40.5379395411055,40.6286919785028,40.7052146559474,40.7576555587,40.8503391549579,41.217087979673,41.2054670625597,41.172889912446,41.1390209917497,41.1664301457761,40.9199673311832,40.9139325037089,41.2860304483074,41.4309856675581,41.3424123679783
1170,40.9924127253522,40.3065446890114,40.3064451171363,40.3064291654582,0,1,0,0,41.2081591180662,41.2101399197541,41.1113771694505,40.4458023781591,40.4631849605178,40.5247898604893,40.6765434826522,40.8206298200584,41.1913576650424,41.1717082133738,41.1443769407554,41.1364471866105,41.0640111703191,41.0637815894105,41.1672086679657,41.421408956386,41.3288657166647,41.2297588509273
1200,41.0306496345719,40.3064768927892,40.3064569446301,40.3064500531626,0,1,0,0,41.1896290537589,41.2200414830705,40.9555780116958,40.5396744503522,40.5376873670501,40.5383143501479,40.5701623740112,40.6526994770192,41.1506486738617,41.125855886477,41.1017417562557,41.0833634089367,41.0019328335922,41.1624111485073,41.3329858629809,41.3489066819609,41.2109825989394,41.1119724732864
1230,41.0563476709907,40.3064453136297,40.3064241382869,40.306437350316,0,1,0,0,41.1601668245359,41.223779201461,40.8365194227371,40.432203570873,40.4668603789451,40.4866679987558,40.5185296467243,40.5519796444797,41.1079179924728,41.0791147686905,41.0585726642675,41.0359083589281,40.9791089429513,41.2034820058326,41.3014456042446,41.2273034183826,41.0840818710598,40.9984102281629
