"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点02RH Monitor: Sum of RH","点04RH Monitor: Sum of RH","点06RH Monitor: Sum of RH","点09RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点20RH Monitor: Sum of RH"
30,53.049952930463,50.475488049462,50.4754254190713,50.4754567633402,2,0,0,0,52.0899158019673,51.6815114358934,51.9958508366522,52.6589914997806,52.9771032406547,52.669907916955,52.2993116265627,50.4777283075334,52.2532938645137,51.8896964448099,51.6346879227988,51.8676531854318
60,51.1537110356864,40.3065949909305,40.3064629968972,40.3066583150254,0,3,1,3,40.6283978550613,41.7788879070743,40.5850802643039,51.0916232118505,50.1416673030833,52.0458659844712,45.0466270277659,50.416723660771,47.391788063074,45.879274641055,48.5132445765788,44.0524661941965
90,54.5976587657162,40.3057770217057,40.3066305193261,40.3057753209501,0,2,2,3,40.4225753934533,47.0723463386634,46.1336252514573,46.6183857153022,47.7175943355671,50.1205111592815,46.3216958077068,44.7506179529616,43.4079799653997,42.9594446439575,46.1725433642189,44.6191150598525
120,43.9477383269637,40.3065909310042,40.3064179686244,40.3061353207181,0,3,1,3,42.0058095934423,46.3508220681459,47.2207102885165,40.7562209649382,44.8646136031924,46.7415805618491,44.3619309800431,42.7454436419125,42.7452347808051,42.8119554224831,44.7911527933372,45.1315430195379
150,44.844694983162,40.3064511136509,40.3064521565621,40.3066320702358,0,3,1,3,42.6464302113295,43.5365807612814,44.1968338278563,40.5546875270659,42.1979983363821,42.6950729905993,42.4161788413548,42.1877600836012,41.8307021347424,42.0707093298222,43.5384025763574,44.5673603639061
180,41.4599940743503,40.306593245822,40.3064677951715,40.3065560368273,0,3,1,3,41.9619607630952,41.8483944985443,42.4164158953442,40.6425733479358,41.1449712491364,41.6539938559102,42.4994874811457,42.489435721906,41.3773143555328,41.434731500413,42.4784863684957,43.0265559770364
210,41.4737549257497,40.3068741108012,40.3064502324458,40.3068255511772,0,3,1,3,41.6534561990775,41.3939884356466,41.35484696338,40.6057396349592,40.8851017795997,41.2273219406359,41.5325959628713,42.0755613682931,41.1830306778273,40.8974165748006,41.6152249258926,41.5931824036153
240,40.7242735215314,40.3068467070005,40.3064534839301,40.306543837612,0,3,1,2,41.2526981426613,41.2190325681567,41.0539237325238,40.4949031790209,40.6327891598417,40.9073103809617,41.2775787395941,41.2597179035958,40.8574729322233,40.772684641363,40.89579615163,41.2888696061112
270,40.6652059894242,40.3070035465642,40.3064379107572,40.3067075177097,0,2,0,2,40.7646867564288,40.9701569761384,40.8209566815074,40.4455659546276,40.5828020944097,40.7968346274293,40.8401428374363,40.9892205587308,40.4331740656543,40.8760408277202,40.9381361317579,41.0165246041116
300,40.618258697326,40.306735446931,40.3064428300827,40.3064155756737,0,2,0,2,40.797231043731,40.7851430079021,40.6906881013388,40.3854298783073,40.4977355396139,40.6304143524235,40.7213419474241,40.6229231995064,40.3942920194881,40.7993474947106,40.8292472803599,40.8451164359533
330,40.5936671852212,40.3065156053037,40.3064212498366,40.306442011332,0,1,0,1,40.7407299793311,40.6938776427026,40.6577378106199,40.433710991449,40.5050419412553,40.5936248750302,40.6954581976596,40.6049345347918,40.4889694289701,40.7680611460174,40.7619791375397,40.7934739720412
360,40.5381678383454,40.306499947518,40.3064285497588,40.3064389798851,0,1,0,1,40.6513730082601,40.658262552083,40.5811495602011,40.4027064165917,40.4722052730285,40.5313290283589,40.6430234620747,40.6447345815605,40.5472070439066,40.7491017802994,40.7106042775543,40.6377691393371
390,40.5389554039346,40.3064325199439,40.3064337238733,40.3063813798976,0,1,0,1,40.6155221737324,40.6011745723674,40.5265073050581,40.418307709359,40.4593582099221,40.4876789267356,40.5999116993067,40.6155370156096,40.4960599875968,40.7259344237008,40.6713879896058,40.5360820126918
420,40.523114542294,40.3064708385944,40.3064325675504,40.306422749046,0,1,0,1,40.5655072759329,40.5792907822855,40.4854997646256,40.3793888233503,40.4360814582783,40.4547254876809,40.5688960585494,40.5635581458948,40.4364610223975,40.673439172651,40.6350984542646,40.4824476250556
450,40.513846532625,40.3064644427887,40.3064385572806,40.3064280699842,0,1,0,1,40.5086851578827,40.5381650202389,40.4513419820504,40.3455205749757,40.3860699567921,40.419153476696,40.5280737135746,40.4541596633116,40.4105901379076,40.5941243590174,40.5920406073837,40.4737373704473
480,40.4943148127551,40.3064561439474,40.3064375901072,40.3064107407002,0,1,0,1,40.4589935887111,40.4833893280738,40.4286265694335,40.3380978554695,40.3660761926613,40.401760767251,40.4512449118511,40.3860968819668,40.3969050595502,40.5334511186483,40.5524749193168,40.4516180545181
510,45.3941472505101,40.306487795164,40.3064350765316,40.3064157099419,1,1,0,1,41.0539992949025,41.2782048877835,43.7936896016449,40.7571482610111,44.5734246775572,44.6278269986586,41.0677978645179,41.8241059938886,42.8461388987786,41.1514596885272,40.9868608168682,41.7290389428477
540,43.0023951630558,40.3063863476306,40.306476575012,40.3063621542584,0,2,2,3,41.6245987818285,40.3495921194295,43.0902756716034,40.4601025630759,40.7375028325569,42.8837256624594,41.188117700541,41.4994512106417,41.5869870829134,40.9856235781924,40.9760178715389,41.873950555937
570,41.3753560320347,40.3072282768627,40.3067979608272,40.3067431316639,0,3,1,3,41.1948224246492,40.7799268178141,41.5296752555524,40.4767294355003,40.5261375396546,41.0780056189912,41.2123862282458,41.3939476239756,41.0362775787101,41.2216485847117,41.1065961937782,41.7442033097692
600,41.0897514687734,40.3063471788086,40.3062798817331,40.3063517946135,0,3,1,3,40.9430170132563,40.7517746879063,40.9877448056478,40.4261011109013,40.4506335720835,40.5997917109402,41.2695596392031,41.3118375548792,40.7282860711321,40.668387940199,41.2023473353093,40.9939582971047
630,40.881909000237,40.3066749687917,40.3065243889554,40.3064144133579,0,2,0,2,40.8283937873137,40.7866765062874,40.8038216877582,40.4638189742167,40.5305424605541,40.6495898684037,40.9810722309208,40.9926023187319,40.58558764258,40.7865655421618,41.0803180465,40.825868035572
660,40.805555055525,40.3065129478301,40.3064236640721,40.3063446264108,0,1,0,1,40.8127567280132,40.8289051338124,40.7429394219307,40.5254629093003,40.6576988164973,40.706244211889,40.7764147845911,40.7799163163012,40.4963782271844,40.8743867685733,40.9289183376919,40.7721696842011
690,40.7597741549678,40.3064518899941,40.3063865115003,40.3064006020417,0,1,0,1,40.7389744116317,40.8039284696582,40.7246839469313,40.407071468416,40.574588491459,40.6361257287178,40.6806249144916,40.647859494815,40.4726021817098,40.832323387555,40.8286813838747,40.6994895045769
720,40.7248355447932,40.3064473867019,40.3064503668439,40.306414006748,0,1,0,1,40.7054131700716,40.7381479615787,40.6717727253034,40.4138035996825,40.563951476805,40.6313509438197,40.6151975315313,40.5180047978915,40.5034483547361,40.8057187263535,40.7604706938783,40.6452085471829
750,40.6875095653178,40.3064692684535,40.3064465150832,40.306439980846,0,1,0,1,40.6436055039074,40.6292142110068,40.6181202254098,40.4211522658708,40.5878569166353,40.6400236466352,40.5590735571455,40.5360494746292,40.5580202914618,40.7760934648254,40.7090820345074,40.559280868143
780,40.6424803444963,40.3064575594499,40.3064358159024,40.3064234955551,0,1,0,1,40.600745762905,40.5789750544647,40.561397279201,40.4172010177606,40.5801295045686,40.6116039111738,40.4965486231529,40.4828828502516,40.552781919039,40.7382568016029,40.6773042128999,40.5384104695626
810,40.6058522813548,40.3064567104418,40.3064369154658,40.3064090231657,0,1,0,1,40.5321714122573,40.5241240674714,40.5156255469244,40.3822714483197,40.5114571259958,40.5678576326067,40.4403467942282,40.4359713118434,40.5067219020994,40.6546434554111,40.6616918331494,40.5319988218768
840,40.557280582166,40.3064627996204,40.3064371746961,40.3064151578684,0,1,0,1,40.474437541892,40.4751901498715,40.4821541118311,40.3500106325661,40.4428295686127,40.5374130123875,40.4169679234389,40.4409964665292,40.4064967371059,40.5785170756356,40.6227250681685,40.5034801098966
870,40.5349077377945,40.3064611970165,40.3064371747775,40.3064266157548,0,1,0,1,40.4548644176725,40.4405633765305,40.4462748149346,40.3377489818754,40.3788156219411,40.4953802828719,40.4161528469613,40.4315518961722,40.3764998869517,40.5291312585854,40.5652693877477,40.4745070976171
900,40.5130675527765,40.3064582519491,40.306437195689,40.3064349689716,0,1,0,1,40.4398577673912,40.4253326092739,40.4362906028041,40.3328378803108,40.3564994731243,40.4120375138793,40.4042116663983,40.3980225851073,40.3633022515205,40.4940898307227,40.5129340973471,40.4505832335097
930,40.4790798080034,40.3064588107206,40.3064372137116,40.306433541036,0,1,0,1,40.4318296845731,40.4088648174025,40.4176236068669,40.3364714481215,40.3611454555286,40.3730109750376,40.3929166850213,40.3839068645779,40.3603653897767,40.4654806898508,40.466183456879,40.4368382129676
960,50.4755876083681,40.3064932190286,40.3064367215471,40.3064433385004,1,1,0,1,44.8866200295135,42.0082337432057,46.849859143983,42.0287058775603,48.7919249774079,49.0790217912625,41.6483928498479,42.1083351641166,45.3396062924398,42.200499783178,41.3529455036678,42.5183736240489
990,45.0077627334026,40.3063565349665,40.3064613845414,40.306348738016,0,2,2,3,43.8329883907439,40.3943430217253,46.1092561658778,40.684485470372,41.5190041423088,45.676417617491,41.8771865355106,42.2360858982469,42.2223993647611,41.4976565789747,41.4470710182134,44.4078186309467
1020,42.388912623961,40.3069958047306,40.3065174035632,40.3064560314488,0,3,1,3,41.9713108682133,41.1739449659862,42.9646172179916,40.6424635262588,40.7397337101468,42.4058548955014,42.3554886536658,42.4852429591191,41.7120301509667,41.9552614018724,41.7418519986277,43.9424619208438
1050,41.5617990078331,40.3064964315074,40.3064070535667,40.306473304535,0,3,1,3,41.2407065135738,41.405444847005,41.57986267907,40.5217309341615,40.6196122562125,40.8349309056496,41.7410414294796,41.9663265702825,40.8081193532682,40.9716808539125,41.3367707901625,42.0939101334485
1080,40.8523737694038,40.3066658199809,40.3065260621274,40.3065001603634,0,3,1,3,41.025291542583,41.096342659639,41.0203111273628,40.48030042174,40.5596873080168,40.6672535853931,41.0812919598028,41.1100339014959,40.6668404376432,40.6714199653354,41.0250112581095,41.4452178738589
1110,40.8947105111879,40.3065521263337,40.3063826848706,40.3063836418127,0,2,0,2,40.9076412603572,40.9072256480373,40.8623137471693,40.5330548807981,40.6160991043573,40.7400758506757,41.1542065832334,40.8370492949183,40.6487647531792,40.8588008495177,41.2017326888688,40.9054939293857
1140,41.0378929131411,40.3065059687687,40.3064529876774,40.3064084401472,0,1,0,1,40.9415733996879,40.8494865772812,40.8372388515041,40.5460093302933,40.6759983937424,40.7584072313006,41.0289911396667,40.7639085153327,40.7026133865736,40.8483640253414,41.0293646581362,40.9644681046282
1170,40.958790032362,40.3064981283942,40.3064519481252,40.3064614925681,0,1,0,1,40.8717290184915,40.7768652843109,40.7807732486995,40.5645911268878,40.7873439003299,40.7817540133224,40.9287844451194,40.7201424514288,40.5952798377588,40.8844579225756,40.9653167639432,40.877509402063
1200,40.8354445707464,40.3064358603287,40.3064317031731,40.3063865065207,0,1,0,1,40.8131349711145,40.7458791392918,40.7629769943322,40.5170635405024,40.7708989910644,40.7975881518688,40.785269234301,40.6065263266745,40.5253347111516,40.8525249842404,40.8899237715796,40.750780529212
1230,40.7413791734937,40.3064715124856,40.306437954242,40.3064336470476,0,1,0,1,40.7419086431279,40.7068720938241,40.7345835563165,40.4565416904023,40.6835312801812,40.7239646884854,40.678895188192,40.5016535360151,40.5073523229851,40.8062564677975,40.8371466415943,40.6729274341572
1260,40.6513633685124,40.3064701380382,40.306438350493,40.3064389847645,0,1,0,1,40.6750409357051,40.6378710936744,40.6636177679337,40.3899418095164,40.540843877119,40.6527950897998,40.5516708456428,40.4424947974745,40.4389570785173,40.7191669794654,40.7798056883379,40.6743569075029
1290,40.6139010715757,40.3064580589457,40.3064362007385,40.306434816688,0,1,0,1,40.5984908258546,40.5750218140658,40.646270968649,40.3614915201827,40.4013707384428,40.5695459582526,40.4761110927343,40.4173680649675,40.3835785940401,40.647437222583,40.7025655281323,40.645098593445
1320,40.5779435912956,40.3064578590115,40.3064361246847,40.3064443328619,0,1,0,1,40.5346355772485,40.5208789076492,40.5334092298373,40.3580898182891,40.374228187177,40.4745469135395,40.436565148483,40.3952024386914,40.3707858959572,40.6066362704503,40.6283493729263,40.6076582560965
1350,40.5599121342163,40.3064667667458,40.3064370301741,40.306453004671,0,1,0,1,40.4882187692038,40.4734845674043,40.4625612853921,40.3489741433184,40.3773580537805,40.3936670018692,40.4096427538214,40.3791123647286,40.36319463645,40.556750798845,40.5675091121337,40.5748667525728
1380,40.5276973043581,40.3064622809639,40.3064370031139,40.3064470472214,0,1,0,1,40.4637309820624,40.4451304317169,40.4186712804789,40.3352060050389,40.3608464774049,40.3804544054595,40.4158176954471,40.4020176061125,40.3684223949555,40.5177113904123,40.5261217373467,40.5365236214041
1410,55.6015768887779,40.3064841295823,40.306435995166,40.306440314045,1,1,0,1,45.402859915816,42.7105614714655,50.1888159143111,42.4636609030723,51.7940122289176,53.4088334590077,42.1517004871508,43.3161651384753,47.2297170422928,42.7600907681115,41.8784354977078,45.4489732296659
1440,45.4724223944755,40.3063410569176,40.3064655974976,40.306345195561,0,2,2,3,45.2725944151793,40.5601010553212,47.785816395064,41.0249722560882,41.7078580083946,47.7171684832622,42.721089210112,43.6237794996001,43.9920568741571,41.0344044349953,42.3043330184688,45.3218518503329
1470,43.3439068729549,40.3069303876595,40.3064813384037,40.3063977952696,0,3,1,2,43.4869113270243,42.2200531040398,43.6051195231451,41.1446454477397,41.2860560421232,42.6009104048804,43.5592372231511,43.947066595341,43.4587546225153,42.0957130768458,41.9157676986312,44.1337690912799
1500,42.7687642143306,40.3064659399564,40.3064410678048,40.3065091981705,0,3,1,3,42.4701820404362,41.8152380616449,42.2155038793468,40.638380302671,40.9417449302278,41.7275560222043,43.6181889091109,43.603741080768,41.5669749373865,41.1071859032429,42.3069882701392,42.3628332318616
1530,41.9312178166432,40.3066592681515,40.3064954406504,40.3062436811722,0,3,1,2,41.9715748517665,41.4957547407124,41.6299511575948,40.724659265789,40.7986913658798,41.6201486688533,42.9428250355038,42.4440246933339,41.4173940812346,40.9061574159015,41.5155668986734,41.9669762011799
1560,41.5469784843685,40.3067237707896,40.3064649989719,40.3065493404611,0,3,1,3,41.5984641478738,41.1944662111846,41.2213730280549,40.5622293679798,40.6605079516437,41.123925510133,42.2087353043255,41.681187973237,41.1531881177325,40.6006695221148,41.4133783360075,41.1455200777172
1590,41.1991931149622,40.3066273159109,40.3064433312353,40.3060944020354,0,3,1,3,41.0613105832963,40.8274326634251,41.0429359721337,40.4451331503892,40.5399161356274,40.676867464075,41.2754009706865,41.2150447953023,40.801862234169,40.5187589809878,40.9554363389745,41.0556658158988
1620,40.9883877295534,40.3065904354188,40.3064371593582,40.3063283843372,0,2,0,2,40.9201596703226,40.8105411196994,40.8721703750085,40.4579352224108,40.5183713485984,40.6471054309053,41.2680104622287,40.9400194457253,40.6447018186974,40.7821503638724,41.0837590112644,40.9082678476607
1650,40.8361879333223,40.3066245945447,40.306444269185,40.3064066671557,0,2,0,2,40.8374486507163,40.7251986804652,40.7336826829792,40.4094610775012,40.4743676105594,40.5576050362293,40.9470228517077,40.6319576939968,40.5552365318925,40.8283427502095,40.9751567343141,40.8281414482179
1680,40.7409701882281,40.3064298132868,40.3064332810917,40.3062677375016,0,1,0,1,40.7260791495078,40.7612503160511,40.6661023758223,40.4635927708006,40.5506694776193,40.6169389459643,40.6548821029153,40.5934800723874,40.566178912044,40.7879652574502,40.8822171860514,40.7127565694978
1710,40.6735811684212,40.3065106260429,40.3064364436,40.3064499145149,0,1,0,1,40.6476610382753,40.7187596768554,40.5981674135279,40.3745042829332,40.4734040770031,40.5999671546737,40.5770193789563,40.552291487222,40.5081413015664,40.7723111440235,40.8214870699859,40.6185593444607
1740,40.6296855221672,40.3064413905681,40.3064351922035,40.3064008486409,0,1,0,1,40.5964010752534,40.6450065896209,40.5603267436896,40.3693837948947,40.4394750538805,40.5581896703541,40.5115656098171,40.4989389165121,40.4403807543804,40.7044349537876,40.7695239945551,40.574602102617
1770,40.5929455569593,40.3064687238773,40.3064372244794,40.3064354629309,0,1,0,1,40.5414649348174,40.5583715201778,40.5192649819104,40.3573754612775,40.3949590677052,40.4942820882475,40.4620923521252,40.4521075368951,40.4006150171795,40.6202933353996,40.7121638667252,40.5664633040756
1800,40.5635923332255,40.3064672349479,40.3064370534437,40.3064454275801,0,1,0,1,40.4858926230507,40.4757443844118,40.4757932879855,40.3395615697827,40.3665131794721,40.432862893398,40.4360474288522,40.4185247780634,40.3879801027215,40.5353846076677,40.6458499010393,40.5499469424192
1830,40.5357571557804,40.3064533491592,40.3064368585605,40.3064425239828,0,1,0,1,40.4460276347868,40.4222309483747,40.4418142417689,40.3337182827399,40.350820625951,40.3913850749679,40.4197534172175,40.4073975016341,40.3789685567847,40.4804954641871,40.5918965595778,40.5127258200058
1860,60.7213262313232,40.306481922017,40.3064355250525,40.306440967431,1,1,0,1,47.8357059832546,44.2481749405852,52.318431735375,42.9483057692329,55.7558983154754,57.5032219298258,43.0192743108092,45.0311839896443,49.7920516283903,43.7975743837146,43.2169569873109,45.5733261425016
1890,49.4995454545663,40.3063408368216,40.3064893362683,40.3063631534872,0,2,2,3,46.8800279746727,40.7326057428286,50.4624725081293,41.1683534785078,41.9885881559478,50.3633808068113,44.0397878557953,44.6358040975863,45.4854422844857,42.2275073263667,42.937450005779,47.166258727255
1920,44.5150430592223,40.3070768137394,40.3065892998015,40.3065727025349,0,3,1,3,44.7966434967583,43.1342542903327,44.9245894500645,40.9386954721254,41.1728225193269,42.6113161841103,44.4267949535839,45.0184969155109,43.2486532230635,43.0879619864021,43.2174703292826,46.7839351466021
1950,43.5211635477846,40.3063874853971,40.3065071936506,40.3064856482375,0,2,3,2,43.4254444790857,42.5406671210872,43.1517402313685,40.8490093551211,41.1256206285307,42.031647252323,43.9503193950132,44.3120547239331,42.1020182994524,40.5455412586709,42.8542529967622,44.2761591323777
1980,42.7638653205936,40.3066972486978,40.3064234306943,40.3064901122468,0,3,1,1,42.9218641294084,42.4534125605448,42.0529878641826,40.7037399265849,40.8469200942339,41.7877606899959,43.287853737647,43.4034409700621,42.1337015490478,41.1195653125891,42.1814369375805,42.6528628434568
2010,42.324596190151,40.306430201403,40.3064404460482,40.3064387012224,0,3,1,3,42.1998339782308,42.0348932074778,41.4101636488736,40.6976821659523,40.7542943285563,41.5296332451335,42.202195528541,42.0095698475179,41.6247368683389,40.9679717800574,41.6831948589739,41.1808449615789
2040,41.7629332673282,40.3067387948861,40.3064449978972,40.3059959851874,0,3,1,3,41.5095741695188,41.2915262346197,41.2555570426296,40.5400852542987,40.654005417732,41.002999260518,41.3164240833651,41.3696126787561,41.3167156221473,40.8624924954327,41.2485070740132,41.2148300627901
2070,41.3319755866289,40.3065594507913,40.3064194721771,40.3063054839358,0,2,0,2,41.1156109152477,41.1873215540859,41.1460206359913,40.5300945019617,40.643034131,40.8648749303566,41.1449922697125,41.2585440696362,40.9111380062547,41.0998036108291,41.3165629345009,41.161249234862
2100,41.0414033489154,40.306617867699,40.3064423227053,40.3063979025805,0,2,0,2,40.9010872465813,40.9483476461,40.9225546934215,40.436144109688,40.5329239143971,40.7055877519613,40.8744060131669,40.8790432262334,40.6550026800803,41.0800231977783,41.2329671716337,40.9818348509926
2130,40.9028178875878,40.3064424685952,40.3064336067735,40.3062412610046,0,1,0,1,40.8506980149813,41.0080388045252,40.8277726156208,40.5185355323335,40.6191914692608,40.7576845795055,40.782080938073,40.7567949226871,40.6651764591113,41.0474268170857,41.0888789433811,40.8602046155375
2160,40.8278070780481,40.3065196308348,40.3064350620576,40.3064494323726,0,1,0,1,40.810571169096,41.0063278064371,40.7367598196377,40.4283371572568,40.5645111536402,40.7368082723975,40.7410109316534,40.7157979039934,40.6537909752135,41.0331246155395,40.9541026092771,40.758301160711
2190,40.7651694600035,40.3064377887442,40.3064360640724,40.3064033857769,0,1,0,1,40.7609733343172,40.9426397631586,40.6873026368221,40.3857678851593,40.4939236082226,40.6715282044357,40.6803816406136,40.6581269134436,40.6191023589631,41.0031502003878,40.8626608172574,40.6856908682932
2220,40.7027396810119,40.3064601654451,40.306437240961,40.3064323359281,0,1,0,1,40.6978049701818,40.8292017982938,40.6308369642696,40.3855568853078,40.440257787599,40.5952641076067,40.6157338145363,40.6082559710821,40.5637078216465,40.9279002069357,40.802766767965,40.6455582040525
2250,40.6508199385612,40.3064642965327,40.3064372387205,40.3064277976361,0,1,0,1,40.6323733278381,40.7039452703208,40.5739325715872,40.3663422825612,40.3994563178993,40.5135922758248,40.5570365316607,40.5584337937394,40.5146432560592,40.7866212139865,40.7596967718543,40.6207643142956
2280,40.6049550792553,40.3064521929072,40.3064370650893,40.3064278662934,0,1,0,1,40.5708739219386,40.599554055569,40.5231713143153,40.3596014068954,40.3827368704442,40.4524837068338,40.5239644225851,40.5263877994151,40.4719298898139,40.6587941412853,40.7182283097633,40.5862584189155
2310,55.6015697563923,40.3064847236197,40.3064362869401,40.3064286826215,1,1,0,1,45.9991716182453,42.9025576619601,49.2187135364187,42.2998605776583,51.9009271373802,53.1216467107556,42.369708461955,42.4656212436745,48.2463242284946,42.4797999351322,42.2880812474822,44.227732981981
2340,45.4243873828178,40.3063562314735,40.3064919088909,40.3063828282594,0,2,2,3,45.3162064559416,40.9207629878292,47.5880994269018,41.0844754766051,41.6421103521949,46.7701549997711,42.8957678398859,43.5517360146332,45.2019317201695,41.1321443334469,42.7890240060893,46.0470619402321
2370,43.108758247489,40.3070641294156,40.3065904834951,40.3065863032845,0,3,1,3,43.6353486222205,42.7829573664166,44.0676239633369,40.9208929342632,41.0620637848068,42.1846926306187,43.3204286791245,43.7984224880564,42.5414248846483,42.246681238844,42.4482527844693,45.2242203021031
2400,42.300914607921,40.3063916945406,40.3064262276901,40.3064694158983,0,3,1,3,42.1692288070104,41.9786164201997,42.0921891284863,40.6108434187156,40.7461838064793,41.3068297304624,43.1702080591727,43.1417679486335,41.4344839454257,41.1503092896418,42.3808985037293,42.9861984766108
2430,41.5976511778836,40.3066228215847,40.3064669248545,40.3064524497067,0,3,1,3,41.4934053384314,41.3125527145554,41.3891808006459,40.6091167113659,40.6847044992813,41.0504897420117,42.4021297245173,41.710417041847,40.9989464910831,40.9000346781125,41.5880315517368,41.8184600731912
2460,41.2901534654102,40.3066708535376,40.3064785922396,40.3064102640291,0,3,1,3,41.2218838615216,41.0354670786837,41.0269617325028,40.4914330016053,40.5530202338524,40.756704715339,41.3523410369132,41.0003290182319,40.8167567872608,40.6508338347309,41.0550007272765,41.1717692818703
2490,41.0339030324535,40.3064996752508,40.3064160435547,40.3062353053288,0,2,0,2,40.9859382924623,40.968829665343,40.9308279835615,40.4669876960282,40.5479400694658,40.6707201377226,40.9351486260122,40.8755947654565,40.7964443277905,40.9230583559438,41.1323627335042,41.023821298351
2520,40.9293158926008,40.3065172248685,40.3064435615042,40.3063450517965,0,1,0,1,40.9120654809019,41.0046276034583,40.8863034927215,40.5286034090891,40.6430589732638,40.751845190354,40.8765046695394,40.835313262062,40.7956592674718,40.9865432412239,41.1483571722589,40.9414315504729
2550,40.8870765848423,40.3064977282128,40.3064462566296,40.3064302298418,0,1,0,1,40.8767570426261,41.0185843241004,40.7848305204943,40.4733662180587,40.6467995050909,40.7808314843469,40.8499095645101,40.8038401673766,40.7904494530683,41.0259876025996,41.0142352649217,40.7776836956589
2580,40.8332465873852,40.3064315569151,40.3064331914431,40.3063755155899,0,1,0,1,40.8731947953399,41.0199426922568,40.7375420464874,40.4408618634797,40.6132650589705,40.7599475635818,40.8050652932197,40.7512273079067,40.7473063752298,41.0332852580452,40.8762000006317,40.6701503139041
2610,40.7793572109453,40.3064522032552,40.3064362333995,40.3064261754604,0,1,0,1,40.8343840655566,40.9948210007091,40.7054247591695,40.4279358688611,40.560875842434,40.7115509040822,40.7376040089819,40.678700700746,40.6934707780764,41.026662791464,40.7809825948026,40.6213730031403
