"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点02RH Monitor: Sum of RH","点04RH Monitor: Sum of RH","点06RH Monitor: Sum of RH","点09RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点20RH Monitor: Sum of RH"
30,50.475424554968,50.4754245549681,50.475424554968,50.475424554968,0,0,0,0,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968
60,50.4741429763337,40.3064424930146,40.3064379649804,40.3064385567051,0,1,1,1,41.4530390107393,41.4441585638974,41.4634733560919,46.5080495709924,50.4683911772491,50.4754165319859,48.4680050895393,50.4753024383622,49.4536706925696,45.7200179642646,50.0284101127166,46.7904910354
90,50.2699556074336,40.3064487959309,40.3064477024032,40.3064459136634,0,1,1,1,44.5318556902403,48.2145153458377,48.3317440470314,41.1360662826024,48.8456656671505,50.4556038140607,45.8021437699417,50.2780778833179,41.9324979310793,41.8763500012225,46.8223059094411,45.9329640075163
120,47.9176440713677,40.3064327762037,40.3064394217014,40.3064387275586,0,1,1,1,43.7985384633551,48.548727733176,49.2376793193866,40.915579283805,42.660964847557,48.0180448661752,47.6963483705226,45.4810945614377,42.8216976655902,42.0544984011821,42.7233780478466,46.5924258161391
150,45.5462157485666,40.3064082509967,40.3064503990037,40.3064557251875,0,0,1,1,44.9198755897066,47.3700510129376,49.4520786024317,43.6271325051312,43.3262865214515,45.6502858740381,44.5223397343884,43.1719248055648,42.9535560826852,42.1267760240874,42.3544158206489,46.8577112206386
180,43.8412076360536,40.3064618654974,40.3064494051294,40.3064509042147,0,1,1,1,40.6765035269602,45.1657572750639,48.2891710410342,41.3179312962277,42.6420447252549,43.6882322087104,43.1123045254265,42.9825872688562,42.7189281705746,42.420255921235,44.165281543042,46.2698203547488
210,42.7009584621789,40.3063578288766,40.3064478580491,40.3064507845999,0,1,1,1,44.0439493239485,43.5158556870771,45.8403716778818,40.6228587078311,41.1820685183219,41.8099054215383,44.0444514726889,44.2582208191187,42.1910838311923,42.4087490121311,44.795101189711,45.0951121077144
240,42.5767538390904,40.3064349872028,40.3064548823601,40.3064721701463,0,0,1,1,44.0140904475272,43.3173884457,44.3920723914271,42.3578393438948,42.1418760131617,41.8545900297646,44.4737230566997,44.0317411256961,40.8928291655656,41.3569468722199,43.0681874734664,44.120721905643
270,42.7042078225766,40.3064717765978,40.3064563480387,40.3064714314493,0,1,1,1,42.1539970885259,42.7847886134537,43.5275730000824,41.0379664781134,41.9059378122223,42.1194529614409,44.2186576640791,42.4865096381153,40.8706331445887,41.1979670314013,42.191599856959,43.7986022233716
300,42.8480278217436,40.3063194354241,40.3064554570818,40.3064777735903,0,1,1,1,42.964238188048,42.6841938041132,42.8714377155897,40.5763909353163,40.944078446983,42.0867453481614,43.0380706252393,41.4539705821593,40.9910219621198,41.2642574902957,41.8908335937255,43.0249189071429
