"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点02RH Monitor: Sum of RH","点03RH Monitor: Sum of RH","点04RH Monitor: Sum of RH","点05RH Monitor: Sum of RH","点06RH Monitor: Sum of RH","点09RH Monitor: Sum of RH","点10RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点19RH Monitor: Sum of RH","点20RH Monitor: Sum of RH"
30,50.475424554968,50.4754245549681,50.475424554968,50.475424554968,0,0,0,0,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968
60,50.2232175380673,40.3064524716406,40.3064388858429,40.3064406619528,0,3,3,3,40.6891114723472,40.6864866873981,40.6919582380269,43.0886697704435,47.5933292259553,49.5691930961367,50.2920801360712,50.4264695158807,44.5824176676371,48.8434288522784,50.2694760330638,50.4665364432621,48.030748803812,42.9153964761135,44.482376687188,47.7662482222929,45.2777942727206,43.5324780441806
90,46.169210203709,40.3063212568036,40.306351756425,40.3062984065361,0,3,3,3,42.5519973265027,46.7382920954905,47.8918271478219,40.5415711438625,40.9384520729979,42.0946153698484,44.531515781721,46.2355899898106,44.3980580208281,48.4528358094669,46.7505612034321,42.9565364310557,41.1367710454333,40.9986991819802,41.5574546245398,42.5108855588647,44.6576350265063,44.6316583788309
120,44.7503658524617,40.3063510872372,40.3064119058217,40.3063464090989,0,0,0,3,42.5429439840698,44.6272283155822,42.9254638638841,42.4951774145005,44.1560117286034,45.0004855543445,46.394562935841,47.5175467278286,44.5405785763435,44.177710430696,42.0883723786083,41.4009706065371,41.4312198730327,43.7043675642611,44.1543285536216,44.9601471635913,44.4222277616992,43.8863302088161
150,42.0583358037281,40.306432943735,40.3064759776405,40.3066607003002,0,3,3,3,40.3221165749522,41.1242374428778,43.8520004469204,40.9219145035591,41.2486481766467,41.6558216217652,42.3884985884569,43.3173882072892,42.4219899547248,42.0978019118964,41.9141141859578,41.880579613324,41.9045883073092,41.9979248309599,42.2762332271167,42.7122688200223,44.1721021198949,43.8616375833728
180,41.5313899601245,40.3070712225826,40.3069417838875,40.3076514969739,0,0,3,3,41.6841685708912,42.0353659357103,42.7484520866746,41.9417952704549,41.8104691060726,41.8013210877226,41.6575431459721,42.0720443592738,41.6048253985803,41.6259209482918,41.6310816855977,41.5488280956974,41.214329832276,41.2642609706166,41.2691287163982,41.2242296162767,42.3500432015633,43.542418980078
210,40.8674698147538,40.3074546274617,40.3067468505165,40.3068112295325,0,3,3,3,40.2900438702468,41.3806349719967,41.966742335955,41.0637417274148,41.2011697973583,41.0337582076029,41.2079165365739,41.3146211898762,41.4265344250775,41.3106087734834,41.3114721932603,41.2277297607205,40.8552322862664,40.6760809967464,40.8277350538368,41.1352859040164,41.6872279066691,42.566057783326
240,40.5532535779307,40.3058496512761,40.3065357436888,40.3066546583881,0,3,3,3,40.8668535255433,41.1915507170747,41.3316284423372,40.4041955004477,40.6553376817495,40.5913816567652,40.6326132373462,40.6685445770225,41.2190001091648,41.1164237064505,41.0240838278242,40.6957344523013,40.5438850648786,40.6608006749989,40.6961730873637,41.1315398615557,41.2980592806869,41.9500921282523
270,40.8007451052856,40.3059669223365,40.3062663584692,40.3064824750032,0,0,0,0,41.2048108302594,41.3007661687342,41.4449020793035,40.7963407608097,40.8381849896812,40.8342019619259,40.9343614431764,40.9930099283696,41.4647259566708,41.4731778920687,41.4499384358117,41.1741524681156,41.2815068143857,41.1586661941335,41.1358500617706,41.1994223811431,41.2192537795117,41.398453416928
300,40.8894838828633,40.3066250957164,40.3064936078037,40.3064397942741,0,0,0,0,41.2399247590004,41.2730252868258,41.3315428971653,41.1134177640452,40.9194489895801,40.9366344437826,40.9763586580815,41.0251196358569,41.4234820898855,41.405581737356,41.3349545880529,41.2851303622679,41.2974779354338,41.2787006572804,41.265284317747,41.2516254021977,41.2440199094134,41.26364681295
330,40.8761843556751,40.307350618479,40.3064462275354,40.3064538075579,0,3,0,0,40.3611782495328,41.3247857154321,41.2913104239259,40.5371483264944,40.8614171507,40.843334032876,40.8896337397068,40.9192998672968,41.3240301897607,41.252900388449,41.2279228721432,41.190710220652,41.099860097885,41.171991538084,41.2231854090774,41.2049418877561,41.1665828089965,41.2930441134126
360,40.8198646046208,40.3058098638549,40.3064382291024,40.3064515096496,0,0,0,0,40.88710681951,41.2886656018923,41.2300317710939,40.7390944655765,40.8651630251603,40.8541854488134,40.8504008740044,40.85924286332,41.2335969905819,41.1910074934656,41.2004049091357,41.1831768354027,41.1454717066126,41.1819513819624,41.2197895112478,41.2307247513124,41.1911035861319,41.1658817100937
390,40.7902594022895,40.3066071192169,40.3064297632611,40.3064252268279,0,0,0,0,41.0638514811836,41.2464315277816,41.1980794277376,40.8451477023909,40.8635709404807,40.8090418129741,40.8205379614585,40.8533083371196,41.1854287660008,41.1621401110413,41.1599665739684,41.1401695398776,41.1409790370348,41.1907295156579,41.1981924411088,41.211242287035,41.2134137457342,41.1580451930223
420,40.8010994974259,40.3064498379573,40.3064403348571,40.3064509078693,0,0,0,0,41.1207115813708,41.1955578488615,41.183000850427,40.9746923817111,40.9015357522335,40.8345414845497,40.80352558508,40.8578163460019,41.1754030697379,41.1654783839186,41.1614804163962,41.1452478925137,41.1528367222308,41.1938969621468,41.1950303010977,41.1929278021765,41.1890898105623,41.1734589894294
450,40.7511535359167,40.3068691401708,40.3064387962677,40.30644555395,0,3,0,0,40.3726569735129,40.8588058934934,41.1318557971228,40.3544601712344,40.523421823442,40.6822407700151,40.7292720150796,40.7889868712946,41.0610722348403,41.1250361404874,41.0962789941093,41.0082403117936,40.9689003897507,41.0879620119489,41.0856921827915,41.1028846461278,41.1663191718265,41.1712274241345
480,40.6799242382819,40.305738433318,40.3064350015498,40.3064296571866,0,0,0,0,40.664486454573,40.9725726105218,41.1339572262323,40.5486618413547,40.5707038594485,40.619085122597,40.6957425204834,40.7473532944526,41.1052181260178,41.0855414275465,41.0549979307559,41.0248588378067,41.009159008421,41.0659405608982,41.0294842724596,41.0382430127846,41.1238533188262,41.1272297942467
510,45.3941027135114,40.3066326543646,40.3064365761448,40.3064521021047,1,0,0,0,43.1472753620797,42.4551729302779,42.5366571601829,43.8324684701188,44.7430657238513,45.1951204308171,44.9618482906105,44.5146026594633,41.8595005132237,41.7579202463535,42.1529443300536,42.9263785397153,43.5205639915288,41.9488626507072,41.8946416431946,41.6196019019249,42.4695117936771,42.7355118127895
540,42.1290350379649,40.3068468894685,40.3064705146334,40.3064715675094,0,3,3,3,40.4547988234991,40.4363457717931,40.3563325311719,40.814086577412,41.4127445266189,42.4777627004407,43.2456908028845,43.5445528341944,41.7331871186238,42.4875592280411,42.8842186340591,43.1699438901109,43.3766193416425,41.6616635445427,41.6048487457333,41.5304543251892,41.3773767625379,40.9426554171685
570,41.629077598167,40.3070722723219,40.3067034491777,40.3067261628932,0,0,3,3,41.1152822886262,41.7578183871856,42.8767989711821,41.6035552595652,41.6816832013847,41.7888030606436,42.1719383193271,42.7115900603107,41.7519375248005,41.662881231054,41.5362943174306,41.6313443662927,41.2471419298906,40.9933024375604,41.1962946097688,40.8764978021152,41.5654790473917,41.6693704405332
600,40.9462349097988,40.3075615601641,40.3065285001612,40.3062023662604,0,3,3,3,40.3462375651737,41.5240848670796,42.1243925851546,40.4900286208218,40.807654140993,40.9509726007169,41.3147958904984,41.7362521644979,41.1480098160681,41.0469485173887,40.9961503576867,40.7276269906699,40.683338379115,40.4690644487895,40.6403975901631,40.7046481982351,41.4387450054673,41.6407317431468
630,40.7474241034163,40.3056095565178,40.3062910066607,40.3064972882058,0,0,0,3,40.7034170302111,41.0069401629456,41.3453610355003,40.805857993492,40.8859715439455,40.906312206038,40.8668501530502,41.0547837416678,40.7162440822252,40.6774414488464,40.6219984096974,40.5899432583182,40.59140189066,41.002724322975,40.9298402944231,41.0519777913897,41.1871263372404,41.3564635782348
660,40.8195809779075,40.3065298436923,40.3064483173728,40.3063330242921,0,0,0,0,40.839224251401,41.0631566218591,41.0693041187752,40.8555795765235,40.9483908812964,40.9291946850379,40.906463617373,40.9476465126337,41.0668496779603,41.1110799434503,41.1415236263955,41.1567626300828,41.1188506700185,41.0965159342128,41.0643344974004,41.0770268515517,41.1688655832721,41.2659835893353
