"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点02RH Monitor: Sum of RH","点03RH Monitor: Sum of RH","点04RH Monitor: Sum of RH","点05RH Monitor: Sum of RH","点06RH Monitor: Sum of RH","点09RH Monitor: Sum of RH","点10RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点19RH Monitor: Sum of RH","点20RH Monitor: Sum of RH"
30,50.475424554968,50.4754245549681,50.475424554968,50.475424554968,0,0,0,0,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968
60,50.2232175380673,40.3064524716406,40.3064388858429,40.3064406619528,0,3,3,3,40.6891114723472,40.6864866873981,40.6919582380269,43.0886697704435,47.5933292259553,49.5691930961367,50.2920801360712,50.4264695158807,44.5824176676371,48.8434288522784,50.2694760330638,50.4665364432621,48.030748803812,42.9153964761135,44.482376687188,47.7662482222929,45.2777942727206,43.5324780441806
90,46.169210203709,40.3063212568036,40.306351756425,40.3062984065361,0,3,3,3,42.5519973265027,46.7382920954905,47.8918271478219,40.5415711438625,40.9384520729979,42.0946153698484,44.531515781721,46.2355899898106,44.3980580208281,48.4528358094669,46.7505612034321,42.9565364310557,41.1367710454333,40.9986991819802,41.5574546245398,42.5108855588647,44.6576350265063,44.6316583788309
120,42.3213075657508,40.3065314058514,40.306632601485,40.3065731825899,0,3,3,3,43.6158878294911,44.5615123387961,45.906296666611,40.6520959610628,40.7179196771008,40.8083468801953,41.0098715024823,41.3564825476991,42.6769754635638,42.220801434742,41.6303572916157,41.2829637167706,41.2498314399959,41.4025140204019,41.4010740859265,41.4427287387101,44.4087147390564,44.2754061947373
150,42.0861676798097,40.3065662026985,40.3065544486765,40.3062303117021,0,3,3,0,43.6555924754696,43.7554462380454,42.1541526484285,40.8465046471867,40.8619445371382,40.8933619104652,40.9385220253156,40.9975246964294,42.1329531285438,42.190676501428,42.2454867904153,42.6794550745215,42.7994529778993,41.008750176466,41.0873269521951,41.1599460834628,43.5541188957941,43.2054392160508
180,41.7697958329975,40.3065374913469,40.3063752635931,40.3067325969653,0,3,1,3,42.992728501079,42.8982018929086,40.3248068122227,40.8396253134162,40.9882543788091,40.9800591674079,40.9925652899238,41.0327665617566,41.9969973442593,41.9041680904013,41.7776770482613,41.7002125173909,41.5093222121472,41.512576905395,41.7557205843472,41.8093912526467,41.5356106037129,40.9678414032985
210,41.6708965758444,40.3065905057317,40.3064525193599,40.3057771255818,0,3,1,3,41.9756524697538,41.4264822037403,41.1120119727819,40.6647906476814,40.8268535406323,40.8544068551936,40.8774417298026,40.9595014891814,41.2231931398945,41.1836260498399,41.1868253634964,41.3006466775393,40.9233675815902,41.0091760195906,41.5118670340874,41.5918491219998,41.0113087843305,41.0073922383678
240,41.4781334218302,40.3066818044287,40.3064111607784,40.3062961662027,0,2,0,2,41.3761147303427,41.330495355837,40.8904398504686,40.5048769311405,40.5956873372622,40.6923767292355,40.7259023371303,40.7869474598576,40.8810149104429,40.8409738644521,40.7577865961752,40.5822721060552,40.4177151793038,41.1666828533955,41.4219102042233,41.396408344927,40.9081440578452,40.9344790849225
270,41.2103075287791,40.3065551199428,40.3064483204153,40.3065784362292,0,2,0,2,40.7412157938938,40.8466131746201,40.7915108311912,40.3948827781185,40.4112354467472,40.4281347819649,40.478252079954,40.5303535494837,40.5643257173385,40.5234940434104,40.4750964778697,40.4261176301002,40.4245737230271,40.9454713190213,41.0347487317894,41.1393027982315,40.9225962945117,40.9187116857789
300,40.9662337825191,40.3063540196144,40.3064352882269,40.3062517626641,0,0,0,0,40.7194377695494,40.8822843695591,40.8131019838786,40.6708049034091,40.632313837542,40.6650997716908,40.7112336546764,40.7310860162034,40.6582119510486,40.6563139228894,40.7005924588246,40.7591871381274,40.7937073456708,40.9939272980421,41.0466255630793,41.0695790252848,40.9617355730436,40.9198057909366
330,40.8388426365246,40.3064571762191,40.306440997947,40.3064624972401,0,0,0,0,40.856863054169,40.9209708893344,40.8472697150838,40.8754049814462,40.8329644415884,40.8002816602523,40.7951236123782,40.8619031501888,40.687082456339,40.7272466500954,40.7630661262258,40.7773686404515,40.8429031516532,41.003564866351,41.0183841340696,41.0704684598164,40.9638312237048,40.9250858664756
360,40.8236608133977,40.306476828057,40.3064386098898,40.3064396005721,0,0,0,0,40.8425722257537,40.930796397963,40.8400566041266,40.8822576475586,40.8716950163909,40.8543723623727,40.8393410669905,40.898651833135,40.7265014037632,40.7880227233414,40.7889381734118,40.7695008797829,40.8260402467476,41.0050450600206,41.0174828305879,41.0514962969052,40.9990417960621,40.8992976380862
390,40.8346546986398,40.3064381799048,40.3064378949322,40.3064308267802,0,0,0,0,40.8351957805771,40.9361087832236,40.835425275263,40.8734723843474,40.8770764277977,40.8670178769918,40.857409994372,40.8962243311916,40.7547899352925,40.8298908502526,40.8301373184893,40.7859397383002,40.8256464368463,41.0011206021602,41.0074366362948,41.0275585081145,40.9603332642917,40.8981250374949
420,40.8406238398811,40.3064377571205,40.3064374203897,40.3064365154601,0,0,0,0,40.8320266549911,40.9397320667146,40.8291085993646,40.8925615394002,40.8821727521693,40.8734080998702,40.8620546059581,40.8823925601927,40.7875550316323,40.8577964412201,40.8467748191019,40.8001072392704,40.8532898626421,40.9939136930612,40.9925012455565,41.0066645728147,40.9339360952405,40.9051386324436
450,40.84604453581,40.3064368655,40.3064375578679,40.3064351922011,0,0,0,0,40.833742945369,40.9476506232888,40.8193363087557,40.8948430618537,40.8849015759766,40.8803352050747,40.8697848049819,40.8732978516702,40.8174915310739,40.8708160974672,40.855908979393,40.8255020957635,40.8676502250901,40.9876996054277,40.9816527558241,40.9925471400337,40.9234710066342,40.9112418907298
480,40.8529520479224,40.3064370990033,40.3064373573181,40.3064366772318,0,0,0,0,40.8249966614738,40.9384368742202,40.7462334305131,40.8924981936606,40.8857625687406,40.8830653351974,40.8768774360668,40.8731087007359,40.8354062710926,40.8753662607208,40.8567032283652,40.8409690942257,40.8749082887606,40.9569618974076,40.9807264275285,40.9837613534288,40.9307668335127,40.9135214261852
510,45.3940948310183,40.3064679018685,40.3064380793299,40.3064516633145,1,0,0,0,42.5279828739773,41.8509965922892,41.8754874212303,44.3506053013141,44.9278947951551,45.2137556639515,44.830484461045,44.2021786058438,43.0001505306887,41.2143348021584,40.886776963955,41.5539639500476,43.1413707207457,42.4235807525059,42.1599801823277,41.5996564943954,42.2929709929757,42.4922450544192
540,43.6458824221348,40.3063311121943,40.3064799139517,40.3064167080216,0,0,3,1,41.8833927515972,40.345268433161,40.4051387290767,42.9406360057196,43.3079474939245,44.353542432434,44.3310842231245,44.0936116182677,42.85287859407,41.1889011538896,41.5464044418137,42.0652247897698,42.9926613141793,40.7605186378513,41.1700967959809,41.5075662828422,41.9946874714419,41.505522500752
570,43.2131474917004,40.3079196351435,40.3067736776176,40.3076028873116,0,3,2,3,40.5305216943626,41.3909115440451,43.3086718660009,40.5389222088461,41.3789725403462,43.1613583682937,43.9092521865374,43.9073168108023,41.6027981994279,41.1534641739078,41.0924745996045,40.9200804140556,40.5768070091897,40.939385560015,41.1331759965348,41.251408635845,41.9409877740791,41.9936023199532
600,41.6935180554311,40.3055947104819,40.3063962655554,40.3058113828974,0,1,3,3,41.676234240163,41.6937667008437,42.8854779701738,40.6460144452136,40.7253815685857,41.2278827942338,42.1960308407474,42.3654287603023,40.918435934209,40.8598603049808,40.8266073563546,40.7828082730631,40.7832194362432,40.4279920359395,40.4863832133935,40.798007030581,41.8318602911139,42.0334291476295
630,40.8396574173181,40.3068919251607,40.3068140846803,40.3067015630577,0,3,3,0,40.8738493884669,41.5091742417646,42.3830068292002,40.3556666420543,40.3784391711234,40.5214677775459,41.4398062923286,42.2902390021228,40.8493793016217,41.5701515567548,41.6032123577072,41.492955141898,41.7422541740343,40.5321973261616,40.5633020082175,40.5974364849821,40.9384212157875,42.0198241469235
660,40.7696274167063,40.3065464843631,40.3063611417803,40.3065726450672,0,3,1,3,40.9613002553478,41.4524396545724,40.6529401680853,40.4926015995678,40.4908573778283,40.4918657222988,40.6051016337535,40.9666422550415,41.1631528788243,41.1511503888644,41.0528355086832,40.9461473338796,40.8847668714537,40.774694303723,40.7672820373901,40.7869773500942,41.0961441836586,40.7306270350971
