"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点02RH Monitor: Sum of RH","点04RH Monitor: Sum of RH","点06RH Monitor: Sum of RH","点09RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点20RH Monitor: Sum of RH"
30,50.475424554968,50.4754245549681,50.475424554968,50.475424554968,0,0,0,0,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968
60,50.2232175380673,40.3064524716406,40.3064388858429,40.3064406619528,0,3,3,3,40.6891114723472,40.6864866873981,40.6919582380269,43.0886697704435,49.5691930961367,50.4264695158807,44.5824176676371,50.2694760330638,48.030748803812,42.9153964761135,47.7662482222929,43.5324780441806
90,46.169210203709,40.3063212568036,40.306351756425,40.3062984065361,0,3,3,3,42.5519973265027,46.7382920954905,47.8918271478219,40.5415711438625,42.0946153698484,46.2355899898106,44.3980580208281,46.7505612034321,41.1367710454333,40.9986991819802,42.5108855588647,44.6316583788309
120,42.8604841064557,40.3064554466073,40.3065633170832,40.3065141203489,0,2,2,2,43.5711048424447,45.573632646136,46.2531925988388,40.7558737468285,41.0668808931014,41.8961604364255,43.5714758944934,42.3698508797035,41.8792360796122,41.8323319932465,41.8328508771344,44.5175382964233
150,42.4919638741183,40.306378053513,40.3064152313895,40.3064291931785,0,1,1,1,43.4597981609915,44.8827801092566,44.3115669031184,41.2885752096111,41.7149390271676,41.8074333617448,42.7694706163062,42.6644439655558,42.4127945789836,41.7848703112122,42.1243867013333,44.2087776421992
180,42.1882346631224,40.3064827904898,40.3065049816978,40.3065080395849,0,1,1,1,41.8701922471098,42.9895036448644,42.1293949664873,40.9026659893405,41.5121832443175,42.3819247370052,42.6572179608583,42.3385913701798,42.1554452458113,41.6316355711377,42.3030816320604,43.816578502441
210,41.9994274124615,40.3063838267032,40.3063947382256,40.3064098815115,0,1,1,1,42.6502041867162,42.509992217903,42.0485464743823,40.834767377603,41.3494945428478,42.104105501982,42.2144193159557,41.9762869551508,42.0311453432191,41.7060144371526,42.7260202133364,43.5617744752004
240,41.9520568715498,40.3064911237208,40.3064927019352,40.3064706524466,0,1,1,1,42.3441224608951,41.9730284103183,42.0850686514307,40.6563378443181,40.8925272356214,41.4963627237622,41.6791057032258,41.8981012087199,40.9350433935906,41.1053138780889,42.4016143502317,43.2396819888208
270,41.8954240418238,40.3064487302776,40.3064432450245,40.3064584032992,0,1,1,1,41.675086680184,41.5034055784422,41.4662267764963,40.5947528731349,40.686197050058,40.8665797687966,41.5228722229962,41.6767542846397,40.6100249298181,40.7858736715753,42.0949429216993,42.8574333263439
300,41.8242773958691,40.3064714887361,40.3064595851652,40.3064785189232,0,1,1,1,41.3472155422085,41.3079760792955,41.0929800360925,40.538950631809,40.6781023971542,40.7323659977841,41.3801324253763,41.0200634058006,40.7141977000677,40.5980379079336,41.13740460366,42.4022938053257
330,41.7359001724976,40.306445984405,40.3064494023118,40.3064462242094,0,1,1,1,41.2252458866618,41.4860043151142,41.0091846082279,40.4579793406561,40.6386724079762,40.7327935346936,41.0162217460244,40.8420417075417,40.7851262035197,40.6175455956997,41.02240721485,41.8968466218814
360,41.6043296002526,40.3064272363352,40.3064237160962,40.3064193622966,0,0,0,0,41.3594051743122,41.5013681166766,41.1962854568056,41.0341350963167,41.0438390741189,41.1816370912676,41.1679687938389,41.2062329921929,41.0457804081096,41.2138838411483,41.1315658904604,41.5353201706897
390,41.4887373632226,40.3064507370492,40.3064437291954,40.3064455159753,0,1,1,1,40.4256501716751,40.6235591485121,40.6502124572388,40.7808174975406,41.1646009919558,41.237714812855,41.3403043164562,41.3487977807805,41.0521461545048,41.1341182638513,41.0555723337247,41.2947893227251
420,41.32264972078,40.3064941908562,40.3064981172455,40.3064904535758,0,1,1,1,41.2849824445331,41.3333558972463,41.1191793012984,40.4127625216272,41.1087419352475,41.1887033926723,41.2602053843041,41.1130198880664,40.7960085887057,41.0367790727724,40.8872361215513,41.1785515242962
450,41.1515561073367,40.3064625165906,40.3064558619403,40.3064576425905,0,1,1,1,41.2900224684775,41.2185859149049,40.9674393159889,40.4286882564176,40.8052806770059,41.104931911996,41.0021937837302,40.7091286491102,40.5417295678546,40.5129492700555,40.7423218600855,41.1138022218593
480,41.0319900754732,40.3064261678483,40.3064237514374,40.3064191417713,0,0,0,0,41.1741615523136,41.1311743827766,40.9138114602082,40.8881052760147,40.7811654266932,41.0142146419442,40.9565194227307,40.7418020842051,40.740933549543,40.8037294572533,40.791483556517,41.1352755537836
510,45.3940995450729,40.3064636704898,40.3064389878839,40.3064441441075,1,0,0,0,42.7786344304048,42.3136201300292,43.0348715523779,44.2066389248347,45.1988954747616,44.2884333003713,43.0076332052263,40.8567691137371,42.8096345114135,42.4242422271254,41.6527909660299,42.5523190112314
540,43.6980339575784,40.3064165629685,40.3064491627814,40.3064787668132,0,1,1,1,40.5318847090908,40.4939578316606,42.3219190414496,41.8308666394138,44.062164707293,43.9532234607202,42.6307914067919,40.9931750432146,43.005508697068,41.6829864030343,41.7136914285021,41.5146817756871
570,42.9414364597667,40.3064795188077,40.3064741348345,40.3064822855616,0,1,1,1,42.2382123502914,41.8906615540461,43.5413542551635,41.1469602884961,42.2623214528025,43.831619921246,41.7620720418266,41.281453720681,42.6269765267256,41.2607404563322,41.271653098537,41.7099419768771
600,42.2364051325507,40.3064652834263,40.3064426029098,40.3064296772751,0,1,1,1,42.078069590703,42.1256047765857,43.6226878862498,40.6805646007256,42.0222642099651,43.3858136475961,41.5542632521291,41.5344083913153,41.3383196303426,40.6613471994824,40.9246045117788,42.0664034608675
630,41.5285309682632,40.306471592692,40.3064545277193,40.306441600331,0,1,1,1,41.7619773588058,41.758991257737,42.9715485683113,40.6722362538261,41.156300668211,42.511857547886,41.5149803504366,41.2726949959208,41.0778854778229,40.709724850249,40.7741651426248,42.1627999059641
660,41.2194732025268,40.3064539854213,40.306449865878,40.306462309511,0,1,1,1,41.4445565224682,41.4138663709194,42.0418722283841,40.6427323102654,40.8971703732335,41.4983733483541,41.1552530961776,40.9896663762313,40.9277254003979,40.7634143232103,40.8532533842672,42.163932422106
690,41.0141670649905,40.3064557506689,40.3064452270193,40.3064603566487,0,1,1,1,41.3245625520642,41.1414668227563,41.3827645746228,40.5208268845482,40.8911289573582,41.0170294211496,40.94031344082,40.8891394123661,40.7980839005386,40.800473100212,41.1863635339558,42.104261995243
720,40.9749796239106,40.3064687241013,40.3064558580734,40.3064593023122,0,1,1,1,41.2854478858003,41.0328727490082,41.087857996399,40.4951365383715,40.716191328109,40.8313618289879,40.9783460419758,40.9478935054091,40.6674694657553,40.6366371051893,41.1046343621165,41.9469368160787
750,41.0603998193852,40.3064339466782,40.3064300631629,40.3064425850425,0,0,0,0,41.238969618925,41.1449722656896,41.0674482302117,41.0913785634409,40.9718792589381,41.0160402182714,41.303023204363,41.1271730365383,40.922259596076,40.8975187890053,41.1660064885518,41.8359708061715
780,41.0374958896389,40.3064435868898,40.3064402715473,40.3064467637581,0,1,1,1,40.3688174338833,40.5115664549317,40.4172614353028,40.6345574884075,40.9102985955091,40.9987508316683,41.3204630793526,41.0323438880392,40.9169892303543,40.6442032752931,40.929070885047,41.1527247461464
810,40.9869454119879,40.3064671843828,40.3064734266188,40.3064753181528,0,0,0,0,40.9138242265775,40.7762370780967,40.7762379012539,40.906016596534,40.9295502779556,41.0005059132635,41.1842299138372,40.9897222790111,41.0164269144364,40.8626858890099,41.0948261873236,41.3301076153064
840,40.9241946471164,40.3064570089509,40.3064323892273,40.3064393352033,0,1,1,1,40.7151690397027,40.6394859228878,40.5829515433341,40.5807255805729,40.8338754810393,40.9569483175327,41.0772090971909,40.935455218009,40.8761666501585,40.4875235333978,40.8294896034472,40.9120116238507
870,40.8933465713835,40.3063810949496,40.3063931678891,40.3063925727439,0,0,0,0,40.8649114754171,40.9298854497721,40.9182673287457,40.7480881192638,40.8015900993483,40.9369409543663,40.991509977487,40.8771368482022,40.9424025038323,40.5801667673584,40.9343446446758,41.068775291389
900,40.8940142038272,40.3064523229685,40.306449214638,40.3064471681036,0,0,0,0,40.9802491629203,40.8626579075753,40.893996674201,40.8291511102815,40.8224149479283,40.9457458189389,40.9392376600823,40.877570292222,40.9608862992549,40.685638468508,40.9520857276804,41.0984607374056
930,40.913779329335,40.3064469522422,40.3064514945946,40.3064453961799,0,0,0,0,40.9716831409791,40.8742386594673,40.8873138720086,40.9056811766556,40.8755577734814,40.9664696516266,40.9236636981294,40.8990797367117,40.9444092561584,40.7326401770746,40.9579599840394,41.0883412223389
960,50.4755093122156,40.3064587559944,40.3064312244218,40.3064442097343,1,0,0,0,43.8270623333831,44.0164940230999,44.8886299549292,48.0770683844876,50.0715755159042,48.3133169621195,43.9851628007366,41.5908334567325,45.8490845517473,43.9268050048589,42.1867803732345,44.4914973125517
990,46.9911114945806,40.306417138253,40.3064866660996,40.3064741530942,0,2,2,2,40.4464782283849,40.6516387840386,40.4657573586587,42.058400519451,46.7429940684579,47.7469641519037,42.9014869944286,43.4148510950667,46.4560323509787,42.1705238565038,42.7793740207679,42.5128853980779
1020,43.066992971583,40.3065094988391,40.3065344671977,40.3064908659998,0,2,2,2,42.3904096641594,43.0808550183611,44.6747076624482,40.4767053752295,42.4470843846099,44.2432661659107,42.8364863549786,43.2082404567889,43.6370819788838,41.4763801215288,42.0361595559747,43.1919195179573
1050,41.8568188842271,40.3063261782258,40.3063755291493,40.3063075740878,0,1,1,1,42.4652107529287,43.0069434765576,43.9989222991951,40.8314153922345,42.2367422891269,43.5640677321161,43.1049495797365,43.3396961642181,41.427196163345,41.0353810666879,41.9845536103204,43.0807796346144
1080,41.3206332459798,40.3064544178237,40.3064434094906,40.3064276396855,0,1,1,1,42.2407783378859,42.7558943079826,42.978697350349,40.886685774398,41.5225664843265,42.4667020178213,42.8599726083326,42.2210617034499,41.1020486246264,41.0408282063911,41.6031003413917,43.5614458796199
1110,41.2220942677911,40.3064170382055,40.3064336078893,40.3064474559684,0,1,1,1,41.7075565002019,42.3211766050416,42.3263439580435,40.7967138431505,41.1102473523198,41.6198935125523,41.8799546170963,41.3055285280182,41.0107150850208,41.0484105686751,41.342134115039,43.357659450794
1140,41.1470067663841,40.3064415312704,40.3064480823142,40.306460921569,0,1,1,1,42.010943350754,41.8512256495203,41.793429523284,40.6708423344996,41.0365079078221,41.2918071965452,41.3699246006948,41.1785798609451,40.9785269681091,40.9588609305676,41.3993267673322,42.6746284313809
