"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点02RH Monitor: Sum of RH","点03RH Monitor: Sum of RH","点04RH Monitor: Sum of RH","点05RH Monitor: Sum of RH","点06RH Monitor: Sum of RH","点09RH Monitor: Sum of RH","点10RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点19RH Monitor: Sum of RH","点20RH Monitor: Sum of RH"
30,50.475424554968,50.4754245549681,50.475424554968,50.475424554968,0,0,0,0,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968
60,50.2232175380673,40.3064524716406,40.3064388858429,40.3064406619528,0,3,3,3,40.6891114723472,40.6864866873981,40.6919582380269,43.0886697704435,47.5933292259553,49.5691930961367,50.2920801360712,50.4264695158807,44.5824176676371,48.8434288522784,50.2694760330638,50.4665364432621,48.030748803812,42.9153964761135,44.482376687188,47.7662482222929,45.2777942727206,43.5324780441806
90,46.169210203709,40.3063212568036,40.306351756425,40.3062984065361,0,3,3,3,42.5519973265027,46.7382920954905,47.8918271478219,40.5415711438625,40.9384520729979,42.0946153698484,44.531515781721,46.2355899898106,44.3980580208281,48.4528358094669,46.7505612034321,42.9565364310557,41.1367710454333,40.9986991819802,41.5574546245398,42.5108855588647,44.6576350265063,44.6316583788309
120,42.3342252669505,40.3064741663167,40.3065687476473,40.3065111859934,0,3,2,3,43.6985727903716,44.7029905879091,45.888436531528,40.663268163503,40.7308719606843,40.8233912113437,41.0243677190654,41.3637823573539,42.7070366195099,42.259914587213,41.6427736349953,41.2852289431053,41.2522146859196,41.6842521540801,41.6563045052192,41.7281693846271,44.3433721029358,44.2448355510904
150,42.2292195617363,40.3064369727178,40.3064953144443,40.3064845769094,0,2,3,2,43.5070964802057,43.1630482681118,42.433415846783,41.0356416226049,41.0452768755916,41.0933586936197,41.1412154650543,41.174055256973,41.9736400523688,41.8882938038845,41.9299375679991,41.8828968588281,41.7415540086044,40.8782452836006,40.9769271434695,41.1322691474915,43.730074362892,43.6543267838489
180,42.1741304087531,40.3065304962604,40.306458910867,40.3066295232761,0,0,3,2,42.738971252157,41.7327576005549,40.9537143569699,42.2907891065134,42.08640066348,42.1698117624298,42.1471356450394,42.1228196753933,41.8914765248445,41.4172567176761,41.2894427774316,41.0374015106126,40.5762044032047,40.8974623522456,41.2436137084825,41.2978805427492,41.7229064551242,42.8249321224989
210,41.7307629090019,40.3065363237679,40.3062685890165,40.3063045173736,0,3,0,3,40.6762334669843,41.1083114585258,41.9266227408275,40.637603042982,40.9411002979436,41.1050457433978,41.321436349416,41.6925288451307,41.1318602289709,41.0217079800431,41.024930145816,40.9437188746385,40.5983798802022,41.7377257189275,41.7981487264849,41.8438483468593,42.0915003180832,42.1606792071795
240,41.0926237958165,40.3057181350122,40.3064983198671,40.3064327449132,0,1,3,3,40.909736430636,40.5285518997564,41.4420235852106,40.59203254267,40.7369837763755,40.8068482965283,40.8606750965156,40.9360930590237,40.9358119277623,40.887144687222,40.8360551363286,40.6758670410596,40.5964893976324,40.8767328283721,40.809338610261,41.2437909421464,41.8001184537013,41.8736427234211
270,40.9584203298713,40.3084910916316,40.3079207640486,40.3086533180109,0,0,2,2,40.8921968788978,41.0059281313239,41.3649917605571,40.8020613151287,40.7738806624652,40.8416084994658,40.8926592687516,40.9971827363275,40.8900162317148,40.8024976219228,40.655340221176,40.5353247779257,40.5138219875256,40.9902666411505,41.1416398389712,41.0896357933447,41.3043193299694,41.2214277451167
300,40.9278042043908,40.3053809753158,40.3052394771109,40.3053163372175,0,1,0,0,40.8453491128076,41.1323276742037,41.3487098103173,40.4692186718724,40.6047292186568,40.7818222638365,40.8261346923114,40.9520470981018,41.1589861726478,41.0886231099058,41.0498991480497,41.0667239619872,41.0680399474404,41.0654587127295,41.1055660592873,41.0410307913805,41.3703441842425,41.2967251662962
330,40.8389213386483,40.3067176545707,40.3067665124261,40.3068391975181,0,1,0,0,40.7388234743958,41.1440775669387,41.1503640995295,40.4349270071122,40.4759266814866,40.5978245988753,40.8089182587931,40.8604677802581,41.2639760072199,41.2552042877876,41.2725958410866,41.1916399263079,41.1073829351275,41.1668280251394,41.177430225849,41.1042164415831,41.1864073473757,41.2212374973451
360,40.6955220881106,40.3069031294061,40.3068266817809,40.3068683063867,0,1,0,0,40.8031085898994,41.1706325201476,41.0706012983047,40.4251670288445,40.4590827605493,40.4766023052453,40.5924987796333,40.7478824469708,41.2420682050867,41.2201805494837,41.2080421408679,41.0657829916358,40.996102737154,41.1530298808441,41.1781974771523,41.1548210629052,41.1427535858923,41.1782122755667
390,40.6285829107786,40.3061713759245,40.3061237452011,40.306113377297,0,1,0,0,41.0072967054493,41.144510870303,40.9247844106832,40.4123593535788,40.4182944580907,40.4330197710791,40.4721006432312,40.5522748702598,41.1699054735133,41.1326078182622,41.0700934609174,40.9234173703182,40.8682102734397,41.1362253239538,41.1675160713236,41.1714522450785,41.1450628395557,41.1701825607312
420,40.6553456876631,40.3064724795221,40.3064443402226,40.3064760719129,0,1,0,0,40.9692746338013,41.1242101485231,40.6886193607895,40.3912758252326,40.46133708054,40.4772566572121,40.4776496449125,40.5003758873233,41.0212749847224,41.0149798723322,40.9592090984551,40.8248051111938,40.7105991170028,41.1220446159304,41.1425312822128,41.14871842139,41.1352882546477,40.9057239405075
450,40.682022919604,40.3065019818741,40.306488655423,40.3065022500552,0,1,0,0,40.9578855398554,41.1042434870503,40.5694812761585,40.4565030877761,40.4814661413802,40.507644785738,40.5144644414905,40.5271569999843,40.927590886384,40.9230116418336,40.8415947560731,40.7506239797154,40.6771650131558,41.1138054686925,41.095146965846,41.0540722975722,41.0392147076174,40.7093392052566
480,40.7013462406824,40.3064626502158,40.3064285195185,40.3064360295213,0,1,0,0,40.9125800576934,41.0842770171636,40.5681996242876,40.4568918868307,40.4718201901413,40.4945284620295,40.5216130355882,40.5513961966842,40.8539724937157,40.8472151798749,40.7751108144676,40.6905506078684,40.6567651278533,41.0893127968852,41.0015009829616,40.9630173712647,40.8122234252878,40.7415530709369
510,101.957560980717,40.3064933397765,40.3064317698857,40.30644457008,1,1,0,0,66.4332684987753,52.2531893161837,76.2879829725459,48.7348403053957,52.4163662448283,84.4729813573731,95.6908351963697,91.7507302554284,47.4339833587906,42.0129532365551,42.8113921557045,50.120928401171,57.8050791557304,49.6795956975448,51.4986556732366,47.769316292481,60.7381921801241,64.5435671289587
540,58.5276150868919,40.306295859047,40.3064733322472,40.306610868717,0,2,3,3,64.2351451046378,40.841269144955,51.0326526762357,43.0024028624008,43.7882845220341,47.9724488790148,64.9446165602663,69.5686244388849,47.9662613548272,50.3073153821226,55.0705217267987,59.4470932564291,69.7016398814824,41.4366526212305,47.0842142642316,49.9779271520389,58.6972634785126,51.1623651914738
570,52.6880647906095,40.3071577918828,40.3061786180714,40.3062243095699,0,3,2,3,57.8172704479703,56.1777845729858,54.3257428532742,42.3890554597287,42.5088528390011,42.6465463171318,46.442988571449,50.047788299855,51.247799652519,51.6460429430156,51.7209228702966,52.3259498013785,52.7586940202703,43.2029522274221,44.9565115645743,46.7968827888178,49.2855073307366,49.4544486755338
600,52.1079187827445,40.3066249458594,40.3065979891185,40.3060698701204,0,3,2,3,55.4082579623319,51.93895423325,48.7903034760997,42.1530811105518,42.2071676821152,42.4896917650713,44.9037257775555,46.8094428708036,49.5415090670403,49.6820716520434,49.41523804215,48.8799533132798,46.4412234706614,42.7523972765875,43.2699621869229,44.8655637600282,48.1358061279219,48.1538441544592
630,48.424694169253,40.3066566002292,40.3065369603094,40.3065097263238,0,3,2,3,49.6322942303199,45.2433055167594,45.59417515915,41.6217302844456,41.817845458176,41.8737387588068,42.4906727461841,44.8581441315472,47.8718006671004,47.8855701306075,47.5545827318566,46.2277340545943,44.0947109804488,42.632646041061,42.9237974216934,43.9358846552576,47.3490546139271,47.0310952846967
660,45.6884886256168,40.3067829551839,40.3065213404054,40.3066151446739,0,3,2,3,43.7533522717978,42.9741582530392,43.8727568089767,41.2504379562832,41.4372335169813,41.4881061473648,41.7512767596529,42.2801823323944,46.5640910502938,46.1999960487727,45.2827648816694,43.7947937382944,42.5355738390719,42.4922820089109,43.0874037798721,43.5871754771093,45.5978586623512,44.7596999344222
