"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点03RH Monitor: Sum of RH","点05RH Monitor: Sum of RH","点10RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点19RH Monitor: Sum of RH"
30,50.475424554968,50.4754245549681,50.475424554968,50.475424554968,0,0,0,0,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968
60,50.2232175380673,40.3064524716406,40.3064388858429,40.3064406619528,0,3,3,3,40.6891114723472,40.6864866873981,40.6919582380269,47.5933292259553,50.2920801360712,48.8434288522784,50.4665364432621,44.482376687188,45.2777942727206
90,46.169210203709,40.3063212568036,40.306351756425,40.3062984065361,0,3,3,3,42.5519973265027,46.7382920954905,47.8918271478219,40.9384520729979,44.531515781721,48.4528358094669,42.9565364310557,41.5574546245398,44.6576350265063
120,44.7503658524617,40.3063510872372,40.3064119058217,40.3063464090989,0,0,0,3,42.5429439840698,44.6272283155822,42.9254638638841,44.1560117286034,46.394562935841,44.177710430696,41.4009706065371,44.1543285536216,44.4222277616992
150,43.0034753711778,40.3064094064925,40.3064811435207,40.3067398529237,0,1,1,2,40.4591026953074,43.3071661550662,43.3248638124828,42.7845333195002,43.8826989157321,42.5962599717568,42.4110615922058,43.2049626249957,44.2405598213462
180,42.6110872237453,40.3064858385886,40.3065101735031,40.3067508166803,0,0,0,3,41.9736832727984,42.4137774707014,43.1277694447619,42.6241288596314,42.76049435267,41.7714099071907,41.5825664994066,42.5999489467437,44.0258640845247
210,42.2419425066918,40.3064401334974,40.3064312522424,40.3062422585006,0,0,0,3,41.9591249465531,41.78984283797,43.1463307825887,42.4323711548296,42.4569797883417,41.4797136552608,41.4593949544359,42.3495588754442,43.0872675378605
240,42.0114541473252,40.3063079532097,40.3063615615346,40.3067527673305,0,0,0,3,41.6446328327365,41.7931532592093,42.8792374156363,42.0735966079716,42.2092022994804,41.2671394172262,40.8647775456636,41.948043149588,42.4282919792425
270,41.7683636961254,40.3064038542302,40.3064214503695,40.3067192819621,0,0,0,3,41.5977435360107,41.6293336272574,42.5144363766338,41.9346437948684,41.9743643281243,41.087541277897,40.8875833420324,41.82779616169,41.9691496194798
300,41.6416965156607,40.3064473873793,40.3064314021408,40.3067075710574,0,0,0,3,41.7657226546848,41.4792231276933,42.1885386406861,41.8105890157847,41.8414908112781,40.885051789046,40.8353425014421,41.690636884936,41.7109737872014
330,41.5377649929292,40.3064414011257,40.3064175076785,40.3067328084934,0,0,0,3,41.6700484421762,41.2783970966007,41.8923407867212,41.7313252150065,41.6951774561308,40.9731752260158,40.7197559086563,41.4427389254553,41.4695120552357
360,41.3611183249767,40.3064543724171,40.3064423561083,40.3067285757854,0,0,0,3,41.4631053731345,41.1396850096192,41.6386341244085,41.5907411568224,41.5430071252075,40.9048072369946,40.6970963217931,41.2672688932729,41.2715711916515
390,41.1952092667181,40.3064628544349,40.3064427735576,40.3067647452699,0,0,0,3,41.2664815829146,40.9018636460707,41.4487057843401,41.4194772456256,41.4069233259684,40.8949905716401,40.7164636850346,41.0651130321129,41.1424053322139
420,41.0363213577452,40.3064466451923,40.3064375268322,40.3067494244273,0,0,0,3,40.9504125286317,40.9201319441305,41.3383932298668,41.2612231693446,41.2814179645234,40.8898578614229,40.6940459770521,40.9448424137068,40.970762181622
450,40.9296977765404,40.3064339053257,40.3064502030825,40.3067329581748,0,0,0,3,40.8606035513947,40.7832724522266,41.2116770342677,41.1210015897942,41.1609782713319,40.8356695199897,40.6215209978439,40.7941105850977,40.8631011161145
480,40.8418470734228,40.3064326658023,40.3064477608958,40.3067322412932,0,0,0,3,40.7375786205469,40.7593916884253,41.0317947989934,40.9856795256643,41.0302569434087,40.6979292644598,40.5980928278394,40.7162469995279,40.8215153532587
510,101.957722442648,40.3065013586438,40.30644591241,40.3067674548383,1,0,0,3,59.4906922084199,52.424883387395,72.7769772661841,91.7110343311834,97.1770849480355,56.4599885590824,60.8555362265857,50.1928039666394,49.8209688530347
540,60.4954622603468,40.3062663072008,40.3066687249772,40.3061264298277,0,2,3,1,44.9854744767302,42.5619023897469,72.9868814136456,52.0079120962221,67.2653165003799,58.0096484737516,61.2715208198728,44.1236333492059,53.68643080668
570,51.6984940838357,40.3078646867524,40.3074344367629,40.3084073455195,0,3,3,3,47.1486230095286,53.6110686380107,58.4776393896891,45.2702744401143,52.1710722975136,57.9049941046296,51.6881452361387,45.8117468799951,49.2114681410156
600,49.139570264659,40.3061970557948,40.3062357862323,40.3058915522603,0,3,3,3,52.2061144131294,49.5893317350088,47.9128470980435,44.1552875757132,48.4595754702996,50.2214881933687,43.4958569410601,43.2371702657962,45.2776711842715
630,46.4240103146656,40.3072645209649,40.3072046370955,40.3074540454606,0,2,3,3,48.3253398053675,47.6779581466055,45.4499010856413,42.2848366270117,46.6357526928927,44.1992854309575,42.0271910978462,42.9867301460538,44.2971292119227
660,45.2961306429243,40.306372456414,40.3061330682245,40.3063363160001,0,2,1,0,46.6471918859582,46.6009050580715,44.5489536450718,41.4462103980616,43.7520096014355,45.4935308665506,44.6112395326279,42.9315639229476,44.7122784327275
690,45.3395446552196,40.3065566720308,40.3065832283218,40.3068136582399,0,0,0,3,45.4637600215393,45.7665019261259,40.9341874721842,44.3419206330512,44.5511633354983,44.1308301805807,42.4956809186554,44.8541050335757,45.0697609187541
720,43.9744603441005,40.3064535082011,40.3064198216043,40.3058060820736,0,1,1,2,41.3726300363431,42.6271547858644,44.5928390940453,43.0858137709539,43.7117407590451,43.5068146913258,43.1102234040093,42.9017205032048,44.5284506757005
750,43.2745900365188,40.3063797300566,40.3063600746807,40.3064634564452,0,0,0,3,42.5603562796777,42.2127284422917,44.1421990307592,42.9940362995963,43.3369404980179,41.7282454424832,41.2231194982367,42.6827836703825,44.0064473885457
