"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点02RH Monitor: Sum of RH","点03RH Monitor: Sum of RH","点04RH Monitor: Sum of RH","点05RH Monitor: Sum of RH","点06RH Monitor: Sum of RH","点09RH Monitor: Sum of RH","点10RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点19RH Monitor: Sum of RH","点20RH Monitor: Sum of RH"
30,49.9690826629987,50.4754245549692,50.475424554968,50.4754245549682,0,0,0,0,49.9691358058479,49.9691359957205,49.9691358897058,49.9690826664523,49.9690826629989,49.9690826629988,49.9690826629986,49.9690826629985,49.9690826629985,49.9690826629984,49.9690826629983,49.9690826629982,49.969082666521,49.9690826665147,49.9690826629964,49.9690826629956,49.9690826629962,49.9690826629969
60,49.9688937859968,40.3064352196794,40.3064383929595,40.3064396756399,0,1,2,2,41.397525675197,40.8511707307668,40.8626366752254,46.4714399869178,49.8666900143479,49.9683679406629,49.9690686720216,49.9690670700499,48.0946766950378,49.9497613063361,49.9690610248935,49.9680294161567,46.7349619698411,43.370087642743,45.4252969862201,48.8731538566248,46.2152965451495,44.373034192125
90,49.7421474052872,40.3068087157983,40.3064747223349,40.3064653303046,0,1,2,2,44.2116860750165,48.0921739531818,45.8901312426579,41.1097788674755,44.6732387184511,48.6449430553944,49.8535211929835,49.9831439431445,47.0755690900711,48.1828928136461,46.7238841305264,43.1065323182119,41.1173532163091,41.2181173803816,42.2154457387729,43.3209731015539,45.3317268033642,45.4523423224965
120,47.1466301502599,40.3064449995601,40.3065082334834,40.3064034339558,0,2,3,0,43.4578844255779,46.9437701208346,46.5875570080778,40.6858615879904,40.8469829301884,41.9753466325365,45.3543060386216,47.4861759094107,46.4810679046289,47.7291831941745,46.4882783628066,44.8638524010987,45.0618048941222,41.4527241164388,41.4717699003018,41.5365017774807,45.4860008193118,45.6217144095767
150,43.7272679552583,40.3064519110769,40.3066196283861,40.3064764327412,0,2,3,0,44.525595083158,45.2961397059857,45.5450591138437,40.9968453031735,41.0118987558597,41.0558167227262,41.3310474921726,41.9148409768574,45.3758880199603,44.9265874662254,44.6223557284631,44.4158724298454,44.3076846437442,41.86603752913,42.1906135029637,42.3015869010466,42.4973406665248,43.3089074276234
180,43.401166158179,40.3064590666303,40.3063715957031,40.3065094191405,0,1,0,0,44.7743665109836,44.7352586570265,42.961982889964,42.0267159991696,42.0872230532613,42.0791080543618,42.0119293494285,42.0230818826575,44.9799932661549,44.633569611988,44.4595056547002,44.2811785419869,43.8146205640688,44.2750526450487,43.9841567391715,44.0747622235681,43.7024951610932,43.9848818256236
210,43.1802464691058,40.3064045610341,40.3064375912264,40.3065452534738,0,1,2,2,44.5822183721573,40.4860603203369,40.4741447686713,41.9571397780643,42.5888727298203,42.6241882049154,42.5959757420233,42.5408755044841,44.6467014394523,44.524773660681,44.5223803450199,43.5026513969299,43.3820829080468,44.0920674338632,43.9017444652052,43.5020938305661,41.8661025117341,41.2404335951376
240,43.0872507264643,40.3070008230093,40.3067418230042,40.3066611411036,0,1,0,0,44.4532020159617,42.8511502841241,42.6043304167099,41.3147093883923,41.8191915478552,42.0341265216079,42.1935246843256,42.2721152333788,44.3200626920328,44.1834806855347,44.1609517150187,43.2292028585525,43.0589937656519,43.6151646102565,42.9614213061908,42.9388312936198,42.0607722304329,41.832626969939
270,42.6738153695321,40.3060523752254,40.3064081088203,40.3062728726455,0,1,2,2,44.0150092754406,41.1099445001202,40.4304631734548,40.9256171183426,41.0332966003261,41.3125552475633,41.6491299294241,41.818546442941,43.8921086112235,43.743783318741,43.1742229021999,42.8572304404342,42.6658494231414,42.1838039624327,42.2664554824969,42.214602894911,41.5204696887692,41.2746226170432
300,42.6190300005412,40.3062856735038,40.3059462058367,40.3060980674646,0,1,2,2,43.4054836771064,42.7095955400883,42.2768090575224,40.9414074144846,40.9849253795401,41.0230492444821,41.2226681072556,41.4248223915538,42.5753707314431,42.04053491577,41.4678308706528,40.8998348112963,40.5815468898669,40.9063189312585,41.3626854208755,41.4117003982844,41.4572891433286,41.4376443320858
330,42.4628071562029,40.3070246283493,40.3069821347435,40.3068141767323,0,1,2,2,42.5157486621932,42.0019884769899,41.9853255217778,40.709858042688,40.7659772255803,40.8170585856097,40.9572427128573,41.1843951196949,41.0818882329649,40.8809404153269,40.7555619216708,40.6336976527688,40.5729887879114,40.599693913029,40.6730599567541,40.7934615734287,41.5963106655879,41.638063440262
