"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点02RH Monitor: Sum of RH","点03RH Monitor: Sum of RH","点04RH Monitor: Sum of RH","点05RH Monitor: Sum of RH","点06RH Monitor: Sum of RH","点09RH Monitor: Sum of RH","点10RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点19RH Monitor: Sum of RH","点20RH Monitor: Sum of RH"
30,49.9690826629987,50.4754245549692,50.475424554968,50.4754245549682,0,0,0,0,49.9691358058479,49.9691359957205,49.9691358897058,49.9690826664523,49.9690826629989,49.9690826629988,49.9690826629986,49.9690826629985,49.9690826629985,49.9690826629984,49.9690826629983,49.9690826629982,49.969082666521,49.9690826665147,49.9690826629964,49.9690826629956,49.9690826629962,49.9690826629969
60,49.9679165752398,40.3064579616822,40.3064381028775,40.3064616541693,0,2,1,3,40.8581019467086,41.5741983773449,40.6723070248297,44.535829845501,49.5942622401668,49.9645091154545,49.9690836018187,49.969085367028,46.372207532544,49.9680058533313,49.9684505580736,49.664935682089,44.9580867670519,45.7273451298594,47.2787193143812,49.3224515727926,44.8245348080951,43.2746375800456
90,47.1604089012172,40.3061168591518,40.3064524293878,40.3055863581497,0,2,1,3,42.5340697436993,46.7303093933646,47.2802944187167,40.6314935271155,41.8069172265422,44.2324703931818,46.6575135194272,47.8041701020699,45.5375974935689,47.5985455463088,45.4825686234673,41.9172670365882,41.0281527848066,43.2528677449685,44.1117746198864,45.8483141355465,44.4731884353629,44.5377685707111
120,43.1288456390754,40.3064387578401,40.3064399557141,40.3063760377111,0,2,1,3,44.0501359784318,44.8992808046854,45.7808336419218,40.7656206822038,40.935523584858,41.1335933118633,41.6836468501043,42.3200300069126,43.0698029808893,42.4745095208465,42.0432451430703,41.8989481790425,41.9765818080845,42.2732044078606,42.5590614642758,44.0048499602327,45.124311137413,44.6908673542995
150,42.4178654277618,40.3066228039461,40.3064511171906,40.3069056034034,0,2,1,3,42.8993504039903,42.6492975691232,42.4197544458082,40.9424325729227,41.0011121309381,41.0287924035167,41.0704833534611,41.1308763314063,42.0571989187203,42.0240288290121,41.9880577567821,41.9247298470608,41.7291619987266,41.4710005822535,41.8808905668386,42.2972505512202,44.7224705988109,44.2887091932015
180,41.7339625036373,40.3064918544765,40.3064550449545,40.3062823596868,0,2,1,3,41.2896901466907,41.3098386724592,41.9879463309354,40.5031825920703,40.6838180868751,40.7840037659172,40.8873815682987,40.9214624885884,41.6936742332837,41.6108139539254,41.6420907321391,41.6534018631419,41.2408334477682,41.6598610556903,41.8513322182244,42.5355157257564,44.1595215726965,42.9719147168554
210,41.5739611168642,40.3064290986688,40.3065583722607,40.3064402328664,0,1,3,1,41.5640343197481,41.5160053756449,41.6003305176999,40.7967827983192,40.8316766054118,41.0981308575002,41.405199956874,41.3962818463981,41.8936847033479,41.9059252800917,41.8561669937129,41.4943785043711,41.0628350980572,40.5590640289098,40.7358505768933,41.2007100746725,42.8790669705228,42.8837662074052
240,41.5335625633615,40.3067292739213,40.3065199228442,40.3067345488145,0,1,3,1,41.32443100495,41.521903216248,41.2042573996155,40.677859503436,40.8510148127572,41.1193005254103,41.4537528651135,41.4067999378476,41.4318633869221,41.3917073534453,41.3197004543926,41.1786252687579,40.7164479791179,40.5942628494151,40.782655625521,40.8763872276454,41.0367703952601,41.2963686179851
270,41.4424667933172,40.3063195195252,40.306562606036,40.3062814664134,0,1,3,1,40.8527077610886,41.3323198454082,41.133269609964,40.6227314358909,40.9525186496623,41.148926178759,41.2783958130572,41.1275588108984,41.109253242032,41.1118025692508,41.0823399149868,40.9405847166668,40.6524101265111,40.5659589304897,40.5667207644631,40.6884490009905,40.9833812697549,40.9508915987788
300,41.3034740534429,40.3063957680366,40.3065241548076,40.306442347647,0,1,3,1,40.812147412598,41.077110061738,40.8671233573532,40.5867938518432,40.833543439014,41.2001459363757,40.8682080683027,40.9782945001722,40.8492107221242,40.8497773723638,40.7491894829355,40.6345568106787,40.4701607988368,40.5735978377718,40.612385063804,40.6979861042106,40.8623373944151,40.8771817738467
330,41.0431015499414,40.306351953224,40.3064932885175,40.3063587874911,0,1,3,1,40.8628214971883,40.9149750926346,40.7413310443531,40.5497777211125,40.730564417534,40.8732212510959,40.6918983876738,40.8742864342757,40.7119970618717,40.6936629388251,40.5950257094437,40.4288332500849,40.3891700107297,40.5154811145141,40.5743795620191,40.6484687945044,40.758821995801,40.8197504007588
360,40.8878917815967,40.3063804488778,40.3064692327018,40.3063725359193,0,1,3,1,40.8639848077351,40.68125170531,40.6508338152251,40.5206958540952,40.6919874237061,40.6745777899196,40.6079378985173,40.7382453441394,40.5345910928438,40.5032225641474,40.465873444727,40.4174454787209,40.374956695921,40.4555757969352,40.4851090330571,40.5588779869759,40.6246948983487,40.6569695729021
390,40.6333102817802,40.3064204876399,40.3065131696218,40.3062895600974,0,3,3,0,40.693905559245,40.607434415773,40.5742601113648,40.3384868608213,40.353316370126,40.4282001049229,40.4133377322772,40.5333991063467,40.5469919543072,40.5404625519291,40.5444473994176,40.5635135784382,40.5736686292461,40.403223386312,40.4183993417123,40.4928243006478,40.5553285014413,40.5572150155488
420,40.4819187692092,40.3063400038726,40.3064650596235,40.306371915816,0,3,3,0,40.5429541314125,40.5423487442984,40.5131744400966,40.3504561080468,40.3556774839859,40.3948378355726,40.4025297942867,40.4046956048529,40.5027389206915,40.4977079258518,40.492228887713,40.4759629603397,40.459115048488,40.374903794305,40.3830789932094,40.4221195255227,40.4964692426442,40.4795588250221
450,40.4397393131841,40.3066927235774,40.3064975679088,40.3064170717592,0,3,3,0,40.512854378323,40.4872004747198,40.4188933717161,40.3441235336179,40.3522022393921,40.3562748282361,40.3712522149325,40.3740588928169,40.4578201451654,40.4494905565888,40.4410658198793,40.4339646479307,40.4075724760488,40.3491782980638,40.3569128473906,40.374181731087,40.4185555357497,40.4132364267446
480,40.3804711615686,40.3066029747585,40.3065027419181,40.3064207732845,0,3,3,0,40.4337031168306,40.4265714019156,40.3846167041221,40.3242421284442,40.3305147356947,40.3320783001827,40.3340331265108,40.3388452583679,40.4139409131567,40.4086880126489,40.4014117081429,40.390086185093,40.3805742710953,40.3309378988478,40.3385160926031,40.3561933394244,40.3715129244153,40.3691739243421
510,40.3732846339905,40.3064152525426,40.306508765115,40.3066103959825,0,1,3,1,40.4038522680026,40.3943338703515,40.3718766172792,40.3584690875861,40.3621897667266,40.3643914897413,40.3653053472986,40.3649188798079,40.3852545930759,40.3813022881463,40.3781362516405,40.3764520528639,40.3768679230798,40.3233659171274,40.3257027933001,40.3394151925054,40.3463431311852,40.3459590477883
540,40.3700677610449,40.3063896645101,40.3065253000614,40.3062708533881,0,1,3,1,40.3817564860949,40.3661348738436,40.3696969061604,40.3409089213866,40.3607803962469,40.3665236150351,40.3685030485794,40.3680602391308,40.3624792674908,40.3594203035376,40.3577168395254,40.3597944661373,40.3558892755506,40.3214516475792,40.3225609997191,40.330052874717,40.3333644433285,40.3341646295807
570,40.3669404274574,40.3062926996768,40.3065253865427,40.3063669546799,0,1,3,1,40.3699281205304,40.3503485053028,40.3571148695732,40.3286720744916,40.3467855848903,40.3568004242576,40.3622291843115,40.359872246808,40.342878183356,40.3385082806264,40.3362674810728,40.3330582898233,40.3227577562475,40.3184112272716,40.3192831860194,40.3221195686766,40.3261200454045,40.3256770515834
600,40.3513508362369,40.3064023182165,40.3065185588892,40.3064363142066,0,1,3,1,40.3556848922964,40.3370863441991,40.336135105965,40.3249519163521,40.3331885326331,40.3468137456858,40.3444908103243,40.3504729679615,40.3323124208949,40.3292519295732,40.3268485674737,40.3218411701928,40.3152279488973,40.3150637388893,40.3183890754635,40.3233155735851,40.3226498656511,40.3238885866612
630,40.3236550188884,40.3065327226021,40.3065439081105,40.3064102927176,0,3,3,0,40.3387630424415,40.3315616817252,40.3368020568135,40.3058300867577,40.3052553248787,40.3084923851167,40.3203189489883,40.3331175467229,40.3271662227564,40.3252630150784,40.3239044686078,40.324537658886,40.3262746119192,40.311291431224,40.3136885098785,40.318913834568,40.3197601495462,40.3218913389878
