,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
4651,0.8600000000000001,0.8600000000000001,0.8600000000000001,0.8600000000000001,0.8600000000000001,0.66,0.66,0.66,0.15999999999999998,0.15999999999999998,0.15999999999999998,0.15999999999999998,0.15999999999999998,0.15999999999999998,0.15999999999999998,0.15999999999999998,0.15999999999999998,0.45999999999999996,0.45999999999999996,0.45999999999999996
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
4652,0.8600000000000001,0.8600000000000001,0.8600000000000001,0.56,0.56,0.56,0.46,0.46,0.46,0.15999999999999998,0.15999999999999998,0.15999999999999998,0.15999999999999998,0.15999999999999998,0.15999999999999998,0.15999999999999998,0.15999999999999998,0.66,0.66,0.66
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
4653,0.96,0.96,0.8600000000000001,0.66,0.66,0.26,0.26,0.15999999999999998,0.46,0.15999999999999998,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
4654,0.96,0.96,0.96,0.66,0.66,0.66,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
4655,0.96,0.96,0.96,0.66,0.46,0.56,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
4656,0.96,0.96,0.96,0.66,0.66,0.56,0.06,0.06,0.06,0.06,0.06,0.06,0.06,0.45999999999999996,0.06,0.06,0.06,0.06,0.06,0.06
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
4657,0.96,0.96,0.96,0.6599999999999999,0.6599999999999999,0.45999999999999996,0.45999999999999996,0.45999999999999996,0.45999999999999996,0.45999999999999996,0.45999999999999996,0.45999999999999996,0.45999999999999996,0.45999999999999996,0.45999999999999996,0.45999999999999996,0.45999999999999996,0.45999999999999996,0.06,0.06
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
4658,0.96,0.96,0.96,0.6599999999999999,0.45999999999999996,0.45999999999999996,0.45999999999999996,0.45999999999999996,0.45999999999999996,0.45999999999999996,0.45999999999999996,0.45999999999999996,0.45999999999999996,0.15999999999999998,0.15999999999999998,0.15999999999999998,0.15999999999999998,0.15999999999999998,0.15999999999999998,0.15999999999999998
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
4659,0.96,0.96,0.8600000000000001,0.8600000000000001,0.45999999999999996,0.45999999999999996,0.15999999999999998,0.15999999999999998,0.15999999999999998,0.06,0.06,0.06,0.36,0.15999999999999998,0.15999999999999998,0.15999999999999998,0.36,0.56,0.36,0.36
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
4660,0.96,0.96,0.8600000000000001,0.66,0.66,0.8600000000000001,0.56,0.15999999999999998,0.15999999999999998,0.15999999999999998,0.15999999999999998,0.06,0.06,0.06,0.46,0.46,0.46,0.46,0.46,0.46
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
4661,0.96,0.96,0.66,0.66,0.66,0.66,0.26,0.15999999999999998,0.15999999999999998,0.15999999999999998,0.15999999999999998,0.15999999999999998,0.15999999999999998,0.26,0.26,0.26,0.26,0.26,0.26,0.26
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
4662,0.8600000000000001,0.8600000000000001,0.8600000000000001,0.66,0.36000000000000004,0.26,0.26,0.26,0.26,0.26,0.66,0.36,0.66,0.36,0.36,0.26,0.15999999999999998,0.15999999999999998,0.15999999999999998,0.15999999999999998
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
4663,0.8600000000000001,0.8600000000000001,0.8600000000000001,0.6599999999999999,0.6599999999999999,0.6599999999999999,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.26,0.15999999999999998,0.15999999999999998,0.15999999999999998
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
4664,0.96,0.96,0.66,0.6599999999999999,0.6599999999999999,0.45999999999999996,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.46,0.26,0.15999999999999998,0.15999999999999998,0.15999999999999998,0.26,0.26
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
4665,0.96,0.96,0.6599999999999999,0.6599999999999999,0.6599999999999999,0.6599999999999999,0.45999999999999996,0.46,0.36,0.36,0.36,0.36,0.36,0.26,0.46,0.26,0.36,0.36,0.36000000000000004,0.66
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
4666,0.96,0.96,0.8600000000000001,0.66,0.66,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.36
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
4667,0.96,0.66,0.66,0.66,0.36,0.66,0.36,0.36,0.36,0.36,0.36,0.66,0.66,0.36,0.36,0.36,0.36,0.36,0.36,0.36
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
4668,0.8600000000000001,0.8600000000000001,0.8600000000000001,0.6599999999999999,0.6599999999999999,0.6599999999999999,0.8600000000000001,0.36,0.36,0.36,0.36,0.36,0.36,0.36,0.15999999999999998,0.15999999999999998,0.15999999999999998,0.15999999999999998,0.15999999999999998,0.36
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
4669,0.8600000000000001,0.8600000000000001,0.8600000000000001,0.8600000000000001,0.8600000000000001,0.36,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
4670,0.8600000000000001,0.8600000000000001,0.8600000000000001,0.8600000000000001,0.36,0.56,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
4671,0.8600000000000001,0.8600000000000001,0.8600000000000001,0.8600000000000001,0.8600000000000001,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.46,0.46,0.46,0.46,0.46,0.46
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
4672,0.96,0.96,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.56,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46,0.46
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
4673,0.96,0.96,0.56,0.56,0.66,0.56,0.56,0.56,0.15999999999999998,0.15999999999999998,0.56,0.56,0.15999999999999998,0.15999999999999998,0.15999999999999998,0.15999999999999998,0.15999999999999998,0.15999999999999998,0.15999999999999998,0.15999999999999998
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
4674,0.96,0.96,0.96,0.8600000000000001,0.66,0.36,0.36,0.36,0.36,0.15999999999999998,0.15999999999999998,0.15999999999999998,0.15999999999999998,0.15999999999999998,0.15999999999999998,0.15999999999999998,0.15999999999999998,0.15999999999999998,0.15999999999999998,0.15999999999999998
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
