"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点03RH Monitor: Sum of RH","点05RH Monitor: Sum of RH","点10RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点19RH Monitor: Sum of RH"
30,49.9690826629987,50.4754245549692,50.475424554968,50.4754245549682,0,0,0,0,49.9691358058479,49.9691359957205,49.9691358897058,49.9690826629989,49.9690826629986,49.9690826629984,49.9690826629982,49.9690826629964,49.9690826629962
60,49.7277061865212,40.3064525485399,40.3064389186224,40.3064407293744,0,3,3,3,40.6694911345647,40.667407670446,40.6733663673511,47.2305422500187,49.7937972479679,48.4260155120688,49.9607508280718,44.2796208160703,45.0286585231011
90,45.6106498960784,40.3063703983947,40.3065262831492,40.3064152406042,0,3,1,2,41.9806320113387,43.3986088494619,48.1369395229041,40.8817231152852,44.274450123137,45.867461574759,44.0799802825035,43.7493264487051,44.71789505709
120,42.4263063040321,40.3061563579843,40.3063191964638,40.3062560486053,0,3,0,3,43.4665839702971,44.9198011302304,45.8413879523019,40.7346659175309,41.047614559778,42.6332357618714,41.3142451052621,43.5826345521693,44.3597323449655
150,42.3640246856683,40.3066880909126,40.3064904615102,40.306576655433,0,1,1,0,43.6235392311258,44.3100764454566,42.772139030372,41.3690460676081,41.7105701575277,42.8983054937215,42.5828546283938,41.8711604933173,43.845620123285
180,41.6580352668729,40.3067282569056,40.3063978896996,40.3067963705805,0,3,0,3,40.9026794946799,43.5127917567821,40.3113362467669,40.6091582551444,40.9002693422142,42.6434487059826,42.310653369764,42.4382356396858,41.6450227031997
210,41.6987572851285,40.3058274945502,40.3064714829141,40.3052911812367,0,3,0,3,42.2754299033094,42.687247144982,41.1986123189365,40.9461156263427,41.0061978748874,41.716001480319,41.8573475266949,42.6664349771686,41.0658256134988
240,41.5725114118745,40.3068872109362,40.306480985029,40.3065086768057,0,3,0,3,41.809871643058,41.6283316436197,41.1312088312942,40.4967362014485,40.5705785005454,41.3373798768514,41.3299711521093,41.8655949073768,41.0258082518418
270,41.257325040199,40.3067343899984,40.3064233884559,40.3066177791706,0,3,0,3,40.8836603735006,40.8273183331177,40.7183473698655,40.4840898316185,40.5021879960943,40.9987890620025,40.5263398405996,41.0063851322659,41.0082440988284
300,40.9704595738376,40.306651464716,40.306426026246,40.3063886471359,0,3,0,3,40.620882086719,40.5501338085677,40.6683718738602,40.3793404518336,40.398791682944,40.5355360919787,40.4910824106603,40.7794554746976,40.8318374012241
330,40.6851929715181,40.3065346754397,40.3064297230877,40.3062622431504,0,3,0,3,40.4877456647576,40.4915251773002,40.5317653892321,40.3762172961887,40.3810287908283,40.4125027387294,40.4066701655114,40.7199372841606,40.6699563090232
360,40.5321993054478,40.3067189814942,40.3064256489388,40.3064170926176,0,3,0,3,40.4451135359757,40.4349660942992,40.4586836626015,40.348043307391,40.3720696284599,40.3967430092315,40.3506699886806,40.5644652752712,40.5491062827664
390,40.4814438848534,40.306671062891,40.3064361542362,40.3064673635385,0,3,0,3,40.3864492315315,40.4081687086326,40.3919679545321,40.3341732797182,40.3647851347755,40.3640809769235,40.3508537594708,40.4804871233927,40.4751921905644
420,40.4042995532723,40.3066370657231,40.3064369299791,40.3064531182655,0,3,0,3,40.3616532510045,40.3601677517357,40.3590164156621,40.3153175225325,40.3320801430184,40.3673096653984,40.3455494522623,40.4071894132767,40.4119371487515
450,40.3565639594053,40.3065946568366,40.3064383678687,40.3064763929284,0,3,0,3,40.3364196728833,40.3372845446653,40.3393355355386,40.3132443259789,40.3162781035356,40.3749021210907,40.3569660429986,40.3636396450181,40.3632214257824
480,40.3321171218319,40.3066023520766,40.306438088735,40.3064689062736,0,3,0,3,40.3200951765586,40.3229822289408,40.3193862887503,40.3072554693374,40.3175264841635,40.3441204643129,40.3294938851763,40.3411879238259,40.3332282115999
510,40.3217792233518,40.3065848591669,40.3064374476618,40.3064691887633,0,3,0,3,40.3127178805021,40.3123393006199,40.3121421693414,40.3047693818249,40.3089058674108,40.3228944638907,40.3128444026518,40.3260072117231,40.3237298525904
540,40.3143734514723,40.3065586819981,40.3064249896415,40.3064638457282,0,3,0,3,40.3107702214051,40.3070910064051,40.3077572242877,40.3041359721136,40.3037434757344,40.3103259508006,40.3093658825731,40.3160387189005,40.3158730963383
570,40.3087289047734,40.3065682288299,40.3064266091179,40.3064537645073,0,3,0,3,40.3079972810122,40.3034159842801,40.3041335076458,40.3032013237873,40.3031319224885,40.3068647062007,40.3050486451799,40.3085899115281,40.3082287599408
600,40.3041004992721,40.3065537872431,40.3064271434733,40.3064139357452,0,3,0,3,40.3033552267502,40.3019003861102,40.3017408877325,40.3032815937123,40.3024654319277,40.3046772848556,40.3020135704554,40.3040274262349,40.3038893986508
630,40.3009677702598,40.306580511566,40.3064261567671,40.3064145505258,0,3,0,3,40.3001883521408,40.2999211231389,40.2997722620877,40.3023031556648,40.3022483250075,40.3008049909286,40.3000158262994,40.3020343390055,40.301274812789
