"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点03RH Monitor: Sum of RH","点05RH Monitor: Sum of RH","点10RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点19RH Monitor: Sum of RH"
30,49.9690826629987,50.4754245549692,50.475424554968,50.4754245549682,0,0,0,0,49.9691358058479,49.9691359957205,49.9691358897058,49.9690826629989,49.9690826629986,49.9690826629984,49.9690826629982,49.9690826629964,49.9690826629962
60,49.6718113492941,40.306459829076,40.3064384893564,40.3064396134021,0,3,2,2,40.6693729527644,40.8491615500702,40.8661624420526,47.0241979217602,49.7295535955552,48.2547398352722,49.949117963705,45.3005424016356,46.3287648877218
90,45.5078257053944,40.305954333888,40.3064819205252,40.3064613167482,0,3,2,2,41.778025365984,45.7592598320281,48.320218928473,40.8681895138437,44.2415030557889,46.2055361661225,44.0415367976183,41.95675110995,45.2447808508637
120,42.2199834911949,40.3063748314961,40.3064684207041,40.3064852007338,0,3,2,2,43.2740174011776,44.8393894274805,45.1694454316825,40.7169578329163,41.0194748177794,42.9483036608827,41.4028851191054,41.3221352851243,44.8430576690416
150,42.1582840396979,40.3064984818096,40.3065036682238,40.306613629699,0,1,2,3,43.5177173979955,43.0805243190293,42.3956722631036,41.2796325024196,41.4585412799336,41.2465200337582,41.169241572855,41.2228222952401,44.3699061719433
180,41.9031086835239,40.3064537501519,40.3065020041994,40.3063692436487,0,1,2,3,42.0492978834072,41.6324633566251,42.1611307324338,41.0115997431625,41.6830894605367,40.977996716336,40.9151143564267,41.3900567097208,41.8077872404222
210,41.3664694632932,40.3064261361147,40.3064805339723,40.3066097660621,0,3,1,2,41.3241243310861,41.1229390207946,41.2924223930774,40.3912793366029,40.5635058887531,41.3821898208072,41.0577119066195,41.1906502433147,42.083472885169
240,41.2687091410828,40.3062062601716,40.3065860929512,40.3065049854862,0,0,3,1,41.4197856964422,41.2342517240905,41.3275823766533,41.0476187387737,41.2528897477537,41.5921217687495,40.8282652245056,40.7708440633723,41.5164078241929
270,41.1998645305661,40.3068845222761,40.3063585261073,40.3067201333262,0,2,2,2,40.4836363299439,40.9510264467012,41.2952012253216,40.9135758530326,41.117258536425,40.7543042381958,40.4595701313375,40.6358916647058,41.2314597447503
300,40.968002666106,40.306143282777,40.3064634145437,40.3062489223921,0,2,2,2,40.8759334971146,40.915484091843,41.113922772066,40.6019508512719,40.7716523310154,40.5952847202998,40.5030912546584,40.5636019754883,40.9916970339842
330,40.8191900687358,40.3063274901659,40.3065432404407,40.3066437174362,0,2,2,2,40.891848373567,40.750919007027,40.8182083895127,40.4795919990513,40.6284600070712,40.5045378725943,40.4574830138357,40.5829413910248,40.8104087320451
360,40.6795299534785,40.3066254561579,40.3064683724935,40.3066169961979,0,2,2,2,40.7303835826395,40.6025455669822,40.5491176565167,40.3821539622915,40.4397781235133,40.4554211949508,40.4356892775365,40.5132357251672,40.6984537794527
390,40.653744730661,40.3065072910047,40.3064655599479,40.30653317471,0,2,2,1,40.637188537549,40.5899324935104,40.4830544314195,40.3873462944387,40.4067130773687,40.4811200327501,40.4685237641898,40.4288803373455,40.6160726192404
420,40.5497432818646,40.3064970043045,40.3064619829615,40.3065239786588,0,2,2,1,40.555429696792,40.5258120096635,40.4710000170913,40.3683668326833,40.3976207435162,40.4358920897444,40.4247623983876,40.3723577759713,40.5513060670065
450,40.4684459384524,40.3064412736328,40.3064113659072,40.3063737671655,0,2,2,1,40.4850418181784,40.4746101906825,40.4431399812664,40.348564112313,40.3688346077647,40.3924205173016,40.3756348421575,40.3558232520267,40.4618552731603
480,40.4274482743374,40.3064558594508,40.3064347180133,40.3063971004331,0,2,2,1,40.4418983243846,40.436611104427,40.4151440259863,40.3317678383345,40.3418046975276,40.3744820142294,40.3503074468755,40.3517028738288,40.4060655716748
510,40.399415628319,40.3064857332483,40.306466637615,40.3064264067762,0,2,2,1,40.406866487215,40.3969875316955,40.3901562830032,40.3282777926089,40.3341019489937,40.3720188094682,40.3437571221757,40.344383473283,40.3826625776787
540,40.3899530077668,40.3063881917585,40.3065050538932,40.3064548665722,0,0,3,2,40.3790241761,40.3609451558922,40.324637492825,40.3673016901444,40.3618632501017,40.3496608047779,40.3236521510786,40.3276247024231,40.3596980536877
570,40.3846105244005,40.3065100762705,40.3063195170083,40.3064422196054,0,0,0,3,40.3352716245868,40.3361432590941,40.3688903777457,40.3569851467039,40.3671061912841,40.3205542778755,40.31608492666,40.3432636560974,40.3579505474131
600,40.3625869643003,40.3064587914977,40.3064576460362,40.3062860780398,0,1,1,2,40.332459196767,40.3221848978948,40.3624692319351,40.3373457426658,40.3535718976082,40.3265087961589,40.3284990166936,40.3445673957973,40.3525215621453
630,40.3460598640125,40.306756161814,40.3069974687469,40.3069607354968,0,1,1,2,40.3371779834112,40.3287204973217,40.3478880501783,40.323739068761,40.340104740449,40.3267207689163,40.3205952730743,40.3410479374116,40.3467886730118
