"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点02RH Monitor: Sum of RH","点04RH Monitor: Sum of RH","点06RH Monitor: Sum of RH","点09RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点20RH Monitor: Sum of RH"
30,49.9690826629987,50.4754245549692,50.475424554968,50.4754245549682,0,0,0,0,49.9691358058479,49.9691359957205,49.9691358897058,49.9690826664523,49.9690826629988,49.9690826629985,49.9690826629985,49.9690826629983,49.969082666521,49.9690826665147,49.9690826629956,49.9690826629969
60,49.8794948806926,40.3064702634964,40.306438151755,40.306461641295,0,3,1,3,40.6693823579191,41.9582197742368,40.6723326493252,43.16235748033,49.5982548808154,49.9638483880717,44.6652281877021,49.9690544603908,46.2917384095795,45.0653232651819,48.6555606169406,43.2156521852253
90,45.9707072032667,40.3056075674465,40.3064534769394,40.3055845552241,0,3,1,3,42.3944942398685,45.2785433869081,47.5036874931009,40.5234031155115,42.3403247250662,46.15710090127,44.4440391367073,46.2824508466131,41.1059920245211,43.3003641618568,45.8362352192869,44.4997772671238
120,42.2807841008377,40.3063886328996,40.3064369962907,40.3063902129742,0,3,1,3,43.6222373561835,44.5164859322923,45.2751683078555,40.6604479238026,40.8679475626099,41.451230791185,42.6804644712416,41.6733624286675,41.3736295981896,42.2363801592124,44.5449352347595,44.106713577
150,42.0129990704208,40.3068348644028,40.3064857835491,40.3064114052632,0,3,3,0,43.4263249858442,42.9899210780634,42.1168053698612,40.830039523488,40.865219989487,40.9928716162288,42.1460574944262,42.0759526359468,42.8669440221997,40.7311190922345,41.0389614373077,42.8963993541484
180,41.8529319908031,40.3065325421065,40.3064873389887,40.3064526563361,0,3,3,0,43.0525869919053,42.7020328192948,41.5964590880853,40.8862558690474,41.0747617806142,41.1297236381781,41.9952322660455,41.9021346944839,41.6500412276227,41.1186550907482,41.29507782368,41.8531327588027
210,41.8519166321846,40.3064789447556,40.3065195166775,40.3063317702798,0,3,3,0,42.3096709045745,42.1199938275304,41.3196457445016,40.6995560856337,40.9382813009939,41.0053744156062,41.6005191079043,41.4713362477343,41.3430469204813,40.6757346308485,40.8081559670447,41.8107168165539
240,41.6486628623728,40.306723611019,40.3066260785016,40.3064907568822,0,3,3,0,41.7118344790626,41.5051156040447,40.9525542004554,40.5232730039732,40.5842068696888,40.8499827806374,41.251885458062,41.1858504465418,41.1693706706151,40.6346649797479,40.891898134229,41.0302962282257
270,41.2707674614284,40.3065261350123,40.3065948261036,40.3063463480412,0,3,3,0,41.2304083480631,41.1113858682206,40.8112877818855,40.4746215361274,40.5239982218697,40.7156189936724,41.0431535320346,40.9874353564662,40.9287586265036,40.5577031381906,40.7892611671629,40.8653468375803
300,41.1190772955235,40.3064086131306,40.3063843431207,40.306669871371,0,0,0,2,41.0517870595119,40.9353776813419,40.5244888431954,40.9256151331325,40.8796130017149,40.907633132883,40.9303250475412,40.8047052953043,40.4907317613797,40.8966862756402,40.9108674715038,40.9271078514305
330,41.0119061991233,40.3064764505668,40.3064481302265,40.3060810276963,0,0,0,2,40.9553659462744,40.789818098181,40.5828547728097,40.9368118025576,40.9085085672351,40.8585737517152,40.7836247252433,40.6364907765478,40.4912304244447,40.8471776465607,40.8800203166424,40.9055090938663
360,40.9421820070037,40.3064688012355,40.306412118878,40.3064949540331,0,0,0,2,40.866280058034,40.6942401707104,40.7822616984714,40.9045974948223,40.9096071747646,40.8327526865825,40.6530119453416,40.5715676572438,40.4202023869258,40.6764301417484,40.7919493954302,40.854916813421
390,40.844052976241,40.3064484949397,40.3064462984384,40.3065131076047,0,0,0,2,40.7024708003665,40.6223510480189,40.8560292586533,40.7420820922135,40.8045975386913,40.8370019595667,40.6208422426684,40.5609731204498,40.5086719021094,40.6033471019152,40.7248971203684,40.8068590786321
420,40.7244279106477,40.306423788836,40.3064314492755,40.3064549716428,0,0,0,2,40.6164578906596,40.5587129673065,40.7994435606219,40.6731832377525,40.71034070671,40.7585295091265,40.6333474224264,40.6035746078225,40.5201647533931,40.6070642505615,40.69809608342,40.7719556595237
