"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点02RH Monitor: Sum of RH","点04RH Monitor: Sum of RH","点06RH Monitor: Sum of RH","点09RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点20RH Monitor: Sum of RH"
30,49.9690826629987,50.4754245549692,50.475424554968,50.4754245549682,0,0,0,0,49.9691358058479,49.9691359957205,49.9691358897058,49.9690826664523,49.9690826629988,49.9690826629985,49.9690826629985,49.9690826629983,49.969082666521,49.9690826665147,49.9690826629956,49.9690826629969
60,49.5722627362212,40.3064509801694,40.306438873426,40.3064291574815,0,3,3,2,40.6694019975576,40.6657953782543,40.8672214838432,42.8069362935884,48.6736634637761,49.8421270310301,44.2857012760568,49.3633613346634,49.4025035440656,42.6934384382473,47.1975880260663,44.6816649472327
90,45.7456310977758,40.306343251275,40.3063704492107,40.3068467705528,0,3,3,2,42.0462346885291,46.5649524859486,48.5245319483738,40.5136821451323,41.8739445662194,45.8974619816995,43.9126072542278,48.3855631918315,41.5141530683665,40.9355430122204,42.2033667983421,45.1916493829257
120,42.2648649818289,40.3065114961962,40.3066257764438,40.306647157847,0,3,3,2,43.1389511323906,45.0190497232301,45.1837747375474,40.6125564276754,40.7475515142084,41.3357431815426,43.1630994338968,41.9744579483829,41.2113229290652,41.4097763545095,41.4209005122434,44.6077198016191
150,42.2382941294967,40.3066061321299,40.3065796077634,40.3063906614563,0,3,3,2,43.3413709898919,43.3346326212202,42.1024563923165,40.7779058397139,40.8443066049191,40.9400610583427,41.6350637151691,41.6902737899064,41.6824643886409,40.9590019299218,41.3184702570171,43.6400711652424
180,42.1484681378597,40.3063412751629,40.3065047346439,40.3064886694525,0,0,3,0,42.6984067552678,42.6726860634507,42.0860996544092,42.1429608529283,41.8862596830746,41.7934319509679,41.9518240395859,42.0525790654183,42.2527337464437,40.7486740112118,41.1817943739044,43.3795299190294
210,42.0195023287491,40.3064792123721,40.3063380199186,40.3066559088153,0,0,0,2,42.3123749738682,42.4952122694051,40.352327773422,42.0686559914572,41.9805774871557,41.7014339525062,42.1125108411543,41.6585095790743,41.0929174281987,41.972697551539,42.4366305369508,42.4555370418048
240,41.7530216135799,40.3070602608684,40.3064634340397,40.3061846963905,0,2,0,2,40.3822078320989,41.7067256830819,40.8514379428194,41.2735876143869,41.8344505666072,41.3941512518483,41.4848632231007,40.9451738329592,40.4016447684063,41.7730061726889,42.0562957065533,41.2313201876841
270,41.3304688262272,40.3061692551079,40.3064935487821,40.306211776306,0,2,0,2,40.6469472968077,41.2924950666621,41.1620768474173,40.3637689604426,41.00141090653,41.2602179368608,41.0659865269846,40.8075652714396,40.6382777541198,41.3185726134178,41.6444361616296,41.0851358705774
300,40.8243340446684,40.3062396913681,40.3064371229948,40.3065953979886,0,2,0,2,40.9295204201578,40.8369291814357,41.0962518450191,40.4017586653419,40.5255190404626,40.7012249602538,40.6747976293999,40.6012722502239,40.5318924509119,40.9060208264737,41.261711393406,41.3134361851957
330,40.6269819914414,40.3064992449936,40.3064239884238,40.3064943880579,0,1,0,3,40.7403092034705,40.5605077464946,40.7627628566095,40.415354739712,40.456041538044,40.5242357304406,40.5365698181588,40.4939259500138,40.4180279132385,40.71740829247,40.9496559091664,41.179749342358
360,40.6305785887547,40.3064519756897,40.3064388575181,40.3063661927393,0,1,0,3,40.5493091847761,40.550272981257,40.5802873110592,40.4021446035146,40.4471466260937,40.4693498981709,40.5502230603553,40.5145075874331,40.3908003218424,40.5952178241798,40.7193636384539,41.0096091797905
390,40.6009675274585,40.3064166313355,40.3064343728026,40.3066851530541,0,1,0,3,40.4975897053172,40.5145489127501,40.5350452388794,40.407833665777,40.4508197939467,40.4724537432003,40.5100285292445,40.456473245122,40.3677478498673,40.5588057021377,40.6178176886588,40.7718234248782
420,40.5217645414203,40.3064542017618,40.3064296898017,40.3066434988378,0,1,0,3,40.4397507487869,40.5108410568572,40.4883543840875,40.3803351347306,40.4273507189196,40.442882784125,40.380816924848,40.3488056669909,40.3411515512352,40.5316340508073,40.5474673817223,40.6388185864999
450,40.4478456520826,40.306491562609,40.3064351899943,40.3066361856844,0,1,0,3,40.4044422198451,40.4581787434744,40.4362968435462,40.3717393765707,40.4125738787557,40.4222241379254,40.3879706380323,40.3630696386398,40.3364338137414,40.4642852729871,40.4926549167978,40.5334818038312
480,40.4140166908782,40.3064699215916,40.3064315837506,40.3065963955035,0,1,0,3,40.4000022280779,40.3978679253547,40.3997606106757,40.3658635991894,40.4128119792646,40.3960293914865,40.360770883357,40.3527423877625,40.333905540584,40.4151967156832,40.4351628102189,40.502511834646
510,40.3908358499682,40.3064954488438,40.3064412308705,40.3065886249149,0,1,0,3,40.3817127376912,40.3728838064717,40.3832549961789,40.347588704314,40.3946992567818,40.3804112712644,40.3515014052691,40.3428873802717,40.3221737107562,40.3841611515503,40.3957369753943,40.4906904971554
540,40.3697062970958,40.3065085030021,40.3064367838772,40.3066020436987,0,1,0,3,40.3661742552454,40.3604549368167,40.3713367551519,40.3377549359028,40.3671553426282,40.3658004973044,40.3408607393437,40.3255292504186,40.317778165373,40.3644993854063,40.3706694505192,40.5266518721993
570,40.3513980570402,40.3064762301155,40.3064373306178,40.3066484384066,0,1,0,3,40.3447572529526,40.3464042919484,40.3543567652529,40.3310282658886,40.3498063573329,40.3555420089549,40.3272926326986,40.3164092800787,40.3160449614109,40.3513868161364,40.3561319145074,40.4769443600937
