,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,-0.7584444444444444,-0.5923333333333334,-0.5383333333333333,-0.45033333333333325,-0.4213333333333334,-0.40133333333333343,-0.32833333333333325,-0.28033333333333343,-0.23333333333333334,-0.21233333333333332,-0.1933333333333333,-0.18544444444444447,-0.1774444444444444,-0.1764444444444444,-0.1684444444444445,-0.15444444444444438,-0.13944444444444445,-0.12444444444444444,-0.11344444444444451,-0.10944444444444451
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
1,-0.7584444444444444,-0.5923333333333334,-0.5383333333333333,-0.45033333333333325,-0.4213333333333334,-0.40133333333333343,-0.32833333333333325,-0.28033333333333343,-0.23333333333333334,-0.21233333333333332,-0.1933333333333333,-0.18544444444444447,-0.1774444444444444,-0.1764444444444444,-0.1684444444444445,-0.15444444444444438,-0.13944444444444445,-0.12444444444444444,-0.11344444444444451,-0.10944444444444451
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
2,-0.7584444444444444,-0.5923333333333334,-0.5383333333333333,-0.45033333333333325,-0.4213333333333334,-0.40133333333333343,-0.32833333333333325,-0.28033333333333343,-0.23333333333333334,-0.21233333333333332,-0.1933333333333333,-0.18544444444444447,-0.1774444444444444,-0.1764444444444444,-0.1684444444444445,-0.15444444444444438,-0.13944444444444445,-0.12444444444444444,-0.11344444444444451,-0.10944444444444451
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
3,-0.7584444444444444,-0.5923333333333334,-0.5383333333333333,-0.45033333333333325,-0.4213333333333334,-0.40133333333333343,-0.32833333333333325,-0.28033333333333343,-0.23333333333333334,-0.21233333333333332,-0.1933333333333333,-0.18544444444444447,-0.1774444444444444,-0.1764444444444444,-0.1684444444444445,-0.15444444444444438,-0.13944444444444445,-0.12444444444444444,-0.11344444444444451,-0.10944444444444451
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
4,-0.7584444444444444,-0.5923333333333334,-0.5383333333333333,-0.45033333333333325,-0.4213333333333334,-0.40133333333333343,-0.32833333333333325,-0.28033333333333343,-0.23333333333333334,-0.21233333333333332,-0.1933333333333333,-0.18544444444444447,-0.1774444444444444,-0.18877777777777788,-0.1657777777777779,-0.1527777777777778,-0.13777777777777778,-0.12677777777777777,-0.1217777777777777,-0.11977777777777773
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
5,-0.7187777777777777,-0.5823333333333335,-0.5643333333333332,-0.4733333333333334,-0.4093333333333332,-0.3763333333333333,-0.33244444444444454,-0.3264444444444445,-0.2995555555555555,-0.2557777777777778,-0.21177777777777784,-0.16877777777777772,-0.14377777777777778,-0.1347777777777778,-0.12877777777777788,-0.12377777777777779,-0.12177777777777776,-0.11577777777777767,-0.11277777777777764,-0.11277777777777764
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
6,-0.7187777777777777,-0.4737777777777779,-0.36855555555555564,-0.2887777777777778,-0.23655555555555552,-0.20355555555555557,-0.16755555555555546,-0.14455555555555555,-0.12755555555555567,-0.10933333333333334,-0.1043333333333332,-0.0953333333333333,-0.0883333333333334,-0.09144444444444448,-0.08944444444444445,-0.08944444444444445,-0.08844444444444444,-0.08444444444444438,-0.08244444444444435,-0.09155555555555543
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
7,-0.7115555555555555,-0.4615555555555554,-0.31355555555555564,-0.2815555555555555,-0.23655555555555563,-0.21033333333333326,-0.19433333333333333,-0.17333333333333334,-0.15133333333333332,-0.1474444444444445,-0.14844444444444457,-0.1464444444444444,-0.1374444444444445,-0.12844444444444453,-0.1234444444444445,-0.11444444444444446,-0.11755555555555558,-0.0873333333333334,-0.08333333333333334,-0.08533333333333329
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
8,-0.7923333333333333,-0.6333333333333334,-0.5533333333333333,-0.4663333333333334,-0.45633333333333326,-0.46044444444444443,-0.4214444444444444,-0.36044444444444446,-0.28344444444444455,-0.28055555555555545,-0.23777777777777775,-0.19977777777777783,-0.16377777777777786,-0.1265555555555555,-0.12955555555555562,-0.10733333333333334,-0.10433333333333336,-0.09433333333333335,-0.08833333333333335,-0.08333333333333326
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
9,-0.7923333333333333,-0.6333333333333334,-0.5533333333333333,-0.45944444444444443,-0.4734444444444446,-0.3944444444444445,-0.3077777777777777,-0.23577777777777767,-0.20277777777777778,-0.17755555555555544,-0.17155555555555566,-0.14533333333333337,-0.13333333333333333,-0.12433333333333335,-0.11533333333333337,-0.1174444444444444,-0.11644444444444446,-0.10844444444444443,-0.10444444444444445,-0.09544444444444439
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
10,-0.7584444444444444,-0.5387777777777778,-0.4703333333333332,-0.42533333333333345,-0.3903333333333333,-0.3533333333333333,-0.3053333333333334,-0.2623333333333333,-0.23033333333333336,-0.22244444444444456,-0.23944444444444463,-0.2304444444444444,-0.2104444444444445,-0.19244444444444447,-0.17244444444444443,-0.16555555555555557,-0.16077777777777782,-0.14377777777777773,-0.12777777777777777,-0.08833333333333349
,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
