"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点02RH Monitor: Sum of RH","点03RH Monitor: Sum of RH","点04RH Monitor: Sum of RH","点05RH Monitor: Sum of RH","点06RH Monitor: Sum of RH","点09RH Monitor: Sum of RH","点10RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点19RH Monitor: Sum of RH","点20RH Monitor: Sum of RH"
60,50.475424554968,50.4754245549681,50.475424554968,50.475424554968,0,0,0,0,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968
120,49.1460169438962,40.3064453589711,40.3064383199891,40.306439302788,0,3,3,3,40.5139089482771,40.5142761033692,40.5157546022794,41.7616303493232,44.9948131510403,47.3625157543295,49.0590292453981,49.7378605325844,42.7045085595183,46.4753614708973,49.0662815586495,50.1735007343629,46.9642319437528,41.6875516092462,42.6222761880984,45.3740084272344,43.4659639164462,42.2222779401327
180,42.6062699103388,40.3063790882072,40.3064113384761,40.3063652708672,0,3,3,3,40.9489686307969,44.1384140605894,44.4697876932781,40.4052205640807,40.535125746268,40.8365463189112,41.56562727418,42.2245906794952,43.452053434549,44.3911414955595,43.7198527477453,41.3742572112309,40.8008894539925,40.8961098136848,41.1037997448559,41.9416617561515,43.5262251446301,43.572449902198
240,43.0955210971445,40.3063912024648,40.3064063991414,40.3064374950615,0,0,0,0,42.4522155860907,43.3344821724542,43.0811137174877,42.4268710153968,42.8900040541399,42.9407748490647,43.0600500740165,43.2023946174566,42.7492336962339,42.931181583481,43.0605076326285,42.9757261186445,42.8876208359097,43.0595496465297,43.2527115014146,43.4315400022325,43.3843276633811,43.3385707988023
300,41.5435122654547,40.3065230867967,40.3064289926506,40.3064601602556,0,3,3,3,40.7780326169699,41.4615084290293,40.9362989558707,40.3847147025582,40.7298505273769,41.1711937439649,41.386879480959,41.5209617709623,41.6354909896325,41.6203391636954,41.6051993088154,41.5259520215517,41.5120153251075,40.8896215933639,41.0213430165538,41.8712316789331,42.8895116918155,42.8001573209619
360,41.3221588122123,40.3061798109302,40.3061422095392,40.3063437678304,0,0,0,3,41.159499065463,40.9835719507535,41.3872024902642,41.0256812240567,41.0924465167904,41.1812542240259,41.302605302094,41.3061148624764,40.8708755719493,41.0400298412021,41.1540284094841,41.022231667393,40.8160964235175,41.0470011641441,41.0710833645683,41.4587541710561,41.5155039273488,41.5076644583542
420,40.7432400709172,40.3064675956019,40.306467698296,40.3057482393637,0,3,3,3,40.3243661944163,40.65297036188,40.6921196978234,40.3225713128364,40.3732582480794,40.4451868493771,40.5872273772486,40.8082141376026,40.6880676352294,40.6900581884476,40.5597823866849,40.4639479931122,40.4582109818657,40.5108362654388,40.5558185782665,40.6892737663099,41.3128066848549,41.1371730414157
480,40.6522397616794,40.3065353372092,40.3066133250043,40.3067239975612,0,0,0,0,40.6944604829554,40.750363738383,40.6819864983389,40.6712112092457,40.6502703925147,40.6312164928978,40.6632735107292,40.7350051503912,40.7649629015459,40.7602118161117,40.7665256046241,40.7653300215918,40.6814344169622,40.7448667269995,40.6744137455241,40.7906001624032,40.8624143994835,41.0004589861491
540,40.6822603414347,40.306505140252,40.3064210707063,40.3064465056922,0,0,0,0,40.7288663139651,40.751132920929,40.7264647942993,40.7274821246936,40.7175942329949,40.691486575237,40.6837126341525,40.6884993243062,40.7708212499084,40.7587931849662,40.7508618583975,40.767223451678,40.7496604535167,40.7371888628,40.7156728893242,40.7437377371886,40.7723908035959,40.830253880901
600,40.7069991642016,40.3063357331773,40.3062572142673,40.3062894474654,0,0,0,0,40.7255780149048,40.7566572183559,40.7150377896297,40.7282702025859,40.723919525455,40.6989551698394,40.6918063346051,40.6860469028662,40.7539460076137,40.753004183583,40.776390002775,40.7788906985791,40.7453109770827,40.7466265982573,40.7487276020581,40.7482809784457,40.7606489329154,40.7856669380603
