"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点02RH Monitor: Sum of RH","点03RH Monitor: Sum of RH","点04RH Monitor: Sum of RH","点05RH Monitor: Sum of RH","点06RH Monitor: Sum of RH","点09RH Monitor: Sum of RH","点10RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点19RH Monitor: Sum of RH","点20RH Monitor: Sum of RH"
60,50.475424554968,50.4754245549681,50.475424554968,50.475424554968,0,0,0,0,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968
120,48.3514029339402,40.3064437543025,40.3064382805496,40.3064258825806,0,3,3,1,40.5142683866362,40.5126569711934,41.8133056739663,41.5959721564345,44.09717752758,46.0959255762392,47.8754841022854,48.789673376576,42.6319543569443,45.047338704958,47.0848614352893,48.7033663128229,49.6453676616208,41.5867783477258,42.5464945826469,44.9170988223458,47.547831766648,45.8593588201532
180,42.5614048244174,40.3063868823001,40.3064081193147,40.3072512026584,0,3,3,1,40.8920238831491,44.4827825266117,45.2757367285235,40.436086287814,40.5788190605271,40.7936398085471,41.557244006638,42.2431588907078,43.2606007400679,44.5078856241664,44.8011160427337,43.501180964733,42.3680186310677,40.8866710967643,41.1513492401627,41.8850400566313,45.6926186929485,45.5188915438473
240,41.2241822748619,40.3064664144431,40.3065762036533,40.30648063006,0,3,3,1,41.9568362913546,43.2123979477416,41.5736572049653,40.5608360880281,40.6460763584767,40.6510238397553,40.6741812383079,40.7306109545887,42.0609188733206,41.7425030684278,41.4564569413649,41.1366783467556,41.1494589916824,40.9839300881712,40.9802103349541,40.9996317725283,43.1664448111394,42.2619161613122
300,41.1514424016916,40.3066520779959,40.3065586488736,40.3062325732313,0,3,3,1,41.773121425508,41.8738591631728,41.0414135675587,40.6551211407079,40.6930747976246,40.7035685205546,40.7312618011767,40.7503388423065,40.9636873501849,40.9184899704132,40.9068119233781,40.929866227004,40.9818623309434,40.7478108194243,40.8949949017925,41.0440332102126,41.1728929685874,41.4051326868999
360,40.8837162176795,40.3063204727889,40.3063205408526,40.306556951449,0,1,0,1,41.1100925932777,41.37142741945,40.7771696571046,40.7168296191371,40.7781545288331,40.7710857639737,40.8049039505879,40.817467818423,40.8245920923904,40.7829048183435,40.6950818433954,40.6270282422619,40.4204821692974,41.3046958513421,41.30717460844,41.2911454749267,41.150477698254,41.0669955259831
420,40.688747478639,40.3065576659989,40.3064765056445,40.3065499327826,0,1,0,1,40.7986099685471,40.9579193659016,40.7673014210799,40.5021987426138,40.6553850494958,40.752096249264,40.7576805925272,40.7222254486963,40.6663557990037,40.5932690921685,40.5427044354101,40.4850426337298,40.4012103921485,41.0109262376819,41.0614063090585,41.0968956504419,41.0847726395444,41.0281616849046
480,40.5926947231219,40.3063715514548,40.3064361543697,40.3064592582725,0,1,0,1,40.5854482623025,40.8090624920396,40.6248118550093,40.4035884738557,40.4332643464079,40.4734671977316,40.5237969657545,40.5479384936692,40.5778231609335,40.5204347336649,40.4715817296928,40.4231688233169,40.4146867524824,40.8518696074262,40.9479453348051,40.9208556146932,40.889842371644,40.8128580263864
540,40.5437305634646,40.3064924670999,40.3064472093291,40.3064736390676,0,1,0,1,40.4969144442344,40.7670410893261,40.4985760377549,40.3449679684921,40.3535169632541,40.3666226536014,40.4119836284539,40.4617151983443,40.4288869608528,40.4130125507042,40.40799794981,40.4263771205027,40.4084811301504,40.6491083881944,40.8318353676294,40.7207225112179,40.6176715619294,40.5448416049601
600,40.5113776043659,40.3064384601513,40.3064494610817,40.3064484961233,0,0,0,1,40.4651545922089,40.5952076720301,40.4849488302226,40.4584225787089,40.4580231972704,40.4544935984974,40.4557631251142,40.4713149789803,40.4307442122324,40.4386118875061,40.447788943274,40.4481042551882,40.4143846202132,40.629824917834,40.72951662806,40.6132418373885,40.542173269029,40.5497124804372
