"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点02RH Monitor: Sum of RH","点03RH Monitor: Sum of RH","点04RH Monitor: Sum of RH","点05RH Monitor: Sum of RH","点06RH Monitor: Sum of RH","点09RH Monitor: Sum of RH","点10RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点19RH Monitor: Sum of RH","点20RH Monitor: Sum of RH"
180,50.475424554968,50.4754245549681,50.475424554968,50.475424554968,0,0,0,0,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968
360,48.832010020833,40.3064385284411,40.3064376656359,40.3064378180916,0,1,1,1,40.5757745635697,40.578679072818,40.5783842745258,41.6577033256394,44.8766900526577,47.2699575827654,48.9974324766483,49.6927190103187,42.7098569935636,46.679775625666,49.2419733847508,50.2404275762439,46.6361143295869,41.6291993882892,42.4999401693762,45.140509557538,43.2582513903731,42.0896750242789
540,42.8615506611916,40.3064296436293,40.3064337426306,40.306426490666,0,1,1,1,41.0461253751067,44.2796189244207,44.4781158128455,40.4560621064519,40.572447534354,40.8154552704659,41.4988515544436,42.1762249210613,43.5312950604033,44.2258557923519,42.8985682425335,41.4397266456278,40.9533393704968,41.0979727847197,41.3844437470245,41.7347328504672,43.5466539698128,43.5952150194627
720,41.1475597903239,40.3064352794268,40.3064456747889,40.3064411633744,0,1,1,1,41.811808632236,41.8982225917387,41.8611838590007,40.5079155995781,40.5791939952673,40.5885924576575,40.6262260383482,40.6688225543287,41.0580572320072,40.8971314193626,40.7272051898509,40.6613890198813,40.6444021873658,40.7264069549256,40.7391259758337,40.7696662123913,42.3298416268265,42.0077121884527
900,41.3676241162836,40.3064308451553,40.3064322013098,40.3064392293917,0,0,0,0,41.5324672550199,41.6442490691097,41.6617312142573,41.3474402275649,41.4042938132496,41.3618147455132,41.3830604272347,41.3444630524292,41.5233040093675,41.2199576174647,41.2545949916074,41.4592540051647,41.4507345567959,41.5624174489641,41.5060796323577,41.4936725544444,41.9741962365226,41.9519700704904
1080,40.7216051136139,40.3064347189609,40.3064382239506,40.3064401973268,0,1,1,1,40.3214971223754,40.5177442151813,40.3427831323291,40.3784897780653,40.5020378261057,40.5805370716044,40.6482569163547,40.7197378563768,41.0213509103474,40.957202483301,40.9184097753785,40.8089035786527,40.7078530259549,40.4807181944641,40.614020706603,40.9026232728336,40.847850120398,40.6494605258151
1260,40.7641461068736,40.3064308026674,40.3064246297865,40.3064304705846,0,0,0,0,40.8135145626345,40.8641138494728,40.722407120352,40.8489852848652,40.8205333345105,40.8157202761222,40.8061349077103,40.7820176204593,40.9534036285226,40.8951856809817,40.8593560215241,40.8434740578146,40.8303421622708,40.881139612519,40.9199412552775,40.9365445091219,40.9212232529099,40.8721942852474
1440,40.8181770582404,40.3064194625923,40.3064296386559,40.3064308981168,0,0,0,0,40.8971271345583,40.9070480844538,40.8330317654775,40.8662699500314,40.8660507047825,40.8602959823018,40.8505798987062,40.8349708632723,40.9175524694386,40.9369536021444,40.9075627469128,40.8244391239714,40.8107816617414,40.8995964549082,40.901173382458,40.9106636981825,40.9297672630826,40.875929872606
1620,40.8481819517246,40.3064485889646,40.3064452635932,40.3064525418488,0,0,0,0,40.8755636585066,40.88163584877,40.8244353404927,40.8689284476658,40.8729664397993,40.8702673756825,40.8673633419528,40.8605405148611,40.8974055432491,40.90233358583,40.8472592849663,40.8365408438368,40.8335643952813,40.8932215022315,40.9063288434837,40.9093182285139,40.9149818535444,40.8837081868104
1800,40.8540083151805,40.3064328153672,40.3064328486515,40.3064304787432,0,0,0,0,40.8608690401965,40.8919131677106,40.8547451821244,40.8658329993957,40.8663393950005,40.8655842793776,40.8672210576963,40.864647931953,40.8778583215341,40.8747585103394,40.8439518045642,40.8498350480956,40.8476969886492,40.8746349881628,40.9027097844098,40.9029580295586,40.9031471343984,40.8888436304848
1980,40.8563942527146,40.3064375666738,40.3064375141003,40.30643868239,0,0,0,0,40.8529296862918,40.8813539845749,40.8616472359726,40.8582551744979,40.8598423364057,40.8608309428808,40.8610071102549,40.8608647009332,40.8661049953355,40.8646810282102,40.8512332461741,40.8545295956449,40.8580146401528,40.8627388858949,40.8973591648629,40.8976468146237,40.8967703510672,40.8889451160703
2160,40.8566787375544,40.306437839583,40.3064376796394,40.3064375713458,0,0,0,0,40.8478826180353,40.8705574711393,40.8500086029821,40.857425009374,40.8556038207531,40.8556352227439,40.8565136554951,40.8574673095902,40.8600189107976,40.8592538720658,40.8566893898457,40.8582911921537,40.8604714216325,40.8688476915641,40.8929836834953,40.8928521264026,40.8949016331583,40.8908313780519
2340,40.8561698224545,40.3064374619513,40.3064374928077,40.3064374562124,0,0,0,0,40.8519941865849,40.8633718936023,40.8430193898629,40.8538890431782,40.8552404991268,40.8543848334837,40.8554818995263,40.8561720653652,40.8583278256931,40.8578236360303,40.857909980762,40.8596777109323,40.8597479330932,40.8761659885699,40.8891282498294,40.8917922980967,40.8939668786614,40.8918564281621
2520,40.856833406727,40.3064375940363,40.3064374907717,40.306437584218,0,0,0,0,40.8534291576649,40.8594627153419,40.8445864417974,40.8394558807347,40.8504335487029,40.8534641628894,40.8553284682063,40.8554392539615,40.858888663069,40.8584685952128,40.8580624439694,40.8593153671627,40.8586756523026,40.8828366814846,40.8851376975568,40.8913357554394,40.8930845701771,40.8900982512247
2700,40.8571112541514,40.3064375328213,40.3064375204049,40.3064374709566,0,0,0,0,40.856457617247,40.8596886732623,40.8453751104779,40.8295108672463,40.8417306800866,40.8494515084256,40.854015010357,40.8551520175733,40.8590014682375,40.8585986737646,40.8574724490424,40.8574142303244,40.8572005387027,40.8764236107917,40.8832800222335,40.8911835686322,40.8922280817111,40.8838481582267
2880,40.856526267165,40.3064375736001,40.3064375079644,40.3064374747515,0,0,0,0,40.8572292684493,40.8620131420227,40.8471398380764,40.8305577236874,40.8335781976353,40.8432411697807,40.8522723166723,40.8545978262802,40.8588858105651,40.858343584141,40.8570135607746,40.8564491332482,40.8561556354969,40.8776252575908,40.8843435220051,40.8911267647048,40.8911427339538,40.8729610861331
3060,40.8548853086351,40.3064375274028,40.3064375083766,40.3064374781255,0,0,0,0,40.8564453399874,40.8650376934128,40.8292042819294,40.843739438418,40.8343107897902,40.8373357182894,40.8490630173311,40.853215921585,40.8586470948089,40.857681262902,40.856413213998,40.8553204120711,40.8553453611419,40.8812882423871,40.8858655213987,40.8911035062888,40.8894692528823,40.8658303578553
