"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点02RH Monitor: Sum of RH","点03RH Monitor: Sum of RH","点04RH Monitor: Sum of RH","点05RH Monitor: Sum of RH","点06RH Monitor: Sum of RH","点09RH Monitor: Sum of RH","点10RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点19RH Monitor: Sum of RH","点20RH Monitor: Sum of RH"
300,50.475424554968,50.4754245549681,50.475424554968,50.475424554968,0,0,0,0,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968
600,44.2363591700041,40.3064395724794,40.306437913926,40.3064382295924,0,3,3,3,40.3539348482636,40.3539175463282,40.3543485896726,40.567186319551,41.3872953559442,42.3038937821229,43.4051814090867,44.2256915080126,40.8289293935483,42.1847797123709,43.876154177002,45.7748941222683,43.0528847440794,40.5582944757455,40.7393234861846,41.518736123365,41.0527665411625,40.7282353196912
900,41.3920084111685,40.3066412163955,40.306382557398,40.3063231913656,0,0,3,3,40.9313076897207,41.1241752263053,41.0953965554934,40.9672272796508,41.1293197431535,41.3616391724767,41.8196740900558,41.792813785706,40.6971635255353,40.6767287855041,40.6154902715237,40.5068337887637,40.4517795750633,40.4253768852784,40.4536582472721,40.4278939872396,40.8891753589877,40.8767147848532
1200,40.391212387523,40.3064687194508,40.3065895183173,40.306550386032,0,3,3,3,40.2994474730535,40.4451598513906,40.4361178778463,40.3348561961491,40.3389129150663,40.3410083293581,40.3661268037007,40.3814557035951,40.3639166500748,40.362420477252,40.3565565594487,40.3520972398376,40.3518819284193,40.325705674088,40.3242142547172,40.3235718052827,40.4674117299086,40.4927572165356
1500,40.3829943912525,40.3064049880828,40.3063623551504,40.3063888604457,0,0,0,0,40.3909504751187,40.4101361487238,40.4076049331126,40.3989880430804,40.3984707215965,40.4062344957576,40.4077137425712,40.4070378964233,40.4094511859696,40.4098777246709,40.4090173811185,40.4089385449441,40.4102970283524,40.4116010066356,40.4111685275041,40.4120779184729,40.4236646398293,40.4181853122362
1800,40.4026960388806,40.3063463637523,40.3064555789834,40.3063176028826,0,0,0,0,40.4034251792731,40.4081680828059,40.4076256049422,40.4043769014435,40.4041924747234,40.4047032606698,40.4054845892153,40.4058613708652,40.4092301951308,40.4092009946347,40.4083715400113,40.4075919338912,40.4065967651036,40.4097278221796,40.4101662350297,40.4102825989458,40.4102664312143,40.4121104254937
2100,40.4047098724367,40.3063308423126,40.3064142724104,40.306321506111,0,0,0,0,40.4038350145039,40.407258080424,40.4049121565425,40.4058919018767,40.4059741338755,40.4058899321301,40.4060233321529,40.405654365078,40.4066538494363,40.4070233041943,40.406688322963,40.4068384343595,40.4063539632356,40.4082728892221,40.4084406381028,40.4079706351661,40.4084181786845,40.4089911667648
2400,40.4062051892445,40.3064284826606,40.3063993502629,40.3063873441092,0,0,0,0,40.406248516239,40.4051013100836,40.4066970787024,40.4063526132109,40.4064875249358,40.4064670854495,40.4064123222545,40.4065531932148,40.4064421118108,40.4063124463401,40.4062526405045,40.4063506852856,40.4064707686694,40.406530065719,40.4061413620626,40.4062159873479,40.4062411514492,40.4064310454122
2700,40.4057858555967,40.3064439466884,40.3064384642298,40.3064269223531,0,0,0,0,40.399999588051,40.405561149649,40.4032272365413,40.4043585007533,40.4056573315836,40.4059255874701,40.4060973743613,40.4061786150723,40.4053321589662,40.4055439048077,40.4056978837536,40.4055989464496,40.4059838615974,40.4046883036698,40.4047840454327,40.4055093876707,40.4051929476721,40.4054774613947
3000,40.4050029652782,40.3064454708062,40.3064417707826,40.3064424656831,0,0,0,0,40.402918167613,40.4042585152796,40.4045904440465,40.4049263256898,40.4050909557164,40.4052463094575,40.4055500626775,40.4055091487474,40.404957086779,40.4054040870914,40.4054414691997,40.4051350650074,40.4047929126163,40.4034109798665,40.4041690502076,40.4038361111586,40.4044377967122,40.4037519797782
