"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点02RH Monitor: Sum of RH","点03RH Monitor: Sum of RH","点04RH Monitor: Sum of RH","点05RH Monitor: Sum of RH","点06RH Monitor: Sum of RH","点09RH Monitor: Sum of RH","点10RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点19RH Monitor: Sum of RH","点20RH Monitor: Sum of RH"
300,50.475424554968,50.4754245549681,50.475424554968,50.475424554968,0,0,0,0,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968
600,44.2363591700041,40.3064395724794,40.306437913926,40.3064382295924,0,3,3,3,40.3539348482636,40.3539175463282,40.3543485896726,40.567186319551,41.3872953559442,42.3038937821229,43.4051814090867,44.2256915080126,40.8289293935483,42.1847797123709,43.876154177002,45.7748941222683,43.0528847440794,40.5582944757455,40.7393234861846,41.518736123365,41.0527665411625,40.7282353196912
900,40.9271461822653,40.3063493913232,40.306377479171,40.3063112246617,0,2,2,2,40.5689233133926,41.0403271806016,40.9725674515451,40.3677172056918,40.3988674048574,40.4208706089965,40.4637426280396,40.5224833086813,40.863320117683,40.8990592175007,40.9977252885645,40.5297382336349,40.401257688908,40.5020020590342,40.5347468993917,40.5953718208196,40.9714585289965,41.0014543112459
1200,40.836787450832,40.3064661199385,40.3064441001768,40.3064438940906,0,0,0,0,40.8349529798195,40.8759966092093,40.8474928211542,40.8303146490485,40.8396691894932,40.8435167015526,40.8489303987804,40.8522550566072,40.8273169237721,40.8278504722189,40.8308937631058,40.8421913817904,40.8527771589332,40.8593459512619,40.8643810662484,40.8679995669776,40.8785164473414,40.8886926057041
1500,40.8477016040299,40.3065795284777,40.3064181379304,40.3064156814905,0,0,0,0,40.8502167840605,40.8501560362225,40.843489231421,40.8477431557461,40.8462438447543,40.8462960237449,40.8463791974584,40.8464526060084,40.846951577743,40.8483616520129,40.8476818853186,40.8477395600895,40.8477480278464,40.8507664687374,40.8505394876613,40.8517519854715,40.8518785512877,40.852739949161
1800,40.8443086274273,40.3062618969015,40.3062287193655,40.3062047323457,0,0,0,0,40.844406362845,40.829658754128,40.8393054051705,40.844065760684,40.844145996917,40.8441135871269,40.8436331004327,40.843153554651,40.8437385746524,40.8442081660586,40.8446358655622,40.8453124505339,40.8450393319069,40.846130499532,40.846164391257,40.8458953048336,40.8448954106295,40.8444718517597
2100,40.8405482976235,40.3065318475206,40.3065226768715,40.306554601807,0,0,0,0,40.8403564873518,40.8326276863332,40.8412888563622,40.8419461114083,40.8417225801599,40.8420252535759,40.8419717235807,40.8419514489662,40.8420859041072,40.8424383756261,40.8422850171737,40.8418849804535,40.8413088717309,40.8408447997804,40.8408471825784,40.8406091023705,40.8411389256382,40.8417183748167
2400,40.8362505191994,40.3064766791754,40.3064501803592,40.3064552264221,0,0,0,0,40.8367609694174,40.837036974581,40.834128525342,40.8363280640797,40.8364099383603,40.8360636116708,40.8361291232468,40.8358756238165,40.8366542304979,40.8368796213484,40.8370512734078,40.8371286730043,40.8369083516571,40.8383025223847,40.838261969078,40.8378578395761,40.8375929990897,40.8367655160029
2700,40.8307147963348,40.3063844255306,40.3064223514142,40.3063988307914,0,0,0,0,40.8317594557258,40.7758882603166,40.8322014567969,40.8329883422619,40.832808216066,40.8327332717379,40.8329608180183,40.8323572529864,40.8320687703189,40.8324071237259,40.8322342422074,40.8325370110903,40.8329394238595,40.8313322236253,40.8307466877239,40.8295623121735,40.8305004335534,40.8313708255572
3000,40.8269973346331,40.3064782800041,40.3064357391613,40.306457416586,0,0,0,0,40.8191873072135,40.8264966723272,40.8262897022781,40.8279227937085,40.8282635632874,40.8281203259905,40.8276823769449,40.8273390518209,40.827766937831,40.8280302355157,40.8280920945989,40.8279783753609,40.8283666194176,40.8285350705572,40.8284929713746,40.8280734342162,40.8278709799187,40.8276915021319
