Physical Time: Physical Time (s),InletDoor Monitor: Surface Average of RH,InletRHa Monitor: Surface Average of RH,InletRHb Monitor: Surface Average of RH,InletRHc Monitor: Surface Average of RH,InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s),InletVela Monitor: Surface Average of Velocity: Magnitude (m/s),InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s),InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s),a Monitor: Sum of RH,b Monitor: Sum of RH,c Monitor: Sum of RH,鐐?2RH Monitor: Sum of RH,鐐?3RH Monitor: Sum of RH,鐐?4RH Monitor: Sum of RH,鐐?5RH Monitor: Sum of RH,鐐?6RH Monitor: Sum of RH,鐐?9RH Monitor: Sum of RH,鐐?0RH Monitor: Sum of RH,鐐?1RH Monitor: Sum of RH,鐐?2RH Monitor: Sum of RH,鐐?3RH Monitor: Sum of RH,鐐?6RH Monitor: Sum of RH,鐐?7RH Monitor: Sum of RH,鐐?8RH Monitor: Sum of RH,鐐?9RH Monitor: Sum of RH,鐐?0RH Monitor: Sum of RH
300,50.47542455,50.47542455,50.47542455,50.47542455,0,0,0,0,50.47542455,50.47542455,50.47542455,50.47542455,50.47542455,50.47542455,50.47542455,50.47542455,50.47542455,50.47542455,50.47542455,50.47542455,50.47542455,50.47542455,50.47542455,50.47542455,50.47542455,50.47542455
600,47.24362583,40.30643819,40.30643764,40.30643774,0,1,1,1,40.48115706,40.4827419,40.48472911,41.10783093,43.30265366,45.32070318,47.20814032,48.23784727,41.85040131,45.05329617,47.80719174,49.53813965,45.58480366,41.09502168,41.62177854,43.5435474,42.25669919,41.45290179
900,41.64782363,40.30642919,40.30643349,40.30642656,0,1,1,1,40.89519368,42.64834251,42.65454476,40.41438301,40.47683194,40.56718664,40.8095183,41.09165288,42.31841073,42.45274902,41.79004277,40.90637788,40.65252576,40.78440598,40.91936084,41.27497407,42.32956372,42.36405521
1200,40.76026856,40.30643707,40.30644568,40.30644092,0,1,1,1,41.03079115,41.0046276,40.90833395,40.41479962,40.43816197,40.44196237,40.45694698,40.47002401,40.6542559,40.58879592,40.51562674,40.49392975,40.49037547,40.48499991,40.49056229,40.50669904,41.20759378,41.09637526
1500,40.53058059,40.30646269,40.30645446,40.30646765,0,1,1,1,40.53871052,40.51574939,40.4894689,40.38179428,40.3924526,40.39462539,40.40002634,40.4033613,40.42950283,40.43217251,40.44133324,40.43643799,40.4331872,40.37090148,40.38407421,40.40093937,40.44306858,40.61393805
1800,40.36793718,40.30644055,40.30644346,40.30642561,0,1,1,1,40.36895718,40.34616471,40.37072608,40.31572077,40.32327245,40.33204656,40.3369031,40.33853654,40.35626972,40.35747147,40.35669221,40.34526397,40.32778018,40.33745654,40.35104158,40.37180583,40.37677733,40.39463055
2100,40.33184662,40.30644785,40.30645454,40.30644269,0,1,1,1,40.32512439,40.32565653,40.32426876,40.31128218,40.31264958,40.3167753,40.32018244,40.3210386,40.32680941,40.32477429,40.32075397,40.31333751,40.30919334,40.31727239,40.31892028,40.33116425,40.33942606,40.33918812
2400,40.31553487,40.30647917,40.30647248,40.3064826,0,1,1,1,40.31069616,40.31532517,40.31117598,40.30762035,40.30817316,40.3082362,40.30834504,40.30891437,40.30846918,40.30772872,40.30727362,40.30729968,40.30746743,40.30825946,40.30831392,40.31320814,40.3176446,40.31850149
2700,40.30907797,40.30645117,40.30644317,40.30644627,0,1,1,1,40.30766808,40.30896168,40.30736299,40.30641569,40.30658277,40.30679051,40.30688318,40.30715441,40.30679902,40.30674987,40.30676697,40.3067332,40.3066955,40.30660872,40.30674002,40.30688892,40.30801507,40.30824525
3000,40.3062007,40.30645933,40.30644927,40.30644872,0,1,1,1,40.30635761,40.30645955,40.30589924,40.30595247,40.30597633,40.30604645,40.30615827,40.30607143,40.30595096,40.30594025,40.3059248,40.30589259,40.3059127,40.30611536,40.30605306,40.30599909,40.30613736,40.30608426
3300,40.30569449,40.30645623,40.30644797,40.3064395,0,1,1,1,40.30550946,40.30560728,40.30555274,40.30589064,40.30576521,40.30570819,40.30565566,40.3056236,40.30581028,40.3058061,40.30580338,40.30578935,40.30577267,40.30585573,40.30587066,40.30574588,40.30557835,40.30553151
3600,40.30539756,40.30645797,40.3064419,40.30644438,0,1,1,1,40.30533648,40.30536988,40.30529587,40.305919,40.30582354,40.30572828,40.30558167,40.30548103,40.30548493,40.30550258,40.30552724,40.30553563,40.30555295,40.30556114,40.30552495,40.30538425,40.30526299,40.30527629
3900,40.30528034,40.30644786,40.30643704,40.30643618,0,1,1,1,40.30525388,40.3052301,40.30532264,40.30590846,40.30588108,40.30582025,40.30573261,40.30564526,40.30559483,40.30559255,40.30560118,40.30558698,40.30565065,40.30564296,40.30560244,40.30535704,40.30520457,40.30522014
4200,40.30523688,40.30644469,40.30643795,40.30643483,0,1,1,1,40.30525617,40.30518005,40.305194,40.30574133,40.30575659,40.30573192,40.30567263,40.30562233,40.30539689,40.30540539,40.30543081,40.30547289,40.30559839,40.30573863,40.30561309,40.30536183,40.30510688,40.30516741
4500,40.30521792,40.30644372,40.30643927,40.30643866,0,1,1,1,40.30519371,40.30518531,40.30519485,40.30576142,40.30573352,40.30574293,40.30576387,40.30567608,40.30543889,40.30549821,40.30554823,40.30562736,40.30573395,40.30572522,40.30564275,40.30539313,40.3051025,40.30517119
4800,40.30520433,40.30645582,40.30644767,40.30645407,0,1,1,1,40.30521167,40.30523574,40.30517142,40.30589677,40.30587469,40.30586125,40.30582693,40.30572827,40.30543,40.30546752,40.30552507,40.30559777,40.30572327,40.30571458,40.30565231,40.30538065,40.30507315,40.3051458
5100,40.30516898,40.30644424,40.30644568,40.30644706,0,1,1,1,40.30518557,40.30521897,40.30517082,40.30584479,40.30584437,40.30583131,40.3057905,40.30571861,40.30538554,40.30546527,40.30554967,40.30562721,40.305747,40.30567846,40.30561243,40.30532019,40.30504046,40.30513869
