,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,sum,mean
baseline,10.475424554968004,10.475424554968004,3.033611176118505,1.4133911956210392,0.4972020740912678,0.6419352475297079,0.6401534394120527,0.6397243228661329,0.6386050664009394,0.6373777371945124,0.635992286064914,0.6346355785837593,0.6336845063957933,0.6332508375366203,0.633010791040554,0.6329552278873413,0.6327150226355271,0.6324233532146925,0.6321974489453387,0.6319343391112052,0.6317406950429401,0.6315976113557312,0.6314979963734795,0.6314500233628872,0.6314233386701328,0.6313950117323051,0.6312942221606799,0.6312021588443486,0.6311559230488005,0.6311685459624532,0.6311877208994555,0.6312143040405582,0.6312474097218195,0.6312781164332464,0.6312828737916608,0.6312526162473925,0.6311976911162736,0.6311226453894605,0.6310324167003529,0.6309373297418072,0.6308365955909456,0.6307416641049802,0.6306548934218337,0.6305800909305403,0.6305153308207523,0.6304631060548062,0.6304163845869406,0.6303791463535613,0.6303458722632466,0.630326302645319,0.6303173120903997,54.98690411008503,1.078174590393824
power1,10.475424554968004,5.508015059179739,1.9951229913117923,0.9021125768051594,0.666041283787915,0.49256661077669295,0.39572725842325457,0.34522933044413356,0.3185100511914129,0.31332554310131255,0.3090870220966603,0.3070543009924544,0.3062502416101135,0.3058144641241602,0.30564678229855435,0.30557609533384067,0.3055741346297528,0.3055891916207737,0.3055703887381611,0.30555396817337954,0.30552628648527974,0.30547708584663363,0.30544854242648634,0.3054449761309262,0.30544692592239403,0.30544107412542637,0.30542767446755953,0.3054214974900939,0.3054149086118206,0.30540496453788585,0.30540549527139926,0.3054156914284671,0.3054248954475611,0.30542657891907415,0.3054209561057604,0.30541583678298756,0.30541468431013785,0.30541545995133246,0.305415353349881,0.3054128301705537,0.30541019212015974,0.3054074279103124,0.30540565118568613,0.30540429718028006,0.3054041957268737,0.3054044464617732,0.3054047514778527,0.30540466773912556,0.3054056098733587,0.3054068999219794,0.3054073139320186,33.94187902091835,0.66552703962585
power2,10.475424554968004,3.9089296989384343,1.1017406479781517,0.5128099343612049,0.3767493574230916,0.3310958844343996,0.3113810633333865,0.3048770950922749,0.3036788716410797,0.30333232767725493,0.3029816716414274,0.3030210091269069,0.3030414739678657,0.30275867430723336,0.3026441775272204,0.30274227183211955,0.30270234346588626,0.30257732362969375,0.3026217337757411,0.3026143308133868,0.30282807062812606,0.3029637111168057,0.30300606166398153,0.3028222206583943,0.30251162051142494,0.3025644997279135,0.3025977611424731,0.30257892141901316,0.30267440815168717,0.30270441615207344,0.3025895248437725,0.30250085607911503,0.3023890068195731,0.3023277698372136,0.30232552297985366,0.30235375272449405,0.3023830223978133,0.3023792886452938,0.3023691244075645,0.30234767285729397,0.3023546523462874,0.3023449583240525,0.3023406262219339,0.3023393312099534,0.3023508701716788,0.3023491772658469,0.3023422980950263,0.30232778276726674,0.30232266286827403,0.30232523805486644,0.3023376262304727,30.334676902254305,0.5947975863187118
power3,10.475424554968004,3.0448768719589747,0.7774869377311731,0.39231095402637284,0.32541853897207934,0.3051065155989126,0.30063582603607225,0.29760391942993797,0.29907942878346033,0.29695519507525414,0.29887219384252006,0.29769600870890733,0.2993662691092131,0.2972924464386935,0.2997818792577396,0.29711538723016606,0.29914369170585314,0.296907687711915,0.2991032541270935,0.2973496759416468,0.2981013213407446,0.2973848691566341,0.2984158324277184,0.2973206833162664,0.2991223959776548,0.29761031064284066,0.29886888703083275,0.2969888906391072,0.2983605549705217,0.2969559799388724,0.2983781582540942,0.29698257635444825,0.29798980758385435,0.29711963973801353,0.2979927316723855,0.29713170335317896,0.2979568413437794,0.2969975239493541,0.29802966307042644,0.2970408792688412,0.29799008208323985,0.29682300269479306,0.29790625066541926,0.29654941777682164,0.2981572162929543,0.2965465584738008,0.2981571777916263,0.2966423983391337,0.29805834964706057,0.29680511571879814,0.2978201994582392,28.72373225562545,0.5632104363848127
our approach,10.475424554968004,3.097669979220379,1.0938628049049262,0.9651385652850858,0.7325174452512329,0.6079001098700744,0.4879170529664464,0.4396651180249871,0.39757707424112565,0.3755690294105733,0.3535587407732597,0.34159374544784527,0.33280705142910655,0.3261402696142331,0.3200311087226988,0.31559144795139293,0.3126933270971605,0.31119545724400743,0.31045748280788765,0.3095570148534942,0.3086308034589332,0.3076553521788469,0.30686096386404577,0.3064400972838006,0.30616685603763283,0.3059231253157852,0.30578442604048633,0.30566651035402825,0.30555946104268655,0.3055127718657057,0.3054879740976607,0.3493296510791931,0.3440349235750271,0.24876406440610546,0.2094106387540265,0.22390587547282764,0.24811453310315415,0.2645074171625405,0.27650515795836694,0.28466657492786757,0.28955209026821316,0.29323219790234417,0.29629269208082104,0.29833410846151387,0.300119700916854,0.3014459020186602,0.3024892305177943,0.3032614270841999,0.3037966428722347,0.3041941869017336,0.3045052395386548,31.023017976625667,0.608294470129915
baseline,0.014999999999999998,0.014999999999999998,0.23999999999999996,0.165,0.23999999999999996,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,0.014999999999999998,1.3649999999999995,0.026764705882352934
power1,0.014999999999999998,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,0.09,4.514999999999999,0.08852941176470586
power2,0.014999999999999998,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,0.165,8.265,0.16205882352941178
power3,0.014999999999999998,0.23999999999999996,0.23999999999999996,0.23999999999999996,0.23999999999999996,0.23999999999999996,0.23999999999999996,0.23999999999999996,0.23999999999999996,0.23999999999999996,0.23999999999999996,0.23999999999999996,0.23999999999999996,0.23999999999999996,0.23999999999999996,0.23999999999999996,0.23999999999999996,0.23999999999999996,0.23999999999999996,0.23999999999999996,0.23999999999999996,0.23999999999999996,0.23999999999999996,0.23999999999999996,0.23999999999999996,0.23999999999999996,0.23999999999999996,0.23999999999999996,0.23999999999999996,0.23999999999999996,0.23999999999999996,0.23999999999999996,0.23999999999999996,0.23999999999999996,0.23999999999999996,0.23999999999999996,0.23999999999999996,0.23999999999999996,0.23999999999999996,0.23999999999999996,0.23999999999999996,0.23999999999999996,0.23999999999999996,0.23999999999999996,0.23999999999999996,0.23999999999999996,0.23999999999999996,0.23999999999999996,0.23999999999999996,0.23999999999999996,0.23999999999999996,12.014999999999999,0.23558823529411763
our approach,0.014999999999999998,0.165,0.14,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,2.24,0.04392156862745098
