,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,sum,mean
baseline,10.475424554968004,4.332063766965968,5.160848834526787,2.576393679140826,2.2137619028268007,1.0942128119184464,1.1056010795346998,0.7393578780512722,0.7396691889723854,0.7505525386069526,0.7522701903543065,0.7457844693691735,0.7378563496386855,0.7338214918464516,0.7324325635592065,0.7309943964439266,0.7299271798096745,0.7286141391106398,0.7275021941671133,0.7264869988460797,0.7254000638399537,0.7244169599654678,0.723561208050819,0.722776744384647,0.7219775713196939,0.7211635168303606,0.7204374632915403,0.7198218344684714,0.71929119758292,0.7188058578271476,0.7183257492227781,0.7178493594853871,0.7173871063133603,0.7169501266730796,0.716550631097347,0.71620030312146,0.7159021664791335,0.7156625616106865,0.7154710125092261,0.7153174127985338,0.7151914602647328,0.7150888379902942,0.7150034899086123,0.7149266545380855,0.7148646536611598,0.7148165907794,0.7147805468781996,0.714753554933688,0.7147329322667867,0.7147175133842012,0.7147057684586059,58.780427058593176,1.1525573933057485
baselinepoints,10.475424554968004,4.332063766965968,1.276802584518972,0.5834072666684202,0.8690686678222932,0.8907260788075472,0.8923437123872129,0.8912366182273852,0.8887050432608665,0.8882599321448381,0.8864636786857939,0.8850339432776456,0.8840676171615675,0.8835172059611405,0.8831762858220737,0.8828009091497061,0.8824523153860937,0.8823891179528,0.8823643485902414,0.8821729557941135,0.8818703148583675,0.8814879111589008,0.88102761148578,0.880576872366775,0.8801582766307466,0.8797852385749522,0.8794505581841079,0.8791485952207405,0.8788787233480477,0.8786358522949859,0.8784221679276247,0.8782453102489797,0.8781063814598014,0.8780027584014197,0.8779339829471994,0.8778988167043261,0.8778945365527804,0.8779175199435599,0.8779650031765593,0.8780313410756809,0.8781097803409996,0.8781922715092193,0.878272152831067,0.8783446355588599,0.8784051325842441,0.8784527824665057,0.8784869791454535,0.8785123664736219,0.8785297186879196,0.8785398653795004,0.8785442246004805,58.06630428569189,1.1385549859939588
power1,10.475424550000003,4.332063766000001,1.276802583333333,0.5834072673333338,0.4238543580000003,0.3481112533333331,0.3215178480000001,0.30969702400000093,0.30693794000000024,0.30601435866666643,0.3057471473333332,0.3055430980000011,0.3056027333333323,0.30552113399999903,0.3055706166666667,0.305593202,0.30557296666666695,0.30554532933333245,0.3055477360000007,0.3055330033333339,0.30549714333333305,0.3054777679999996,0.30546687266666717,0.3054564720000002,0.3054542186666675,0.3054617386666668,0.3054586559999995,0.3054471240000003,0.3054283086666667,0.30541583866666666,0.3054126653333341,0.30541556666666686,0.30542016200000055,0.30542580066666575,0.30542352666666706,0.30541535133333325,0.30540961866666694,0.3054085053333343,0.30540927066666657,0.30540902600000047,0.305406896,0.3054054880000005,0.30540544533333314,0.3054041386666659,0.3054033673333336,0.3054028900000001,0.30540437200000004,0.30540706533333356,0.30540938466666745,0.305410121333333,0.30541003266666705,31.207790750666682,0.6119174656993467
power2,10.475424554968004,2.8468353795756713,0.7263460238570261,0.37915432692631207,0.322209647687653,0.30699511986838623,0.3042095373852059,0.3022183327092937,0.30329780324464034,0.3022496536290859,0.3031872921215727,0.3022646283622658,0.3028391100283206,0.30205110562598636,0.3032920279932592,0.30190405031325535,0.3033486791994202,0.3023037799133808,0.30321922518956085,0.3023973952074873,0.3035061361118868,0.3023313703772085,0.3031315681923796,0.3022102423279468,0.3033089125759811,0.3019612818765732,0.3030402565475664,0.3019937431235344,0.30294913288992736,0.3020003598148662,0.30297949750888054,0.30191220291977977,0.30271684838576646,0.30205446038677336,0.30273667685902694,0.30211531949417936,0.30274367030668164,0.3021669130104726,0.3026543945874413,0.30215889483270547,0.30260410783814107,0.3021368350070418,0.3025737711475069,0.3021460103120148,0.30254099312222704,0.3021184040231404,0.3024755181414131,0.3021258777249675,0.3024661620257002,0.3021852844940341,0.3024415444095799,28.67223406418113,0.5622006679251201
power3,10.475424554968004,2.1469497646756737,0.5300060663867526,0.3281966037445334,0.30384002094751994,0.2984342844144,0.2987804255804742,0.2969128934606611,0.29853074645592653,0.29659649375459196,0.29851342242805906,0.2968803987895271,0.29759955457459264,0.2964346437345005,0.2994412913304932,0.2975417310901605,0.2989445519611678,0.2971401099450664,0.2986861964493945,0.29784516092948793,0.29866805289286685,0.2974534766990402,0.2996145496321399,0.297581203563441,0.30008267595853844,0.2979999513626126,0.29947964415230593,0.296814312140026,0.29876117359180704,0.2974546065589664,0.29937441649393387,0.29724322397334124,0.2986131842402467,0.2966388296092395,0.2979756368133124,0.2966666596654273,0.2982307003840153,0.2970984597212199,0.29814136730829355,0.2966382685843797,0.29789254068706017,0.2964628368207869,0.29759478931735356,0.2965803041929888,0.29748527414739906,0.29684688029040035,0.29742353743650085,0.2966848864723398,0.29748918371101446,0.2968293460473385,0.2975367910689466,27.482055679158268,0.5388638368462405
dqn,10.475424554968004,2.1469497646756737,0.6191984584671791,0.7751297014748469,0.7726940080111793,0.769482230400033,0.7664920623518204,0.7624276893970058,0.7586274315005668,0.7561784076306258,0.7527253783751149,0.7505363586419639,0.7492080638692603,0.7477744670721198,0.7467026673213473,0.745743015965868,0.7448982363170259,0.7442138327033807,0.7436859679737329,0.7430755544736201,0.7424648507494728,0.7416573254568471,0.7408659949086797,0.7399580594018053,0.7386538764174327,0.7374611172387058,0.7355562272761408,0.7332814114186064,0.7297085184738398,0.7262640848721811,0.7220631060680276,0.7174370660444339,0.7129255750671794,0.7085779943730268,0.7044589378937066,0.7002846176616051,0.6967817267300735,0.6935985868211811,0.6901752219817942,0.6905966406188995,0.6887983525530942,0.6827410501780491,0.6758801100947844,0.6724498549428343,0.6702509208699131,0.668081456908853,0.6656957601044728,0.6632631562096734,0.6611794332652797,0.6592581899580939,0.6576503958009202,47.839187471949984,0.9380232837637251
pid,10.475424554968004,2.1469497646756737,0.8918729179316879,0.7001348152138799,0.7104439960970325,0.7044404812914882,0.6997063981987058,0.6966285466467544,0.6916090452768273,0.6890259878250007,0.6858329775542534,0.6837885219697465,0.6819730870401159,0.6803689530266671,0.6787866543451737,0.6777371580826279,0.6767847099610927,0.6760834636484678,0.6755086914995199,0.6751538036518928,0.6747909865531138,0.6744876916274933,0.6742087068424065,0.673954607879233,0.6737460224968662,0.6735537182241269,0.673370816720275,0.6732228952708738,0.6731005154144327,0.6729982286122465,0.6729148634825,0.6728460562337811,0.6727921754818397,0.6727533095339879,0.6727273284887071,0.6727087864530537,0.6726956220712661,0.672687202234106,0.6726817918370197,0.672677119713787,0.6726698783635915,0.6726617505912675,0.6726562387992866,0.6726525546476144,0.6726499480264806,0.6726480105727783,0.672646364204554,0.6726447059086017,0.6726427464623399,0.6726400566106003,0.6726364234511271,46.062321651713965,0.9031827774845875
pid_m,10.475424554968004,2.1469497646756737,0.631321021469707,0.8503100888557138,0.8486182648694263,0.8446402564358275,0.8416519101311072,0.8369472904814004,0.8319697969937191,0.8280150888449939,0.8242875967470141,0.8212442358841595,0.8190048447666674,0.81671689664494,0.8155080546045137,0.8142222520643457,0.8133378234951668,0.8127573766967994,0.8120884469007607,0.8113197210883797,0.8107590929856661,0.8096366781873059,0.8087606914464919,0.8078418878404198,0.8069214348510926,0.806070800950792,0.8051998169621389,0.80428741040074,0.8034564306244003,0.8025755902496139,0.8023880759433671,0.8020519426479065,0.8015570392847186,0.8010728686158193,0.8006600112254446,0.8003845771423461,0.8000732491749005,0.7998335893474287,0.7996609917586331,0.7995335467510463,0.7994406013824673,0.7993840160139395,0.7993336019203264,0.7993048835377938,0.7992927715795389,0.7992966427561081,0.79930809561852,0.7993252695979407,0.7993380172946137,0.7993456109385931,0.7993452045179931,52.161775728166425,1.0227799162385574
our approach,10.475424554968004,2.1379528308405065,0.9514232657020135,0.7024382369646683,0.4269713117832069,0.45206736644249995,0.45415545191772017,0.36807982326572763,0.370532674797928,0.369358751330518,0.3686008839041738,0.36788120107068684,0.36703829984714625,0.3666373145972258,0.36628596419612053,0.366101985699999,0.36598170432787264,0.3658215011702874,0.36570314510753976,0.3656273980509075,0.36557111845159984,0.3655524870934343,0.3655181045909411,0.3654655841768403,0.36542173406002737,0.3653903328864525,0.3653746287570333,0.36536120300534614,0.3653505437463143,0.36533899413206633,0.3653255220511331,0.36531065651034,0.36529502025568517,0.36528014226839267,0.3652661780038737,0.365254419350867,0.36524459488442695,0.36523612968692637,0.3652285721924405,0.36522117889848665,0.3652134496583789,0.3652049611100267,0.36519539217894653,0.3651845596024657,0.3651728391296601,0.36516045050169244,0.3651475481589126,0.36513426938619487,0.36512078064213255,0.36510716612471206,0.36509359970476635,31.69782582718527,0.6215259966114759
baseline,0.025,0.15,0.025,0.15,0.025,0.15,0.025,0.10833333333333334,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,0.025,1.733333333333333,0.033986928104575154
