"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点02RH Monitor: Sum of RH","点03RH Monitor: Sum of RH","点04RH Monitor: Sum of RH","点05RH Monitor: Sum of RH","点06RH Monitor: Sum of RH","点09RH Monitor: Sum of RH","点10RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点19RH Monitor: Sum of RH","点20RH Monitor: Sum of RH"
60,50.475424554968,50.4754245549681,50.475424554968,50.475424554968,0,0,0,0,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968
120,49.1460169438962,40.3064453589711,40.3064383199891,40.306439302788,0,3,3,3,40.5139089482771,40.5142761033692,40.5157546022794,41.7616303493232,44.9948131510403,47.3625157543295,49.0590292453981,49.7378605325844,42.7045085595183,46.4753614708973,49.0662815586495,50.1735007343629,46.9642319437528,41.6875516092462,42.6222761880984,45.3740084272344,43.4659639164462,42.2222779401327
180,46.5075085030176,40.306410393498,40.3064357124916,40.3063888505352,0,1,1,1,42.0238520543859,44.5576928402465,46.5631323699837,40.7335110813674,41.1592528671988,42.2229332474397,44.7463978451555,46.7716829283263,43.629179881018,46.0715220775822,48.5725190443365,45.1701262624836,41.59703042942,41.465401929551,41.8035336750411,42.3588798306125,43.3705807247562,43.2109795548
240,44.6812065112623,40.3063885521099,40.3064121274778,40.3064169128302,0,1,2,3,41.5594352315255,43.1830264222278,42.874683976847,40.3222912001603,42.9333269094052,44.0890242956459,46.2144095323096,47.0554431420931,44.1117525951406,43.875855655734,42.0177296362539,41.0252624722025,40.9913455977947,40.8502177627999,40.8761407836177,41.244038942665,41.9665129115113,41.8606296622146
300,41.8446965405857,40.3064616925224,40.306564988372,40.3066482264934,0,1,2,2,42.4270659327595,42.2026944469519,44.7037774290403,40.8677320823505,41.0512143423438,41.2414226587163,41.6978822461434,42.1683069392238,41.6269958620576,41.4069109753123,41.3144531941846,41.2964344317686,41.3089103227481,40.9039986355449,40.9361162940083,41.0634087887302,41.3353841167481,41.8567128914342
360,41.3222152119973,40.3063911433813,40.3064115843806,40.3065146133264,0,1,1,2,40.5896668199024,41.0926499436941,41.654664657648,40.6301014941807,40.686033925149,40.7943461251907,40.9620406535488,41.0655997098377,41.2868884000535,41.1909506316866,41.0499260518388,40.8472708874187,40.7414809999005,40.8279253042395,40.9807345230676,41.1206177690449,41.1174552579054,41.86872774715
420,41.2575203049952,40.3064085743451,40.3064200369173,40.3063910780186,0,0,1,1,41.1297223214654,41.3397050471081,41.7235682896775,41.3190597830239,41.3363487012544,41.4329125920122,41.6428872172533,41.5840585056033,41.2395353043481,41.1453596002905,41.1016265196749,41.0563697420102,40.915770503582,41.1163775249851,41.386183523585,41.508714361729,41.3015470075116,41.3448981701678
480,41.0402405652613,40.3064806151767,40.3064787706796,40.3065245037154,0,1,1,1,40.4404070447801,41.2759817648165,41.580530215416,40.504252561568,40.9912924283427,41.3239621160504,41.355911493574,41.4212429032301,40.9947961797517,40.9317071666581,40.8411368836693,40.6450531147519,40.5494233297608,40.6524531536558,41.0473076665772,41.2158237334635,41.2266173402279,41.1522213393201
540,40.9593392285295,40.3063639880969,40.3064486560976,40.3064466594748,0,0,1,1,40.8762952671797,41.137166012965,41.4078771172911,40.8628863568037,40.9417114037728,41.1023065434217,41.088003788642,41.1519862374659,40.7506980667867,40.6751336827908,40.591029548679,40.5261557436504,40.4735547676913,40.6128347882645,40.699842547976,40.9166281886866,41.0342639493742,40.8839455729609
600,40.9032008870259,40.3064705267204,40.3064353107727,40.3064607583688,0,0,1,1,40.891177740049,40.9729966946241,41.1803447132133,40.8885330266923,40.9064071752002,40.9308972508817,40.964068442839,40.9847535570927,40.570108988985,40.5363887473612,40.514115523765,40.4651667383874,40.4514388800449,40.5598456397062,40.56836741745,40.6911114270608,40.903739708758,40.8610042775446
