"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点02RH Monitor: Sum of RH","点03RH Monitor: Sum of RH","点04RH Monitor: Sum of RH","点05RH Monitor: Sum of RH","点06RH Monitor: Sum of RH","点09RH Monitor: Sum of RH","点10RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点19RH Monitor: Sum of RH","点20RH Monitor: Sum of RH"
60,50.475424554968,50.4754245549681,50.475424554968,50.475424554968,0,0,0,0,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968
120,49.8670226789243,40.3064427408296,40.3064380479329,40.3064387031384,0,2,2,2,40.6278075386978,40.6279199550419,40.6304376311947,42.4163978013184,46.4685050094741,48.7672292728894,49.9541764008044,50.2786621056821,43.6988414709808,47.9589322062485,49.9491646561357,50.4242422386289,47.5325276430305,42.3034053644197,43.5717409531818,46.7467155413998,44.3892022698683,42.8772085655419
180,44.2247883125175,40.3064454722829,40.3064486602575,40.306427829304,0,2,2,2,41.1192953227005,45.3015693223311,46.0691138133126,40.4774956872519,40.7045968417334,41.3768453339961,42.7434499656324,43.8997916816715,44.1939947724269,46.364708337977,44.3259486706246,42.046594145314,41.1229416882733,41.2120126929899,41.5197293821686,42.649119299726,44.5973341642021,44.6615323180619
240,41.4681873476591,40.3064623168487,40.3064850096311,40.3064718152159,0,2,2,2,42.6186851161182,42.952334181058,43.4636383968679,40.6105172036444,40.7269973749791,40.757498237896,40.8402388866505,40.9590376588001,41.7150706515195,41.3413848184287,41.0094923695689,40.8549917202066,40.8104035399411,41.0204660468233,41.0270294755655,41.0805013090104,43.5789425864265,43.3791404897631
300,41.3094828527302,40.3066026174846,40.3065269896973,40.3066071837973,0,2,2,2,41.7849000504404,41.4809120711323,41.3508974563939,40.7552051646816,40.7577303400584,40.7711104875586,40.7858025972302,40.7901021582958,40.9781571011069,40.975709572093,40.9960582569044,40.9767958636123,40.9527083111097,40.6657060726801,40.7290252388428,40.8902780499863,42.923422011283,42.8306570855123
360,40.9361415457008,40.3065449716973,40.3064925589621,40.3064706753117,0,2,2,2,40.8453950333796,40.7129770094081,40.910186855908,40.4447472426577,40.5154550804405,40.5579957823798,40.5729988243073,40.5862965665228,40.7184309389272,40.7188129297155,40.7294870531728,40.6795033508922,40.5382899843976,40.6753064334949,40.8229945789199,40.9866719497633,41.1140126159558,42.0107136924979
420,40.703700949413,40.3065635554998,40.306536047481,40.306528760726,0,2,2,2,40.6414500096457,40.5958125217687,40.5790062574391,40.3921168271826,40.4465499683638,40.4890630733584,40.5010619723771,40.5068465470093,40.6343593481397,40.5958191326998,40.5322883823434,40.399882205848,40.341069195336,40.4446230194119,40.4922299901071,40.682825242573,40.7916900220506,40.9859435940301
480,40.5783383701407,40.3065645982166,40.3065189025158,40.3065836109126,0,2,2,2,40.453269001398,40.5105579233262,40.4855578512038,40.34861774902,40.3975981986989,40.4064708854617,40.4040708955662,40.409280779757,40.4290674438096,40.4018173933062,40.3720840379679,40.3413808788514,40.3373635588791,40.3833793254929,40.3870704978065,40.4745303427644,40.6006905645975,40.6279388065364
540,40.4582730927438,40.3065349070967,40.3064867970324,40.306552211238,0,2,2,2,40.3814103619464,40.4778689420041,40.3950351798379,40.3260541309494,40.3336666646793,40.342909077509,40.3534921135829,40.3645768347868,40.3640536047528,40.3611997273571,40.3475547256067,40.3367243990683,40.3305680052942,40.3624420804651,40.3625049657853,40.3926514182925,40.4659110971676,40.4727220912983
600,40.3714752949122,40.3065489691415,40.3064934380146,40.306540079927,0,2,2,2,40.3531581238562,40.3907039532397,40.3454703478705,40.3166544313703,40.3227734838531,40.3272953405441,40.3342803848541,40.3377092328794,40.3464852561652,40.3424287114173,40.3371068723978,40.3317196115402,40.3309099462794,40.3559711163883,40.3536580667737,40.3636366569879,40.4039451969232,40.3998043507775
