"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点02RH Monitor: Sum of RH","点03RH Monitor: Sum of RH","点04RH Monitor: Sum of RH","点05RH Monitor: Sum of RH","点06RH Monitor: Sum of RH","点09RH Monitor: Sum of RH","点10RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点19RH Monitor: Sum of RH","点20RH Monitor: Sum of RH"
180,50.475424554968,50.4754245549681,50.475424554968,50.475424554968,0,0,0,0,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968,50.475424554968
360,48.832010020833,40.3064385284411,40.3064376656359,40.3064378180916,0,1,1,1,40.5757745635697,40.578679072818,40.5783842745258,41.6577033256394,44.8766900526577,47.2699575827654,48.9974324766483,49.6927190103187,42.7098569935636,46.679775625666,49.2419733847508,50.2404275762439,46.6361143295869,41.6291993882892,42.4999401693762,45.140509557538,43.2582513903731,42.0896750242789
540,48.7865150126697,40.3064304572421,40.3064334371494,40.306430063138,0,0,0,0,43.8145343230048,41.8630136287723,45.2439662954827,44.5023815068568,46.9206908461318,48.6087697962807,49.2342380178601,49.0416004559354,43.1770627843503,46.2734727055935,48.6328430653143,49.985731974962,47.7211077305345,42.77734781004,43.2976430473009,43.5359214407626,44.609662646027,43.6752447292998
720,46.478759202427,40.3064389793663,40.306435169333,40.3064388475214,0,1,1,1,40.3761632596192,40.3332954561483,40.4008910361103,41.7235773604535,44.3202324347664,46.2111083168404,48.1883684393481,48.2914746282649,41.8031420190087,42.5760167093093,43.9819327368302,45.5189321292416,46.2759990043405,40.7115651136574,40.9868213860069,41.7626888073977,43.4562157403425,43.471097422953
900,45.9526581761627,40.3064323015428,40.3064391494822,40.3064325806215,0,0,0,0,41.8735398303465,41.3418423024508,42.101054420156,42.0342811674179,44.8065356669694,46.3521401844329,46.9083527063883,46.0434440547309,41.8909130726061,41.8964139377587,43.1452192078516,45.1360870900746,45.5629168984347,41.1895955646766,41.496154584459,41.712352309324,42.929689897597,42.7374369105877
1080,43.3231343974373,40.3064530490237,40.3064447201384,40.3064508714372,0,1,1,1,40.3240745110571,40.3244200851667,40.3403509486621,40.7140149346281,41.5005223397676,42.650424492229,44.9421339012965,45.6133073076492,40.7537730348114,41.1103684060362,41.7611160523208,44.1156985125028,44.6155965571922,40.3622499309033,40.4400878950634,41.0012029026784,41.9194816700285,41.4472589451559
1260,43.5318335838923,40.3064224335489,40.3064129842686,40.3064282042628,0,0,0,0,41.8361051069913,41.1228348882978,42.7005909465283,41.6973612148819,42.5317292377328,43.3647287835707,43.6966764210024,43.3932063926935,41.0418280102565,41.0488698037979,41.3610308059143,42.6818986112612,43.3362624048455,41.3091987293724,41.3286614915557,41.273808212437,41.4013364646395,41.33865784873
1440,42.1112634241564,40.3064531858814,40.3064373642412,40.3064300252588,0,1,1,1,40.3647300245616,40.3171653598168,40.9925181062686,40.7512484350109,40.9307172616547,41.2217628544202,42.2515734766702,42.6851424499281,40.7538226851241,40.8486919318779,41.0788765330405,41.5902063497007,42.3734091831116,40.4119636074379,40.5014868847317,40.7966813297895,41.8793087945068,41.0546928329653
1620,41.8525011045144,40.3064685542965,40.3064582132822,40.3063958958087,0,0,0,1,40.7321906165459,40.6833878263848,41.0839245549538,40.8746624091355,40.8973191771582,41.1080790637392,42.6433859004443,42.2611323215451,41.0159186485374,41.1523452067833,41.1960456503745,41.1695994082605,40.5037039261979,40.8101648751433,40.8893032335351,41.0552381958503,40.7942946471995,40.6983910112391
1800,41.2842062064964,40.3064142985814,40.3064150991867,40.3063653350362,0,0,0,1,40.7678719936905,40.7333176488814,41.0770561909252,40.8341099354099,40.8850624722374,40.8480736900848,41.2661440228152,41.4762712192856,40.6904669959329,40.6402676777133,40.5789505309045,40.5200052160231,40.5368117861572,40.8615029266647,40.8727361277187,40.870123937444,40.8887637962696,40.836588821914
1980,40.8142788987958,40.3064317326953,40.306430441231,40.3064618105657,0,0,0,1,40.6087062789451,40.6942407595844,40.9269322123113,40.6325181944841,40.6469890713953,40.664896554612,40.7071290731651,40.756829320844,40.5204312018855,40.508587662111,40.5040686315722,40.4930828384153,40.4902330335238,40.6772668071285,40.6859763125615,40.739051068057,40.8400376917988,40.8305832312275
2160,40.7659300680902,40.3064444770925,40.306439074355,40.3064324705186,0,0,0,0,40.695325428092,40.729818973986,40.721077407298,40.727162006453,40.7447962266066,40.7634383057459,40.7856290859437,40.8201865891766,40.7086649388754,40.7351576347122,40.7542231263516,40.7651465441996,40.7816016603027,40.762526307781,40.7823736048727,40.8392352084806,40.8305497748562,40.809261894173
2340,40.7496693247192,40.3064380841894,40.3064377183151,40.3064339251666,0,0,0,0,40.6703204342229,40.7912923617538,40.7762054490045,40.7484932517095,40.7461103812499,40.7504816902577,40.7621185797673,40.7747440786586,40.7651744286012,40.7827830445575,40.8004156401858,40.8082309092108,40.8262899689058,40.7802917804697,40.818133811767,40.8276488915115,40.8184712686189,40.7863245924753
2520,40.7536329190824,40.3064383266669,40.3064377917844,40.306436424896,0,0,0,0,40.6892637271483,40.8027494834353,40.7815361736226,40.724844869699,40.7412569867386,40.7492193238814,40.7724331435022,40.7978996106379,40.7758762737855,40.7817962718482,40.7840792621389,40.7882066964551,40.8118885805543,40.7934456173532,40.8165626754063,40.8160561767366,40.799905612406,40.7844230592318
2700,40.7553253911611,40.3064373471662,40.306437147043,40.3064396635755,0,0,0,0,40.6887160779167,40.8089207425262,40.7419343920845,40.7617017747687,40.7532971233627,40.755505019093,40.7688779171135,40.7837382748533,40.7778604832558,40.7827654755312,40.7811711628775,40.7923533415866,40.8025362556369,40.8092246595687,40.8089557173546,40.8047486648204,40.7920502716836,40.7870069190733
2880,40.75855899997,40.3064362112267,40.3064363922884,40.3064362612925,0,0,0,0,40.7175667057565,40.8077812357404,40.781218294939,40.7710455495057,40.7616806604601,40.761743817497,40.7646498408183,40.7785919692636,40.781622090342,40.7852934799904,40.7836339596689,40.7854151955652,40.7951124092779,40.807029526484,40.8016152957516,40.7966739793269,40.7860169304174,40.7833363704637
3060,55.6014494982252,40.3064438079371,40.3064375855219,40.3064393429285,1,0,0,0,53.1746532120561,52.1218757773632,52.6492131184759,54.975680786047,55.3042173009828,55.4976140009787,55.3230901375235,54.8841137267362,53.9686389818165,52.0730075622206,49.5993603056206,47.3330340438072,50.5656446866543,53.4893936758305,53.1160632356567,50.0629848566054,52.3539425062624,52.7996430528002
