"Physical Time: Physical Time (s)","InletDoor Monitor: Surface Average of RH","InletRHa Monitor: Surface Average of RH","InletRHb Monitor: Surface Average of RH","InletRHc Monitor: Surface Average of RH","InletVelDoor Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVela Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelb Monitor: Surface Average of Velocity: Magnitude (m/s)","InletVelc Monitor: Surface Average of Velocity: Magnitude (m/s)","a Monitor: Sum of RH","b Monitor: Sum of RH","c Monitor: Sum of RH","点02RH Monitor: Sum of RH","点03RH Monitor: Sum of RH","点04RH Monitor: Sum of RH","点05RH Monitor: Sum of RH","点06RH Monitor: Sum of RH","点09RH Monitor: Sum of RH","点10RH Monitor: Sum of RH","点11RH Monitor: Sum of RH","点12RH Monitor: Sum of RH","点13RH Monitor: Sum of RH","点16RH Monitor: Sum of RH","点17RH Monitor: Sum of RH","点18RH Monitor: Sum of RH","点19RH Monitor: Sum of RH","点20RH Monitor: Sum of RH"
180,53.049828464678,50.4754373904484,50.4754247038525,50.4754310598509,2,0,0,0,52.8050148408348,52.606896261904,52.7475395699358,52.9775659332502,53.0031660155093,53.0313992325719,53.0142259020449,52.982283705891,52.9171342197503,52.3692045918801,50.6364753372912,52.2856257684416,52.8210616726864,52.8076588910516,52.7792438336083,52.7382033456423,52.7183876773559,52.7460659991064
360,46.9997353117065,40.3066510405892,40.3064928843248,40.3066243816779,0,3,3,3,40.3519745608531,40.3343473369581,40.298630693406,44.0773913218482,45.9909645788358,45.9001205300315,47.6710904209736,46.4872354887279,43.5106515556138,48.8724944679965,47.8197037886998,46.5838305774433,44.3900235280547,41.9827481894451,42.6840302652202,42.5656602162371,43.3722355377459,41.8667928104819
540,45.3473377406533,40.3077318557303,40.3075312705451,40.3076155821584,0,3,3,3,40.2580802806598,40.6221807842788,40.8966849561294,40.5376815981687,41.4021390410445,41.559206940237,42.0645038232393,42.1666262098943,42.118486419077,42.1185675392369,41.8099380694058,41.7358624694953,42.3093532720739,41.5419844076847,41.4646661701787,41.4582913723719,41.4510946158467,41.0552011449599
720,40.0547181983655,40.3057430904918,40.3059311168063,40.305817637915,0,3,0,2,40.2172141023871,40.5956783248689,41.079036403491,40.2719708334874,40.6057144294496,40.7488933060764,40.6645692054562,40.6903186689067,40.8610388699148,40.7998112655101,40.7916715530792,40.6859248614027,40.5366722340791,40.7431953855833,40.773182373295,40.7707615441702,40.6759494973169,40.5905998891662
900,42.7636020173926,40.306447105243,40.30654038872,40.3064198880959,0,0,0,0,40.6384201036082,40.5806455801363,40.6845766340736,40.6358922235423,40.6877674716993,40.8551606806686,40.6874328847368,40.6841777273016,40.7408938739438,40.7303052123987,40.7679308968183,40.70876794509,40.680307287884,40.6563094525267,40.6732070883557,40.6861531980313,40.630220081225,40.6313892288868
1080,40.6883795682794,40.3064198546055,40.3066806288479,40.3062698830357,0,0,0,0,40.6552959853097,40.6359079915992,40.6775309330545,40.6625239698108,40.6609889092313,40.7691635158459,40.6618268628725,40.6619665221426,40.7185274503109,40.7184457639442,40.7156169275938,40.7165292757382,40.7121735562621,40.6501073782167,40.6560323530375,40.6602793812117,40.6736462977301,40.6874214130273
1260,40.7320117331694,40.3061690464463,40.3062873199755,40.3060118579234,0,0,0,0,40.6761822956895,40.6676164583823,40.6772727235553,40.6868225893284,40.6911904525477,40.7067671819622,40.6635132716558,40.6698038599411,40.6925883458576,40.677273154963,40.6758844048449,40.6706564814719,40.6589802101686,40.6781418021614,40.6784974383355,40.6767716526268,40.6681162953841,40.6648969336922
1440,40.6708934921616,40.3064480856858,40.3064112506703,40.30613129326,0,0,0,0,40.6659756008851,40.6743159340583,40.6712084057228,40.6795796958762,40.6785970931553,40.67270285702,40.6658702888084,40.6650108387071,40.669476778496,40.6664724566334,40.6660631682258,40.6748494174971,40.6652622062839,40.6757445763008,40.6747255047114,40.6775151119048,40.6773982550785,40.6762305101503
1620,40.6795073407271,40.3063811133175,40.3064871052545,40.3064193149759,0,0,0,0,40.6683217338576,40.6678909725607,40.6728300695558,40.6702063259662,40.6722171775929,40.66702035342,40.674032794786,40.6736455353862,40.667154498995,40.6694332634536,40.6697378778764,40.671546245328,40.6696394561221,40.6721862800464,40.6715226840434,40.6716161228971,40.6718313353506,40.6714628835767
1800,40.6717400305811,40.3063370609239,40.3064212435598,40.3063986621584,0,0,0,0,40.6595513056355,40.6610597474031,40.6666868047733,40.6675242652172,40.6661550871167,40.6649352543038,40.6670153326476,40.6691718000077,40.6682130081296,40.669620745912,40.6699925957316,40.6706962686733,40.6703691421172,40.6690990565988,40.6692925525247,40.6699544515958,40.670676495856,40.6700129966545
